Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"BDGI.TO, Long, 2026-02-17 (Price: 68.65)",No Exit Yet,"0.0%, 0 days","92.86%, Past 5 years, 14","Daily, is CONFIRMED on 2026-02-17",Already confirmed,"2026-02-17 (Price: 68.65), 0.0% below",0 days,68.76,No Information,No Information,No Information,"38.2% (Price: 63.8711), 7.48% above, Upmove Bounce Back","2025-04-07 (Price: 33.62), 2026-01-19 (Price: 82.57)",No Information,14.12%/2.16%/11.1%,"0.42%, 41.99%",2.8 years/19 days/10.2 months,2030-02-14/2026-03-16/2027-05-06,19.04%,8.7%,10.34%,2.35,0.44,74.3479/76.2702/98.02/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,65.8/24.32/66.9303/63.4408/68.3669/59.6385/61.35,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"CNU.NZ, Long, 2026-02-17 (Price: 9.11)",No Exit Yet,"0.0%, 0 days","73.33%, Past 5 years, 15","Daily, is CONFIRMED on 2026-02-17",Already confirmed,"2026-02-17 (Price: 9.11), 0.0% below",0 days,9.19,No Information,No Information,No Information,"61.8% (Price: 9.2314), 1.32% below, Upmove Bounce Back","2025-10-14 (Price: 8.88), 2026-02-04 (Price: 9.8)",No Information,11.98%/1.84%/7.67%,"1.13%, 19.63%",1.6 year/1 month/11.2 months,2028-05-31/2026-04-01/2027-06-18,10.79%,2.16%,8.63%,0.95,0.05,9.1692/9.8087/9.66/9.875/11.0627/11.8475/No EMA 200 Target,9.08/6.0983/No F-Stack Support/No F-Stack Support/No support/No support/9.07,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
TRENDPULSE,"MAR, Long, 2026-02-15 (Price: 353.89)",No Exit Yet,"1.71%, 2 days","85.71%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-17 (Price: 359.94), 1.71% above",2 days,331.25,No Information,No Information,No Information,No Information,No Information,14.16% above/0.16% above/1.71% above,16.53%/2.51%/8.59%,"12.52%, 61.32%",11.4 months/28 days/4.1 months,2027-06-25/2026-03-27/2026-08-10,11.35%,10.48%,0.87%,0.65,0.53,405.8057/384.2892/521.89/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/281.31,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2026-02-15 (Price: 98.78)",No Exit Yet,"-1.03%, 2 days","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-17 (Price: 97.76), 1.03% below",2 days,97.81,No Information,No Information,No Information,No Information,No Information,0.06% below/1.03% below/1.03% below,23.9%/3.84%/10.2%,"6.63%, 46.57%",1 year/1.2 month/4.7 months,2027-07-21/2026-04-08/2026-09-07,12.95%,11.64%,1.31%,0.84,0.65,110.2187/108.8556/127.12/No Horizontal Resistance/95.0177/123.2166/No EMA 200 Target,76.55/38.015/87.8633/66.807/No F-Track Level/No F-Track Level/81.32,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
BASELINEDIVERGENCE,"NVDA, Long, 2026-02-15 (Price: 182.78)",No Exit Yet,"1.2%, 2 days","83.7%, Past 10 years, 92","Weekly, was CONFIRMED on 2026-02-15",Already confirmed,"2026-02-17 (Price: 184.97), 1.2% above",2 days,184.26,No Information,"^NDX, Normal Case",No Information,No Information,No Information,No Information,175.83%/0.32%/40.35%,"35.55%, 47.56%",8.9 months/2.1 months/4 months,2027-03-08/2026-05-17/2026-08-07,75.78%,46.22%,29.56%,0.69,1.86,229.6265/256.5317/239.8943/No Horizontal Resistance/239.8943/283.6698/No EMA 200 Target,175.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/172.06,73.68%/19/3.9 months (Across ALL Assets),68.44%/564/3.3 months (Across ALL Assets)
TRENDPULSE,"PFE, Long, 2026-02-15 (Price: 27.58)",No Exit Yet,"-0.76%, 2 days","73.08%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-17 (Price: 27.37), 0.76% below",2 days,27.18,No Information,No Information,No Information,No Information,No Information,0.55% above/0.87% below/0.76% below,20.77%/1.93%/8.41%,"41.05%, 50.99%",1.2 year/28 days/5.3 months,2027-11-02/2026-03-27/2026-10-03,2.79%,1.76%,1.03%,0.12,0.02,29.2072/29.8995/33.71/55.39/66.4672/73.1352/No EMA 200 Target,23.76/23.345/21.508/20.5265/No F-Track Level/No F-Track Level/24.84,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"EWJ, Long, 2026-02-15 (Price: 93.85)",No Exit Yet,"-2.11%, 2 days","80.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-17 (Price: 91.87), 2.11% below",2 days,90.3,No Information,No Information,No Information,No Information,No Information,2.76% above/2.11% below/2.11% below,9.57%/1.17%/4.18%,"20.09%, 34.01%",7.7 months/28 days/2.7 months,2027-01-15/2026-03-27/2026-06-12,3.54%,3.09%,0.45%,0.33,0.09,97.6885/97.7729/120.76/No Horizontal Resistance/90.9425/104.8752/No EMA 200 Target,80.58/53.915/83.4752/No support/No F-Track Level/No F-Track Level/79.33,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
FRACTAL TRACK,"NA.TO, Long, 2026-02-15 (Price: 174.78)",No Exit Yet,"-1.12%, 2 days","100.0%, Past 20 years, 26","Weekly, was CONFIRMED on 2026-02-15",Already confirmed,"2026-02-17 (Price: 172.83), 1.12% below",2 days,169.0,No Information,No Information,No Information,"23.66% (Price: 160.7722), 7.5% above, Upmove Bounce Back","2025-04-13 (Price: 106.67), 2025-12-28 (Price: 177.54)",No Information,20.62%/0.12%/15.67%,"0%, 55.97%",3.7 years/3 months/1.1 year,2031-05-29/2026-06-25/2027-09-11,12.24%,6.18%,6.06%,3.57,0.32,185.6513/202.168/217.3/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,162.25/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/151.91,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets)
TRENDPULSE,"PG, Long, 2026-02-15 (Price: 160.07)",No Exit Yet,"-0.32%, 2 days","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-17 (Price: 159.55), 0.32% below",2 days,158.76,No Information,No Information,No Information,No Information,No Information,5.13% above/0.3% above/0.32% below,10.46%/1.28%/3.78%,"0%, 24.03%",10.7 months/28 days/3.2 months,2027-05-25/2026-03-27/2026-07-04,6.36%,4.3%,2.06%,1.76,0.19,170.1224/166.1206/172.02/179.4533/186.6499/209.3631/No EMA 200 Target,141.79/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/153.67,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"PPH, Long, 2026-02-13 (Price: 111.19)",No Exit Yet,"0.41%, 4 days","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-17 (Price: 111.65), 0.41% above",4 days,110.57,No Information,No Information,No Information,No Information,No Information,1.22% above/0.41% above/0.41% above,5.58%/0.68%/2.88%,"0%, 20.52%",3.9 months/7 days/1.3 month,2026-08-01/2026-02-23/2026-04-10,7.49%,5.96%,1.53%,1.88,0.33,114.2922/114.3923/137.7/No Horizontal Resistance/110.0139/120.2747/No EMA 200 Target,104.54/71.642/100.0174/96.0365/No F-Track Level/No F-Track Level/93.58,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
DELTADRIFT,"CNU.NZ, Long, 2026-02-13 (Price: 9.13)",No Exit Yet,"-0.22%, 4 days","81.25%, Past 4 years, 16","Daily, was CONFIRMED on 2026-02-13",Already confirmed,"2026-02-17 (Price: 9.11), 0.22% below",4 days,9.13,No Information,No Information,No Information,No Information,No Information,No Information,4.77%/1.66%/2.83%,"8.37%, 8.37%",1.4 month/2 days/12 days,2026-04-14/2026-02-15/2026-03-02,5.82%,1.9%,3.92%,0.19,0.03,9.4103/9.3884/9.4/9.875/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,9.08/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/9.07,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-02-12 (Price: 60.61)",No Exit Yet,"-2.8%, 5 days","100.0%, Past 4 years, 13","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-17 (Price: 58.91), 2.8% below",5 days,59.18,No Information,No Information,No Information,No Information,No Information,2.8% below/2.8% below/2.8% below,9.02%/0.81%/2.71%,"-0.0%, 8.72%",20 days/4 days/10 days,2026-03-12/2026-02-17/2026-02-26,11.13%,4.24%,6.89%,0.97,0.2,66.1194/62.2525/61.76/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,60.19/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/53.11,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2026-02-12 (Price: 11.3)",No Exit Yet,"-4.96%, 5 days","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-17 (Price: 10.74), 4.96% below",5 days,11.27,No Information,No Information,No Information,No Information,No Information,4.79% below/4.96% below/4.96% below,9.48%/0.89%/4.11%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,2026-07-05/2026-02-20/2026-03-31,15.16%,8.14%,7.02%,0.86,0.43,11.8119/11.7644/12.23/12.825/18.927/29.733/11.53,10.83/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Support,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"ASHR, Long, 2026-01-31 (Price: 33.44)",No Exit Yet,"1.26%, 17 days","100.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-17 (Price: 33.86), 1.26% above",17 days,33.26,No Information,No Information,No Information,No Information,No Information,3.07% above/1.62% above/1.26% above,22.45%/22.45%/22.45%,"-0.0%, 12.65%",6.1 months/6.1 months/6.1 months,2026-10-23 (Max),6.97%,1.49%,5.48%,0.94,0.03,37.0114/40.9473/41.23/39.9467/60.2967/80.3432/No EMA 200 Target,25.82/23.68/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/30.41,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"^DJI, Long, 2026-01-31 (Price: 48892.4688)",No Exit Yet,"1.31%, 17 days","85.71%, Past 20 years, 14","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-17 (Price: 49533.1914), 1.31% above",17 days,48105.9805,No Information,No Information,No Information,No Information,No Information,1.31% above/1.31% above/1.31% above,15.24%/4.84%/10.23%,"2.61%, 11.83%",1.2 year/5 months/9.7 months,2027-10-18/2026-09-05/2027-03-28,6.32%,4.47%,1.85%,1.23,0.21,55859.6456/53894.1684/71417.92/No Horizontal Resistance/54129.8938/83218.843/No EMA 200 Target,40669.36/32614.5825/36151.8794/25040.9446/No F-Track Level/No F-Track Level/45320.62,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"BNS.TO, Long, 2026-01-31 (Price: 101.8)",No Exit Yet,"2.19%, 17 days","85.71%, Past 20 years, 14","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-17 (Price: 104.03), 2.19% above",17 days,101.58,No Information,No Information,No Information,No Information,No Information,7.31% above/1.93% above/2.19% above,24.83%/4.28%/13.78%,"30.99%, 38.87%",1.1 year/6 months/10.2 months,2027-08-27/2026-10-18/2027-04-19,1.92%,4.47%,-2.55%,0.3,0.2,108.1829/115.828/147.73/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,56.15/62.2517/92.969/69.3218/No F-Track Level/No F-Track Level/85.08,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
FRACTAL TRACK,"NZDCAD=X, Long, 2026-01-31 (Price: 0.8195)",No Exit Yet,"0.1%, 17 days","76.92%, Past 22 years, 13","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-17 (Price: 0.8203), 0.1% above",17 days,0.7896,No Information,No Information,No Information,"78.6% (Price: 0.8038), 2.05% above, Upmove Bounce Back","2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",No Information,20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-24/2027-07-06/2030-08-26,0.56%,-0.19%,0.75%,0.44,-0.46,0.8673/0.9001/0.86/0.8586/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets)
TRENDPULSE,"ACWX, Long, 2026-01-31 (Price: 70.78)",No Exit Yet,"3.28%, 17 days","90.91%, Past 20 years, 11","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-17 (Price: 73.1), 3.28% above",17 days,68.01,No Information,No Information,No Information,No Information,No Information,9.94% above/7.29% above/3.28% above,15.1%/1.97%/7.67%,"10.07%, 26.55%",3.3 years/4.1 months/1.5 year,2030-10-17/2026-07-26/2028-03-23,1.48%,1.08%,0.4%,0.36,-0.07,76.9803/76.2088/77.75/No Horizontal Resistance/69.6679/76.9985/No EMA 200 Target,52.16/45.07/61.9685/No support/No F-Track Level/No F-Track Level/63.45,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
