"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"NFLX, Long, 2026-02-20 (Price: 78.67)",No Exit Yet,"0.0%, 0 days","80.0%, Past 15 years, 5","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 78.67), 0.0% below",0 days,17.48%/14.69%/16.13%,"53.59%, 53.59%",3.7 months/21 days/2.2 months,2026-07-30/2026-03-22/2026-05-26,0.19%,16.07%,-15.88%,-0.03,0.7,90.738/91.3595/91.05/82.231/138.686/152.7047/110.9,76.87/34.8663/77.3488/70.5306/75.193/61.2874/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),76.92
"KXS.TO, Long, 2026-02-20 (Price: 124.2)",No Exit Yet,"0.0%, 0 days","100.0%, Past 11 years, 4","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 124.2), 0.0% below",0 days,13.26%/11.34%/12.17%,"0%, 17.71%",3.5 months/1.9 month/2.7 months,2026-07-22/2026-05-13/2026-06-17,12.67%,15.77%,-3.1%,14.45,0.74,147.6862/139.3151/143.5/209.885/228.5478/258.7048/180.94,123.77/No Horizontal Support/117.053/100.333/No support/No support/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),122.9
"SUM.NZ, Long, 2026-02-19 (Price: 10.51)",No Exit Yet,"-0.1%, 1 day","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-20 (Price: 10.5), 0.1% below",1 day,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,2026-05-16/2026-02-20/2026-03-18,5.72%,-0.28%,6.0%,0.18,-0.09,10.6456/10.9062/10.78/12.55/19.8479/26.5969/11.51,10.42/9.1367/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),10.41
"ORCL, Long, 2026-02-15 (Price: 160.14)",No Exit Yet,"-7.53%, 5 days","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-02-15",Already confirmed,"2026-02-20 (Price: 148.08), 7.53% below",5 days,13.89%/9.68%/12.2%,"20.01%, 25.53%",21 days/7 days/16 days,2026-03-17/2026-02-25/2026-03-10,5.26%,6.77%,-1.51%,0.27,0.34,214.1232/179.6771/196.9/No Horizontal Resistance/300.069/376.1425/220.75,142.82/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),148.49
"CNU.NZ, Long, 2026-02-13 (Price: 9.13)",2026-02-19 (Price: 9.51),"4.16%, 6 days","81.25%, Past 4 years, 16","Daily, was CONFIRMED on 2026-02-13",Already confirmed,"2026-02-20 (Price: 9.51), 4.16% above",7 days,4.77%/1.66%/2.83%,"8.37%, 8.37%",1.4 month/2 days/12 days,2026-04-14/2026-02-15/2026-03-02,5.82%,1.9%,3.92%,0.19,0.03,9.4103/9.3884/9.4/9.875/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,9.08/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/9.09,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),9.13
"FSF.NZ, Long, 2026-02-11 (Price: 7.94)",2026-02-19 (Price: 8.028),"1.11%, 8 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-11",Already confirmed,"2026-02-20 (Price: 8.18), 3.02% above",9 days,6.77%/1.74%/3.76%,"9.98%, 9.98%",27 days/1 day/14 days,2026-03-22/2026-02-12/2026-03-03,10.19%,8.7%,1.49%,0.56,0.47,8.4688/8.2385/8.35/No Horizontal Resistance/8.4284/9.7443/No EMA 200 Target,7.7/2.942/6.3611/No support/No F-Track Level/No F-Track Level/7.42,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),8.001
"SUM.NZ, Long, 2026-02-10 (Price: 11.25)",2026-02-17 (Price: 10.46),"-7.02%, 7 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-20 (Price: 10.5), 6.67% below",10 days,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,2026-05-07/2026-02-11/2026-03-09,5.72%,-0.28%,6.0%,0.18,-0.09,11.3951/11.6741/11.53/12.64/19.8479/26.5969/11.51,11.13/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),11.16
"ABNB, Long, 2026-02-06 (Price: 122.18)",2026-02-20 (Price: 127.89),"4.67%, 14 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-02-20 (Price: 127.89), 4.67% above",14 days,14.03%/1.79%/6.57%,"12.41%, 13.94%",1.1 month/2 days/15 days,2026-03-25/2026-02-08/2026-02-27,17.54%,-6.79%,24.33%,0.79,-0.1,125.7354/130.2072/127.97/178.025/226.4968/256.334/128.48,121.27/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),121.27
"IHI, Long, 2026-02-06 (Price: 58.36)",2026-02-18 (Price: 59.45),"1.87%, 12 days","85.0%, Past 4 years, 20","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-02-20 (Price: 59.36), 1.71% above",14 days,5.45%/1.28%/2.72%,"9.31%, 10.0%",19 days/1 day/7 days,2026-03-05/2026-02-07/2026-02-16,10.24%,1.25%,8.99%,0.38,-0.05,62.1651/59.9474/61.06/66.34/68.9264/76.3906/61.3,57.93/46.725/56.0899/46.1919/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),58.24
"ATM.NZ, Long, 2026-01-22 (Price: 9.94)",2026-02-16 (Price: 10.5),"5.63%, 25 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-20 (Price: 11.17), 12.37% above",29 days,8.79%/3.28%/5.7%,"14.37%, 14.37%",2.5 months/2 days/18 days,2026-05-10/2026-01-24/2026-02-17,5.16%,-1.82%,6.98%,0.11,0.02,10.4917/10.5066/10.5/10.965/21.86/25.8879/No EMA 200 Target,9.55/5.185/9.9254/9.2893/No F-Track Level/No F-Track Level/9.75,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),9.5
"NFLX, Long, 2025-12-28 (Price: 94.47)",2026-02-15 (Price: 76.87),"-18.63%, 1.6 month","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-02-20 (Price: 78.67), 16.72% below",1.8 month,17.48%/14.69%/16.13%,"53.59%, 53.59%",3.7 months/21 days/2.2 months,2026-06-06/2026-01-27/2026-04-02,0.19%,16.07%,-15.88%,-0.03,0.7,108.9617/109.708/109.33/No Horizontal Resistance/139.352/152.4292/110.9,94.39/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),94.71
"TD, Short, 2026-02-20 (Price: 96.99)",No Exit Yet,"-0.0%, 0 days","80.0%, Past 30 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 56.0801 or > 67.3774 prior to 2026-02-27,"2026-02-20 (Price: 96.99), 0.0% below",0 days,9.04%/2.95%/6.85%,"14.7%, 9.14%",3 months/1 month/2 months,2026-06-30/2026-04-04/2026-05-17,4.69%,4.88%,-0.19%,0.28,0.39,92.9746/90.3462/91.66/54.526/92.1326/76.2219/80.19,No Recent Maxima/54.526/92.1326/76.2219/87.7328/80.7842/No EMA 200 Support,0.0%/2/4 months (Across ALL Assets),0.0%/3/4.3 months (Across ALL Assets),93.11
"MAR, Short, 2026-02-12 (Price: 355.08)",2026-02-20 (Price: 347.93),"2.01%, 8 days","90.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-02-12",Already confirmed,"2026-02-20 (Price: 347.93), 2.01% below",8 days,5.11%/1.43%/2.38%,"2.62%, 8.68%",26 days/1 day/6 days,2026-03-21/2026-02-13/2026-02-20,7.58%,3.82%,3.76%,1.01,0.73,348.44/346.6291/347.53/129.12/275.4012/235.5515/283.49,No support/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/No EMA 200 Support,84.38%/32/5 days (Across ALL Assets),74.29%/70/5 days (Across ALL Assets),361.98
"UPS, Short, 2026-02-09 (Price: 117.92)",2026-02-17 (Price: 115.51),"2.04%, 8 days","80.0%, Past 4 years, 5","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-20 (Price: 116.73), 1.01% below",11 days,1.9%/1.22%/1.6%,"6.95%, 3.29%",28 days/5 days/12 days,2026-03-21/2026-02-16/2026-02-26,3.47%,3.82%,-0.35%,-0.04,-0.26,110.5972/116.0333/113.32/107.93/112.825/532.2452/96.48,No support/107.93/112.825/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.38%/32/5 days (Across ALL Assets),74.29%/70/5 days (Across ALL Assets),117.17
