"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max./Min./Avg.),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"NZDUSD=X, Long, 2025-11-26 (Price: 0.5624)",No Exit Yet,"1.62%, 1 day","72.41%, Past 6 years, 29","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-11-27 (Price: 0.5715), 1.62% above",1 day,2025-11-11 (Price: 0.5632)/2025-11-21 (Price: 0.5584),22 days/1 day/6 days,6.42%/5.06%/5.47%,"10.82%, 15.4%",4.2 months/4 days/2.1 months,2026-05-26/2025-12-01/2026-02-26,-7.27%,-1.8%,-5.46%,-0.28,-0.54,0.5699/0.5932/0.62/0.7292/No Next Fib Ext/No Next Fib Ext/0.59,No Recent Minima/0.5509/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"MSFT, Long, 2025-11-26 (Price: 485.5)",No Exit Yet,"0.0%, 0 days","81.48%, Past 6 years, 27","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-11-26 (Price: 485.5), 0.0% below",0 days,2025-11-07 (Price: 493.25)/2025-11-21 (Price: 468.27),20 days/1 day/6 days,13.91%/5.23%/6.93%,"11.85%, 17.4%",25 days/2 days/11 days,2026-01-01/2025-11-28/2025-12-11,5.61%,23.16%,-17.54%,0.03,0.84,502.7353/519.1451/553.47/No Horizontal Resistance/553.3726/615.9924/No Moving Avg Target,No Recent Minima/216.39/386.873/350.287/No F-Track Level/No F-Track Level/467.58,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"USO, Long, 2025-11-26 (Price: 70.04)",No Exit Yet,"0.0%, 0 days","73.33%, Past 6 years, 30","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-11-26 (Price: 70.04), 0.0% below",0 days,2025-11-14 (Price: 71.13)/2025-11-21 (Price: 68.58),15 days/1 day/5 days,11.89%/5.03%/6.85%,"17.05%, 17.88%",1.3 month/7 days/18 days,2026-01-21/2025-12-06/2025-12-22,-34.01%,-4.37%,-29.63%,-0.21,0.0,73.1918/74.8377/73.54/83.49/No Next Fib Ext/No Next Fib Ext/72.47,No Recent Minima/44.03/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"IBKR, Long, 2025-11-26 (Price: 64.19)",No Exit Yet,"0.0%, 0 days","83.33%, Past 6 years, 30","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-11-26 (Price: 64.19), 0.0% below",0 days,2025-11-17 (Price: 62.96)/2025-11-18 (Price: 62.09),13 days/1 day/5 days,14.05%/5.19%/7.6%,"11.21%, 13.86%",1.2 month/2 days/14 days,2026-01-18/2025-11-28/2025-12-16,30.69%,34.23%,-3.54%,0.22,1.11,67.4637/69.0684/67.4/No Horizontal Resistance/102.297/159.1852/No Moving Avg Target,No Recent Minima/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/56.77,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"BABA, Long, 2025-11-24 (Price: 160.73)",No Exit Yet,"-1.95%, 2 days","76.19%, Past 6 years, 42","Daily, is Confirmed on 2025-11-24",No Cancellation Possible,"2025-11-26 (Price: 157.6), 1.95% below",2 days,2025-11-13 (Price: 158.5)/2025-11-14 (Price: 151.78),16 days/1 day/5 days,16.48%/5.33%/8.72%,"17.74%, 17.74%",2.1 months/1 day/11 days,2026-02-23/2025-11-25/2025-12-09,26.59%,-1.07%,27.65%,0.13,0.14,169.6344/174.7457/168.77/No Horizontal Resistance/395.5515/453.696/No Moving Avg Target,No Recent Minima/67.495/138.4263/108.0763/No F-Track Level/No F-Track Level/135.29,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"IBIT, Long, 2025-11-24 (Price: 50.57)",No Exit Yet,"0.91%, 2 days","90.0%, Past 1 years, 10","Daily, is Confirmed on 2025-11-24",No Cancellation Possible,"2025-11-26 (Price: 51.03), 0.91% above",2 days,2025-11-17 (Price: 51.7)/2025-11-20 (Price: 48.74),5 days/1 day/3 days,8.18%/5.06%/7.28%,"13.32%, 14.42%",27 days/2 days/19 days,2026-01-02/2025-11-26/2025-12-21,56.12%,58.43%,-2.31%,0.25,1.54,51.4347/54.2515/53.1/70.855/74.3812/88.2877/58.79,No Recent Minima/41.99/45.1961/234.9241/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"SONY, Long, 2025-11-24 (Price: 29.01)",No Exit Yet,"0.24%, 2 days","85.71%, Past 6 years, 35","Daily, is Confirmed on 2025-11-24",No Cancellation Possible,"2025-11-26 (Price: 29.08), 0.24% above",2 days,2025-10-31 (Price: 27.81)/2025-11-20 (Price: 27.75),15 days/1 day/6 days,17.73%/5.06%/8.44%,"11.6%, 15.4%",2 months/4 days/20 days,2026-02-18/2025-11-29/2025-12-22,38.36%,14.31%,24.05%,0.28,0.52,29.8977/31.4584/34.81/No Horizontal Resistance/33.2191/35.3948/No Moving Avg Target,No Recent Minima/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level/26.3,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"BTC-USD, Long, 2025-11-23 (Price: 86805.0078)",2025-11-27 (Price: 91496.7969) (Today),"5.4%, 3 days","84.21%, Past 6 years, 57","Daily, is Confirmed on 2025-11-23",No Cancellation Possible,"2025-11-27 (Price: 91496.7969), 5.4% above",3 days,2025-11-16 (Price: 92971.1641)/2025-11-21 (Price: 80659.8125),10 days/0 days/2 days,19.05%/5.04%/8.14%,"14.07%, 15.29%",1 month/0 days/8 days,2026-01-05/2025-11-23/2025-12-04,54.01%,49.41%,4.61%,0.19,0.92,90737.2747/93870.9354/91145.26/124582.2656/122105.3521/133759.1807/109923.56,No Recent Minima/18304.4229/76786.0499/48777.0949/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"ETH-USD, Long, 2025-11-23 (Price: 2801.676)",2025-11-24 (Price: 2952.7134),"5.39%, 0 days","71.43%, Past 6 years, 56","Daily, is Confirmed on 2025-11-23",No Cancellation Possible,"2025-11-27 (Price: 3027.0298), 8.04% above",3 days,2025-11-16 (Price: 3007.0728)/2025-11-21 (Price: 2626.8716),9 days/0 days/2 days,13.52%/5.1%/7.76%,"15.5%, 17.27%",1.4 month/0 days/5 days,2026-01-21/2025-11-23/2025-11-30,-54.79%,63.56%,-118.35%,-0.14,1.09,3001.7157/3019.0861/2941.76/4922.7188/4887.278/5344.0381/3516.72,No Recent Minima/1370.4997/2637.9184/2471.5754/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"WMT, Long, 2025-11-21 (Price: 105.32)",No Exit Yet,"3.59%, 3 days","94.44%, Past 6 years, 18","Daily, is Confirmed on 2025-11-21",No Cancellation Possible,"2025-11-26 (Price: 109.1), 3.59% above",3 days,2025-11-03 (Price: 100.4)/2025-11-19 (Price: 99.68),22 days/1 day/8 days,23.28%/5.07%/9.04%,"14.16%, 23.42%",7.7 months/6 days/2.1 months,2026-10-23/2025-11-29/2026-02-20,23.6%,16.53%,7.07%,0.57,0.68,110.2068/114.8409/122.17/No Horizontal Resistance/137.8139/No Next Fib Ext/No Moving Avg Target,No Recent Minima/42.9289/85.5556/53.2582/No F-Track Level/No F-Track Level/97.93,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
