"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"GLD, Long, 2025-12-26 (Price: 416.74)",No Exit Yet,"0.0%, 0 days","85.19%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-26 (Price: 416.74), 0.0% below",0 days,"6, 2024-08-11 (Price: 224.56)",2025-12-21 (Price: 399.02),2025-12-22 (Price: 408.23),5/4/0 days,4.44% above/2.08% above/0.0% below,2024-08-11 (Price: 229.74)/2025-12-26 (Price: 400.7524),8.71%/1.73%/6.03%,"3.13%, 23.93%",10.5 months/28 days/3.3 months,2027-03-27/2026-02-04/2026-05-18,4.9%,5.02%,-0.12%,1.33,0.26,443.9948/441.8694/532.05/No Horizontal Resistance/408.5544/581.2346/No EMA 200 Target,236.59/150.8/288.3021/225.9189/355.0696/316.1198/330.26,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"C6L.SI, Long, 2025-12-26 (Price: 6.41)",No Exit Yet,"0.0%, 0 days","87.5%, Past 4 years, 16","Daily, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-26 (Price: 6.41), 0.0% below",0 days,"0, 2024-03-13 (Price: 6.39)",2025-12-24 (Price: 6.4),2025-12-26 (Price: 6.41),2/0/0 days,0.16% above/0.0% below/0.0% below,2024-03-13 (Price: 10.7924)/2025-12-26 (Price: 6.3558),8.19%/1.1%/3.7%,"5.37%, 17.3%",3.8 months/6 days/1.5 month,2026-06-09/2026-01-03/2026-03-01,9.44%,0.14%,9.3%,0.66,-0.05,6.5568/6.6472/6.42/7.0067/15.4629/16.7442/6.71,6.26/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"GS, Long, 2025-12-26 (Price: 907.04)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-26 (Price: 907.04), 0.0% below",0 days,"6, 2024-08-11 (Price: 490.26)",2025-12-14 (Price: 887.96),2025-12-22 (Price: 899.0),12/4/0 days,2.15% above/0.89% above/0.0% below,2024-08-11 (Price: 536.6316)/2025-12-26 (Price: 867.6605),16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-02-16/2026-02-24/2026-09-17,9.45%,7.78%,1.67%,2.03,0.4,929.9881/986.3153/1157.11/No Horizontal Resistance/916.0326/973.4919/No EMA 200 Target,470.81/288.555/818.1554/728.9736/732.6/617.9885/700.8,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"MAR, Long, 2025-12-26 (Price: 315.58)",No Exit Yet,"0.0%, 0 days","81.48%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-26 (Price: 315.58), 0.0% below",0 days,"2, 2025-05-18 (Price: 273.23)",2025-12-21 (Price: 310.16),2025-12-22 (Price: 313.75),5/4/0 days,1.75% above/0.58% above/0.0% below,2025-05-18 (Price: 276.02)/2025-12-26 (Price: 306.94),16.53%/2.51%/7.6%,"12.52%, 61.32%",10.7 months/28 days/2.5 months,2027-04-04/2026-02-04/2026-04-13,11.8%,10.04%,1.76%,0.46,0.51,362.2858/339.5641/340.99/No Horizontal Resistance/313.5051/355.3234/No EMA 200 Target,260.2/129.12/297.0775/283.8827/272.7581/245.7602/266.17,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"WPM, Long, 2025-12-26 (Price: 124.22)",No Exit Yet,"0.0%, 0 days","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-26 (Price: 124.22), 0.0% below",0 days,"6, 2024-08-11 (Price: 55.81)",2025-12-21 (Price: 119.7),2025-12-26 (Price: 124.22),5/0/0 days,3.78% above/0.0% below/0.0% below,2024-08-11 (Price: 58.517)/2025-12-26 (Price: 119.4562),30.46%/2.87%/10.34%,"13.4%, 61.17%",2.8 months/28 days/1.6 month,2026-04-26/2026-02-04/2026-03-05,5.32%,5.11%,0.21%,0.63,0.29,134.2694/137.0643/165.27/No Horizontal Resistance/119.4321/129.2378/No EMA 200 Target,96.52/38.3375/102.4252/95.3086/101.662/87.7502/94.77,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"MFT.NZ, Long, 2025-12-26 (Price: 69.01)",No Exit Yet,"0.0%, 0 days","90.91%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-24 (Price: 69.01), 0.0% below",0 days,"4, 2024-06-16 (Price: 69.0)",2025-12-21 (Price: 68.26),2025-12-24 (Price: 69.01),3/0/2 days,1.1% above/0.0% below/0.0% below,2024-06-16 (Price: 78.9982)/2025-12-26 (Price: 66.4602),13.53%/1.78%/5.86%,"5.83%, 27.74%",1.2 year/28 days/4.4 months,2027-09-12/2026-02-04/2026-07-05,9.15%,10.41%,-1.26%,1.17,0.61,74.3169/73.054/69.02/85.45/101.7951/111.6887/No EMA 200 Target,58.66/55.185/65.1894/42.5658/No support/No support/63.83,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"DOL.TO, Long, 2025-12-26 (Price: 205.3)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-24 (Price: 205.3), 0.0% below",0 days,"2, 2025-06-15 (Price: 193.74)",2025-12-26 (Price: 205.3),2025-12-22 (Price: 204.3),2/2/2 days,0.0% below/0.49% above/0.0% below,2025-06-15 (Price: 196.46)/2025-12-26 (Price: 202.62),14.72%/3.73%/8.72%,"0%, 10.74%",4.4 months/1.2 month/1.7 month,2026-07-05/2026-02-16/2026-03-09,11.66%,19.11%,-7.45%,2.37,1.22,244.7587/223.2022/212.24/No Horizontal Resistance/252.753/384.8349/No EMA 200 Target,174.88/53.2967/171.1219/120.6711/167.5471/141.4827/182.17,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"TD.TO, Long, 2025-12-26 (Price: 129.16)",No Exit Yet,"0.0%, 0 days","90.0%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-24 (Price: 129.16), 0.0% below",0 days,"2, 2025-07-13 (Price: 100.69)",2025-12-14 (Price: 125.8),2025-12-23 (Price: 128.92),10/1/2 days,2.67% above/0.19% above/0.0% below,2025-07-13 (Price: 101.7338)/2025-12-26 (Price: 124.0442),12.32%/1.31%/6.58%,"9.57%, 31.6%",1.8 year/28 days/4.7 months,2028-07-21/2026-02-04/2026-07-18,7.49%,5.65%,1.84%,1.01,0.31,138.5241/137.6587/146.24/No Horizontal Resistance/127.7222/133.1838/No EMA 200 Target,81.05/73.6233/116.5496/105.2485/110.6164/98.8826/102.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"JPY=X, Long, 2025-12-26 (Price: 156.558)",No Exit Yet,"0.0%, 0 days","73.33%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 155.887 prior to 2025-12-31,"2025-12-26 (Price: 156.558), 0.0% below",0 days,"2, 2024-06-30 (Price: 160.687)",2025-11-30 (Price: 156.284),2025-12-22 (Price: 157.676),26/4/0 days,0.18% above/0.71% below/0.0% below,2024-06-30 (Price: 162.4562)/2025-12-26 (Price: 153.2012),18.95%/3.25%/10.93%,"19.82%, 27.01%",1.1 year/5 months/9.2 months,2027-07-22/2026-07-31/2027-01-29,-1.08%,0.88%,-1.96%,0.37,-0.3,172.4173/173.6698/159.04/159.6618/175.8568/187.2285/No EMA 200 Target,142.3/109.702/138.2059/No support/No support/No support/148.66,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"SOXX, Long, 2025-12-26 (Price: 306.04)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-12-26 (Price: 306.04), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-12-26 (Price: 306.04),2025-11-21 (Price: 270.83),0/35/0 days,0.0% below/13.0% above/0.0% below,2015-06-30 (Price: 22.1158)/2025-12-26 (Price: 264.9375),74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-11/2027-11-03/2028-09-11,16.0%,8.74%,7.26%,0.66,0.45,408.3798/452.1741/471.25/No Horizontal Resistance/320.8469/358.5021/No EMA 200 Target,106.24/110.475/267.2317/244.4067/277.3551/252.7767/244.67,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
