"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"ARM, Long, 2025-11-11 (Price: 149.74)",No Exit Yet,"0.0%, 0 days","91.67%, Past 2 years, 12","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 149.74), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 148.4717),0.85% above,"2025-08-20 (Price: 127.03), 2025-10-27 (Price: 183.16)",24.77%/17.41%/21.09%,"2.71%, 36.96%",91 days/49 days/70 days,2026-03-22/2026-01-20/2026-02-20,51.27%,56.91%,-5.64%,0.35,1.37,145.8767/181.3202/183.42/165.49/No Next Fib Ext/No Next Fib Ext,139.62/No Horizontal Support/No F-Stack Support/No F-Stack Support/207.2214/222.1802,156.06/139.61,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"AMD, Long, 2025-11-11 (Price: 237.52)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 30","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 237.52), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 222.0575),6.96% above,"2025-09-08 (Price: 149.22), 2025-10-29 (Price: 267.08)",113.63%/2.78%/34.16%,"-0.0%, 52.96%",403 days/7 days/119 days,2027-06-17/2025-11-21/2026-05-02,45.33%,25.18%,20.14%,0.38,0.76,241.4866/318.6568/308.24/No Horizontal Resistance/269.2327/283.8155,233.54/72.6533/210.12/167.5998/216.8001/185.9012,202.48/143.77,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 33","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 3047.0), 0.0% below",0 days,Upmove Bounce Back,88.6% (Price: 3015.6997),1.04% above,"2025-08-04 (Price: 2991.6001), 2025-09-18 (Price: 3203.0)",28.47%/5.12%/16.33%,"-0.0%, 25.8%",751 days/83 days/271 days,2028-11-02/2026-03-11/2026-12-08,8.59%,2.55%,6.05%,0.66,0.02,3080.8217/3544.5751/3173.84/4543.575/No Next Fib Ext/No Next Fib Ext,2990.2/2923.4601/No F-Stack Support/No F-Stack Support/4970.8692/5203.5455,3035.6/3362.93,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"JD, Long, 2025-11-11 (Price: 31.61)",No Exit Yet,"0.0%, 0 days","95.24%, Past 5 years, 21","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 31.61), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 31.3894),0.7% above,"2025-08-28 (Price: 29.9), 2025-10-02 (Price: 36.86)",29.87%/8.44%/18.43%,"5.3%, 37.86%",297 days/26 days/118 days,2027-01-15/2025-12-18/2026-04-30,33.16%,-17.7%,50.86%,0.32,-0.17,31.6005/37.4357/35.79/80.755/120.3515/132.0795,31.41/24.07/No F-Stack Support/No F-Stack Support/50.3595/52.7652,33.6/35.14,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"IWM, Long, 2025-11-11 (Price: 244.24)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 25","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 244.24), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 233.5959),4.56% above,"2025-04-07 (Price: 171.73), 2025-10-15 (Price: 252.77)",13.05%/0.65%/8.32%,"-0.0%, 33.13%",1174 days/40 days/291 days,2030-07-08/2026-01-07/2027-01-06,5.91%,8.75%,-2.85%,0.5,0.32,243.434/264.5608/292.86/244.72/270.9222/282.5179,240.35/162.3167/196.8345/160.6663/233.5959/221.8127,243.08/219.74,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"SOXX, Long, 2025-11-11 (Price: 295.15)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 148.31 prior to 2025-12-31,"2025-11-11 (Price: 295.15), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 147.9982),99.43% above,"2015-09-30 (Price: 24.2867), 2022-03-31 (Price: 186.34)",66.53%/66.53%/66.53%,"-0.0%, 41.23%",717 days/717 days/717 days,2028-09-14/2028-09-14/2028-09-14,19.89%,12.73%,7.15%,0.33,0.46,308.6974/491.5133/392.38/No Horizontal Resistance/320.8469/358.5021,106.24/110.475/267.2317/244.4067/273.874/249.9586,279.28/231.89,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"XLV, Long, 2025-11-11 (Price: 150.68)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-11-11 (Price: 150.68), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),18.66% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",3717 days/3717 days/3717 days,2040-08-07/2040-08-07/2040-08-07,8.26%,6.44%,1.82%,0.48,0.22,147.2144/613.4183/233.49/No Horizontal Resistance/174.1807/202.706,24.21/121.6312/117.2225/81.225/167.2798/171.9748,141.7/139.15,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-11 (Price: 241.69)",No Exit Yet,"0.0%, 0 days","88.0%, Past 80 years, 25","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 235.01 prior to 2025-11-28,"2025-11-11 (Price: 241.69), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 232.7652),3.83% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",196.24%/14.77%/97.8%,"25.41%, 71.77%",1368 days/240 days/662 days,2031-04-15/2026-10-24/2028-06-26,9.34%,22.33%,-12.98%,0.43,0.63,235.8169/478.0628/330.85/366.6625/374.6319/404.5107,239.37/187.6063/184.3156/1127.9829/347.4556/361.5012,245.35/260.34,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-11 (Price: 241.69)",No Exit Yet,"0.0%, 0 days","100.0%, Past 80 years, 10","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 228.0 prior to 2025-12-31,"2025-11-11 (Price: 241.69), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 224.8125),7.51% above,"2020-03-31 (Price: 79.7), 2021-12-31 (Price: 369.925)",550.34%/1.52%/189.68%,"-0.0%, 61.48%",5479 days/717 days/2500 days,2047-08-03/2028-09-14/2035-10-11,6.68%,22.24%,-15.57%,0.33,0.55,275.3091/700.1276/415.83/366.6625/374.6319/404.5107,182.62/187.6063/184.3156/1127.9829/347.4556/361.5012,245.35/260.34,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-11 (Price: 1493.4)",No Exit Yet,"0.0%, 0 days","100.0%, Past 48 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 1114.85 prior to 2025-12-31,"2025-11-11 (Price: 1493.4), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1100.9625),35.64% above,"2020-03-31 (Price: 400.3177), 2022-06-30 (Price: 1318.1128)",651.15%/27.98%/339.57%,"-0.0%, 57.24%",1501 days/455 days/978 days,2031-10-25/2027-09-01/2029-09-27,30.69%,19.15%,11.54%,0.39,0.64,1521.3266/6564.5384/2044.08/1531.725/1617.1679/1804.6011,158.4/855.3207/1324.16/1138.1652/1725.6686/1797.4889,1413.14/1368.49,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
