Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"MA, Long, 2025-10-02 (Price: 577.33)",Daily,2026-01-14 (Price: 546.82),No Price Target,No Date Target,8.2%/8.22%,"-6.55%, 3.5 months","2026-01-16 (Price: 539.49), 6.55% below",583.8538 (Historic Rise or Fall to Pivot)/594.3035 (Avg % Gain of Historic Winning trades)/672.59 (Exit Rule)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/622.4195 (Backtested Max)/583.7384 (Backtested Min),2026-03-03 (Max),565.13/306.91/554.0572/515.4888/No F-Track Level/No F-Track Level/556.01,"96.15%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,6.55% below/6.55% below/6.55% below,7.81%/1.11%/2.94%,"5.85%, 28.57%",3.5 months/4 days/1.3 month,5.71%,7.58%,-1.87%,0.98,0.39,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"MA, Long, 2025-08-21 (Price: 591.92)",Daily,2026-01-14 (Price: 546.82),No Price Target,No Date Target,10.94%/10.96%,"-8.86%, 4.9 months","2026-01-16 (Price: 539.49), 8.86% below",598.6087 (Historic Rise or Fall to Pivot)/609.3224 (Avg % Gain of Historic Winning trades)/608.31 (Exit Rule)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/638.149 (Backtested Max)/598.4903 (Backtested Min),2026-01-20 (Max),550.18/279.035/554.0572/515.4888/No F-Track Level/No F-Track Level/547.22,"96.15%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,8.86% below/8.86% below/8.86% below,7.81%/1.11%/2.94%,"5.85%, 28.57%",3.5 months/4 days/1.3 month,5.71%,7.58%,-1.87%,0.98,0.39,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"MA, Long, 2025-02-28 (Price: 576.31)",Monthly,No Exit Yet,No Price Target,2026-01-19 (Avg),24.97%/32.25%,"-6.39%, 10.7 months","2026-01-16 (Price: 539.49), 6.39% below",804.7017 (Historic Rise or Fall to Pivot)/721.1943 (Avg % Gain of Historic Winning trades)/713.46 (Exit Rule)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/768.9704 (Backtested Max)/674.2251 (Backtested Min),2026-06-29 (Max)/2026-01-19 (Avg),284.34/279.035/554.0572/515.4888/No F-Track Level/No F-Track Level/495.23,"100.0%, Past 20 years, 10",No Information,No Information,No Information,No Information,No Information,6.39% below/3.49% below/6.39% below,33.43%/16.99%/25.14%,"-0.0%, 9.42%",11.2 months/6.1 months/7.5 months,14.13%,18.74%,-4.61%,2.51,1.0,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-05-11 (Price: 35.95)",Weekly,No Exit Yet,39.4731 (Historic Rise or Fall to Pivot)/39.1917 (Horizontal),No Date Target,4.52%/5.84%,"8.93%, 8.3 months","2026-01-16 (Price: 39.16), 8.93% above",42.0723 (Avg % Gain of Historic Winning trades)/52.54 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/43.1005 (Backtested Max)/41.4468 (Backtested Min),2029-07-01 (Max)/2026-12-05 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",No Information,No Information,No Information,"23.66% (Price: 32.958), 18.82% above, Upmove Bounce Back","2018-12-16 (Price: 11.85), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-04-06 (Price: 34.58)",Weekly,No Exit Yet,39.1917 (Horizontal),No Date Target,1.81%/3.34%,"13.24%, 9.5 months","2026-01-16 (Price: 39.16), 13.24% above",40.469 (Avg % Gain of Historic Winning trades)/46.11 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/41.458 (Backtested Max)/39.8673 (Backtested Min),2029-05-27 (Max)/2026-10-31 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",No Information,No Information,No Information,"38.2% (Price: 32.1618), 21.76% above, Upmove Bounce Back","2023-11-05 (Price: 20.29), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-12-31 (Price: 37.75)",Monthly,No Exit Yet,39.1438 (Horizontal),No Date Target,4.52%/16.3%,"3.74%, 16 days","2026-01-16 (Price: 39.16), 3.74% above",47.0516 (Historic Rise or Fall to Pivot)/45.7945 (Avg % Gain of Historic Winning trades)/49.28 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/46.3306 (Backtested Max)/45.5416 (Backtested Min),2035-02-19 (Max)/2026-06-22 (Min)/2030-09-16 (Avg),33.54/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.69,"85.71%, Past 24 years, 7",No Information,No Information,No Information,"23.66% (Price: 34.9549), 12.03% above, Upmove Bounce Back","2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",No Information,22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,4.68%,9.29%,-4.61%,0.75,0.49,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
FRACTAL TRACK,"MSFT, Long, 2025-06-30 (Price: 497.41)",Monthly,2026-01-16 (Price: 459.86) (Today),No Price Target,No Date Target,15.34%/20.34%,"-7.55%, 6.7 months","2026-01-16 (Price: 459.86), 7.55% below",669.6133 (Historic Rise or Fall to Pivot)/608.4319 (Avg % Gain of Historic Winning trades)/650.36 (Exit Rule)/553.3726 (F-Stack 2)/636.0879 (Backtested Max)/530.3883 (Backtested Min),2045-10-07 (Max)/2028-01-24 (Avg),375.39/216.39/386.873/350.287/No F-Track Level/No F-Track Level/482.26,"92.31%, Past 39 years, 13",No Information,No Information,No Information,"50% (Price: 340.89), 34.9% above, Upmove Bounce Back","2022-11-30 (Price: 213.43), 2024-07-31 (Price: 468.35)",No Information,27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,7.9%,16.21%,-8.31%,1.65,0.79,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
DELTADRIFT,"MSFT, Long, 2025-11-26 (Price: 485.5)",Daily,2026-01-14 (Price: 459.38),No Price Target,No Date Target,7.71%/9.46%,"-5.28%, 1.7 month","2026-01-16 (Price: 459.86), 5.28% below",510.2605 (Historic Rise or Fall to Pivot)/503.3664 (Avg % Gain of Historic Winning trades)/506.81 (Exit Rule)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/510.8917 (Backtested Max)/495.3071 (Backtested Min),2026-03-10 (Max),472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/482.26,"72.73%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,5.23%/2.02%/3.68%,"8.2%, 14.53%",2.4 months/1 day/14 days,5.1%,6.53%,-1.43%,0.07,0.34,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets)
FRACTAL TRACK,"TSLA, Long, 2025-11-30 (Price: 430.17)",Weekly,2026-01-16 (Price: 437.5) (Today),No Price Target,No Date Target,12.03%/16.31%,"1.7%, 1.6 month","2026-01-16 (Price: 437.5), 1.7% above",622.2409 (Historic Rise or Fall to Pivot)/508.8481 (Avg % Gain of Historic Winning trades)/716.21 (Exit Rule)/490.132 (F-Stack 1)/554.3681 (F-Stack 2)/571.2227 (Backtested Max),2028-01-21 (Max)/2026-01-21 (Min)/2026-06-22 (Avg),391.09/181.0784/413.6779/330.0827/No F-Track Level/No F-Track Level/369.12,"73.33%, Past 15 years, 15",No Information,No Information,No Information,"23.66% (Price: 375.7432), 16.44% above, Upmove Bounce Back","2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",No Information,32.79%/4.5%/18.29%,"19.51%, 42.05%",1.5 year/1.2 month/4.7 months,12.11%,30.11%,-18.0%,0.69,1.16,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
TRENDPULSE,"TSLA, Long, 2025-05-31 (Price: 346.46)",Monthly,2026-01-16 (Price: 437.5) (Today),No Price Target,No Date Target,12.03%/97.53%,"26.28%, 7.7 months","2026-01-16 (Price: 437.5), 26.28% above",864.2098 (Historic Rise or Fall to Pivot)/490.132 (F-Stack 2),2028-02-15 (Max)/2028-02-15 (Max)/2028-02-15 (Max),175.79/167.4534/330.0827/262.8246/No F-Track Level/No F-Track Level/302.39,"83.33%, Past 20 years, 6",No Information,No Information,No Information,No Information,No Information,55.05% above/53.61% above/26.28% above,7.79%/7.79%/7.79%,"2.38%, 35.95%",1.9 year/1.9 year/1.9 year,26.29%,28.82%,-2.53%,0.27,1.04,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
