"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"ABNB, Long, 2026-02-26 (Price: 136.97)",No Exit Yet,"0.0%, 0 days","90.48%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-26",Already confirmed,"2026-02-26 (Price: 136.97), 0.0% below",0 days,"2, 2026-01-09 (Price: 141.4)",2026-02-24 (Price: 125.66),2026-02-26 (Price: 136.97),2/0/0 days,9.0% above/0.0% below/0.0% below,2026-01-09 (Price: 141.4)/2026-02-26 (Price: 123.736),11.1%/1.63%/5.0%,"39.55%, 57.01%",3.7 months/6 days/1.1 month,2026-08-05/2026-03-06/2026-04-14,11.27%,-2.36%,13.63%,0.14,0.07,136.8193/143.8185/139.63/178.025/223.0579/259.5851/No EMA 200 Target,115.96/99.795/No F-Stack Support/No F-Stack Support/No support/No support/128.58,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),132.195
"^NZ50, Long, 2026-02-26 (Price: 13537.6299)",No Exit Yet,"0.0%, 0 days","84.62%, Past 4 years, 13","Daily, is CONFIRMED on 2026-02-26",Already confirmed,"2026-02-26 (Price: 13537.6299), 0.0% below",0 days,"2, 2026-01-09 (Price: 13752.6299)",2026-02-24 (Price: 13386.3799),2026-02-26 (Price: 13537.6299),2/0/0 days,1.13% above/0.0% below/0.0% below,2026-01-09 (Price: 13752.6299)/2026-02-26 (Price: 13454.0484),2.56%/0.14%/1.13%,"9.56%, 19.48%",1.6 month/7 days/18 days,2026-05-06/2026-03-08/2026-03-24,3.44%,1.45%,1.99%,0.03,-0.11,13859.8255/13690.6051/13666.63/No Horizontal Resistance/14523.0985/16781.6883/No EMA 200 Target,13082.85/10608.2731/12696.4249/9172.411/13033.3071/12588.133/13142.23,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),13525.5801
"ASHR, Long, 2026-02-26 (Price: 34.17)",No Exit Yet,"0.0%, 0 days","75.0%, Past 10 years, 24","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 34.11 prior to 2026-02-27,"2026-02-26 (Price: 34.17), 0.0% below",0 days,"0, 2021-12-19 (Price: 40.56)",2026-02-15 (Price: 33.68),2026-02-26 (Price: 34.17),11/0/0 days,1.45% above/0.0% below/0.0% below,2021-12-19 (Price: 40.56)/2026-02-26 (Price: 33.4553),24.71%/0.16%/9.63%,"38.84%, 52.68%",10.3 months/28 days/4.4 months,2027-05-19/2026-04-07/2026-09-05,1.0%,1.81%,-0.81%,0.13,0.06,36.4218/37.4606/38.0/39.9467/60.1592/68.9354/No EMA 200 Target,25.21/23.68/No F-Stack Support/No F-Stack Support/32.2136/30.0588/31.12,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),34.11
"SOXX, Long, 2026-02-26 (Price: 356.8)",No Exit Yet,"0.0%, 0 days","77.78%, Past 20 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 342.37 prior to 2026-02-27,"2026-02-26 (Price: 356.8), 0.0% below",0 days,"0, 2002-03-31 (Price: 25.5067)",2026-01-31 (Price: 346.3),2026-02-26 (Price: 356.8),26/0/0 days,3.03% above/0.0% below/0.0% below,2002-03-31 (Price: 25.5067)/2026-02-26 (Price: 318.4767),26.25%/7.49%/15.33%,"39.0%, 59.88%",10.2 months/5 months/6.2 months,2027-05-15/2026-10-01/2026-11-22,-3.22%,7.76%,-10.98%,0.06,0.4,408.4646/411.4974/555.58/No Horizontal Resistance/358.5021/395.2114/No EMA 200 Target,183.84/110.475/320.8469/267.2317/316.6473/284.5852/276.92,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),342.37
"SLV, Long, 2026-02-26 (Price: 80.45)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 67.3 prior to 2026-03-31,"2026-02-26 (Price: 80.45), 0.0% below",0 days,"4, 2008-03-31 (Price: 20.73)",2025-12-31 (Price: 64.42),2026-02-18 (Price: 70.09),57/8/0 days,24.88% above/14.78% above/0.0% below,2008-03-31 (Price: 20.73)/2026-02-26 (Price: 60.08),72.45%/72.45%/72.45%,"-0.0%, 28.77%",4.8 years/4.8 years/4.8 years,2033-01-02 (Max),9.45%,6.73%,2.72%,0.47,0.33,106.7491/138.736/116.28/No Horizontal Resistance/79.1429/95.8563/No EMA 200 Target,17.5/18.99/67.0665/59.2029/72.0235/60.345/47.86,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),67.3
"^DJI, Long, 2026-02-26 (Price: 49499.1992)",No Exit Yet,"0.0%, 0 days","100.0%, Past 34 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 48105.9805 prior to 2026-03-31,"2026-02-26 (Price: 49499.1992), 0.0% below",0 days,"2, 2000-03-31 (Price: 11750.2803)",2026-02-26 (Price: 49499.1992),2026-02-24 (Price: 49174.5),0/2/0 days,0.0% below/0.66% above/0.0% below,2000-03-31 (Price: 11750.2803)/2026-02-26 (Price: 48764.9837),39.58%/39.58%/39.58%,"-0.0%, 23.2%",3.5 years/3.5 years/3.5 years,2031-02-25 (Max),7.15%,5.81%,1.34%,1.43,0.34,57087.4264/69090.9822/72148.55/No Horizontal Resistance/50924.8674/68852.5953/No EMA 200 Target,28725.51/32009.8867/39844.8882/32997.1394/47223.8106/45202.6041/46151.46,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),48105.9805
"BNS.TO, Long, 2026-02-26 (Price: 105.06)",No Exit Yet,"0.0%, 0 days","100.0%, Past 194 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 101.58 prior to 2026-03-31,"2026-02-26 (Price: 105.06), 0.0% below",0 days,"2, 2022-03-31 (Price: 95.0)",2025-09-30 (Price: 89.99),2026-01-21 (Price: 102.06),149/36/0 days,16.75% above/2.94% above/0.0% below,2022-03-31 (Price: 95.0)/2026-02-26 (Price: 73.3855),22.63%/5.06%/9.45%,"-0.0%, 41.59%",5.1 years/1.5 year/4.2 years,2033-06-06/2028-04-18/2032-02-25,5.69%,6.38%,-0.69%,0.82,0.34,115.9337/114.9882/111.1/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,60.88/61.8175/95.6649/90.1456/94.2784/86.8354/88.33,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),101.58
"XLU, Long, 2026-02-26 (Price: 47.18)",No Exit Yet,"0.0%, 0 days","81.25%, Past 20 years, 16","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 43.4165 prior to 2026-02-27,"2026-02-26 (Price: 47.18), 0.0% below",0 days,"4, 2020-02-29 (Price: 35.55)",2026-02-26 (Price: 47.18),2026-02-09 (Price: 43.48),0/17/0 days,0.0% below/8.51% above/0.0% below,2020-02-29 (Price: 35.55)/2026-02-26 (Price: 43.2005),13.3%/1.41%/7.12%,"27.25%, 40.67%",3.4 years/5.1 months/1.6 year,2031-01-03/2026-10-05/2028-06-09,2.88%,2.86%,0.02%,-0.05,0.05,50.676/50.5392/54.16/No Horizontal Resistance/60.8844/89.6256/No EMA 200 Target,29.46/29.8725/43.1213/32.1431/42.6874/39.7728/42.95,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),43.3
"XLE, Long, 2026-02-26 (Price: 55.05)",No Exit Yet,"0.0%, 0 days","84.62%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 50.1 prior to 2026-02-27,"2026-02-26 (Price: 55.05), 0.0% below",0 days,"0, 2022-06-30 (Price: 46.655)",2026-01-31 (Price: 51.05),2026-02-03 (Price: 51.67),26/23/0 days,7.84% above/6.54% above/0.0% below,2022-06-30 (Price: 46.655)/2026-02-26 (Price: 46.3737),39.5%/7.86%/23.13%,"28.83%, 62.76%",4.8 years/10.1 months/1.8 year,2033-01-02/2027-05-10/2028-09-21,6.1%,3.44%,2.66%,0.63,0.15,60.1476/67.7831/60.09/No Horizontal Resistance/53.4027/56.9104/No EMA 200 Target,40.25/22.8475/47.8423/43.779/45.4037/38.9348/45.09,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),50.1
"DIA, Long, 2026-02-26 (Price: 494.86)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 19","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 488.87 prior to 2026-02-27,"2026-02-26 (Price: 494.86), 0.0% below",0 days,"0, 2001-05-31 (Price: 113.64)",2026-01-31 (Price: 489.03),2026-02-26 (Price: 494.86),26/0/0 days,1.19% above/0.0% below/0.0% below,2001-05-31 (Price: 113.64)/2026-02-26 (Price: 484.37),12.39%/4.81%/9.01%,"-0.0%, 49.08%",2.6 years/8.1 months/1.4 year,2029-11-12/2027-02-12/2028-02-24,1.42%,4.44%,-3.02%,2.35,0.21,533.855/539.4469/723.59/No Horizontal Resistance/508.5373/687.3389/No EMA 200 Target,406.34/321.6725/398.0316/329.7358/472.4173/452.2096/461.71,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),488.87
