"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"GLD, Long, 2026-01-29 (Price: 495.9)",No Exit Yet,"0.0%, 0 days","85.19%, Past 10 years, 27","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 466.78 prior to 2026-01-30,"2026-01-29 (Price: 495.9), 0.0% below",0 days,"4, 2024-09-15 (Price: 238.68)",2026-01-25 (Price: 458.0),2026-01-29 (Price: 495.9),4/0/0 days,8.28% above/0.0% below/0.0% below,2024-09-15 (Price: 237.9929)/2026-01-29 (Price: 437.2935),8.71%/1.73%/6.03%,"3.13%, 23.93%",10.5 months/28 days/3.3 months,2027-04-30/2026-03-10/2026-06-21,4.9%,5.02%,-0.12%,1.33,0.26,528.3319/525.8028/650.23/No Horizontal Resistance/408.5544/581.2346/No EMA 200 Target,236.59/150.8/288.3021/225.9189/424.7298/372.5123/346.68,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),466.78
"BNS.TO, Long, 2026-01-29 (Price: 103.04)",No Exit Yet,"0.0%, 0 days","92.31%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 101.58 prior to 2026-01-30,"2026-01-29 (Price: 103.04), 0.0% below",0 days,"2, 2024-03-31 (Price: 70.07)",2025-11-30 (Price: 96.94),2026-01-29 (Price: 103.04),60/0/0 days,6.29% above/0.0% below/0.0% below,2024-03-31 (Price: 70.4)/2026-01-29 (Price: 94.2089),24.83%/4.28%/13.54%,"30.99%, 38.87%",2.8 years/6 months/1.2 year,2030-01-26/2026-10-16/2027-10-16,1.95%,4.3%,-2.35%,0.65,0.19,108.4393/116.9916/122.82/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,56.15/62.2517/95.6649/90.1456/92.5303/85.4202/84.9,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),101.58
"BNS.TO, Long, 2026-01-29 (Price: 103.04)",No Exit Yet,"0.0%, 0 days","100.0%, Past 193 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 101.58 prior to 2026-03-31,"2026-01-29 (Price: 103.04), 0.0% below",0 days,"2, 2022-03-31 (Price: 89.6)",2025-09-30 (Price: 89.99),2026-01-29 (Price: 103.04),121/0/0 days,14.5% above/0.0% below/0.0% below,2022-03-31 (Price: 95.0)/2026-01-29 (Price: 73.3855),22.63%/5.06%/9.45%,"0%, 41.59%",5.1 years/1.5 year/4.2 years,2033-05-09/2028-03-21/2032-01-28,6.77%,6.25%,0.52%,1.08,0.33,116.3631/112.7773/111.1/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,60.88/62.2517/95.6649/90.1456/92.5303/85.4202/84.9,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),101.58
"ACWX, Long, 2026-01-29 (Price: 71.93)",No Exit Yet,"0.0%, 0 days","90.0%, Past 20 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 68.01 prior to 2026-01-30,"2026-01-29 (Price: 71.93), 0.0% below",0 days,"2, 2023-07-31 (Price: 51.15)",2025-11-30 (Price: 66.49),2026-01-29 (Price: 71.93),60/0/0 days,8.18% above/0.0% below/0.0% below,2023-07-31 (Price: 51.3)/2026-01-29 (Price: 65.5714),15.1%/1.97%/6.76%,"10.07%, 26.55%",3.3 years/4.1 months/1.4 year,2030-10-15/2026-07-24/2028-01-27,1.22%,0.78%,0.44%,0.41,-0.09,76.9435/76.7925/84.4/No Horizontal Resistance/67.4663/76.2652/No EMA 200 Target,52.16/45.07/60.1332/51.8814/64.3992/59.5254/63.37,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),68.01
"TSM, Long, 2026-01-29 (Price: 339.55)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 311.98 prior to 2026-01-30,"2026-01-29 (Price: 339.55), 0.0% below",0 days,"2, 2024-07-31 (Price: 165.8)",2025-12-31 (Price: 303.89),2026-01-29 (Price: 339.55),29/0/0 days,11.73% above/0.0% below/0.0% below,2024-07-31 (Price: 194.3583)/2026-01-29 (Price: 293.1483),62.44%/8.11%/32.4%,"-0.0%, 49.81%",1 year/5 months/8.7 months,2027-07-04/2026-09-03/2027-02-11,9.53%,10.44%,-0.91%,1.24,0.51,455.3026/449.5642/443.8/No Horizontal Resistance/360.6179/384.2031/No EMA 200 Target,166.0/83.575/291.0528/242.5186/282.2665/239.8242/253.95,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),311.98
"ASML, Long, 2026-01-29 (Price: 1455.16)",No Exit Yet,"0.0%, 0 days","92.86%, Past 10 years, 28","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 1385.87 prior to 2026-01-30,"2026-01-29 (Price: 1455.16), 0.0% below",0 days,"2, 2025-07-20 (Price: 734.58)",2026-01-18 (Price: 1358.5699),2026-01-29 (Price: 1455.16),11/0/0 days,7.11% above/0.0% below/0.0% below,2025-07-20 (Price: 838.5197)/2026-01-29 (Price: 1290.8753),26.23%/2.69%/12.25%,"25.72%, 56.36%",8.9 months/1.2 month/3.5 months,2027-02-19/2026-03-22/2026-06-30,11.7%,15.27%,-3.57%,1.0,0.74,1610.2801/1633.4171/1887.51/No Horizontal Resistance/1081.4334/1218.8523/No EMA 200 Target,689.82/576.784/998.2461/956.961/1276.9981/1143.9615/904.18,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),1385.87
"^BVSP, Long, 2026-01-29 (Price: 183133.75)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 27","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 178859.0 prior to 2026-01-30,"2026-01-29 (Price: 183133.75), 0.0% below",0 days,"2, 2025-05-25 (Price: 137824.0)",2026-01-25 (Price: 178859.0),2026-01-29 (Price: 183133.75),4/0/0 days,2.39% above/0.0% below/0.0% below,2025-05-25 (Price: 137058.4603)/2026-01-29 (Price: 167924.5662),10.65%/0.93%/5.61%,"-0.0%, 43.39%",1.1 year/28 days/3.4 months,2027-08-25/2026-03-10/2026-06-25,7.52%,4.03%,3.49%,2.1,0.18,191631.156/193407.5534/210319.6/No Horizontal Resistance/166057.916/178771.431/No EMA 200 Target,132437.0/96132.0/151418.724/142375.45/170307.301/160387.1315/145467.51,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),178859.0
"^BVSP, Long, 2026-01-29 (Price: 183133.75)",No Exit Yet,"0.0%, 0 days","88.89%, Past 20 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 161124.0 prior to 2026-01-30,"2026-01-29 (Price: 183133.75), 0.0% below",0 days,"4, 2022-09-30 (Price: 110037.0)",2025-11-30 (Price: 159072.0),2026-01-29 (Price: 183133.75),60/0/0 days,15.13% above/0.0% below/0.0% below,2022-09-30 (Price: 118704.842)/2026-01-29 (Price: 152013.9293),14.35%/2.63%/9.45%,"18.7%, 34.07%",3.3 years/8.1 months/1.9 year,2030-10-15/2027-01-15/2028-10-15,6.15%,6.78%,-0.63%,0.48,0.36,202619.181/200439.8894/226991.8/No Horizontal Resistance/166057.916/178771.431/No EMA 200 Target,120283.0/96132.0/151418.724/142375.45/170307.301/160387.1315/145467.51,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),161124.0
"GS, Long, 2026-01-29 (Price: 940.12)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 884.0 prior to 2026-01-30,"2026-01-29 (Price: 940.12), 0.0% below",0 days,"2, 2023-07-31 (Price: 355.87)",2025-12-31 (Price: 879.0),2026-01-29 (Price: 940.12),29/0/0 days,6.95% above/0.0% below/0.0% below,2023-07-31 (Price: 351.8948)/2026-01-29 (Price: 831.3002),53.25%/7.0%/28.8%,"-0.0%, 34.98%",2.5 years/4 months/1.1 year,2029-08-24/2026-07-21/2027-08-25,10.95%,5.86%,5.09%,1.01,0.3,1132.8446/1210.8746/1290.67/No Horizontal Resistance/916.0326/973.4919/No EMA 200 Target,303.61/288.555/818.1554/728.9736/782.6791/658.5293/744.75,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),884.0
"BTI, Long, 2026-01-29 (Price: 60.22)",No Exit Yet,"0.0%, 0 days","95.45%, Past 10 years, 22","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 59.3 prior to 2026-01-30,"2026-01-29 (Price: 60.22), 0.0% below",0 days,"2, 2025-08-17 (Price: 57.15)",2026-01-29 (Price: 60.22),2026-01-29 (Price: 60.22),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-08-17 (Price: 59.3094)/2026-01-29 (Price: 58.8444),17.36%/1.81%/8.82%,"38.64%, 57.11%",10.7 months/1.2 month/3.4 months,2027-05-08/2026-03-22/2026-06-25,-1.73%,1.97%,-3.7%,0.5,0.04,64.2367/65.5314/62.06/No Horizontal Resistance/77.6843/86.2499/No EMA 200 Target,55.19/28.5067/53.9498/50.4772/58.9758/No support/52.16,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),59.3
