"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"CVS, Long, 2025-12-19 (Price: 77.72)",No Exit Yet,"0.0%, 0 days","90.91%, Past 20 years, 11","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 77.72), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 75.3098),3.2% above,"2024-12-29 (Price: 43.56), 2025-11-02 (Price: 85.15)",19.47%/0.13%/12.94%,"6.64%, 50.05%",6.2 years/2.1 months/2.3 years,2034-10-25/2026-03-20/2029-03-30,4.71%,3.7%,1.01%,0.98,0.17,78.6837/87.777/102.67/106.045/119.2488/124.7126/No EMA 200 Target,75.63/58.425/74.001/62.2235/No support/No support/70.39,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets),77.72
"TSM, Long, 2025-12-19 (Price: 288.95)",No Exit Yet,"0.0%, 0 days","95.0%, Past 5 years, 20","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 288.95), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 271.4559),6.44% above,"2025-04-07 (Price: 134.25), 2025-12-10 (Price: 313.98)",13.85%/10.09%/11.5%,"1.02%, 51.98%",2.1 years/16 days/3.8 months,2028-12-18/2026-01-11/2026-06-02,37.14%,15.53%,21.61%,2.66,0.73,315.2733/322.1792/396.79/No Horizontal Resistance/360.6179/384.2031/No EMA 200 Target,276.96/83.575/242.5186/188.2216/271.4559/245.3231/233.86,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),288.95
"ASML, Long, 2025-12-19 (Price: 1056.02)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 16","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 1056.02), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1033.3004),2.2% above,"2025-08-01 (Price: 683.48), 2025-12-03 (Price: 1141.72)",15.95%/4.96%/10.87%,"-0.0%, 53.28%",2.2 years/13 days/6.5 months,2029-02-08/2026-01-06/2026-09-27,24.72%,12.44%,12.28%,3.0,0.59,1150.0058/1170.8094/1330.96/No Horizontal Resistance/1081.4334/1218.8523/No EMA 200 Target,1015.43/561.385/998.2461/956.961/967.6107/946.9797/830.76,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),1056.02
"PLTR, Long, 2025-12-19 (Price: 193.38)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 18","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 193.38), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 174.0648),11.1% above,"2025-04-07 (Price: 66.12), 2025-11-03 (Price: 207.52)",33.44%/10.15%/15.79%,"0%, 74.37%",2.3 years/10 days/3.4 months,2029-03-30/2026-01-02/2026-05-15,47.99%,28.98%,19.01%,2.63,1.12,211.4224/223.9147/278.22/No Horizontal Resistance/268.2554/419.5225/No EMA 200 Target,177.29/7.205/174.7671/116.9882/159.8214/130.5088/146.93,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),193.38
"VGT, Long, 2025-12-19 (Price: 755.54)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 15","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 755.54), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 722.7628),4.53% above,"2025-04-07 (Price: 451.0), 2025-10-29 (Price: 806.99)",11.81%/4.8%/9.66%,"0%, 32.02%",2 years/1 month/4.4 months,2028-10-26/2026-01-31/2026-06-28,27.73%,11.82%,15.91%,4.51,0.66,812.6588/828.5252/969.13/No Horizontal Resistance/884.0923/1003.1001/No EMA 200 Target,730.42/311.83/671.1312/639.8848/722.7628/671.0018/668.15,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),755.54
"BIPC.TO, Long, 2025-12-19 (Price: 63.51)",No Exit Yet,"0.0%, 0 days","93.33%, Past 5 years, 15","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 63.51), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 61.5083),3.25% above,"2025-08-01 (Price: 52.64), 2025-10-16 (Price: 66.99)",12.52%/2.79%/9.56%,"2.3%, 18.18%",8.4 months/14 days/2.7 months,2026-12-19/2026-01-08/2026-04-15,22.95%,1.41%,21.54%,1.2,0.05,64.5833/69.5816/72.12/67.0517/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,61.68/44.9667/No F-Stack Support/No F-Stack Support/59.4945/54.8882/56.77,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),63.51
"IBKR, Long, 2025-12-19 (Price: 64.26)",No Exit Yet,"0.0%, 0 days","93.33%, Past 5 years, 15","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 64.26), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 62.1287),3.43% above,"2024-08-05 (Price: 25.9225), 2025-10-10 (Price: 73.35)",16.34%/10.24%/12.37%,"7.97%, 31.97%",1.1 year/28 days/3 months,2027-07-15/2026-01-28/2026-04-28,35.27%,24.2%,11.07%,1.68,1.19,69.4458/72.209/92.72/No Horizontal Resistance/77.1458/95.5947/No EMA 200 Target,62.45/13.0762/52.397/46.0224/63.7606/57.8675/57.56,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),64.26
"NU, Long, 2025-12-19 (Price: 16.34)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 12","Daily, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-19 (Price: 16.34), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 15.5671),4.96% above,"2025-08-14 (Price: 11.89), 2025-12-02 (Price: 17.84)",14.19%/10.08%/11.27%,"0%, 32.54%",9.7 months/3 days/2 months,2027-02-13/2025-12-23/2026-03-15,42.11%,9.45%,32.66%,9.27,0.53,17.742/18.1815/19.91/No Horizontal Resistance/19.3185/24.577/No EMA 200 Target,15.86/5.54/16.0685/No support/15.7508/14.4669/13.68,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),16.34
"AAPL, Long, 2025-12-19 (Price: 273.67)",No Exit Yet,"0.0%, 0 days","100.0%, Past 45 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 169.21 prior to 2025-12-31,"2025-12-19 (Price: 273.67), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 169.2862),61.66% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-05-24/2027-01-18/2027-03-24,12.11%,12.37%,-0.26%,1.91,0.56,392.7438/371.2334/416.31/No Horizontal Resistance/297.1089/321.9834/No EMA 200 Target,23.9/136.57/248.4166/236.3611/260.3676/243.0054/229.91,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets),273.67
"HDB, Long, 2025-12-19 (Price: 35.89)",No Exit Yet,"0.0%, 0 days","88.89%, Past 25 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 33.78 prior to 2025-12-31,"2025-12-19 (Price: 35.89), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 34.562),3.84% above,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",26.63%/20.05%/23.77%,"32.26%, 39.31%",3.3 years/4.1 months/1.4 year,2030-09-04/2026-06-13/2027-12-17,8.78%,11.88%,-3.1%,0.83,0.59,41.6216/44.4211/44.12/39.3812/45.6752/50.9526/35.95,26.75/25.6925/29.7659/26.539/No support/34.266/No EMA 200 Support,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),35.89
