"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Divergence observed with, Signal Type","Divergence Start (Date, Price)","Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"NVDA, Long, 2025-11-10 (Price: 199.05)",No Exit Yet,"0.0%, 0 days","^NDX, Normal Case",2025-11-02 (Price: 188.43),"91.01%, Past 10 years, 89","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 188.43 prior to 2025-11-14,"2025-11-10 (Price: 199.05), 0.0% below",0 days,200.25%/0.47%/39.14%,"45.09%, 51.99%",174 days/44 days/82 days,2026-07-20/2026-01-12/2026-03-08,49.18%,72.17%,-22.99%,0.82,1.91,265.2739/276.9582/271.12/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext,167.02/13.9695/129.8234/89.3715/182.4801/164.2223,183.93/149.85,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"NVDA, Long, 2025-11-09 (Price: 188.15)",No Exit Yet,"5.79%, 0 days","^NDX, Normal Case",2025-10-26 (Price: 176.76),"91.01%, Past 10 years, 89","Weekly, was CONFIRMED on 2025-11-09",Already confirmed,"2025-11-10 (Price: 199.05), 5.79% above",0 days,200.25%/0.47%/39.14%,"45.09%, 51.99%",174 days/44 days/82 days,2026-07-19/2026-01-11/2026-03-07,49.18%,72.17%,-22.99%,0.82,1.91,250.7475/261.7919/239.8943/No Horizontal Resistance/239.8943/283.6698,167.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level,183.93/149.85,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"SPY, Long, 2025-09-07 (Price: 647.24)",2025-11-10 (Price: 681.44) (Today),"5.28%, 45 days","^GSPC, Normal Case",2025-08-17 (Price: 634.66),"90.48%, Past 10 years, 21","Weekly, was CONFIRMED on 2025-09-07",Already confirmed,"2025-11-10 (Price: 681.44), 5.28% above",45 days,10.23%/0.46%/4.63%,"5.53%, 12.25%",124 days/44 days/75 days,2026-03-05/2025-11-09/2025-12-24,8.38%,12.23%,-3.85%,0.78,0.56,701.7376/677.2072/969.1148/No Horizontal Resistance/969.1148/1522.3697,505.28/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level,665.88/611.65,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-08-31 (Price: 951.6)",2025-11-09 (Price: 982.3) (Today),"3.23%, 49 days","^NSEI, Normal Case",2025-05-11 (Price: 943.4),"86.21%, Past 10 years, 29","Weekly, was CONFIRMED on 2025-08-31",Already confirmed,"2025-11-10 (Price: 984.5), 3.46% above",50 days,11.87%/0.05%/6.52%,"1.95%, 12.56%",100 days/44 days/66 days,2026-01-22/2025-11-02/2025-12-04,59.88%,13.58%,46.3%,1.19,0.56,1049.71/1013.6443/1098.0619/No Horizontal Resistance/1098.0619/1305.7899,818.38/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level,975.04/945.74,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"NVDA, Long, 2025-08-24 (Price: 177.99)",2025-10-26 (Price: 186.26),"4.65%, 44 days","^NDX, Normal Case",2020-04-19 (Price: 6.425),"91.01%, Past 10 years, 89","Weekly, was CONFIRMED on 2025-08-24",Already confirmed,"2025-11-10 (Price: 199.05), 11.83% above",55 days,200.25%/0.47%/39.14%,"45.09%, 51.99%",174 days/44 days/82 days,2026-05-03/2025-10-26/2025-12-20,49.18%,72.17%,-22.99%,0.82,1.91,237.2073/247.6553/239.8943/No Horizontal Resistance/239.8943/283.6698,94.31/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level,183.93/149.85,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"SPY, Long, 2025-08-10 (Price: 637.18)",2025-11-10 (Price: 681.44) (Today),"6.95%, 65 days","^GSPC, Normal Case",2020-03-29 (Price: 218.26),"90.48%, Past 10 years, 21","Weekly, was CONFIRMED on 2025-08-10",Already confirmed,"2025-11-10 (Price: 681.44), 6.95% above",65 days,10.23%/0.46%/4.63%,"5.53%, 12.25%",124 days/44 days/75 days,2026-02-05/2025-10-12/2025-11-26,8.38%,12.23%,-3.85%,0.78,0.56,690.8306/666.6814/969.1148/No Horizontal Resistance/969.1148/1522.3697,505.28/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level,665.88/611.65,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"QQQ, Long, 2025-08-10 (Price: 574.55)",2025-11-10 (Price: 623.23) (Today),"8.47%, 65 days","^GSPC, Normal Case",2025-07-27 (Price: 558.61),"85.53%, Past 10 years, 76","Weekly, was CONFIRMED on 2025-08-10",Already confirmed,"2025-11-10 (Price: 623.23), 8.47% above",65 days,44.95%/0.81%/10.36%,"13.49%, 27.25%",149 days/44 days/81 days,2026-03-13/2025-10-12/2025-12-05,23.29%,18.13%,5.16%,0.88,0.81,643.9556/634.0734/610.7303/No Horizontal Resistance/610.7303/836.2536,422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level,602.4/539.83,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"^NDX, Long, 2025-08-10 (Price: 23611.2695)",2025-11-10 (Price: 25611.7363) (Today),"8.47%, 65 days","^GSPC, Normal Case",2025-07-27 (Price: 22953.8496),"85.14%, Past 10 years, 74","Weekly, was CONFIRMED on 2025-08-10",Already confirmed,"2025-11-10 (Price: 25611.7363), 8.47% above",65 days,44.87%/0.79%/10.11%,"13.31%, 27.32%",154 days/44 days/81 days,2026-03-21/2025-10-12/2025-12-05,22.62%,18.15%,4.47%,0.89,0.81,26399.7604/25998.3688/25025.4383/No Horizontal Resistance/25025.4383/33965.62,17397.7/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level,24753.24/22183.01,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"NVDA, Long, 2025-08-03 (Price: 173.72)",2025-10-26 (Price: 186.26),"7.22%, 59 days","^NDX, Normal Case",2025-07-27 (Price: 164.58),"91.01%, Past 10 years, 89","Weekly, was CONFIRMED on 2025-08-03",Already confirmed,"2025-11-10 (Price: 199.05), 14.58% above",70 days,200.25%/0.47%/39.14%,"45.09%, 51.99%",174 days/44 days/82 days,2026-04-12/2025-10-05/2025-11-29,49.18%,72.17%,-22.99%,0.82,1.91,231.5166/241.714/176.5924/No Horizontal Resistance/176.5924/239.8943,94.31/13.9695/152.8996/143.3288/No F-Track Level/No F-Track Level,183.93/149.85,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-08-03 (Price: 1006.1)",2025-11-09 (Price: 982.3) (Today),"-2.37%, 69 days","^NSEI, Normal Case",2025-07-27 (Price: 988.25),"86.21%, Past 10 years, 29","Weekly, was CONFIRMED on 2025-08-03",Already confirmed,"2025-11-10 (Price: 984.5), 2.15% below",70 days,11.87%/0.05%/6.52%,"1.95%, 12.56%",100 days/44 days/66 days,2025-12-25/2025-10-05/2025-11-06,59.88%,13.58%,46.3%,1.19,0.56,1109.8289/1071.6977/1098.0619/No Horizontal Resistance/1098.0619/1305.7899,818.38/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level,975.04/945.74,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
