"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"SOXX, Long, 2025-11-18 (Price: 275.39)",No Exit Yet,"0.0%, 0 days","75.0%, Past 5 years, 8","Daily, is CONFIRMED on 2025-11-18",No Cancellation Possible,"2025-11-18 (Price: 275.39), 0.0% below",0 days,29.3%/10.91%/18.92%,"16.66%, 41.67%",387 days/40 days/121 days,2027-06-01/2026-01-14/2026-05-12,21.14%,22.72%,-1.58%,0.78,0.76,312.5126/327.4938/320.0/No Horizontal Resistance/320.8469/358.5021,271.99/110.475/267.2317/244.4067/261.4833/229.9533,283.4/233.68,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
"^GSPC, Long, 2025-11-18 (Price: 6600.1699)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 6","Daily, is CONFIRMED on 2025-11-18",No Cancellation Possible,"2025-11-18 (Price: 6600.1699), 0.0% below",0 days,14.12%/0.62%/8.77%,"-0.0%, 23.55%",332 days/67 days/162 days,2027-03-13/2026-02-23/2026-07-10,12.91%,14.39%,-1.48%,1.21,0.71,6804.7752/7179.0048/6991.89/No Horizontal Resistance/6878.3796/7229.888,6552.51/4106.4632/6483.7743/5939.2254/6109.0953/5610.5536,6709.46/6154.66,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
"C6L.SI, Long, 2025-11-18 (Price: 6.48)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 7","Daily, is CONFIRMED on 2025-11-18",No Cancellation Possible,"2025-11-18 (Price: 6.48), 0.0% below",0 days,36.19%/0.63%/10.95%,"0%, 17.3%",297 days/41 days/151 days,2027-01-22/2026-01-16/2026-06-24,15.77%,13.91%,1.86%,0.63,0.58,6.5241/7.1896/6.86/6.9575/15.4629/16.7442,6.46/4.7975/No F-Stack Support/No F-Stack Support/7.4334/7.6137,6.58/6.74,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
"SPY, Long, 2025-11-18 (Price: 658.04)",No Exit Yet,"0.0%, 0 days","85.71%, Past 5 years, 7","Daily, is CONFIRMED on 2025-11-18",No Cancellation Possible,"2025-11-18 (Price: 658.04), 0.0% below",0 days,18.45%/0.75%/11.01%,"0.34%, 23.41%",332 days/67 days/153 days,2027-03-13/2026-02-23/2026-06-27,15.81%,14.38%,1.43%,1.03,0.7,684.9538/730.4902/707.72/No Horizontal Resistance/737.061/912.7117,653.02/412.1625/594.461/499.7412/608.8798/559.2126,668.97/613.77,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
"IWM, Long, 2025-11-17 (Price: 232.76)",No Exit Yet,"-0.56%, 1 days","83.33%, Past 5 years, 6","Daily, was CONFIRMED on 2025-11-17",No Cancellation Possible,"2025-11-18 (Price: 231.45), 0.56% below",1 days,13.56%/4.98%/8.95%,"19.19%, 27.36%",255 days/54 days/155 days,2026-11-21/2026-02-03/2026-06-29,5.52%,8.75%,-3.23%,0.38,0.32,248.0058/253.592/250.8/244.72/267.7701/348.4025,214.92/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level,243.06/220.0,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
"IFT.NZ, Long, 2025-11-17 (Price: 11.87)",No Exit Yet,"-2.27%, 1 days","100.0%, Past 5 years, 7","Daily, was CONFIRMED on 2025-11-17",No Cancellation Possible,"2025-11-18 (Price: 11.6), 2.27% below",1 days,23.29%/1.53%/10.55%,"0%, 16.59%",284 days/52 days/127 days,2027-01-02/2026-01-31/2026-05-19,17.59%,17.61%,-0.02%,1.19,0.71,12.3614/13.1223/12.74/11.925/18.927/29.733,11.78/7.3167/8.121/5.57/No F-Track Level/No F-Track Level,12.32/11.3,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
"BN.TO, Long, 2025-11-17 (Price: 60.2)",No Exit Yet,"-1.54%, 1 days","87.5%, Past 1 years, 8","Daily, was CONFIRMED on 2025-11-17",No Cancellation Possible,"2025-11-18 (Price: 59.27), 1.54% below",1 days,25.56%/1.64%/9.89%,"5.79%, 29.07%",160 days/38 days/83 days,2026-07-06/2026-01-11/2026-03-17,15.57%,22.75%,-7.18%,0.9,0.84,68.2066/66.1538/67.18/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext,59.13/25.9995/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,63.64/56.84,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
"EFN.TO, Long, 2025-11-17 (Price: 35.37)",No Exit Yet,"-0.68%, 1 days","81.82%, Past 5 years, 11","Daily, was CONFIRMED on 2025-11-17",No Cancellation Possible,"2025-11-18 (Price: 35.13), 0.68% below",1 days,19.77%/2.75%/10.33%,"6.6%, 17.54%",147 days/25 days/73 days,2026-06-17/2025-12-23/2026-03-02,20.93%,24.1%,-3.17%,0.88,1.02,37.9449/39.0237/38.48/No Horizontal Resistance/45.1741/70.5281,34.92/11.7733/29.5041/111.5522/No F-Track Level/No F-Track Level,36.86/33.3,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
"HOOD, Long, 2025-11-17 (Price: 115.97)",No Exit Yet,"-2.08%, 1 days","80.0%, Past 4 years, 5","Daily, was CONFIRMED on 2025-11-17",No Cancellation Possible,"2025-11-18 (Price: 113.56), 2.08% below",1 days,114.74%/3.97%/51.73%,"72.52%, 81.86%",162 days/62 days/116 days,2026-07-09/2026-02-14/2026-05-04,8.59%,39.13%,-30.54%,0.39,1.06,146.8412/175.9613/161.4/No Horizontal Resistance/164.8517/245.4076,100.82/8.2917/115.0659/84.2959/No F-Track Level/No F-Track Level,132.68/86.57,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
"SONY, Long, 2025-01-14 (Price: 19.88)",2025-11-18 (Price: 28.5155) (Today),"43.44%, 220 days","80.0%, Past 5 years, 5","Daily, was CONFIRMED on 2025-01-14",No Cancellation Possible,"2025-11-18 (Price: 28.5155), 43.44% above",220 days,14.52%/0.39%/9.69%,"9.09%, 50.87%",113 days/18 days/58 days,2025-06-26/2025-02-09/2025-04-08,5.28%,9.83%,-4.55%,0.41,0.36,20.7985/21.8064/21.3/20.0373/33.2191/35.3948,17.53/14.992/16.3295/14.1868/No F-Track Level/No F-Track Level,28.96/26.12,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
"IEI, Long, 2024-04-28 (Price: 113.58)",2025-11-09 (Price: 119.6),"5.3%, 399 days","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2024-04-28",No Cancellation Possible,"2025-11-18 (Price: 119.76), 5.44% above",406 days,8.49%/0.78%/4.64%,"13.25%, 15.73%",894 days/699 days/796 days,2027-11-13/2027-02-04/2027-06-24,0.61%,0.1%,0.51%,-0.12,-1.18,113.9094/118.8501/116.38/133.2183/No Next Fib Ext/No Next Fib Ext,112.09/112.67/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,119.72/118.39,100.0%/5/524 days (Across ALL Assets),80.68%/88/284 days (Across ALL Assets)
