"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"INDA, Long, 2026-02-06 (Price: 53.145)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 4","Weekly, is CONFIRMED on 2026-02-06",No Cancellation Possible,"2026-02-06 (Price: 53.145), 0.0% below",0 days,76.73%/12.39%/34.5%,"0%, 39.17%",5.2 years/6.8 months/2.3 years,2033-07-10/2026-11-28/2029-05-18,11.49%,3.68%,7.81%,1.13,0.14,52.6189/71.48/62.05/55.3975/60.4014/73.8934/53.69,51.24/39.06/52.5567/48.6731/No support/No support/No EMA 200 Support,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets),51.72
"NOVA.F, Long, 2026-02-06 (Price: 39.7)",No Exit Yet,"0.0%, 0 days","75.0%, Past 5 years, 4","Daily, is CONFIRMED on 2026-02-06",No Cancellation Possible,"2026-02-06 (Price: 39.7), 0.0% below",0 days,23.34%/6.4%/15.61%,"46.83%, 59.36%",3.3 months/1.9 month/2.6 months,2026-06-29/2026-04-29/2026-05-29,-4.0%,5.41%,-9.41%,-0.0,0.29,43.2174/45.8972/44.56/126.5/189.8616/No Next Fib Ext/50.48,36.7/No Horizontal Support/36.9076/25.5985/No support/No support/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),37.75
"GS, Long, 2026-02-05 (Price: 890.41)",No Exit Yet,"0.0%, 0 days","77.78%, Past 5 years, 9","Daily, is CONFIRMED on 2026-02-05",No Cancellation Possible,"2026-02-05 (Price: 890.41), 0.0% below",0 days,37.38%/0.34%/16.87%,"10.1%, 31.34%",9.6 months/1.2 month/3.3 months,2027-03-29/2026-03-29/2026-06-28,20.53%,16.43%,4.1%,0.73,0.9,968.677/1040.6222/1004.65/No Horizontal Resistance/1261.1009/1964.4733/No EMA 200 Target,879.0/288.555/858.2074/794.5775/No F-Track Level/No F-Track Level/753.07,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),901.67
"CNR.TO, Long, 2026-02-02 (Price: 130.79)",No Exit Yet,"5.3%, 4 days","70.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-02-02",No Cancellation Possible,"2026-02-06 (Price: 137.72), 5.3% above",4 days,12.68%/3.59%/8.54%,"6.58%, 16.7%",1.5 year/1 month/4.8 months,2028-03-25/2026-03-17/2026-08-29,10.42%,-0.9%,11.32%,0.54,-0.19,136.4924/141.9595/139.23/173.435/218.156/349.4971/135.86,128.08/127.536/86.815/55.8095/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),137.0
"HDB, Long, 2026-01-25 (Price: 32.06)",No Exit Yet,"6.32%, 12 days","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-01-25",No Cancellation Possible,"2026-02-06 (Price: 34.085), 6.32% above",12 days,218.12%/6.34%/64.35%,"0%, 32.59%",6.4 years/1.1 year/2.5 years,2035-03-16/2027-08-21/2029-08-20,16.45%,7.23%,9.22%,0.72,0.37,29.1586/52.6906/40.92/39.3812/40.717/47.4928/36.17,29.16/25.6925/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets),32.18
"USCI, Long, 2025-11-25 (Price: 76.97)",2026-02-02 (Price: 80.53),"4.63%, 2.3 months","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2025-11-25",No Cancellation Possible,"2026-02-06 (Price: 81.59), 6.0% above",2.4 months,30.17%/1.73%/14.57%,"-0.0%, 16.38%",1.6 year/2.6 months/10 months,2028-03-08/2026-03-17/2027-02-02,13.97%,13.72%,0.25%,0.89,0.99,79.4715/88.1845/83.83/No Horizontal Resistance/81.0354/90.2685/No EMA 200 Target,76.9/38.14/75.2881/67.5442/No F-Track Level/No F-Track Level/76.17,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),76.75
"GBPUSD=X, Long, 2025-10-30 (Price: 1.3195)",2026-02-05 (Price: 1.3645),"3.41%, 3.3 months","91.67%, Past 5 years, 12","Daily, was CONFIRMED on 2025-10-30",No Cancellation Possible,"2026-02-06 (Price: 1.3609), 3.14% above",3.3 months,5.08%/0.79%/2.49%,"10.95%, 16.78%",6.9 months/1 month/2.7 months,2026-08-25/2025-12-12/2026-02-24,3.87%,-0.1%,3.97%,0.28,-0.51,1.3417/1.3524/1.35/1.4232/2.4421/3.2078/1.34,No support/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),1.3194
"EURUSD=X, Long, 2025-10-10 (Price: 1.1566)",2026-02-06 (Price: 1.1823) (Today),"2.22%, 4 months","70.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-10-10",No Cancellation Possible,"2026-02-06 (Price: 1.1823), 2.22% above",4 months,4.81%/3.51%/4.02%,"8.62%, 11.16%",1.1 year/1.8 month/5.7 months,2027-05-06/2025-12-27/2026-06-14,0.34%,-0.58%,0.92%,-0.06,-0.67,1.1611/1.2031/1.18/1.2286/1.6296/1.7649/1.16,1.14/1.0256/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),1.1566
"DBC, Long, 2025-08-05 (Price: 21.82)",2026-02-02 (Price: 23.54),"7.88%, 6 months","83.33%, Past 5 years, 6","Daily, was CONFIRMED on 2025-08-05",No Cancellation Possible,"2026-02-06 (Price: 24.05), 10.22% above",6.2 months,26.23%/6.43%/15.25%,"18.84%, 24.85%",3.5 months/2 months/2.6 months,2026-01-04/2025-10-30/2025-11-25,10.2%,6.83%,3.37%,0.41,0.39,24.3991/25.1476/24.77/28.58/60.6441/65.878/22.39,21.8/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets),21.94
"INFY, Long, 2025-03-16 (Price: 18.4)",2026-02-01 (Price: 17.58),"-4.46%, 10.7 months","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2025-03-16",No Cancellation Possible,"2026-02-06 (Price: 16.83), 8.53% below",10.9 months,175.09%/39.66%/107.38%,"10.82%, 34.36%",6.7 years/1.8 year/4.3 years,2034-10-08/2027-10-10/2031-05-06,10.72%,3.02%,7.7%,0.62,0.15,21.4838/38.1579/29.82/23.796/31.8515/41.1179/No EMA 200 Target,16.75/16.315/13.0115/No support/No F-Track Level/No F-Track Level/17.55,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets),19.75
