"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"GNE.NZ, Long, 2025-12-05 (Price: 2.36)",No Exit Yet,"0.42%, 2 days (business days)","92.86%, Past 4 years, 14","Daily, was CONFIRMED on 2025-12-05",Already confirmed,"2025-12-09 (Price: 2.37), 0.42% above",2 days (business days),5.47%/2.27%/3.64%,"7.36%, 7.72%",1.2 month (calendar days)/1 day (business days)/10 days (calendar days),2026-01-27/2025-12-06/2025-12-19,16.24%,-6.13%,22.37%,0.94,-0.41,2.4204/2.4459/2.43/3.575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,2.33/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/2.33,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
"UBER, Long, 2025-11-26 (Price: 85.66)",2025-12-03 (Price: 90.68),"5.86%, 5 days (business days)","100.0%, Past 4 years, 6","Daily, was CONFIRMED on 2025-11-26",Already confirmed,"2025-12-09 (Price: 89.07), 3.98% above",13 days (calendar days),10.1%/3.32%/6.46%,"0%, 11.17%",1.2 month (calendar days)/2 days (business days)/12 days (calendar days),2026-01-17/2025-11-28/2025-12-13,17.83%,20.37%,-2.54%,2.75,0.65,93.5664/91.1936/92.38/No Horizontal Resistance/99.1711/103.8185/87.38,83.36/34.6025/84.8096/75.9736/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
"FSF.NZ, Long, 2025-11-26 (Price: 7.7)",2025-12-02 (Price: 7.821),"1.57%, 4 days (business days)","100.0%, Past 4 years, 9","Daily, was CONFIRMED on 2025-11-26",Already confirmed,"2025-12-09 (Price: 7.93), 2.99% above",13 days (calendar days),6.77%/1.46%/3.63%,"0%, 5.4%",19 days (calendar days)/2 days (business days)/11 days (calendar days),2025-12-23/2025-11-28/2025-12-11,15.05%,19.63%,-4.58%,2.34,0.75,8.4384/7.9795/8.21/No Horizontal Resistance/8.4284/9.7443/No EMA 200 Target,7.2/2.942/6.3611/No support/No F-Track Level/No F-Track Level/6.79,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
"PLTR, Long, 2025-11-24 (Price: 162.25)",2025-12-03 (Price: 176.08),"8.52%, 9 days (calendar days)","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-12-09 (Price: 181.84), 12.07% above",15 days (calendar days),19.0%/3.53%/11.32%,"14.06%, 15.26%",17 days (calendar days)/1 day (business days)/5 days (business days),2025-12-18/2025-11-25/2025-12-01,20.7%,64.21%,-43.51%,0.68,1.53,206.4469/180.6167/193.53/No Horizontal Resistance/232.7649/248.6965/No EMA 200 Target,154.85/7.205/156.1054/148.2704/No F-Track Level/No F-Track Level/142.93,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
"IBKR, Long, 2025-11-24 (Price: 62.43)",2025-12-04 (Price: 65.95),"5.64%, 10 days (calendar days)","100.0%, Past 4 years, 7","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-12-09 (Price: 65.56), 5.01% above",15 days (calendar days),7.8%/2.46%/4.71%,"0%, 19.81%",1.4 month (calendar days)/2 days (business days)/11 days (calendar days),2026-01-22/2025-11-26/2025-12-09,15.06%,38.45%,-23.39%,2.14,1.27,66.3943/65.3705/65.88/No Horizontal Resistance/102.297/159.1852/No EMA 200 Target,61.05/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/57.08,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
"COIN, Long, 2025-11-24 (Price: 255.97)",2025-12-03 (Price: 276.92),"8.18%, 9 days (calendar days)","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-12-09 (Price: 277.36), 8.36% above",15 days (calendar days),19.07%/7.08%/10.13%,"27.31%, 39.8%",1.9 month (calendar days)/1 day (business days)/15 days (calendar days),2026-02-16/2025-11-25/2025-12-15,11.79%,-0.05%,11.84%,0.3,0.5,263.1628/281.8998/272.53/289.6467/466.299/494.3788/282.43,238.16/86.505/234.936/157.903/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
"ORCL, Long, 2025-11-24 (Price: 200.28)",2025-12-04 (Price: 214.33),"7.02%, 10 days (calendar days)","71.43%, Past 4 years, 7","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-12-09 (Price: 221.53), 10.61% above",15 days (calendar days),4.11%/1.84%/3.09%,"17.33%, 17.33%",20 days (calendar days)/3 days (business days)/7 days (business days),2025-12-22/2025-11-28/2025-12-04,-5.14%,28.08%,-33.22%,-0.21,0.86,225.9759/206.4687/216.22/No Horizontal Resistance/300.069/376.1425/212.4,198.76/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
"ARM, Long, 2025-11-18 (Price: 136.04)",2025-12-05 (Price: 141.31),"3.87%, 17 days (calendar days)","80.0%, Past 2 years, 5","Daily, was CONFIRMED on 2025-11-18",Already confirmed,"2025-12-09 (Price: 141.93), 4.33% above",21 days (calendar days),13.24%/7.69%/10.84%,"19.77%, 19.77%",25 days (calendar days)/3 days (business days)/10 days (calendar days),2025-12-24/2025-11-22/2025-12-02,19.42%,56.91%,-37.49%,0.35,1.37,139.9035/150.7867/145.35/165.49/209.6611/292.8214/137.78,131.42/No Horizontal Support/122.7432/102.2246/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
"TRI.TO, Long, 2025-11-12 (Price: 193.75)",2025-12-08 (Price: 179.74),"-7.23%, 26 days (calendar days)","80.0%, Past 4 years, 10","Daily, was CONFIRMED on 2025-11-12",Already confirmed,"2025-12-09 (Price: 178.26), 7.99% below",27 days (calendar days),4.82%/1.26%/2.7%,"8.44%, 8.44%",14 days (calendar days)/1 day (business days)/5 days (business days),2025-12-02/2025-11-13/2025-11-19,6.54%,8.52%,-1.98%,0.2,0.33,201.5775/198.9812/200.28/240.8933/293.2329/455.2123/242.34,190.0/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
"META, Long, 2025-11-10 (Price: 631.76)",2025-12-04 (Price: 661.53),"4.71%, 24 days (calendar days)","75.0%, Past 4 years, 8","Daily, was CONFIRMED on 2025-11-10",Already confirmed,"2025-12-09 (Price: 656.96), 3.99% above",29 days (calendar days),14.76%/3.27%/8.73%,"19.19%, 19.41%",17 days (calendar days)/1 day (business days)/7 days (business days),2025-12-04/2025-11-11/2025-11-20,6.71%,17.48%,-10.77%,0.15,0.58,698.2212/686.9126/692.57/No Horizontal Resistance/842.484/1305.5879/671.33,618.94/280.19/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
"TRI.TO, Long, 2025-10-19 (Price: 222.18)",2025-12-09 (Price: 178.26) (Today),"-19.77%, 1 day (business days)","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2025-10-19",Already confirmed,"2025-12-09 (Price: 178.26), 19.77% below",1 day (business days),8.09%/4.44%/5.83%,"0%, 11.31%",1.0 year (calendar days)/9 days (calendar days)/3.2 months (calendar days),2027-04-06/2025-11-01/2026-03-08,6.48%,10.95%,-4.47%,3.36,0.47,243.3538/235.1331/239.24/240.8933/293.2329/316.3836/242.34,212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,96.88%/32/2 days (business days) (Across ALL Assets),88.57%/105/2 days (business days) (Across ALL Assets)
"TCS.NS, Long, 2025-10-12 (Price: 3028.3)",2025-12-07 (Price: 3238.2),"6.93%, 1 day (business days)","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2025-10-12",Already confirmed,"2025-12-09 (Price: 3208.3), 5.94% above",1 day (business days),14.06%/3.68%/8.87%,"14.47%, 16.73%",19 days (calendar days)/14 days (calendar days)/16 days (calendar days),2025-11-08/2025-11-01/2025-11-04,4.81%,11.95%,-7.14%,0.07,0.46,3172.7499/3296.9102/3234.83/4543.575/5637.7577/6110.9256/3272.98,2899.1/2937.675/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,96.88%/32/2 days (business days) (Across ALL Assets),88.57%/105/2 days (business days) (Across ALL Assets)
