"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"BRK-B, Long, 2025-11-14 (Price: 508.94)",No Exit Yet,"0.0%, 0 days","96.77%, Past 10 years, 31","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-14 (Price: 508.94), 0.0% below",0 days,"2, 2025-04-06 (Price: 493.54)",2025-11-14 (Price: 508.94),2025-11-14 (Price: 508.94),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-04-06 (Price: 542.8072)/2025-11-14 (Price: 495.9973),11.6%/2.26%/5.43%,"13.62%, 25.57%",209 days/24 days/60 days,2026-09-12/2025-12-18/2026-02-08,16.54%,12.36%,4.19%,0.91,0.56,531.5878/536.5754/518.18/No Horizontal Resistance/537.7909/627.804,477.54/268.082/475.0642/401.0818/475.2967/434.262,493.55/496.0,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"^BVSP, Long, 2025-11-14 (Price: 157738.6875)",No Exit Yet,"0.0%, 0 days","94.44%, Past 10 years, 36","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-14 (Price: 157738.6875), 0.0% below",0 days,"2, 2025-03-09 (Price: 125035.0)",2025-11-09 (Price: 154064.0),2025-11-14 (Price: 157738.6875),4/0/0 days,2.39% above/0.0% below/0.0% below,2025-03-09 (Price: 133240.6247)/2025-11-14 (Price: 150914.5932),11.93%/0.93%/6.26%,"15.17%, 43.39%",289 days/19 days/71 days,2027-01-06/2025-12-11/2026-02-24,10.24%,5.05%,5.2%,0.76,0.14,161839.8934/167613.1293/177360.9/No Horizontal Resistance/151418.724/166057.916,132437.0/96132.0/142375.45/127884.805/148945.2696/143093.792,146520.85/136771.08,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"BPCL.NS, Long, 2025-11-14 (Price: 371.15)",No Exit Yet,"0.0%, 0 days","81.25%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-14 (Price: 371.15), 0.0% below",0 days,"0, 2021-07-25 (Price: 230.675)",2025-11-02 (Price: 356.8),2025-11-14 (Price: 371.15),9/0/0 days,4.02% above/0.0% below/0.0% below,2021-07-25 (Price: 448.4362)/2025-11-14 (Price: 350.8425),29.59%/1.78%/11.46%,"32.02%, 47.09%",174 days/19 days/61 days,2026-07-24/2025-12-11/2026-02-10,12.02%,12.45%,-0.44%,0.38,0.44,389.5219/413.6838/455.43/No Horizontal Resistance/382.1589/420.2463,308.2/145.35/348.542/313.3339/345.4588/324.2318,340.26/310.9,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-11-14 (Price: 989.6)",No Exit Yet,"0.0%, 0 days","90.0%, Past 20 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 985.0 prior to 2025-11-28,"2025-11-14 (Price: 989.6), 0.0% below",0 days,"0, 2020-11-30 (Price: 720.425)",2025-11-14 (Price: 989.6),2025-11-14 (Price: 989.6),0/0/0 days,0.0% below/0.0% below/0.0% below,2020-11-30 (Price: 763.4559)/2025-11-14 (Price: 979.6324),54.15%/5.97%/24.32%,"11.13%, 17.76%",282 days/107 days/199 days,2026-12-27/2026-04-17/2026-08-29,15.97%,19.29%,-3.32%,0.9,0.75,1114.3886/1230.2707/1151.11/1004.15/1299.7536/1565.406,701.7/640.9/976.4995/762.8018/940.3577/891.107,978.16/948.97,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"SOXX, Long, 2025-11-14 (Price: 288.52)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-11-14 (Price: 288.52), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-09-30 (Price: 271.12),2025-11-14 (Price: 288.52),33/0/0 days,6.42% above/0.0% below/0.0% below,2015-06-30 (Price: 22.1158)/2025-11-14 (Price: 264.9375),74.51%/31.99%/42.95%,"-0.0%, 41.23%",847 days/324 days/400 days,2029-03-24/2027-02-26/2027-06-16,17.9%,12.73%,5.17%,1.39,0.46,349.9171/412.4393/443.21/No Horizontal Resistance/320.8469/358.5021,106.24/110.475/267.2317/244.4067/273.874/249.9586,282.18/233.04,86.67%/15/609 days (Across ALL Assets),100.0%/1/155 days (Across ALL Assets)
"BPCL.NS, Long, 2025-11-14 (Price: 371.15)",No Exit Yet,"0.0%, 0 days","80.0%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 361.95 prior to 2025-11-28,"2025-11-14 (Price: 371.15), 0.0% below",0 days,"2, 2024-09-30 (Price: 369.95)",2025-10-31 (Price: 356.8),2025-11-14 (Price: 371.15),10/0/0 days,4.02% above/0.0% below/0.0% below,2024-09-30 (Price: 376.0)/2025-11-14 (Price: 351.71),68.45%/6.21%/39.66%,"24.6%, 57.26%",630 days/109 days/256 days,2028-05-14/2026-04-20/2026-11-19,11.71%,15.65%,-3.93%,0.73,0.53,424.8183/518.3481/371.87/No Horizontal Resistance/382.1589/420.2463,237.3/145.35/348.542/313.3339/345.4588/324.2318,340.26/310.9,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"CSCO, Long, 2025-11-14 (Price: 78.0)",No Exit Yet,"0.0%, 0 days","81.82%, Past 20 years, 11","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 74.61 prior to 2025-11-28,"2025-11-14 (Price: 78.0), 0.0% below",0 days,"0, 2020-11-30 (Price: 43.02)",2025-10-31 (Price: 73.11),2025-11-14 (Price: 78.0),10/0/0 days,6.69% above/0.0% below/0.0% below,2020-11-30 (Price: 63.5339)/2025-11-14 (Price: 67.0234),25.25%/6.97%/16.78%,"26.7%, 42.44%",347 days/107 days/197 days,2027-03-31/2026-04-17/2026-08-26,6.7%,1.67%,5.03%,0.55,0.08,84.942/91.0884/98.99/No Horizontal Resistance/81.4336/89.7071,46.5/40.92/73.1467/64.9561/68.3561/61.5078,69.87/65.37,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"DIA, Long, 2025-11-14 (Price: 471.8)",No Exit Yet,"0.0%, 0 days","100.0%, Past 27 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 462.57 prior to 2025-12-31,"2025-11-14 (Price: 471.8), 0.0% below",0 days,"4, 2010-12-31 (Price: 115.63)",2025-09-30 (Price: 463.74),2025-11-14 (Price: 471.8),33/0/0 days,1.74% above/0.0% below/0.0% below,2010-12-31 (Price: 102.8559)/2025-11-14 (Price: 447.0827),39.44%/24.26%/29.32%,"-0.0%, 23.1%",912 days/325 days/520 days,2029-06-26/2027-02-27/2027-12-07,13.89%,6.15%,7.74%,1.37,0.2,501.1931/610.1318/685.5/No Horizontal Resistance/538.1343/826.9871,287.3/321.6725/359.6128/249.2814/456.4623/439.2934,466.3/438.73,86.67%/15/609 days (Across ALL Assets),100.0%/1/155 days (Across ALL Assets)
"BDGI.TO, Long, 2025-11-14 (Price: 71.55)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 61.31 prior to 2025-12-31,"2025-11-14 (Price: 71.55), 0.0% below",0 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-11-14 (Price: 71.55),33/0/0 days,16.57% above/0.0% below/0.0% below,2018-06-30 (Price: 49.0339)/2025-11-14 (Price: 52.2506),227.42%/21.67%/123.16%,"-0.0%, 36.34%",457 days/325 days/413 days,2027-09-06/2027-02-27/2027-07-05,41.42%,12.22%,29.2%,1.0,0.42,117.1703/159.671/95.48/No Horizontal Resistance/87.1484/97.3919,26.66/24.32/66.9303/63.4408/66.2172/60.0086,65.59/50.11,86.67%/15/609 days (Across ALL Assets),100.0%/1/155 days (Across ALL Assets)
"NA.TO, Long, 2025-11-14 (Price: 161.8)",No Exit Yet,"0.0%, 0 days","93.33%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 157.19 prior to 2025-11-28,"2025-11-14 (Price: 161.8), 0.0% below",0 days,"0, 2020-11-30 (Price: 71.94)",2025-10-31 (Price: 156.7),2025-11-14 (Price: 161.8),10/0/0 days,3.25% above/0.0% below/0.0% below,2020-11-30 (Price: 94.7324)/2025-11-14 (Price: 151.5703),28.7%/1.41%/17.14%,"5.23%, 30.62%",694 days/108 days/223 days,2028-08-15/2026-04-19/2026-10-02,11.63%,10.7%,0.94%,1.75,0.45,171.6374/189.5325/215.72/No Horizontal Resistance/162.0277/185.717,118.77/82.9367/152.3147/143.1328/150.0082/141.7539,152.79/136.16,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
