"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"IHI, Long, 2026-04-05 (Price: 53.24)",No Exit Yet,"2.08%, 9 days","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-14 (Price: 54.35), 2.08% above",9 days,12.18%/4.5%/7.68%,"-0.0%, 14.78%",1.2 year/7 days/4.3 months,2027-12-21/2026-04-15/2026-10-08,7.94%,7.68%,0.26%,0.58,0.47,59.1922/57.3288/58.26/65.682/68.9264/76.3906/60.28,53.18/46.725/46.1919/36.8936/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),53.29
"XLY, Long, 2026-04-05 (Price: 108.15)",2026-04-12 (Price: 112.89),"4.38%, 7 days","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-14 (Price: 116.44), 7.67% above",9 days,15.44%/7.22%/11.12%,"-0.0%, 11.49%",2.6 months/7 days/1.1 month,2026-07-26/2026-04-15/2026-05-22,9.08%,8.34%,0.74%,1.51,0.5,127.8549/120.1763/124.02/122.0862/125.4815/133.9156/116.3,105.68/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),106.61
"INDA, Long, 2026-04-05 (Price: 46.65)",2026-04-12 (Price: 49.34),"5.77%, 7 days","100.0%, Past 14 years, 8","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-14 (Price: 49.7), 6.54% above",9 days,14.81%/5.57%/7.71%,"-0.0%, 6.26%",3 months/7 days/1.4 month,2026-08-13/2026-04-15/2026-06-04,7.44%,2.85%,4.59%,2.0,0.08,52.2946/50.2467/51.27/55.3975/66.8401/79.771/52.71,45.82/39.0425/45.3705/38.12/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),45.42
"MFT.NZ, Long, 2026-04-05 (Price: 58.99)",No Exit Yet,"-1.34%, 9 days","88.89%, Past 15 years, 9","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-14 (Price: 58.2), 1.34% below",9 days,13.39%/6.64%/8.98%,"14.48%, 14.87%",21 days/7 days/12 days,2026-05-05/2026-04-15/2026-04-22,11.35%,8.97%,2.38%,2.22,0.51,65.4258/64.2873/64.86/85.45/105.252/119.9356/63.71,58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),59.01
"EMAMILTD.NS, Long, 2026-04-05 (Price: 398.3)",2026-04-12 (Price: 424.15),"6.49%, 7 days","87.5%, Past 15 years, 8","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-14 (Price: 423.95), 6.44% above",9 days,26.55%/6.51%/10.95%,"17.56%, 19.61%",4.7 months/7 days/1.3 month,2026-10-26/2026-04-15/2026-05-31,8.05%,5.09%,2.96%,0.59,0.26,501.9377/441.9138/471.93/634.8/949.731/1026.7499/528.0,393.1/No Horizontal Support/381.1799/329.2417/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),391.7
"NZDUSD=X, Long, 2026-04-01 (Price: 0.5755)",2026-04-09 (Price: 0.5867),"1.95%, 8 days","77.78%, Past 4 years, 18","Daily, was CONFIRMED on 2026-04-01",Already confirmed,"2026-04-14 (Price: 0.5872), 2.03% above",13 days,2.12%/0.9%/1.29%,"4.65%, 5.12%",2.6 months/1 day/21 days,2026-07-22/2026-04-02/2026-05-01,3.88%,-2.92%,6.8%,-0.22,-0.78,0.5868/0.5829/0.58/0.7234/No Next Fib Ext/No Next Fib Ext/0.58,0.57/0.5528/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),0.5753
"BAC, Long, 2026-03-29 (Price: 46.97)",2026-04-12 (Price: 52.54),"11.86%, 14 days","87.5%, Past 15 years, 8","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-14 (Price: 53.35), 13.58% above",16 days,26.29%/6.58%/14.47%,"25.71%, 33.38%",6.8 months/8 days/1.8 month,2027-01-18/2026-04-09/2026-06-15,7.84%,6.3%,1.54%,0.59,0.32,52.597/53.7666/53.18/48.7833/72.41/85.2389/51.05,46.72/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),48.34
"JETS, Long, 2026-03-29 (Price: 24.13)",2026-04-14 (Price: 26.95),"11.69%, 16 days","100.0%, Past 10 years, 6","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-14 (Price: 26.95), 11.69% above",16 days,29.2%/7.1%/13.22%,"-0.0%, 22.83%",2.3 months/7 days/29 days,2026-07-06/2026-04-08/2026-05-10,10.0%,0.03%,9.97%,1.29,0.05,26.0459/27.32/26.68/27.1773/No Next Fib Ext/No Next Fib Ext/26.18,24.05/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),25.2
"EFN.TO, Long, 2026-03-29 (Price: 30.11)",2026-04-12 (Price: 32.09),"6.58%, 14 days","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-14 (Price: 33.01), 9.63% above",16 days,22.27%/10.41%/15.26%,"43.16%, 45.87%",2.6 months/7 days/1.1 month,2026-07-19/2026-04-08/2026-05-15,2.35%,9.68%,-7.33%,-0.15,0.49,33.952/34.7048/34.33/34.925/45.1741/70.5281/35.26,27.54/12.67/29.5041/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),30.73
"BABA, Long, 2026-03-24 (Price: 125.48)",2026-04-14 (Price: 131.35),"4.68%, 21 days","85.71%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-04-14 (Price: 131.35), 4.68% above",21 days,12.26%/3.97%/6.72%,"17.99%, 17.99%",1.2 month/1 day/13 days,2026-05-15/2026-03-25/2026-04-11,12.35%,-8.19%,20.54%,1.04,-0.08,137.3755/133.9123/135.64/181.595/395.5515/453.696/146.66,122.41/67.495/108.0763/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),124.36
"XLY, Long, 2026-03-23 (Price: 110.12)",2026-04-13 (Price: 113.92),"3.45%, 21 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-23",Already confirmed,"2026-04-14 (Price: 116.44), 5.74% above",22 days,8.7%/2.16%/4.06%,"15.04%, 17.25%",16 days/2 days/7 days,2026-04-15/2026-03-25/2026-04-02,4.47%,3.25%,1.22%,0.56,0.13,115.3177/114.5909/114.95/122.0862/125.4815/133.9156/116.3,107.74/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),109.78
"AAPL, Long, 2026-03-17 (Price: 254.23)",2026-04-09 (Price: 260.49),"2.46%, 23 days","90.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-03-17",Already confirmed,"2026-04-14 (Price: 258.83), 1.81% above",28 days,6.6%/2.84%/3.8%,"4.88%, 13.99%",2.3 months/2 days/18 days,2026-06-24/2026-03-19/2026-04-12,9.59%,10.35%,-0.76%,1.32,0.55,270.7804/263.8907/267.34/284.765/289.238/325.3828/No EMA 200 Target,250.12/136.32/202.8031/187.5583/No F-Track Level/No F-Track Level/251.21,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),253.0785
"EURUSD=X, Long, 2026-03-10 (Price: 1.1617)",2026-04-10 (Price: 1.1729),"0.96%, 1 month","73.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-04-14 (Price: 1.1769), 1.31% above",1.2 month,1.61%/0.52%/0.97%,"2.53%, 3.21%",1.8 month/1 day/15 days,2026-05-27/2026-03-11/2026-03-31,3.62%,-0.39%,4.01%,-0.53,-0.63,1.177/1.173/1.18/1.1998/1.6296/1.7649/1.17,1.15/1.0069/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),1.1617
"UPS, Long, 2026-03-10 (Price: 100.92)",2026-04-14 (Price: 103.22),"2.28%, 1.2 month","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-04-14 (Price: 103.22), 2.28% above",1.2 month,14.23%/2.13%/5.51%,"12.35%, 12.35%",2.8 months/1 day/24 days,2026-07-09/2026-03-11/2026-04-13,6.51%,-7.67%,14.18%,-0.12,-0.41,104.321/106.4807/105.4/221.2667/228.7501/295.6013/No EMA 200 Target,99.94/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/97.13,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),100.225
"ETH-USD, Long, 2026-03-01 (Price: 1939.0667)",2026-04-12 (Price: 2192.2012),"13.05%, 1.4 month","100.0%, Past 10 years, 4","Weekly, was CONFIRMED on 2026-03-01",Already confirmed,"2026-04-14 (Price: 2348.1799), 21.1% above",1.5 month,33.31%/21.78%/26.76%,"-0.0%, 21.37%",1.6 month/14 days/1 month,2026-05-09/2026-03-21/2026-04-13,25.34%,17.52%,7.82%,1.25,0.91,2670.8705/2457.9609/2564.42/4922.7188/4887.278/5344.0381/2910.75,1576.73/1370.4997/1681.3515/1572.5258/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),1958.1396
"ETH-USD, Long, 2026-02-03 (Price: 2227.5588)",2026-04-13 (Price: 2348.1799),"5.41%, 2.3 months","86.67%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-03",Already confirmed,"2026-04-13 (Price: 2348.1799), 5.41% above",2.3 months,18.77%/4.94%/11.02%,"24.06%, 28.71%",1.1 month/1 day/9 days,2026-03-22/2026-02-04/2026-02-16,21.24%,1.2%,20.04%,0.5,0.3,2318.2204/2473.0358/2395.63/4922.7188/4887.278/5344.0381/2910.75,1472.55/1370.4997/1681.3515/1572.5258/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),2344.4458
"SOXX, Short, 2026-04-14 (Price: 401.24)",No Exit Yet,"-0.0%, 0 days","88.89%, Past 4 years, 9","Daily, is CONFIRMED on 2026-04-14",Already confirmed,"2026-04-14 (Price: 401.24), 0.0% below",0 days,4.31%/1.52%/2.87%,"3.28%, 6.71%",20 days/1 day/4 days,2026-05-12/2026-04-15/2026-04-19,8.75%,3.82%,4.93%,-0.42,0.61,No Target/389.7244/399.7/110.475/320.8469/267.2317/297.17,No Recent Maxima/No Horizontal Resistance/No stop loss/458.3574/No stop loss/No stop loss/No EMA 200 Stop Loss,88.24%/34/4 days (Across ALL Assets),66.92%/130/6 days (Across ALL Assets),398.02
"AVGO, Short, 2026-04-14 (Price: 380.78)",No Exit Yet,"-0.0%, 0 days","85.71%, Past 4 years, 7","Daily, is CONFIRMED on 2026-04-14",Already confirmed,"2026-04-14 (Price: 380.78), 0.0% below",0 days,4.38%/1.69%/3.0%,"8.28%, 4.92%",8 days/1 day/4 days,2026-04-25/2026-04-15/2026-04-19,7.84%,3.82%,4.02%,5.09,1.29,379.2188/369.3566/374.29/64.6905/263.5886/180.8638/331.26,412.97/No Horizontal Resistance/614.017/964.4454/No stop loss/No stop loss/No EMA 200 Stop Loss,88.24%/34/4 days (Across ALL Assets),66.92%/130/6 days (Across ALL Assets),377.9
"CNR.TO, Short, 2026-04-13 (Price: 152.89)",No Exit Yet,"-0.86%, 1 day","100.0%, Past 4 years, 6","Daily, was CONFIRMED on 2026-04-13",Already confirmed,"2026-04-14 (Price: 154.21), 0.86% above",1 day,3.03%/0.97%/2.07%,"0%, 5.6%",28 days/2 days/11 days,2026-05-23/2026-04-15/2026-04-28,6.96%,3.82%,3.14%,2.95,-0.13,148.0128/149.7252/148.87/128.224/136.9828/86.815/136.77,154.51/168.08/218.156/349.4971/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.24%/34/4 days (Across ALL Assets),66.92%/130/6 days (Across ALL Assets),151.87
"MX.TO, Short, 2026-04-12 (Price: 82.76)",2026-04-14 (Price: 78.5),"5.15%, 2 days","83.33%, Past 15 years, 6","Weekly, was CONFIRMED on 2026-04-12",Already confirmed,"2026-04-14 (Price: 78.5), 5.15% below",2 days,7.4%/2.52%/4.94%,"13.78%, 12.66%",1.2 month/7 days/17 days,2026-06-03/2026-04-22/2026-05-06,4.0%,4.79%,-0.79%,-0.65,0.3,78.9199/78.6717/78.8/38.425/80.4508/69.4599/57.55,90.57/No Horizontal Resistance/104.8718/111.623/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.67%/12/29 days (Across ALL Assets),70.59%/34/1 month (Across ALL Assets),83.68
"IMO.TO, Short, 2026-04-05 (Price: 181.66)",No Exit Yet,"3.71%, 9 days","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-14 (Price: 174.92), 3.71% below",9 days,4.86%/3.69%/4.33%,"11.16%, 10.25%",2.3 months/21 days/1.4 month,2026-07-13/2026-05-05/2026-06-04,3.57%,4.79%,-1.22%,-0.97,0.31,170.9057/173.7941/172.35/60.8067/143.048/134.0661/134.97,No Recent Maxima/No Horizontal Resistance/188.7349/196.834/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.67%/12/29 days (Across ALL Assets),70.59%/34/1 month (Across ALL Assets),182.88
