Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"ETH-USD, Long, 2025-12-10 (Price: 3350.5095)",No Exit Yet,"0.0%, 0 days","92.86%, Past 4 years, 42","Daily, is CONFIRMED on 2025-12-10",Already confirmed,"2025-12-10 (Price: 3350.5095), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.89% above/0.0% below/0.0% below,39.76%/1.01%/13.37%,"17.31%, 42.86%",3 days/5 days/23 days,2026-04-19/2025-12-17/2026-01-12,60.18%,45.2%,14.98%,0.97,1.15,4083.936/3798.4726/3870.61/4922.7188/5483.4169/7318.9774/3551.12,2800.19/1370.4997/No F-Stack Support/No F-Stack Support/No support/2924.9209/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"BNS.TO, Long, 2025-12-08 (Price: 99.39)",No Exit Yet,"0.81%, 2 days","93.1%, Past 4 years, 29","Daily, is CONFIRMED on 2025-12-08",Already confirmed,"2025-12-10 (Price: 100.2), 0.81% above",2 days,No Information,No Information,No Information,No Information,No Information,0.81% above/0.81% above/0.81% above,4.49%/0.55%/2.32%,"5.65%, 21.81%",3 days/6 days/22 days,2026-04-30/2025-12-16/2026-01-08,6.73%,3.09%,3.64%,0.73,0.12,106.2976/101.6958/105.97/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,88.42/62.2517/92.969/69.3218/No F-Track Level/No F-Track Level/79.2,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2025-12-07 (Price: 311.23)",No Exit Yet,"-0.22%, 3 days","100.0%, Past 10 years, 17","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-10 (Price: 310.53), 0.22% below",3 days,No Information,No Information,No Information,No Information,No Information,0.22% below/0.22% below/0.22% below,10.85%/0.38%/4.66%,"0%, 16.82%",10 days/1 day/4 days,2027-02-27/2026-01-28/2026-06-24,9.08%,6.77%,2.31%,1.49,0.4,333.7008/325.7333/325.49/321.3575/370.0426/590.3302/No EMA 200 Target,297.01/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/305.89,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
FRACTAL TRACK,"IBKR, Long, 2025-12-07 (Price: 64.5)",No Exit Yet,"3.36%, 3 days","100.0%, Past 18 years, 14","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-10 (Price: 66.67), 3.36% above",3 days,No Information,No Information,No Information,"38.2% (Price: 57.8675), 15.21% above, Upmove Bounce Back","2025-04-13 (Price: 32.82), 2025-10-12 (Price: 73.35)",No Information,29.17%/15.14%/18.21%,"0%, 40.57%",2 days/1 day/9 days,2029-08-23/2026-02-14/2027-01-23,15.51%,8.23%,7.28%,4.51,0.42,71.5047/76.2454/88.82/No Horizontal Resistance/81.4292/98.2092/No EMA 200 Target,61.05/13.0762/62.0029/55.579/No F-Track Level/No F-Track Level/57.16,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
TRENDPULSE,"CSCO, Long, 2025-11-30 (Price: 76.94)",No Exit Yet,"4.3%, 10 days","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-10 (Price: 80.25), 4.3% above",10 days,No Information,No Information,No Information,No Information,No Information,9.77% above/3.71% above/4.3% above,25.25%/6.97%/16.52%,"26.7%, 42.44%",1 day/5 days/8 days,2027-10-08/2026-07-05/2026-12-21,3.74%,1.95%,1.79%,0.29,0.11,86.8268/89.6505/97.29/No Horizontal Resistance/78.7458/109.6316/No EMA 200 Target,46.5/40.92/75.1101/68.2017/No F-Track Level/No F-Track Level/66.03,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
FRACTAL TRACK,"TSM, Long, 2025-11-20 (Price: 277.5)",2025-12-10 (Price: 310.14) (Today),"11.76%, 20 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-11-20",Already confirmed,"2025-12-10 (Price: 310.14), 11.76% above",20 days,No Information,No Information,No Information,"23.66% (Price: 269.4634), 15.1% above, Upmove Bounce Back","2025-04-07 (Price: 134.25), 2025-10-16 (Price: 311.37)",No Information,13.85%/10.09%/11.5%,"1.02%, 51.98%",2 days/16 days/3 days,2028-11-19/2025-12-13/2026-05-04,37.14%,15.53%,21.61%,2.66,0.73,302.7802/309.4125/383.77/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,227.33/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/230.1,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
TRENDPULSE,"GDX, Long, 2025-09-21 (Price: 72.36)",2025-12-07 (Price: 81.03),"11.98%, 2 days","100.0%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2025-12-10 (Price: 83.32), 15.15% above",2 days,No Information,No Information,No Information,No Information,No Information,25.6% above/15.15% above/15.15% above,27.5%/0.75%/12.93%,"-0.0%, 52.31%",8 days/28 days/2 days,2026-09-29/2025-10-31/2026-01-20,18.06%,1.41%,16.65%,1.66,0.12,78.6119/81.7161/93.79/No Horizontal Resistance/72.73/90.9746/No EMA 200 Target,34.26/25.645/50.0225/36.1563/No F-Track Level/No F-Track Level/47.97,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"ATM.NZ, Long, 2025-02-28 (Price: 8.84)",2025-12-10 (Price: 10.18) (Today),"15.16%, 9 days","100.0%, Past 20 years, 8","Monthly, is CONFIRMED on 2025-02-28",Already confirmed,"2025-12-10 (Price: 10.18), 15.16% above",9 days,No Information,No Information,No Information,No Information,No Information,58.07% above/15.16% above/15.16% above,102.13%/45.63%/81.61%,"-0.0%, 48.4%",2 days/10 days/1 day,2028-02-28/2026-05-12/2027-06-12,19.84%,13.35%,6.49%,1.36,0.6,12.1833/16.0543/13.32/No Horizontal Resistance/21.86/25.8879/No EMA 200 Target,4.15/5.185/8.6495/8.0201/No F-Track Level/No F-Track Level/6.78,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
FRACTAL TRACK,"NFLX, Short, 2025-12-10 (Price: 92.71)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 23 years, 6","Quarterly, is CONFIRMED on 2025-12-10",No Cancellation Possible,"2025-12-10 (Price: 92.71), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 106.2331), 12.73% below, Upmove Break Below","2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",No Information,53.32%/10.52%/29.48%,"0.0%, 53.32%",3 days/3 days/3 days,2026-04-23/2026-04-19/2026-04-19,11.77%,5.5%,6.27%,1.3,0.88,182.0639/65.3791/22.0/34.8663/77.3488/70.5306/No EMA 200 Target,No support/34.8663/77.3488/70.5306/89.0986/75.193/No support,75.0%/4/0 days (Across ALL Assets),57.14%/14/0 days (Across ALL Assets)
FRACTAL TRACK,"KWEB, Short, 2025-12-10 (Price: 37.19)",No Exit Yet,"-0.0%, 0 days","85.71%, Past 12 years, 7","Monthly, was CONFIRMED on 2025-12-02",No Cancellation Possible,"2025-12-10 (Price: 37.19), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 38.4709), 3.33% below, Upmove Break Below","2024-01-31 (Price: 22.68), 2025-10-31 (Price: 43.365)",No Information,10.4%/3.11%/7.13%,"19.33%, 16.82%",3 days/1 day/1 day,2026-04-23/2026-01-22/2026-02-17,5.83%,5.4%,0.43%,0.25,0.12,34.0512/34.5384/24.78/24.5062/No F-Stack Support/No F-Stack Support/36.4,No support/24.5062/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,85.71%/7/0 days (Across ALL Assets),36.84%/19/0 days (Across ALL Assets)
