"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"UBER, Long, 2025-11-26 (Price: 85.66)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 6","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-11-26 (Price: 85.66), 0.0% below",0 days,10.1%/3.32%/6.46%,"0%, 11.17%",1.2 month/2 days/12 days,2026-01-17/2025-11-28/2025-12-13,17.83%,20.37%,-2.54%,2.75,0.65,93.5664/91.1936/92.38/No Horizontal Resistance/99.1711/103.8185/86.99,83.36/34.6025/84.8096/75.9736/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"MSFT, Long, 2025-11-26 (Price: 485.5)",No Exit Yet,"0.0%, 0 days","70.0%, Past 4 years, 10","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-11-26 (Price: 485.5), 0.0% below",0 days,5.23%/2.02%/3.68%,"8.2%, 14.53%",1.7 month/1 day/10 days,2026-02-07/2025-11-27/2025-12-10,5.17%,11.14%,-5.97%,0.07,0.41,512.7365/503.3664/508.05/No Horizontal Resistance/553.3726/615.9924/No Moving Avg Target,472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/467.58,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"FSF.NZ, Long, 2025-11-26 (Price: 7.7)",No Exit Yet,"0.0%, 1 day","100.0%, Past 4 years, 9","Daily, was CONFIRMED on 2025-11-26",Already confirmed,"2025-11-27 (Price: 7.7), 0.0% below",1 day,6.77%/1.46%/3.63%,"0%, 5.4%",19 days/2 days/11 days,2025-12-23/2025-11-28/2025-12-11,15.05%,19.63%,-4.58%,2.34,0.75,8.4384/7.9795/8.21/No Horizontal Resistance/8.4284/9.7443/No Moving Avg Target,7.2/2.942/6.3611/37.689/No F-Track Level/No F-Track Level/6.68,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"PLTR, Long, 2025-11-24 (Price: 162.25)",No Exit Yet,"2.17%, 2 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-11-26 (Price: 165.77), 2.17% above",2 days,19.0%/3.53%/11.32%,"14.06%, 15.26%",17 days/1 day/5 days,2025-12-18/2025-11-25/2025-12-01,20.7%,64.21%,-43.51%,0.68,1.53,206.4469/180.6167/193.53/No Horizontal Resistance/232.7649/248.6965/No Moving Avg Target,154.85/7.205/156.1054/148.2704/No F-Track Level/No F-Track Level/140.35,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"IBKR, Long, 2025-11-24 (Price: 62.43)",No Exit Yet,"2.82%, 2 days","100.0%, Past 4 years, 7","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-11-26 (Price: 64.19), 2.82% above",2 days,7.8%/2.46%/4.71%,"0%, 19.81%",1.4 month/2 days/11 days,2026-01-22/2025-11-26/2025-12-09,15.06%,38.45%,-23.39%,2.14,1.27,66.3943/65.3705/65.88/No Horizontal Resistance/102.297/159.1852/No Moving Avg Target,61.05/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/56.77,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"COIN, Long, 2025-11-24 (Price: 255.97)",No Exit Yet,"3.52%, 2 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-11-26 (Price: 264.97), 3.52% above",2 days,19.07%/7.08%/10.13%,"27.31%, 39.8%",1.9 month/1 day/15 days,2026-02-16/2025-11-25/2025-12-15,11.79%,-0.05%,11.84%,0.3,0.5,263.1628/281.8998/272.53/289.6467/466.299/494.3788/282.04,238.16/86.505/234.936/157.903/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"ORCL, Long, 2025-11-24 (Price: 200.28)",No Exit Yet,"2.34%, 2 days","71.43%, Past 4 years, 7","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-11-26 (Price: 204.96), 2.34% above",2 days,4.11%/1.84%/3.09%,"17.33%, 17.33%",20 days/3 days/7 days,2025-12-22/2025-11-28/2025-12-04,-5.14%,28.08%,-33.22%,-0.21,0.86,225.9759/206.4687/216.22/No Horizontal Resistance/300.069/376.1425/210.94,198.76/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"ETH-USD, Long, 2025-11-23 (Price: 2801.676)",2025-11-25 (Price: 2957.9363),"5.58%, 1 day","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2025-11-23",Already confirmed,"2025-11-27 (Price: 3027.0298), 8.04% above",3 days,18.77%/4.94%/10.33%,"24.06%, 28.71%",24 days/0 days/8 days,2025-12-27/2025-11-23/2025-12-04,25.9%,-3.87%,29.77%,0.6,0.18,2965.0137/3091.0891/3028.05/4922.7188/4887.278/5344.0381/3516.72,2765.7/1370.4997/2637.9184/2471.5754/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"ORCL, Long, 2025-11-10 (Price: 240.83)",2025-11-21 (Price: 198.76),"-17.47%, 11 days","71.43%, Past 4 years, 7","Daily, was CONFIRMED on 2025-11-10",Already confirmed,"2025-11-26 (Price: 204.96), 14.89% below",16 days,4.11%/1.84%/3.09%,"17.33%, 17.33%",20 days/3 days/7 days,2025-12-08/2025-11-14/2025-11-20,-5.14%,28.08%,-33.22%,-0.21,0.86,271.7285/248.2716/260.0/No Horizontal Resistance/300.069/376.1425/No Moving Avg Target,239.26/82.7925/233.7381/208.7793/No F-Track Level/No F-Track Level/210.94,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
"ETH-USD, Long, 2025-11-08 (Price: 3400.376)",2025-11-21 (Price: 2765.6992),"-18.66%, 13 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2025-11-08",Already confirmed,"2025-11-27 (Price: 3027.0298), 10.98% below",19 days,18.77%/4.94%/10.33%,"24.06%, 28.71%",24 days/0 days/8 days,2025-12-12/2025-11-08/2025-11-19,25.9%,-3.87%,29.77%,0.6,0.18,3598.6179/3751.6348/3675.13/4922.7188/4887.278/5344.0381/3516.72,3292.57/1370.4997/2637.9184/2471.5754/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
