Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"CVS, Long, 2025-12-08 (Price: 76.53)",No Exit Yet,"2.23%, 1 day (business days)","75.68%, Past 6 years, 37","Daily, is Confirmed on 2025-12-08",No Cancellation Possible,"2025-12-09 (Price: 78.24), 2.23% above",1 day (business days),No Information,No Information,No Information,No Information,No Information,No Information,17.09%/5.17%/8.81%,"24.36%, 24.36%",4.2 months (calendar days)/12 days (calendar days)/1.5 month (calendar days),2026-06-08/2025-12-25/2026-02-09,3.83%,2.46%,1.37%,0.04,0.1,78.3208/83.2723/87.24/106.045/116.3721/144.3517/No EMA 200 Target,No Recent Minima/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level/69.82,81.76%/159/2 days (business days) (Across ALL Assets),67.13%/362/2 days (business days) (Across ALL Assets)
OSCILLATOR DELTA,"^VIX, Long, 2025-12-08 (Price: 16.66)",No Exit Yet,"1.62%, 1 day (business days)","76.36%, Past 6 years, 55","Daily, is Confirmed on 2025-12-08",No Cancellation Possible,"2025-12-09 (Price: 16.93), 1.62% above",1 day (business days),No Information,No Information,No Information,No Information,No Information,No Information,23.2%/5.09%/11.4%,"16.16%, 20.11%",21 days (calendar days)/1 day (business days)/5 days (business days),2026-01-07/2025-12-09/2025-12-15,171.56%,4.78%,166.78%,0.21,0.99,18.6475/18.5592/17.49/37.075/71.5114/81.8014/19.67,No Recent Minima/11.665/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,81.76%/159/2 days (business days) (Across ALL Assets),67.13%/362/2 days (business days) (Across ALL Assets)
FRACTAL TRACK,"UBER, Long, 2025-12-07 (Price: 91.32)",No Exit Yet,"-2.46%, 1 day (business days)","87.5%, Past 6 years, 8","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-09 (Price: 89.07), 2.46% below",1 day (business days),No Information,No Information,No Information,"23.66% (Price: 82.5663), 7.88% above, Upmove Bounce Back","2022-07-03 (Price: 19.895), 2025-09-28 (Price: 101.99)",No Information,110.4%/15.19%/62.8%,"3.04%, 55.87%",2.7 years (calendar days)/2.5 months (calendar days)/1.5 year (calendar days),2029-10-24/2026-03-24/2028-01-07,20.24%,13.56%,6.68%,0.39,0.48,92.151/148.669/140.58/No Horizontal Resistance/99.1711/103.8185/No EMA 200 Target,83.87/34.6025/88.7885/84.8096/No F-Track Level/No F-Track Level/87.38,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"JNK, Long, 2025-12-07 (Price: 97.29)",No Exit Yet,"-0.36%, 1 day (business days)","100.0%, Past 18 years, 17","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-09 (Price: 96.94), 0.36% below",1 day (business days),No Information,No Information,No Information,"23.66% (Price: 96.3874), 0.57% above, Upmove Bounce Back","2025-04-13 (Price: 90.41), 2025-09-28 (Price: 98.24)",No Information,6.29%/6.29%/6.29%,"-0.0%, 7.07%",1.3 year (calendar days)/1.3 year (calendar days)/1.3 year (calendar days),2027-10-10/2027-10-10/2027-10-10,3.41%,-2.09%,5.5%,0.2,-0.45,97.3386/103.4095/101.99/108.635/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,96.34/88.8814/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/96.31,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"XLY, Long, 2025-12-07 (Price: 119.73)",No Exit Yet,"-1.46%, 1 day (business days)","96.43%, Past 20 years, 28","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-09 (Price: 117.98), 1.46% below",1 day (business days),No Information,No Information,No Information,"38.2% (Price: 108.2727), 8.97% above, Upmove Bounce Back","2025-04-13 (Price: 86.55), 2025-09-21 (Price: 121.7)",No Information,115.02%/7.32%/52.87%,"16.26%, 57.22%",3.8 years (calendar days)/4.0 months (calendar days)/1.8 year (calendar days),2031-04-21/2026-05-28/2028-06-06,7.9%,10.2%,-2.3%,0.5,0.39,125.1538/183.0313/140.82/120.92/125.4815/133.9156/No EMA 200 Target,112.75/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/109.86,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"MA, Long, 2025-12-07 (Price: 545.52)",No Exit Yet,"-1.46%, 1 day (business days)","93.33%, Past 19 years, 30","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-09 (Price: 537.55), 1.46% below",1 day (business days),No Information,No Information,No Information,"38.2% (Price: 535.7184), 0.34% above, Upmove Bounce Back","2024-07-28 (Price: 428.86), 2025-08-24 (Price: 601.77)",No Information,183.03%/7.86%/74.84%,"10.74%, 37.99%",3.8 years (calendar days)/1.6 month (calendar days)/1.7 year (calendar days),2031-05-12/2026-02-15/2028-05-11,8.62%,27.38%,-18.77%,0.51,0.97,569.5774/953.7872/649.27/592.9033/716.5814/751.3605/559.55,540.4/306.91/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"BN.TO, Long, 2025-12-07 (Price: 64.54)",No Exit Yet,"0.17%, 1 day (business days)","96.3%, Past 1 years, 27","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-09 (Price: 64.65), 0.17% above",1 day (business days),No Information,No Information,No Information,"38.2% (Price: 58.0258), 11.42% above, Upmove Bounce Back","2025-04-13 (Price: 41.2533), 2025-09-28 (Price: 68.3933)",No Information,150.14%/4.17%/65.27%,"0.94%, 36.57%",3.8 years (calendar days)/3.6 months (calendar days)/1.8 year (calendar days),2031-04-28/2026-05-13/2028-07-04,6.26%,12.66%,-6.4%,0.77,0.46,66.0244/106.6653/80.82/No Horizontal Resistance/69.5978/79.2394/No EMA 200 Target,43.89/27.0034/63.3841/59.2857/No F-Track Level/No F-Track Level/57.42,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"IBKR, Long, 2025-12-07 (Price: 64.5)",No Exit Yet,"1.64%, 1 day (business days)","100.0%, Past 18 years, 31","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-09 (Price: 65.56), 1.64% above",1 day (business days),No Information,No Information,No Information,"38.2% (Price: 57.8675), 13.29% above, Upmove Bounce Back","2025-04-13 (Price: 32.82), 2025-10-12 (Price: 73.35)",No Information,264.61%/8.43%/69.0%,"-0.0%, 53.27%",5.1 years (calendar days)/2.0 month (calendar days)/2.0 years (calendar days),2033-04-07/2026-03-02/2028-11-07,6.02%,12.31%,-6.29%,0.53,0.43,68.5506/109.005/88.82/No Horizontal Resistance/81.4292/98.2092/No EMA 200 Target,61.05/13.0762/62.0029/55.579/No F-Track Level/No F-Track Level/57.08,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"COIN, Long, 2025-12-07 (Price: 269.73)",No Exit Yet,"2.83%, 1 day (business days)","100.0%, Past 4 years, 4","Weekly, was CONFIRMED on 2025-12-07",Already confirmed,"2025-12-09 (Price: 277.36), 2.83% above",1 day (business days),No Information,No Information,No Information,"38.2% (Price: 228.1976), 21.54% above, Upmove Bounce Back","2023-01-08 (Price: 31.55), 2024-12-08 (Price: 349.75)",No Information,22.41%/22.41%/22.41%,"-0.0%, 30.3%",3.3 months (calendar days)/3.3 months (calendar days)/3.3 months (calendar days),2026-04-29/2026-04-29/2026-04-29,68.35%,0.11%,68.24%,0.51,0.47,262.2315/330.1765/460.65/289.6467/466.299/494.3788/282.43,240.41/86.505/234.936/157.903/No F-Track Level/No F-Track Level/No EMA 200 Support,98.94%/94/10 days (calendar days) (Across ALL Assets),62.9%/124/7 days (calendar days) (Across ALL Assets)
DELTADRIFT,"GNE.NZ, Long, 2025-12-05 (Price: 2.36)",No Exit Yet,"0.42%, 2 days (business days)","92.86%, Past 4 years, 14","Daily, was CONFIRMED on 2025-12-05",Already confirmed,"2025-12-09 (Price: 2.37), 0.42% above",2 days (business days),No Information,No Information,No Information,No Information,No Information,No Information,5.47%/2.27%/3.64%,"7.36%, 7.72%",1.2 month (calendar days)/1 day (business days)/10 days (calendar days),2026-01-27/2025-12-06/2025-12-19,16.24%,-6.13%,22.37%,0.94,-0.41,2.4204/2.4459/2.43/3.575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,2.33/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/2.33,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
