Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"UBER, Long, 2026-02-27 (Price: 75.42)",No Exit Yet,"0.0%, 0 days","100.0%, Past 6 years, 4","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 75.42), 0.0% below",0 days,72.99,No Information,No Information,No Information,No Information,No Information,No Information,32.55%/10.16%/16.89%,"0%, 19.43%",4.4 months/21 days/2 months,2026-09-06/2026-03-29/2026-05-24,15.68%,6.33%,9.35%,1.66,0.38,88.2414/88.1584/88.2/82.12/103.1697/130.9341/88.53,69.99/34.6025/71.0872/No support/70.6297/60.9425/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2026-02-27 (Price: 131.33)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 5","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 131.33), 0.0% below",0 days,113.04,No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,2028-02-25/2026-03-19/2026-10-28,5.14%,6.08%,-0.94%,1.52,0.34,137.3712/139.4331/138.4/240.8933/308.8111/326.8654/217.25,113.99/126.1128/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets)
TRENDPULSE,"AIA.NZ, Long, 2026-02-27 (Price: 9.16)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 9.16), 0.0% below",0 days,8.85,No Information,No Information,No Information,No Information,No Information,3.15% above/0.0% below/0.0% below,12.76%/0.47%/5.85%,"-0.0%, 7.89%",4 months/28 days/2.5 months,2026-08-19/2026-04-08/2026-06-15,10.91%,5.79%,5.12%,1.45,0.3,9.9871/9.6959/9.8/No Horizontal Resistance/10.792/12.737/No EMA 200 Target,7.47/7.0017/8.0885/7.295/8.0159/7.3006/7.97,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"CNU.NZ, Long, 2026-02-27 (Price: 9.58)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 9.58), 0.0% below",0 days,9.52,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,11.36%/2.06%/5.35%,"0%, 21.14%",1.3 year/1.2 month/8.2 months,2028-01-05/2026-04-20/2027-02-16,11.35%,5.38%,5.97%,2.01,0.27,10.3828/10.0925/9.82/9.875/11.0627/11.8475/No EMA 200 Target,9.13/6.0983/No F-Stack Support/No F-Stack Support/7.9204/6.6547/9.12,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"XIU.TO, Long, 2026-02-27 (Price: 49.71)",No Exit Yet,"0.0%, 0 days","93.75%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 49.71), 0.0% below",0 days,49.56,No Information,No Information,No Information,No Information,No Information,0.28% above/0.0% below/0.0% below,5.21%/1.57%/3.94%,"2.16%, 32.4%",1.1 year/28 days/6.6 months,2027-09-23/2026-04-08/2026-12-10,4.69%,4.03%,0.66%,1.63,0.17,50.5054/51.6686/67.44/No Horizontal Resistance/48.3988/56.9776/No EMA 200 Target,35.35/27.9467/41.5586/34.9694/44.6839/41.3862/44.14,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"ATM.NZ, Long, 2026-02-27 (Price: 11.55)",No Exit Yet,"0.0%, 0 days","91.89%, Past 4 years, 37","Daily, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 11.55), 0.0% below",0 days,11.4,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,26.28%/1.03%/5.98%,"10.63%, 64.86%",2 months/7 days/20 days,2026-05-24/2026-03-09/2026-03-27,9.53%,-5.31%,14.84%,0.78,-0.11,12.0351/12.2407/13.85/No Horizontal Resistance/21.0083/25.9428/No EMA 200 Target,9.55/5.185/8.0863/5.0358/11.5214/No support/9.8,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
FRACTAL TRACK,"UPS, Long, 2026-02-27 (Price: 115.96)",No Exit Yet,"0.0%, 0 days","90.91%, Past 5 years, 11","Daily, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 115.96), 0.0% below",0 days,115.96,No Information,No Information,No Information,"23.66% (Price: 112.849), 2.76% above, Upmove Bounce Back","2025-10-14 (Price: 82.0), 2026-02-12 (Price: 122.41)",No Information,10.8%/10.11%/10.49%,"4.82%, 11.97%",3.8 months/2.2 months/2.9 months,2026-08-11/2026-06-02/2026-07-03,11.13%,-7.65%,18.78%,0.42,-0.42,112.1449/128.1242/140.21/221.2667/231.1794/256.5693/No EMA 200 Target,113.85/107.93/108.3547/94.2047/115.8037/No support/96.95,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
TRENDPULSE,"ATM.NZ, Long, 2026-02-27 (Price: 11.55)",No Exit Yet,"0.0%, 0 days","90.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 11.55), 0.0% below",0 days,11.23,No Information,No Information,No Information,No Information,No Information,0.0% below/2.48% above/0.0% below,45.16%/6.52%/21.14%,"5.0%, 38.02%",6.8 months/1.2 month/2.7 months,2026-12-19/2026-04-20/2026-06-24,20.45%,21.22%,-0.77%,1.35,0.89,14.985/13.9917/11.83/No Horizontal Resistance/21.0083/25.9428/No EMA 200 Target,9.66/5.185/8.0863/5.0358/11.2234/10.8404/9.8,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
BASELINEDIVERGENCE,"^GSPC, Long, 2026-02-27 (Price: 6878.8799)",No Exit Yet,"0.0%, 0 days","88.46%, Past 10 years, 52","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 6878.8799), 0.0% below",0 days,6901.25,No Information,"^DJI, Normal Case",No Information,No Information,No Information,No Information,21.88%/0.79%/8.32%,"14.2%, 31.81%",9.8 months/2.1 months/4.3 months,2027-04-28/2026-05-29/2026-09-01,23.94%,9.23%,14.71%,0.85,0.57,7522.7431/7451.2027/7318.7876/No Horizontal Resistance/7318.7876/7940.05/No EMA 200 Target,6836.17/4128.7074/6353.1151/5892.8418/6803.6253/No support/6559.92,73.68%/19/3.9 months (Across ALL Assets),68.44%/564/3.3 months (Across ALL Assets)
FRACTAL TRACK,"BYD.TO, Long, 2026-02-27 (Price: 238.09)",No Exit Yet,"0.0%, 0 days","85.71%, Past 5 years, 14","Daily, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 238.09), 0.0% below",0 days,238.66,No Information,No Information,No Information,"38.2% (Price: 231.5251), 2.84% above, Upmove Bounce Back","2025-10-30 (Price: 204.5), 2026-02-11 (Price: 248.23)",No Information,12.1%/10.05%/11.03%,"1.1%, 48.71%",2.1 years/26 days/4.6 months,2029-02-26/2026-04-05/2026-09-14,27.71%,0.9%,26.81%,1.63,0.03,254.4468/264.3513/264.33/256.6133/325.4281/346.2134/No EMA 200 Target,223.39/188.685/232.1757/215.4728/No support/No support/219.24,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
