Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"RHHBY, Long, 2024-12-31 (Price: 34.88)",2025-12-09 (Price: 48.9) (Today),"40.19%, 11 days (calendar days)","100.0%, Past 24 years, 9","Quarterly, was CONFIRMED on 2024-12-31",Already confirmed,"2025-12-09 (Price: 48.9), 40.19% above",11 days (calendar days),No Information,No Information,No Information,"88.6% (Price: 29.4418), 66.09% above, Upmove Bounce Back","2018-06-30 (Price: 26.3), 2022-06-30 (Price: 53.86)",No Information,15.79%/12.77%/14.28%,"-0.0%, 30.62%",4.7 years (calendar days)/4.2 years (calendar days)/4.4 years (calendar days),2031-09-21/2030-12-12/2031-05-02,2.03%,6.19%,-4.16%,0.46,0.19,34.1824/39.8609/51.42/52.46/58.6089/65.2057/41.58,31.92/34.87/31.0544/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
FRACTAL TRACK,"ASHR, Long, 2025-06-30 (Price: 27.54)",2025-12-09 (Price: 33.22) (Today),"20.62%, 5 days (business days)","100.0%, Past 12 years, 8","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-09 (Price: 33.22), 20.62% above",5 days (business days),No Information,No Information,No Information,"88.6% (Price: 23.1742), 43.35% above, Upmove Bounce Back","2024-02-29 (Price: 21.56), 2024-10-31 (Price: 35.72)",No Information,6.41%/6.41%/6.41%,"-0.0%, 12.65%",5.8 months (calendar days)/5.8 months (calendar days)/5.8 months (calendar days),2026-03-07/2026-03-07/2026-03-07,9.59%,2.03%,7.56%,0.36,0.04,28.6196/29.3053/36.04/39.9467/60.2967/80.3432/29.18,25.82/23.36/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
PULSEGAUGE,"FBU.NZ, Long, 2025-07-06 (Price: 3.08)",2025-12-09 (Price: 3.7) (Today),"20.13%, 5 days (business days)","82.35%, Past 24 years, 17","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,"2025-12-09 (Price: 3.7), 20.13% above",5 days (business days),No Information,No Information,No Information,No Information,No Information,No Information,68.51%/21.85%/42.85%,"19.52%, 23.38%",2.7 years (calendar days)/2.0 month (calendar days)/8.8 months (calendar days),2029-05-23/2025-09-29/2026-07-24,17.57%,1.49%,16.08%,0.36,0.03,3.1244/4.3998/12.7156/7.985/12.7156/14.3053/3.2,2.94/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,67.31%/52/4 days (business days) (Across ALL Assets),76.98%/126/7 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"HYG, Long, 2025-06-30 (Price: 80.65)",2025-12-09 (Price: 80.55) (Today),"-0.12%, 5 days (business days)","90.91%, Past 18 years, 11","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-09 (Price: 80.55), 0.12% below",5 days (business days),No Information,No Information,No Information,"38.2% (Price: 76.5615), 5.21% above, Upmove Bounce Back","2022-10-31 (Price: 70.4), 2024-09-30 (Price: 80.37)",No Information,2.15%/2.15%/2.15%,"3.95%, 5.88%",1.2 year (calendar days)/1.2 year (calendar days)/1.2 year (calendar days),2027-03-20/2027-03-20/2027-03-20,-0.69%,-1.4%,0.72%,-0.15,-0.53,80.2064/82.384/86.63/86.99/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,78.6/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/79.86,84.62%/39/1 day (business days) (Across ALL Assets),68.29%/82/9 days (calendar days) (Across ALL Assets)
FRACTAL TRACK,"IWM, Long, 2023-06-30 (Price: 187.27)",2025-12-09 (Price: 250.87) (Today),"33.96%, 2 days (business days)","100.0%, Past 25 years, 8","Quarterly, was CONFIRMED on 2023-06-30",Already confirmed,"2025-12-09 (Price: 250.87), 33.96% above",2 days (business days),No Information,No Information,No Information,"38.2% (Price: 164.1636), 52.82% above, Upmove Bounce Back","2009-03-31 (Price: 34.26), 2021-12-31 (Price: 244.46)",No Information,56.32%/25.19%/40.76%,"-0.0%, 20.56%",2.0 year (calendar days)/2.0 year (calendar days)/2.0 year (calendar days),2026-05-02/2026-04-30/2026-04-30,11.21%,6.21%,5.0%,0.5,0.2,180.9028/263.6013/313.39/232.67/348.4025/539.5308/221.2,164.92/144.954/157.2742/112.1542/No F-Track Level/No F-Track Level/No EMA 200 Support,93.33%/15/2 days (business days) (Across ALL Assets),77.78%/9/1 day (business days) (Across ALL Assets)
FRACTAL TRACK,"UBER, Long, 2025-11-25 (Price: 83.69)",2025-12-08 (Price: 92.57) (Today),"10.61%, 13 days (calendar days)","100.0%, Past 5 years, 47","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-08 (Price: 92.57), 10.61% above",13 days (calendar days),No Information,No Information,No Information,"23.66% (Price: 81.5091), 13.57% above, Upmove Bounce Back","2023-04-27 (Price: 29.22), 2025-07-09 (Price: 97.715)",No Information,103.69%/0.66%/22.72%,"-0.0%, 56.64%",2.7 years (calendar days)/21 days (calendar days)/5.3 months (calendar days),2029-09-19/2025-12-25/2026-07-11,16.11%,18.26%,-2.15%,0.44,0.6,84.1754/102.7044/124.79/No Horizontal Resistance/99.1711/103.8185/87.31,83.36/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/5 days (business days) (Across ALL Assets),56.14%/57/5 days (business days) (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-11-12 (Price: 193.75)",2025-12-08 (Price: 179.74) (Today),"-7.23%, 26 days (calendar days)","80.0%, Past 4 years, 10","Daily, was CONFIRMED on 2025-11-12",Already confirmed,"2025-12-08 (Price: 179.74), 7.23% below",26 days (calendar days),No Information,No Information,No Information,No Information,No Information,No Information,4.82%/1.26%/2.7%,"8.44%, 8.44%",14 days (calendar days)/1 day (business days)/5 days (business days),2025-12-02/2025-11-13/2025-11-19,6.54%,8.52%,-1.98%,0.2,0.33,201.5775/198.9812/200.28/240.8933/293.2329/455.2123/242.7,190.0/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/12 days (calendar days) (Across ALL Assets),77.89%/484/15 days (calendar days) (Across ALL Assets)
PULSEGAUGE,"NA.TO, Long, 2025-07-06 (Price: 141.41)",2025-12-07 (Price: 170.76),"20.76%, 5 days (business days)","94.12%, Past 25 years, 17","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,"2025-12-09 (Price: 171.86), 21.53% above",5 days (business days),No Information,No Information,No Information,No Information,No Information,No Information,24.84%/20.45%/21.62%,"24.51%, 35.98%",8.0 months (calendar days)/1.3 month (calendar days)/4.1 months (calendar days),2026-06-17/2025-08-31/2025-12-29,22.55%,10.54%,12.01%,0.56,0.41,149.4562/171.9828/188.6608/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,112.96/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/139.39,67.31%/52/4 days (business days) (Across ALL Assets),76.98%/126/7 days (calendar days) (Across ALL Assets)
DELTADRIFT,"TCS.NS, Long, 2025-10-12 (Price: 3028.3)",2025-12-07 (Price: 3238.2),"6.93%, 1 day (business days)","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2025-10-12",Already confirmed,"2025-12-09 (Price: 3208.0), 5.93% above",1 day (business days),No Information,No Information,No Information,No Information,No Information,No Information,14.06%/3.68%/8.87%,"14.47%, 16.73%",19 days (calendar days)/14 days (calendar days)/16 days (calendar days),2025-11-08/2025-11-01/2025-11-04,4.81%,11.95%,-7.14%,0.07,0.46,3172.7499/3296.9102/3234.83/4543.575/5637.7577/6110.9256/3272.98,2899.1/2937.675/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,96.88%/32/2 days (business days) (Across ALL Assets),88.57%/105/2 days (business days) (Across ALL Assets)
PULSEGAUGE,"TD.TO, Long, 2025-07-06 (Price: 101.69)",2025-12-07 (Price: 122.2),"20.17%, 5 days (business days)","88.24%, Past 25 years, 17","Weekly, was CONFIRMED on 2025-07-06",No Cancellation Possible,"2025-12-09 (Price: 122.15), 20.12% above",5 days (business days),No Information,No Information,No Information,No Information,No Information,No Information,21.78%/20.27%/20.81%,"32.27%, 42.55%",1.4 year (calendar days)/19 days (calendar days)/8.4 months (calendar days),2027-07-27/2025-08-02/2026-07-07,7.2%,6.93%,0.27%,0.31,0.24,106.2254/122.8517/128.6672/No Horizontal Resistance/128.6672/152.0396/No EMA 200 Target,81.05/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/99.7,67.31%/52/4 days (business days) (Across ALL Assets),76.98%/126/7 days (calendar days) (Across ALL Assets)
