"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"CNU.NZ, Long, 2026-02-13 (Price: 9.13)",No Exit Yet,"0.0%, 0 days","81.25%, Past 4 years, 16","Daily, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 9.13), 0.0% below",0 days,4.77%/1.66%/2.83%,"8.37%, 8.37%",1.4 month/2 days/12 days,2026-04-14/2026-02-15/2026-03-02,5.82%,1.9%,3.92%,0.19,0.03,9.4103/9.3884/9.4/9.875/11.0627/11.8475/No EMA 200 Target,9.08/6.0983/No F-Stack Support/No F-Stack Support/No support/No support/9.06,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),9.13
"ORCL, Long, 2026-02-13 (Price: 160.14)",No Exit Yet,"0.0%, 0 days","75.0%, Past 15 years, 4","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 160.14), 0.0% below",0 days,13.89%/9.68%/12.2%,"20.01%, 25.53%",21 days/7 days/16 days,2026-03-15/2026-02-23/2026-03-08,5.26%,6.77%,-1.51%,0.27,0.34,214.1232/179.6771/196.9/No Horizontal Resistance/287.7444/314.8727/220.6,142.82/82.7925/140.8739/129.2165/144.722/No support/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),148.49
"AMZN, Long, 2026-02-11 (Price: 203.88)",No Exit Yet,"-2.5%, 2 days","80.0%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-11",Already confirmed,"2026-02-13 (Price: 198.79), 2.5% below",2 days,10.78%/1.99%/5.15%,"17.68%, 17.68%",26 days/1 day/8 days,2026-03-20/2026-02-12/2026-02-22,7.43%,4.18%,3.25%,0.18,0.24,216.9691/214.3798/215.67/239.3/317.6152/339.3352/223.62,200.99/86.995/193.0625/132.2674/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),208.07
"FSF.NZ, Long, 2026-02-11 (Price: 7.94)",No Exit Yet,"-0.19%, 2 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-11",Already confirmed,"2026-02-13 (Price: 7.925), 0.19% below",2 days,6.77%/1.74%/3.76%,"9.98%, 9.98%",27 days/1 day/14 days,2026-03-22/2026-02-12/2026-03-03,10.19%,8.7%,1.49%,0.56,0.47,8.4688/8.2385/8.35/No Horizontal Resistance/8.4284/9.7443/No EMA 200 Target,7.7/2.942/6.3611/No support/No F-Track Level/No F-Track Level/7.36,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),8.001
"TCS.NS, Long, 2026-02-10 (Price: 2984.6001)",No Exit Yet,"-9.8%, 3 days","86.67%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 2692.2), 9.8% below",3 days,5.68%/1.73%/3.28%,"4.58%, 4.96%",21 days/1 day/10 days,2026-03-12/2026-02-11/2026-02-24,12.04%,-0.2%,12.24%,0.76,-0.13,3185.1652/3082.495/3133.83/4543.575/5637.7577/6110.9256/3195.88,2941.6/2934.3251/2637.2425/2286.8248/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),2949.8
"SUM.NZ, Long, 2026-02-10 (Price: 11.25)",No Exit Yet,"-3.56%, 3 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 10.85), 3.56% below",3 days,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,2026-05-07/2026-02-11/2026-03-09,5.72%,-0.28%,6.0%,0.18,-0.09,11.3951/11.6741/11.53/12.64/19.8479/26.5969/11.51,11.13/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),11.16
"SPOT, Long, 2026-02-09 (Price: 414.84)",2026-02-10 (Price: 476.02),"14.75%, 1 day","88.89%, Past 4 years, 9","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 458.34), 10.49% above",4 days,13.46%/3.67%/6.77%,"8.88%, 11.98%",1.3 month/1 day/14 days,2026-04-06/2026-02-10/2026-03-01,11.53%,6.15%,5.38%,0.63,0.37,431.2677/442.9247/437.1/No Horizontal Resistance/854.3544/922.2645/641.91,412.75/118.6/410.2623/360.3797/No F-Track Level/No F-Track Level/No EMA 200 Support,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),430.82
"HDFCBANK.NS, Long, 2026-02-01 (Price: 929.25)",No Exit Yet,"-2.73%, 12 days","100.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-02-01",Already confirmed,"2026-02-13 (Price: 903.9), 2.73% below",12 days,11.71%/4.83%/8.56%,"0%, 16.27%",2.3 months/28 days/1.7 month,2026-05-11/2026-03-13/2026-04-15,12.02%,10.83%,1.19%,2.91,0.65,1065.7568/1008.7938/1037.28/1009.6/1098.0619/1305.7899/976.47,916.1/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),906.0
"SUM.NZ, Long, 2026-01-26 (Price: 11.92)",2026-02-09 (Price: 11.13),"-6.63%, 14 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-02-13 (Price: 10.85), 8.98% below",18 days,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,2026-04-22/2026-01-27/2026-02-22,5.72%,-0.28%,6.0%,0.18,-0.09,12.0738/12.3694/12.22/12.6867/19.8479/26.5969/No EMA 200 Target,11.82/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.51,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets),11.95
"NFLX, Long, 2025-12-28 (Price: 94.47)",2026-02-13 (Price: 76.87),"-18.63%, 1.6 month","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2025-12-28",Already confirmed,"2026-02-13 (Price: 76.87), 18.63% below",1.6 month,17.48%/14.69%/16.13%,"53.59%, 53.59%",3.7 months/21 days/2.2 months,2026-06-06/2026-01-27/2026-04-02,0.19%,16.07%,-15.88%,-0.03,0.7,108.9617/109.708/109.33/No Horizontal Resistance/139.352/152.4292/111.63,94.39/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets),94.71
