"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"QQQ, Long, 2025-11-20 (Price: 585.67)",No Exit Yet,"3.33%, 2 days","100.0%, Past 5 years, 6","Daily, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-24 (Price: 605.16), 3.33% above",2 days,16.61%/1.3%/11.24%,"0%, 35.62%",1.3 year/1.3 month/5.3 months,2027-10-23/2026-01-16/2026-07-09,16.16%,16.62%,-0.46%,1.87,0.69,630.8252/651.4993/641.16/No Horizontal Resistance/836.2536/910.0135/No Moving Avg Target,563.28/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/543.91,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"MSFT, Long, 2025-11-20 (Price: 478.43)",No Exit Yet,"-0.93%, 2 days","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-24 (Price: 474.0), 0.93% below",2 days,27.97%/11.17%/20.93%,"0%, 37.56%",1.3 year/1.5 month/7 months,2027-10-04/2026-01-22/2026-09-20,24.07%,18.64%,5.43%,3.13,0.73,528.9522/578.5654/553.76/No Horizontal Resistance/553.3726/615.9924/No Moving Avg Target,450.18/216.39/386.873/350.287/No F-Track Level/No F-Track Level/466.89,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"^NDX, Long, 2025-11-20 (Price: 24054.3809)",No Exit Yet,"3.41%, 2 days","100.0%, Past 5 years, 6","Daily, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-24 (Price: 24873.8496), 3.41% above",2 days,16.58%/1.28%/11.19%,"0%, 35.56%",1.3 year/1.3 month/5.3 months,2027-10-23/2026-01-16/2026-07-09,16.1%,16.65%,-0.55%,2.17,0.69,25901.7574/26746.0661/26323.91/No Horizontal Resistance/33965.62/36701.6323/No Moving Avg Target,23142.58/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level/22349.95,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"^DJI, Long, 2025-11-20 (Price: 45752.2617)",No Exit Yet,"1.52%, 2 days","85.71%, Past 5 years, 7","Daily, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-24 (Price: 46448.2695), 1.52% above",2 days,13.32%/1.83%/7.11%,"2.57%, 21.94%",6.7 months/1.3 month/3.6 months,2026-09-05/2026-01-14/2026-04-26,10.49%,11.05%,-0.56%,1.13,0.55,47568.6265/49005.2475/48286.94/No Horizontal Resistance/54129.8938/83218.843/No Moving Avg Target,45479.6/32154.0552/36151.8794/25040.9446/No F-Track Level/No F-Track Level/43905.62,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"DIA, Long, 2025-11-20 (Price: 458.1)",No Exit Yet,"1.38%, 2 days","100.0%, Past 5 years, 6","Daily, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-24 (Price: 464.44), 1.38% above",2 days,13.22%/1.05%/6.03%,"0%, 21.9%",1.1 year/1.3 month/5.2 months,2027-05-27/2026-01-14/2026-07-03,9.38%,11.05%,-1.67%,1.41,0.55,474.4084/485.7234/480.07/No Horizontal Resistance/538.1343/826.9871/No Moving Avg Target,454.87/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/439.23,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"EFA, Long, 2025-11-20 (Price: 91.24)",No Exit Yet,"1.63%, 2 days","75.0%, Past 5 years, 4","Daily, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-24 (Price: 92.73), 1.63% above",2 days,22.46%/13.8%/16.71%,"16.49%, 26.41%",1.0 year/3.8 months/8.8 months,2027-05-05/2026-05-04/2026-12-05,7.02%,7.76%,-0.74%,0.45,0.3,93.6031/106.4862/100.04/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,90.58/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/88.41,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"SOXX, Long, 2025-11-18 (Price: 276.98)",No Exit Yet,"2.07%, 4 days","75.0%, Past 5 years, 8","Daily, was CONFIRMED on 2025-11-18",No Cancellation Possible,"2025-11-24 (Price: 282.7), 2.07% above",4 days,29.3%/10.91%/18.92%,"16.66%, 41.67%",1.1 year/1.3 month/4.0 months,2027-06-01/2026-01-14/2026-05-12,21.14%,22.72%,-1.58%,0.78,0.76,314.3169/329.3846/321.85/No Horizontal Resistance/348.2242/411.0319/No Moving Avg Target,271.99/110.475/254.997/226.8328/No F-Track Level/No F-Track Level/234.83,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"^GSPC, Long, 2025-11-18 (Price: 6617.3198)",No Exit Yet,"1.33%, 4 days","100.0%, Past 5 years, 6","Daily, was CONFIRMED on 2025-11-18",No Cancellation Possible,"2025-11-24 (Price: 6705.1201), 1.33% above",4 days,14.12%/0.62%/8.77%,"-0.0%, 23.55%",11.1 months/2.2 months/5.4 months,2027-03-13/2026-02-23/2026-07-10,12.91%,14.39%,-1.48%,1.21,0.71,6822.4567/7197.6587/7010.06/No Horizontal Resistance/9765.5661/10911.139/No Moving Avg Target,6552.51/4106.4632/6316.2337/5433.2046/No F-Track Level/No F-Track Level/6166.14,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"C6L.SI, Long, 2025-11-18 (Price: 6.48)",No Exit Yet,"-0.46%, 5 days","100.0%, Past 5 years, 7","Daily, was CONFIRMED on 2025-11-18",No Cancellation Possible,"2025-11-25 (Price: 6.45), 0.46% below",5 days,36.19%/0.63%/10.95%,"0%, 17.3%",9.9 months/1.4 month/5.0 months,2027-01-22/2026-01-16/2026-06-24,15.77%,13.91%,1.86%,0.63,0.58,6.5241/7.1896/6.86/6.9575/15.377/16.6022/6.74,6.46/4.7975/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"SPY, Long, 2025-11-18 (Price: 660.08)",No Exit Yet,"1.31%, 4 days","85.71%, Past 5 years, 7","Daily, was CONFIRMED on 2025-11-18",No Cancellation Possible,"2025-11-24 (Price: 668.73), 1.31% above",4 days,18.45%/0.75%/11.01%,"0.34%, 23.41%",11.1 months/2.2 months/5.1 months,2027-03-13/2026-02-23/2026-06-27,15.81%,14.38%,1.43%,1.03,0.7,687.0773/732.7548/709.92/No Horizontal Resistance/969.1148/1522.3697/No Moving Avg Target,653.02/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/614.93,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
