"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"BPCL.NS, Long, 2025-11-27 (Price: 363.95)",No Exit Yet,"0.0%, 0 days","87.88%, Past 5 years, 33","Daily, is CONFIRMED on 2025-11-27",Already confirmed,"2025-11-27 (Price: 363.95), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 352.9955),3.1% above,"2025-09-01 (Price: 306.8), 2025-11-17 (Price: 381.55)",90.37%/10.81%/54.83%,"11.24%, 36.83%",2.2 years/2.0 month/1.1 year,2029-01-15/2026-02-20/2027-06-04,12.84%,15.69%,-2.85%,0.47,0.59,363.6952/563.5038/408.8/No Horizontal Resistance/382.1589/420.2463/No Moving Avg Target,355.85/145.35/348.542/313.3339/346.642/325.1897/315.76,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"TSLA, Long, 2025-11-27 (Price: 426.58)",No Exit Yet,"0.0%, 0 days","80.65%, Past 15 years, 31","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 382.78 prior to 2025-11-28,"2025-11-27 (Price: 426.58), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 375.7432),13.53% above,"2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",6815.74%/3.62%/968.91%,"19.51%, 72.25%",6.4 years/3.1 months/2.1 years,2035-01-30/2026-04-12/2028-11-30,14.07%,45.46%,-31.4%,0.27,1.18,471.7122/4559.7563/712.62/No Horizontal Resistance/461.2057/510.3573/No Moving Avg Target,391.09/181.0784/117.6011/73.4077/397.0397/340.8091/339.95,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"XLV, Long, 2025-11-27 (Price: 158.42)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-11-27 (Price: 158.42), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),24.75% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",10.3 years/10.3 years/10.3 years,2040-08-23/2040-08-23/2040-08-23,8.26%,6.44%,1.82%,0.48,0.22,154.7763/644.9278/241.23/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,24.21/120.178/153.114/117.2225/167.2798/171.9748/139.54,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-27 (Price: 249.0)",No Exit Yet,"0.0%, 0 days","88.0%, Past 80 years, 25","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 235.01 prior to 2025-11-28,"2025-11-27 (Price: 249.0), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 232.7652),6.97% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",196.24%/14.77%/97.8%,"25.41%, 71.77%",3.8 years/8 months/1.8 year,2031-05-01/2026-11-09/2028-07-12,9.34%,22.33%,-12.98%,0.43,0.63,242.9493/492.522/338.16/366.6625/374.6319/404.5107/256.36,239.37/187.6062/184.3156/1127.9829/347.4556/361.5012/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-27 (Price: 1559.4)",No Exit Yet,"0.0%, 0 days","88.46%, Past 48 years, 26","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1340.6 prior to 2025-11-28,"2025-11-27 (Price: 1559.4), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1322.8731),17.88% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",415.66%/5.67%/156.39%,"26.03%, 38.57%",6.2 years/6.5 months/2.3 years,2034-09-13/2026-09-05/2029-03-17,8.96%,19.65%,-10.68%,0.38,0.63,1765.3967/3998.1457/2284.49/No Horizontal Resistance/1617.1679/1804.6011/No Moving Avg Target,1200.1/855.3207/1324.16/1138.1652/1725.6686/1797.4889/1385.09,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"PG, Long, 2025-11-27 (Price: 148.25)",No Exit Yet,"0.0%, 0 days","97.73%, Past 20 years, 44","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 144.09 prior to 2025-11-28,"2025-11-27 (Price: 148.25), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 142.4353),4.08% above,"1996-04-14 (Price: 19.8438), 2024-12-01 (Price: 180.43)",97.61%/1.34%/25.52%,"5.37%, 38.6%",8.5 years/1.8 month/2.2 years,2038-02-04/2026-02-13/2029-01-01,2.95%,4.92%,-1.97%,0.48,0.12,151.808/186.0834/244.6/179.4533/198.7009/220.9395/159.21,146.98/121.86/147.1065/128.0678/151.305/144.4315/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"IFT.NZ, Long, 2025-11-27 (Price: 11.39)",No Exit Yet,"0.0%, 0 days","100.0%, Past 31 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 9.13 prior to 2025-12-31,"2025-11-27 (Price: 11.39), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 9.2141),23.61% above,"2016-12-31 (Price: 2.5393), 2024-12-31 (Price: 13.34)",103.41%/23.86%/63.63%,"-0.0%, 22.42%",2.7 years/2.0 year/2.4 years,2029-10-13/2028-09-30/2029-04-06,13.15%,12.57%,0.58%,0.46,0.51,13.1065/18.6375/17.87/11.925/13.8771/15.9169/No Moving Avg Target,2.72/7.3167/11.3804/9.6206/14.3361/14.9482/11.32,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"SUM.NZ, Long, 2025-11-27 (Price: 12.29)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-11-27 (Price: 12.29), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),14.43% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",21.12%/21.12%/21.12%,"-0.0%, 38.76%",2.0 year/2.0 year/2.0 year,2028-10-01/2028-10-01/2028-10-01,7.04%,16.47%,-9.43%,0.34,0.57,12.1388/14.8856/15.53/13.345/16.7981/18.5763/No Moving Avg Target,8.8/9.1367/11.1928/8.9354/12.1624/11.3772/11.43,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"BDGI.TO, Long, 2025-11-27 (Price: 72.12)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.62 prior to 2025-12-31,"2025-11-27 (Price: 72.12), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 33.6027),114.63% above,"2022-03-31 (Price: 22.54), 2024-03-31 (Price: 51.5)",35.15%/35.15%/35.15%,"-0.0%, 52.34%",3.1 years/3.1 years/3.1 years,2030-04-19/2030-04-19/2030-04-19,7.18%,12.22%,-5.04%,0.42,0.42,75.6683/97.4702/89.5/No Horizontal Resistance/87.1484/97.3919/No Moving Avg Target,26.66/24.32/66.9303/63.4408/66.2172/60.0086/51.37,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"CNQ.TO, Long, 2025-11-27 (Price: 46.8)",No Exit Yet,"0.0%, 0 days","100.0%, Past 52 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 34.92 prior to 2025-12-31,"2025-11-27 (Price: 46.8), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 35.7534),30.9% above,"2001-12-31 (Price: 2.1976), 2024-06-30 (Price: 56.495)",880.76%/124.37%/387.49%,"-0.0%, 59.43%",5.8 years/4.5 years/5.3 years,2034-03-07/2032-05-16/2033-05-27,12.07%,13.02%,-0.95%,0.46,0.46,49.1353/228.1453/79.38/51.51/57.5622/59.9244/No Moving Avg Target,42.8/34.9317/44.0597/41.1349/61.5996/64.7366/43.01,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
