"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Max Drawdown [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"NZDUSD=X, Long, 2025-10-02 (Price: 0.5827)",No Exit Yet,"0.0%, 0 days","73.53%, Past 5 years, 34","Daily, is CONFIRMED on 2025-10-02",Already confirmed,"2025-10-02 (Price: 0.5827), 0.0% below",0 days,"0, 0",15.73%/0.15%/3.81%,"9.26%, 22.6%",256 days/40 days/91 days,2026-10-07/2025-11-28/2026-02-10,-5.22%,-2.18%,-3.04%,0.2,-0.59,0.5892/0.6049/0.6/0.7479/No Next Fib Ext/No Next Fib Ext,0.58/0.5509/No Next Fib Ext Support/No Next Fib Ext Support/0.6587/0.6715,0.59/0.58,80.27%/147/79 days (Across ALL Assets),75.48%/314/84 days (Across ALL Assets)
"GNE.NZ, Long, 2025-10-02 (Price: 2.34)",No Exit Yet,"0.0%, 0 days","71.43%, Past 5 years, 7","Daily, is CONFIRMED on 2025-10-02",Already confirmed,"2025-10-02 (Price: 2.34), 0.0% below",0 days,"0, 0",9.44%/0.2%/4.97%,"14.79%, 37.69%",118 days/54 days/84 days,2026-03-21/2025-12-19/2026-01-31,1.32%,-3.2%,4.52%,0.12,-0.25,2.4245/2.4563/4.6908/3.575/4.6908/5.9676,2.33/2.0733/No Next Fib Ext Support/No Next Fib Ext Support/2.4686/2.5108,2.38/2.28,80.27%/147/79 days (Across ALL Assets),75.48%/314/84 days (Across ALL Assets)
"HDB, Long, 2025-10-01 (Price: 33.8)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 10","Daily, is CONFIRMED on 2025-10-01",Already confirmed,"2025-10-01 (Price: 33.8), 0.0% below",0 days,"0, 0",16.39%/0.24%/7.68%,"-0.0%, 29.32%",252 days/34 days/91 days,2026-10-01/2025-11-19/2026-02-09,15.79%,7.51%,8.28%,1.12,0.27,34.1448/36.3958/40.717/39.042/40.717/47.4928,31.89/25.6925/32.7076/21.1884/No Fib Ret Level/No Fib Ret Level,36.41/34.47,80.27%/147/79 days (Across ALL Assets),75.48%/314/84 days (Across ALL Assets)
"TCS.NS, Long, 2025-10-01 (Price: 2914.2)",No Exit Yet,"0.0%, 0 days","81.25%, Past 5 years, 16","Daily, is CONFIRMED on 2025-10-01",Already confirmed,"2025-10-01 (Price: 2914.2), 0.0% below",0 days,"0, 0",30.86%/1.04%/13.54%,"4.53%, 25.8%",233 days/42 days/95 days,2026-09-03/2025-11-30/2026-02-15,15.88%,4.53%,11.35%,0.52,0.12,2967.8213/3308.7827/5637.7577/4543.575/5637.7577/6110.9256,2888.4/No Horizontal Support/2637.2425/2286.8248/No Fib Ret Level/No Fib Ret Level,3068.02/3514.85,80.27%/147/79 days (Across ALL Assets),75.48%/314/84 days (Across ALL Assets)
"MCD, Long, 2025-10-01 (Price: 300.52)",No Exit Yet,"0.0%, 0 days","80.0%, Past 5 years, 15","Daily, is CONFIRMED on 2025-10-01",Already confirmed,"2025-10-01 (Price: 300.52), 0.0% below",0 days,"0, 0",25.42%/0.32%/11.09%,"7.43%, 13.54%",217 days/46 days/91 days,2026-08-11/2025-12-06/2026-02-09,21.79%,6.75%,15.04%,0.94,0.23,304.8775/333.8477/370.0426/322.0/370.0426/590.3302,294.48/204.46/254.2758/233.8976/No Fib Ret Level/No Fib Ret Level,306.48/303.27,80.27%/147/79 days (Across ALL Assets),75.48%/314/84 days (Across ALL Assets)
"DOL.TO, Long, 2025-10-01 (Price: 181.79)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 7","Daily, is CONFIRMED on 2025-10-01",Already confirmed,"2025-10-01 (Price: 181.79), 0.0% below",0 days,"0, 0",21.82%/8.78%/15.51%,"0%, 14.27%",155 days/43 days/85 days,2026-05-13/2025-12-02/2026-02-01,39.85%,30.21%,9.64%,3.44,1.4,192.9337/209.9856/194.1559/197.56/194.1559/294.0831,175.34/53.835/132.3972/94.2286/No Fib Ret Level/No Fib Ret Level,189.07/167.59,80.27%/147/79 days (Across ALL Assets),75.48%/314/84 days (Across ALL Assets)
"DBC, Long, 2025-08-01 (Price: 22.09)",2025-10-01 (Price: 22.49) (Today),"1.81%, 43 days","80.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-08-01",Already confirmed,"2025-10-01 (Price: 22.49), 1.81% above",43 days,"0, 0",41.95%/0.8%/11.06%,"9.04%, 13.21%",99 days/40 days/61 days,2025-12-22/2025-09-27/2025-10-28,15.77%,11.26%,4.51%,0.41,0.48,22.4965/24.5332/60.6441/28.58/60.6441/65.878,21.8/19.55/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,22.23/21.93,80.27%/147/79 days (Across ALL Assets),75.48%/314/84 days (Across ALL Assets)
"CNQ.TO, Long, 2025-08-01 (Price: 42.72)",2025-10-01 (Price: 44.26) (Today),"3.6%, 43 days","100.0%, Past 5 years, 7","Daily, was CONFIRMED on 2025-08-01",Already confirmed,"2025-10-01 (Price: 44.26), 3.6% above",43 days,"0, 0",29.49%/10.47%/18.12%,"-0.0%, 20.44%",80 days/56 days/68 days,2025-11-24/2025-10-21/2025-11-07,26.88%,29.09%,-2.21%,1.15,0.99,44.9201/50.4609/65.8353/51.51/65.8353/68.6522,41.83/34.9317/41.121/33.7618/No Fib Ret Level/No Fib Ret Level,43.16/42.96,80.27%/147/79 days (Across ALL Assets),75.48%/314/84 days (Across ALL Assets)
"DBC, Long, 2025-05-01 (Price: 20.67)",2025-10-01 (Price: 22.49) (Today),"8.81%, 109 days","80.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-05-01",Already confirmed,"2025-10-01 (Price: 22.49), 8.81% above",109 days,"0, 0",41.95%/0.8%/11.06%,"9.04%, 13.21%",99 days/40 days/61 days,2025-09-21/2025-06-27/2025-07-28,15.77%,11.26%,4.51%,0.41,0.48,21.0503/22.9561/61.3269/28.58/61.3269/86.3141,20.57/19.405/No Next Fib Ext Support/No Next Fib Ext Support/No Fib Ret Level/No Fib Ret Level,22.23/21.93,80.27%/147/79 days (Across ALL Assets),75.48%/314/84 days (Across ALL Assets)
"QQQ, Long, 2025-04-01 (Price: 472.7)",2025-09-25 (Price: 593.53),"25.56%, 127 days","80.0%, Past 5 years, 10","Daily, was CONFIRMED on 2025-04-01",Already confirmed,"2025-10-01 (Price: 603.25), 27.62% above",131 days,"0, 0",13.92%/7.25%/11.47%,"11.96%, 26.89%",91 days/37 days/59 days,2025-08-10/2025-05-24/2025-06-25,15.27%,15.88%,-0.61%,0.74,0.65,482.674/526.9187/526.8888/539.98/526.8888/563.3658,468.92/258.0333/375.6237/360.3999/No Fib Ret Level/No Fib Ret Level,578.17/526.92,80.27%/147/79 days (Across ALL Assets),75.48%/314/84 days (Across ALL Assets)
