Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-12-12 (Price: 42.83)",Daily,No Exit Yet,46.5562 (Avg % Gain of Historic Winning trades),No Date Target,2.81%/6.81%,"8.17%, 2.3 months","2026-02-20 (Price: 46.33), 8.17% above",54.53 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/47.6312 (Backtested Max),2029-05-16 (Max)/2027-02-10 (Avg),42.72/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/42.82,"100.0%, Past 5 years, 16",43.17,No Information,No Information,No Information,"23.66% (Price: 42.2713), 9.6% above, Upmove Bounce Back","2023-10-06 (Price: 27.385), 2025-10-16 (Price: 46.885)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,18.46%,5.33%,13.13%,2.44,0.28,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-11-05 (Price: 44.425)",Daily,2026-02-20 (Price: 46.33),No Price Target,No Date Target,1.45%/4.23%,"4.29%, 3.6 months","2026-02-20 (Price: 46.33), 4.29% above",47.0016 (Historic Rise or Fall to Pivot)/48.29 (Avg % Gain of Historic Winning trades)/52.28 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/49.405 (Backtested Max),2029-04-09 (Max)/2027-01-04 (Avg),44.42/29.6267/43.7042/35.4254/No F-Track Level/No F-Track Level/42.82,"100.0%, Past 5 years, 16",44.405,No Information,No Information,No Information,"23.66% (Price: 43.7891), 5.8% above, Upmove Bounce Back","2024-07-01 (Price: 33.8), 2025-10-16 (Price: 46.885)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,18.46%,5.33%,13.13%,2.44,0.28,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-06-30 (Price: 40.83)",Monthly,No Exit Yet,46.7626 (Avg % Gain of Historic Winning trades),No Date Target,6.67%/6.81%,"13.47%, 7.8 months","2026-02-20 (Price: 46.33), 13.47% above",49.42 (Function Specific Target)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/49.5554 (Backtested Max),2033-12-01 (Max)/2026-10-25 (Min)/2027-12-03 (Avg),29.46/29.48/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 27 years, 13",40.785,No Information,No Information,No Information,"38.2% (Price: 36.2348), 27.86% above, Upmove Bounce Back","2023-10-31 (Price: 27.385), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,5.35%,2.87%,2.48%,1.11,0.06,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets)
TRENDPULSE,"XLU, Long, 2026-02-10 (Price: 44.2)",Daily,2026-02-18 (Price: 45.61),No Price Target,2026-02-18 (Min),6.81%/40.83%,"4.82%, 10 days","2026-02-20 (Price: 46.33), 4.82% above",49.4858 (F-Stack 1)/65.2454 (F-Stack 2),2026-06-11 (Max)/2026-03-16 (Avg),42.56/29.8725/43.7042/35.4254/No F-Track Level/No F-Track Level/42.6,"85.19%, Past 4 years, 27",43.75,No Information,No Information,No Information,No Information,No Information,6.87% above/4.82% above/4.82% above,4.38%/0.62%/2.23%,"10.13%, 19.69%",2.8 months/6 days/24 days,8.66%,2.65%,6.01%,0.1,0.09,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
OSCILLATOR DELTA,"XLU, Long, 2026-01-28 (Price: 43.33)",Daily,2026-02-19 (Price: 46.11),No Price Target,No Date Target,2.04%/6.63%,"6.92%, 23 days","2026-02-20 (Price: 46.33), 6.92% above",47.273 (Avg % Gain of Historic Winning trades)/49.4 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/55.0941 (Backtested Max),2026-12-28 (Max)/2026-05-20 (Avg),No Recent Minima/29.8725/35.4254/30.3912/No F-Track Level/No F-Track Level/42.82,"80.0%, Past 6 years, 15",43.5,No Information,No Information,No Information,No Information,No Information,No Information,27.15%/5.01%/9.1%,"11.19%, 14.07%",7.7 months/10 days/2.6 months,16.95%,4.08%,12.87%,0.47,0.18,100.0%/41/27 days (Across ALL Assets),83.5%/400/27 days (Across ALL Assets)
TRENDPULSE,"PG, Long, 2025-09-17 (Price: 160.33)",Daily,2026-02-19 (Price: 158.56),No Price Target,No Date Target,0.63%/1.2%,"0.28%, 5.2 months","2026-02-20 (Price: 160.78), 0.28% above",162.7029 (Historic Rise or Fall to Pivot)/163.6649 (Avg % Gain of Historic Winning trades)/172.13 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/163.68 (EMA 200)/166.9677 (Backtested Max)/161.789 (Backtested Min),No Next Date Target,156.83/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.0%, Past 4 years, 25",158.43,No Information,No Information,No Information,No Information,No Information,1.73% above/0.28% above/0.28% above,4.14%/0.91%/2.08%,"6.35%, 12.85%",3.3 months/7 days/1.1 month,9.02%,2.82%,6.2%,0.37,0.09,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"PG, Long, 2025-07-23 (Price: 158.28)",Daily,2026-02-19 (Price: 158.56),No Price Target,No Date Target,0.49%/2.52%,"1.58%, 7.1 months","2026-02-20 (Price: 160.78), 1.58% above",161.5722 (Avg % Gain of Historic Winning trades)/165.91 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/166.21 (EMA 200)/164.8328 (Backtested Max),No Next Date Target,152.68/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.0%, Past 4 years, 25",158.22,No Information,No Information,No Information,No Information,No Information,1.55% above/1.58% above/1.58% above,4.14%/0.91%/2.08%,"6.35%, 12.85%",3.3 months/7 days/1.1 month,9.02%,2.82%,6.2%,0.37,0.09,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"PG, Long, 2025-05-27 (Price: 167.76)",Daily,2026-02-19 (Price: 158.56),No Price Target,No Date Target,5.89%/6.51%,"-4.16%, 9 months","2026-02-20 (Price: 160.78), 4.16% below",170.2428 (Historic Rise or Fall to Pivot)/171.2494 (Avg % Gain of Historic Winning trades)/175.1 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/174.7053 (Backtested Max),No Next Date Target,157.66/121.86/161.0808/140.2317/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.0%, Past 4 years, 25",165.27,No Information,No Information,No Information,No Information,No Information,3.06% below/4.16% below/4.16% below,4.14%/0.91%/2.08%,"6.35%, 12.85%",3.3 months/7 days/1.1 month,9.02%,2.82%,6.2%,0.37,0.09,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",Monthly,2026-02-20 (Price: 200.15),No Price Target,No Date Target,25.58%/68.89%,"13.52%, 6.8 months","2026-02-20 (Price: 200.15), 13.52% above",338.0392 (Historic Rise or Fall to Pivot)/355.6878 (Avg % Gain of Historic Winning trades)/251.3512 (F-Stack 2)/512.4979 (Backtested Max),2029-02-23 (Max)/2026-03-09 (Min)/2026-11-12 (Avg),97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,"87.5%, Past 20 years, 16",138.77,No Information,No Information,No Information,No Information,No Information,80.75% above/38.84% above/13.52% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-02-29 (Price: 192.53)",Monthly,2026-02-20 (Price: 200.15),No Price Target,No Date Target,84.43%/94.06%,"3.96%, 2 years","2026-02-20 (Price: 200.15), 3.96% above",369.1378 (Historic Rise or Fall to Pivot)/388.41 (Avg % Gain of Historic Winning trades)/559.6462 (Backtested Max),2027-09-24 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/124.45,"87.5%, Past 20 years, 16",169.27,No Information,No Information,No Information,No Information,No Information,35.78% above/10.06% above/3.96% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
