Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-11-16 (Price: 3.45)",Weekly,2025-12-30 (Price: 3.65) (Today),3.6453 (Backtested Max),No Date Target,4.66%/118.77%,"5.8%, 1.5 month","2025-12-30 (Price: 3.65), 5.8% above",3.82 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2027-06-12 (Max)/2026-04-17 (Min)/2027-01-24 (Avg),2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.17,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,4.58% above/5.8% above/5.8% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-10-05 (Price: 3.48)",Weekly,2025-12-30 (Price: 3.65) (Today),3.6488 (Avg % Gain of Historic Winning trades),No Date Target,0.74%/66.58%,"4.89%, 2.9 months","2025-12-30 (Price: 3.65), 4.89% above",6.08 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/3.677 (Backtested Max),2027-05-01 (Max)/2026-03-06 (Min)/2026-12-13 (Avg),2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.11,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,16.24% above/4.89% above/4.89% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-03-02 (Price: 3.39)",Weekly,2025-12-30 (Price: 3.65) (Today),No Price Target,No Date Target,9.86%/118.77%,"7.67%, 10.1 months","2025-12-30 (Price: 3.65), 7.67% above",4.01 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2026-09-26 (Max)/2026-05-10 (Avg),2.78/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.02,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,9.28% above/7.67% above/7.67% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-02-23 (Price: 3.34)",Weekly,2025-12-30 (Price: 3.65) (Today),No Price Target,No Date Target,118.77%/248.37%,"9.28%, 10.3 months","2025-12-30 (Price: 3.65), 9.28% above",7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2026-09-19 (Max)/2026-05-03 (Avg),2.78/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.03,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,14.78% above/9.28% above/9.28% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-11-10 (Price: 38.12)",Daily,No Exit Yet,No Price Target,2026-01-01 (Avg),2.42%/3.97%,"-1.23%, 1.7 month","2025-12-30 (Price: 37.65), 1.23% below",40.2395 (Historic Rise or Fall to Pivot)/39.5991 (Avg % Gain of Historic Winning trades)/38.56 (Exit Rule)/39.1438 (Horizontal)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.3132 (Backtested Max),2026-04-11 (Max)/2026-01-01 (Avg),35.0/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.0,"84.09%, Past 4 years, 44",No Information,No Information,No Information,No Information,No Information,2.21% below/1.23% below/1.23% below,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,-16.19%,6.47%,-22.66%,-0.13,0.33,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-11-06 (Price: 38.14)",Daily,No Exit Yet,No Price Target,2025-12-28 (Avg),3.97%/5.23%,"-1.28%, 1.8 month","2025-12-30 (Price: 37.65), 1.28% below",40.2606 (Historic Rise or Fall to Pivot)/39.6198 (Avg % Gain of Historic Winning trades)/39.1438 (Horizontal)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.3354 (Backtested Max),2026-04-07 (Max),35.0/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.01,"84.09%, Past 4 years, 44",No Information,No Information,No Information,No Information,No Information,1.28% below/1.28% below/1.28% below,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,-16.19%,6.47%,-22.66%,-0.13,0.33,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2024-09-08 (Price: 37.4)",Weekly,2025-12-28 (Price: 37.86),No Price Target,No Date Target,6.21%/8.71%,"0.67%, 1.3 year","2025-12-30 (Price: 37.65), 0.67% above",43.7879 (Historic Rise or Fall to Pivot)/40.953 (Avg % Gain of Historic Winning trades)/45.55 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/44.0161 (Backtested Max)/39.9881 (Backtested Min),No Next Date Target,23.8/22.675/30.9793/26.1935/No F-Track Level/No F-Track Level/27.55,"100.0%, Past 10 years, 15",No Information,No Information,No Information,No Information,No Information,6.36% above/0.67% above/0.67% above,17.69%/6.92%/9.5%,"-0.0%, 27.7%",3.3 months/1.2 month/2.4 months,12.27%,12.4%,-0.13%,1.68,0.68,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
FRACTAL TRACK,"CNQ.TO, Long, 2025-12-18 (Price: 43.41)",Daily,No Exit Yet,46.5485 (Backtested Min),No Date Target,2.68%/3.14%,"7.05%, 12 days","2025-12-30 (Price: 46.47), 7.05% above",47.7163 (Avg % Gain of Historic Winning trades)/47.93 (Exit Rule)/51.51 (Horizontal)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/48.1113 (Backtested Max),2027-01-30 (Max)/2026-02-03 (Min)/2026-06-18 (Avg),43.0/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 12",No Information,No Information,No Information,"78.6% (Price: 43.2814), 7.37% above, Upmove Bounce Back","2025-10-21 (Price: 41.67), 2025-11-20 (Price: 49.2)",No Information,10.83%/7.23%/9.92%,"-0.0%, 17.04%",9.4 months/1.1 month/4.2 months,20.54%,16.68%,3.86%,1.1,0.86,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
TRENDPULSE,"CNQ.TO, Long, 2025-11-23 (Price: 47.11)",Weekly,No Exit Yet,No Price Target,2026-01-02 (Min),3.5%/8.55%,"-1.36%, 1.2 month","2025-12-30 (Price: 46.47), 1.36% below",48.0946 (Historic Rise or Fall to Pivot)/50.4454 (Avg % Gain of Historic Winning trades)/63.28 (Exit Rule)/51.51 (Horizontal)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/56.1127 (Backtested Max),2026-04-24 (Max)/2026-01-02 (Min)/2026-02-09 (Avg),41.23/34.9317/46.0303/41.121/No F-Track Level/No F-Track Level/42.96,"95.45%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,4.66% above/2.29% below/1.36% below,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2.78%,3.8%,-1.02%,0.61,0.23,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-10-19 (Price: 222.18)",Weekly,2025-12-30 (Price: 181.92) (Today),No Price Target,No Date Target,27.6%/28.95%,"-18.12%, 2.4 months","2025-12-30 (Price: 181.92), 18.12% below",234.5776 (Historic Rise or Fall to Pivot)/235.8885 (Avg % Gain of Historic Winning trades)/235.23 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/316.3836 (F-Stack 2)/237.72 (EMA 200)/240.1544 (Backtested Max)/232.1337 (Backtested Min),2027-10-17 (Max)/2026-06-19 (Avg),212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.48%/6.17%,"0%, 11.31%",1.4 year/14 days/5.6 months,6.24%,7.2%,-0.96%,3.72,0.43,96.88%/32/0 days (Across ALL Assets),88.57%/105/0 days (Across ALL Assets)
