Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"SUM.NZ, Long, 2025-12-02 (Price: 12.48)",No Exit Yet,"0.0%, 0 days","96.55%, Past 5 years, 29","Daily, is CONFIRMED on 2025-12-02",Already confirmed,"2025-12-02 (Price: 12.48), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 12.2582), 1.81% above, Upmove Bounce Back","2025-08-27 (Price: 10.51), 2025-11-18 (Price: 12.8)",No Information,7.52%/0.86%/3.34%,"1.14%, 17.77%",3.1 months/12 days/1.4 month,2026-04-14/2025-12-19/2026-02-02,16.56%,2.28%,14.28%,0.28,0.03,12.4925/12.8968/13.85/13.345/16.7981/18.5763/No Moving Avg Target,12.29/9.1367/11.1928/8.9354/12.5875/12.8318/11.43,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"NVDA, Long, 2025-12-02 (Price: 181.46)",No Exit Yet,"0.0%, 0 days","86.84%, Past 6 years, 38","Daily, is Confirmed on 2025-12-02",No Cancellation Possible,"2025-12-02 (Price: 181.46), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,21.7%/5.08%/10.25%,"14.32%, 16.64%",1.8 month/2 days/9 days,2026-02-19/2025-12-04/2025-12-15,166.42%,81.52%,84.9%,0.34,2.03,194.7247/200.0597/190.53/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/13.9695/129.8234/89.3715/182.4801/164.2223/154.1,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"AAPL, Long, 2025-12-02 (Price: 286.19)",No Exit Yet,"0.0%, 0 days","81.25%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-02",Already confirmed,"2025-12-02 (Price: 286.19), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,1.09% above/0.0% below/0.0% below,7.36%/0.78%/3.4%,"13.77%, 30.22%",2.6 months/4 days/23 days,2026-03-24/2025-12-07/2026-01-04,8.33%,26.41%,-18.08%,0.18,0.92,289.3667/295.9205/340.15/No Horizontal Resistance/275.1059/297.1089/No Moving Avg Target,266.25/136.57/248.4166/236.3611/259.4362/242.2514/227.61,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"BABA, Long, 2025-12-01 (Price: 164.26)",No Exit Yet,"-1.91%, 1 day","76.19%, Past 6 years, 42","Daily, is Confirmed on 2025-12-01",No Cancellation Possible,"2025-12-02 (Price: 161.13), 1.91% below",1 day,No Information,No Information,No Information,No Information,No Information,No Information,16.48%/5.33%/8.72%,"17.74%, 17.74%",2.1 months/1 day/11 days,2026-03-02/2025-12-02/2025-12-16,26.59%,-1.07%,27.65%,0.13,0.14,173.36/178.5835/183.97/No Horizontal Resistance/399.1612/524.2534/No Moving Avg Target,No Recent Minima/67.495/144.416/811.577/No F-Track Level/No F-Track Level/135.89,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
OSCILLATOR DELTA,"IFT.NZ, Long, 2025-12-01 (Price: 11.6)",No Exit Yet,"1.29%, 1 day","86.96%, Past 6 years, 23","Daily, is Confirmed on 2025-12-01",No Cancellation Possible,"2025-12-02 (Price: 11.75), 1.29% above",1 day,No Information,No Information,No Information,No Information,No Information,No Information,20.52%/5.06%/8.27%,"21.0%, 21.0%",2.6 months/13 days/1.3 month,2026-03-22/2025-12-19/2026-01-25,17.79%,15.95%,1.84%,0.14,0.6,12.1034/12.5593/12.18/11.925/18.927/29.733/No Moving Avg Target,No Recent Minima/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.33,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"SLV, Long, 2025-12-01 (Price: 52.52)",No Exit Yet,"1.16%, 1 day","100.0%, Past 4 years, 13","Daily, is CONFIRMED on 2025-12-01",Already confirmed,"2025-12-02 (Price: 53.13), 1.16% above",1 day,No Information,No Information,No Information,No Information,No Information,9.77% above/1.16% above/1.16% above,9.5%/2.69%/5.62%,"-0.0%, 15.17%",2.2 months/4 days/15 days,2026-03-05/2025-12-06/2025-12-22,113.36%,17.43%,95.93%,1.35,0.62,54.9727/55.4716/57.21/No Horizontal Resistance/48.7992/52.3128/No Moving Avg Target,45.3/18.99/45.3667/37.8142/No F-Track Level/No F-Track Level/35.39,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"CNR.TO, Long, 2025-12-01 (Price: 133.81)",No Exit Yet,"0.3%, 1 day","86.11%, Past 4 years, 36","Daily, is CONFIRMED on 2025-12-01",Already confirmed,"2025-12-02 (Price: 134.21), 0.3% above",1 day,No Information,No Information,No Information,No Information,No Information,1.81% above/0.3% above/0.3% above,11.3%/0.17%/2.84%,"18.84%, 26.48%",2.0 month/4 days/10 days,2026-02-24/2025-12-06/2025-12-15,10.09%,1.42%,8.67%,0.18,-0.02,136.4059/137.6102/158.48/173.435/218.156/349.4971/136.95,128.08/127.762/86.815/55.8095/No F-Track Level/No F-Track Level/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-11-30 (Price: 320.12)",No Exit Yet,"-1.28%, 1 day","100.0%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-12-02 (Price: 316.02), 1.28% below",1 day,No Information,No Information,No Information,No Information,No Information,5.46% above/1.28% below/1.28% below,19.02%/3.15%/8.18%,"-0.0%, 15.08%",4.3 months/24 days/1.6 month,2026-06-04/2026-01-03/2026-02-06,35.83%,21.1%,14.73%,1.74,0.79,353.2204/346.3058/411.73/No Horizontal Resistance/285.4807/322.8294/No Moving Avg Target,147.74/84.51/240.3589/219.0619/No F-Track Level/No F-Track Level/203.2,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-11-30 (Price: 1007.6)",No Exit Yet,"-1.77%, 1 day","90.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-02 (Price: 989.8), 1.77% below",1 day,No Information,No Information,No Information,No Information,No Information,1.77% below/1.77% below/1.77% below,54.15%/5.97%/24.32%,"11.13%, 17.76%",9.4 months/3.6 months/6.6 months,2027-01-12/2026-05-03/2026-09-14,15.97%,19.29%,-3.32%,0.9,0.75,1134.6584/1252.6483/1179.9/1009.6/1098.0619/1305.7899/No Moving Avg Target,701.7/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/956.63,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"XIU.TO, Long, 2025-11-30 (Price: 46.43)",No Exit Yet,"-0.93%, 1 day","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-11-30",Already confirmed,"2025-12-02 (Price: 46.0), 0.93% below",1 day,No Information,No Information,No Information,No Information,No Information,2.75% above/1.39% above/0.93% below,13.41%/2.94%/9.31%,"6.95%, 19.49%",10.1 months/2.8 months/4.8 months,2027-02-13/2026-03-31/2026-06-26,8.8%,4.94%,3.87%,0.91,0.11,49.3412/50.7526/56.48/No Horizontal Resistance/53.8646/79.5406/No Moving Avg Target,28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/41.03,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
