"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"USCI, Long, 2025-11-25 (Price: 76.97)",No Exit Yet,"1.18%, 1 day","100.0%, Past 5 years, 4","Daily, was CONFIRMED on 2025-11-25",No Cancellation Possible,"2025-11-26 (Price: 77.88), 1.18% above",1 day,30.17%/1.73%/14.57%,"0%, 16.38%",1.2 year/1.8 month/7.2 months,2027-07-26/2026-02-12/2026-10-02,15.0%,20.56%,-5.56%,1.24,1.04,80.095/88.1845/84.14/No Horizontal Resistance/81.0354/90.2685/No Moving Avg Target,76.9/38.14/75.2881/67.5442/No F-Track Level/No F-Track Level/73.8,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"USO, Long, 2025-11-25 (Price: 69.25)",No Exit Yet,"1.14%, 1 day","80.0%, Past 5 years, 5","Daily, was CONFIRMED on 2025-11-25",No Cancellation Possible,"2025-11-26 (Price: 70.04), 1.14% above",1 day,58.02%/2.21%/19.36%,"4.17%, 23.64%",7.7 months/2.6 months/4.9 months,2026-10-25/2026-03-19/2026-06-27,18.48%,20.98%,-2.5%,0.58,0.72,76.4935/82.6568/79.58/83.49/No Next Fib Ext/No Next Fib Ext/72.47,67.81/44.03/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"QQQ, Long, 2025-11-20 (Price: 585.67)",No Exit Yet,"4.88%, 4 days","100.0%, Past 5 years, 6","Daily, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-26 (Price: 614.27), 4.88% above",4 days,16.61%/1.3%/11.24%,"0%, 35.62%",1.3 year/1.3 month/5.3 months,2027-10-23/2026-01-16/2026-07-09,16.16%,16.62%,-0.46%,1.87,0.69,630.8252/651.4993/641.16/No Horizontal Resistance/836.2536/910.0135/No Moving Avg Target,563.28/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/544.74,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"MSFT, Long, 2025-11-20 (Price: 478.43)",No Exit Yet,"1.48%, 4 days","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-26 (Price: 485.5), 1.48% above",4 days,27.97%/11.17%/20.93%,"0%, 37.56%",1.3 year/1.5 month/7 months,2027-10-04/2026-01-22/2026-09-20,24.07%,18.64%,5.43%,3.13,0.73,528.9522/578.5654/553.76/No Horizontal Resistance/553.3726/615.9924/No Moving Avg Target,450.18/216.39/386.873/350.287/No F-Track Level/No F-Track Level/467.58,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"^NDX, Long, 2025-11-20 (Price: 24054.3809)",No Exit Yet,"4.92%, 4 days","100.0%, Past 5 years, 6","Daily, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-26 (Price: 25236.9395), 4.92% above",4 days,16.58%/1.28%/11.19%,"0%, 35.56%",1.3 year/1.3 month/5.3 months,2027-10-23/2026-01-16/2026-07-09,16.1%,16.65%,-0.55%,2.17,0.69,25901.7574/26746.0661/26323.91/No Horizontal Resistance/33965.62/36701.6323/No Moving Avg Target,23142.58/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level/22383.98,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"^DJI, Long, 2025-11-20 (Price: 45752.2617)",No Exit Yet,"3.66%, 4 days","85.71%, Past 5 years, 7","Daily, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-26 (Price: 47427.1211), 3.66% above",4 days,13.32%/1.83%/7.11%,"2.57%, 21.94%",6.7 months/1.3 month/3.6 months,2026-09-05/2026-01-14/2026-04-26,10.49%,11.05%,-0.56%,1.13,0.55,47568.6265/49005.2475/48286.94/No Horizontal Resistance/54129.8938/83218.843/No Moving Avg Target,45479.6/32154.0552/36151.8794/25040.9446/No F-Track Level/No F-Track Level/43933.0,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"DIA, Long, 2025-11-20 (Price: 458.1)",No Exit Yet,"3.55%, 4 days","100.0%, Past 5 years, 6","Daily, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-26 (Price: 474.35), 3.55% above",4 days,13.22%/1.05%/6.03%,"0%, 21.9%",1.1 year/1.3 month/5.2 months,2027-05-27/2026-01-14/2026-07-03,9.38%,11.05%,-1.67%,1.41,0.55,474.4084/485.7234/480.07/No Horizontal Resistance/538.1343/826.9871/No Moving Avg Target,454.87/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/439.5,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"EFA, Long, 2025-11-20 (Price: 91.24)",No Exit Yet,"3.98%, 4 days","75.0%, Past 5 years, 4","Daily, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-26 (Price: 94.87), 3.98% above",4 days,22.46%/13.8%/16.71%,"16.49%, 26.41%",1.0 year/3.8 months/8.8 months,2027-05-05/2026-05-04/2026-12-05,7.02%,7.76%,-0.74%,0.45,0.3,93.6031/106.4862/100.04/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,90.58/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/88.55,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"BPCL.NS, Long, 2025-08-01 (Price: 317.85)",2025-11-21 (Price: 364.55),"14.69%, 3.7 months","87.5%, Past 5 years, 8","Daily, was CONFIRMED on 2025-08-01",No Cancellation Possible,"2025-11-27 (Price: 363.95), 14.5% above",3.9 months,16.41%/4.54%/8.38%,"10.16%, 35.86%",7.2 months/1.3 month/3.7 months,2026-06-11/2025-09-25/2026-01-07,10.39%,15.69%,-5.3%,0.6,0.59,329.9919/344.4858/337.24/343.7375/372.4081/393.108/No Moving Avg Target,309.75/145.35/295.7614/248.4289/No F-Track Level/No F-Track Level/315.76,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
"SOXX, Long, 2025-03-16 (Price: 201.12)",2025-11-23 (Price: 270.83),"34.66%, 8.4 months","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2025-03-16",No Cancellation Possible,"2025-11-27 (Price: 291.39), 44.88% above",8.5 months,184.44%/3.33%/63.94%,"-0.0%, 33.46%",2.4 years/7.1 months/1.3 year,2028-07-27/2026-01-19/2027-01-08,18.84%,20.64%,-1.8%,0.8,0.78,199.7323/329.7161/264.72/239.6067/254.997/301.3628/235.51,198.39/95.6666/161.2/103.2303/No F-Track Level/No F-Track Level/No Moving Avg Support,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
