Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Market Cap (USD)
DELTADRIFT,"TRI.TO, Long, 2025-11-12 (Price: 193.75)",Daily,2025-12-08 (Price: 179.74),No Price Target,2025-12-08 (Max),10.63%/12.17%,"-7.45%, 28 days","2025-12-10 (Price: 179.32), 7.45% below",203.9025 (Historic Rise or Fall to Pivot)/198.3806 (Avg % Gain of Historic Winning trades)/201.14 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/241.95 (EMA 200)/202.275 (Backtested Max),No Next Date Target,190.0/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 4 years, 10",No Information,No Information,No Information,No Information,No Information,No Information,4.4%/1.26%/2.39%,"6.63%, 6.63%",18 days/2 days/7 days,5.76%,2.96%,2.8%,0.14,0.1,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),80.82B
DELTADRIFT,"TRI.TO, Long, 2025-10-19 (Price: 222.18)",Weekly,2025-12-10 (Price: 179.32) (Today),No Price Target,No Date Target,29.45%/30.82%,"-19.29%, 1 day","2025-12-10 (Price: 179.32), 19.29% below",234.5776 (Historic Rise or Fall to Pivot)/235.8885 (Avg % Gain of Historic Winning trades)/235.23 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/316.3836 (F-Stack 2)/241.95 (EMA 200)/240.1544 (Backtested Max)/232.1337 (Backtested Min),2027-10-17 (Max)/2026-06-19 (Avg),212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.48%/6.17%,"0%, 11.31%",1 day/14 days/5 days,6.24%,7.2%,-0.96%,3.72,0.43,96.88%/32/0 days (Across ALL Assets),88.57%/105/0 days (Across ALL Assets),80.82B
SIGMASHELL,"TRI.TO, Long, 2025-09-02 (Price: 244.88)",Daily,No Exit Yet,No Price Target,2025-12-10 (Max),37.87%/38.29%,"-26.77%, 3 days","2025-12-10 (Price: 179.32), 26.77% below",247.99 (Historic Rise or Fall to Pivot)/268.413 (Avg % Gain of Historic Winning trades)/293.2329 (Exit Rule)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/277.4001 (Backtested Max)/247.2308 (Backtested Min),No Next Date Target,231.86/117.9612/193.124/131.2534/No F-Track Level/No F-Track Level/241.95,"90.0%, Past 5 years, 10","-9.0, 100.0",No Information,No Information,No Information,No Information,No Information,13.28%/0.96%/9.61%,"5.24%, 12.83%",2 days/1 day/1 day,11.85%,6.18%,5.67%,0.52,0.33,91.43%/70/0 days (Across ALL Assets),75.11%/237/0 days (Across ALL Assets),80.82B
FRACTAL TRACK,"CNR.TO, Long, 2025-11-26 (Price: 132.03)",Daily,2025-12-09 (Price: 135.38),No Price Target,No Date Target,3.32%/6.25%,"2.67%, 14 days","2025-12-10 (Price: 135.56), 2.67% above",144.0315 (Avg % Gain of Historic Winning trades)/140.06 (Exit Rule)/167.5729 (Horizontal)/218.156 (F-Stack 1)/349.4971 (F-Stack 2)/146.8966 (Backtested Max),2027-10-04 (Max)/2025-12-22 (Min)/2026-09-30 (Avg),128.08/127.762/86.815/55.8095/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 13",No Information,No Information,No Information,"61.8% (Price: 131.225), 3.3% above, Upmove Bounce Back","2025-09-11 (Price: 126.11), 2025-10-31 (Price: 139.5)",No Information,11.26%/0.33%/9.09%,"-0.0%, 14.35%",1 day/18 days/7 days,16.8%,-0.9%,17.7%,0.98,-0.19,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),84.62B
TRENDPULSE,"CNR.TO, Long, 2025-12-01 (Price: 133.81)",Daily,2025-12-08 (Price: 136.2),No Price Target,No Date Target,2.3%/5.6%,"1.31%, 9 days","2025-12-10 (Price: 135.56), 1.31% above",138.6807 (Historic Rise or Fall to Pivot)/158.48 (Exit Rule)/173.435 (Horizontal)/218.156 (F-Stack 1)/349.4971 (F-Stack 2)/143.1499 (Backtested Max),2026-04-01 (Max)/2025-12-24 (Avg),128.08/127.762/86.815/55.8095/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.0%, Past 4 years, 25",No Information,No Information,No Information,No Information,No Information,2.84% above/1.31% above/1.31% above,6.98%/0.37%/2.17%,"18.84%, 26.48%",2 days/4 days/16 days,5.85%,1.19%,4.66%,0.01,-0.01,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),84.62B
TRENDPULSE,"WPM.TO, Long, 2025-11-28 (Price: 153.47)",Daily,No Exit Yet,155.78 (Exit Rule),No Date Target,3.53%/6.1%,"1.46%, 12 days","2025-12-10 (Price: 155.71), 1.46% above",165.2105 (Historic Rise or Fall to Pivot)/161.2049 (Avg % Gain of Historic Winning trades)/180.0371 (F-Stack 1)/199.4231 (F-Stack 2)/167.4204 (Backtested Max),2026-06-07 (Max)/2026-01-10 (Avg),139.91/52.782/146.152/133.3839/No F-Track Level/No F-Track Level/125.98,"78.95%, Past 4 years, 19",No Information,No Information,No Information,No Information,No Information,4.2% above/1.46% above/1.46% above,9.09%/1.23%/5.04%,"19.7%, 28.41%",4 days/6 days/1 day,12.04%,18.03%,-5.99%,0.06,0.87,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),70.70B
TRENDPULSE,"WPM.TO, Long, 2025-09-21 (Price: 148.53)",Weekly,No Exit Yet,155.9565 (Backtested Min),No Date Target,1.47%/6.06%,"4.83%, 2 days","2025-12-10 (Price: 155.71), 4.83% above",158.0062 (Historic Rise or Fall to Pivot)/165.1505 (Avg % Gain of Historic Winning trades)/187.3 (Exit Rule)/178.0989 (F-Stack 2)/188.7668 (Backtested Max),2026-03-31 (Max)/2026-01-11 (Avg),82.12/48.855/125.9496/92.3678/No F-Track Level/No F-Track Level/111.59,"86.67%, Past 10 years, 30",No Information,No Information,No Information,No Information,No Information,4.83% above/4.83% above/4.83% above,27.09%/5.0%/11.19%,"14.05%, 49.41%",4 days/1 day/2 days,3.49%,6.66%,-3.17%,0.68,0.35,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),70.70B
FRACTAL TRACK,"NA.TO, Long, 2025-06-30 (Price: 140.52)",Monthly,2025-11-30 (Price: 168.95),170.8442 (Avg % Gain of Historic Winning trades),No Date Target,4.78%/8.97%,"23.21%, 5 days","2025-12-10 (Price: 173.13), 23.21% above",222.66 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/181.4113 (Backtested Max),2032-01-22 (Max)/2025-12-20 (Min)/2027-08-21 (Avg),118.77/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/139.86,"92.86%, Past 42 years, 14",No Information,No Information,No Information,"23.66% (Price: 108.7595), 59.19% above, Upmove Bounce Back","1995-01-31 (Price: 4.25), 2024-12-31 (Price: 141.15)",No Information,29.1%/8.19%/21.58%,"3.99%, 52.46%",4 days/4 days/1 day,8.81%,8.57%,0.24%,1.75,0.52,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),67.90B
TRENDPULSE,"NA.TO, Long, 2025-11-28 (Price: 168.95)",Daily,2025-12-10 (Price: 173.13) (Today),173.2582 (Avg % Gain of Historic Winning trades),No Date Target,1.39%/1.82%,"2.47%, 12 days","2025-12-10 (Price: 173.13), 2.47% above",175.539 (Historic Rise or Fall to Pivot)/196.84 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/176.2824 (Backtested Max),2026-04-07 (Max)/2026-01-03 (Avg),147.83/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/138.03,"78.26%, Past 4 years, 23",No Information,No Information,No Information,No Information,No Information,2.47% above/2.47% above/2.47% above,4.34%/1.0%/2.55%,"4.62%, 23.98%",3 days/6 days/25 days,10.68%,10.38%,0.3%,0.34,0.57,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),67.90B
TRENDPULSE,"HDFCBANK.NS, Long, 2025-10-29 (Price: 1007.85)",Daily,No Exit Yet,No Price Target,2025-12-11 (Avg),3.05%/3.77%,"-1.79%, 1 day","2025-12-10 (Price: 989.8), 1.79% below",1027.0999 (Historic Rise or Fall to Pivot)/1043.8302 (Avg % Gain of Historic Winning trades)/1034.52 (Exit Rule)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1089.9898 (Backtested Max)/1019.9442 (Backtested Min),2026-03-08 (Max)/2025-12-11 (Avg),945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/939.21,"100.0%, Past 4 years, 22",No Information,No Information,No Information,No Information,No Information,1.79% below/1.79% below/1.79% below,8.15%/1.2%/3.57%,"-0.0%, 11.99%",3 days/4 days/1 day,15.51%,5.46%,10.05%,1.19,0.28,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),15225.57B
