"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"XLY, Long, 2026-02-25 (Price: 117.09)",No Exit Yet,"0.0%, 0 days","93.75%, Past 5 years, 16","Daily, is CONFIRMED on 2026-02-25",Already confirmed,"2026-02-25 (Price: 117.09), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 111.4871),5.03% above,"2023-03-13 (Price: 67.855), 2026-01-12 (Price: 125.01)",12.8%/0.83%/7.78%,"5.33%, 39.96%",3 years/21 days/8.7 months,2030-06-08/2026-03-27/2027-03-10,13.85%,5.91%,7.94%,1.09,0.3,119.9704/126.1996/151.38/122.0862/125.4815/149.5056/No EMA 200 Target,114.99/66.775/97.0194/64.5812/115.9104/110.3183/115.47,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),116.98
"JETS, Long, 2026-02-25 (Price: 28.91)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 11","Daily, is CONFIRMED on 2026-02-25",Already confirmed,"2026-02-25 (Price: 28.91), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 28.3924),1.82% above,"2025-11-20 (Price: 23.64), 2026-02-11 (Price: 31.33)",14.21%/6.23%/11.39%,"-0.0%, 40.54%",3.2 years/3.2 months/1.3 year,2030-09-20/2026-07-14/2028-01-03,15.27%,1.91%,13.36%,2.44,0.11,30.951/32.2028/33.52/No Horizontal Resistance/36.0778/41.7471/No EMA 200 Target,28.51/14.732/No F-Stack Support/No F-Stack Support/28.2697/28.665/25.67,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),28.98
"SJ.TO, Long, 2026-02-25 (Price: 95.6)",No Exit Yet,"0.0%, 0 days","93.75%, Past 5 years, 16","Daily, is CONFIRMED on 2026-02-25",Already confirmed,"2026-02-25 (Price: 95.6), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 94.7491),0.9% above,"2025-08-07 (Price: 73.58), 2026-02-11 (Price: 101.31)",14.92%/10.1%/11.67%,"0.73%, 33.9%",1.8 year/1 month/5.3 months,2028-09-20/2026-04-09/2026-10-13,26.35%,9.97%,16.38%,1.63,0.54,103.162/106.7565/112.24/No Horizontal Resistance/108.5192/133.8092/No EMA 200 Target,94.6/38.015/50.2755/47.8005/92.0708/86.3929/82.3,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),95.37
"HDFCBANK.NS, Long, 2026-02-25 (Price: 907.6)",No Exit Yet,"0.0%, 0 days","85.71%, Past 20 years, 21","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 901.0 prior to 2026-02-27,"2026-02-25 (Price: 907.6), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 891.107),1.85% above,"2024-02-18 (Price: 681.775), 2025-10-26 (Price: 1020.5)",22.05%/6.26%/16.28%,"4.97%, 33.13%",1.6 year/7 days/6.7 months,2028-06-08/2026-03-07/2026-12-13,12.4%,12.41%,-0.01%,1.46,0.67,977.6667/1055.3573/1110.84/1009.6/1299.7536/1565.406/974.61,903.9/640.9/762.8018/626.4465/891.107/851.1375/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),916.5
"C6L.SI, Long, 2026-02-25 (Price: 7.17)",No Exit Yet,"0.0%, 0 days","87.5%, Past 40 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 6.23 prior to 2026-02-27,"2026-02-25 (Price: 7.17), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 6.2388),14.93% above,"2024-08-31 (Price: 5.86), 2025-07-31 (Price: 7.63)",36.54%/6.45%/24.21%,"1.62%, 16.22%",2.6 years/8.1 months/1.5 year,2029-11-11/2027-02-11/2028-04-17,7.09%,-1.77%,8.86%,0.77,-0.19,7.3822/8.9059/8.23/No Horizontal Resistance/15.4629/16.7442/No EMA 200 Target,6.35/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/6.7,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),6.35
"IFT.NZ, Long, 2026-02-25 (Price: 10.86)",No Exit Yet,"0.0%, 0 days","85.71%, Past 31 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 10.6 prior to 2026-02-27,"2026-02-25 (Price: 10.86), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 10.5578),2.86% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-06-08/2026-10-04/2027-09-21,8.62%,8.22%,0.4%,0.91,0.49,12.4944/13.1797/17.92/12.825/13.8771/15.9169/11.53,10.38/7.3167/9.6206/9.1203/No support/No support/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),11.05
"PFE, Long, 2026-02-24 (Price: 27.14)",No Exit Yet,"-0.18%, 1 day","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-02-24",Already confirmed,"2026-02-25 (Price: 27.09), 0.18% below",1 day,Upmove Bounce Back,23.66% (Price: 26.9084),0.67% above,"2025-09-25 (Price: 23.58), 2026-02-11 (Price: 27.94)",15.29%/2.93%/10.03%,"3.6%, 19.77%",2.8 months/12 days/1.5 month,2026-06-25/2026-03-13/2026-04-30,10.93%,-6.4%,17.33%,0.41,-0.42,27.4684/29.8621/29.76/55.39/66.4672/73.1352/No EMA 200 Target,26.65/23.345/21.508/20.5265/No F-Track Level/No F-Track Level/24.96,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),27.14
"BPCL.NS, Long, 2026-02-24 (Price: 374.45)",No Exit Yet,"1.76%, 1 day","86.67%, Past 5 years, 15","Daily, was CONFIRMED on 2026-02-24",Already confirmed,"2026-02-25 (Price: 381.05), 1.76% above",1 day,Upmove Bounce Back,50% (Price: 368.575),3.38% above,"2026-01-21 (Price: 345.5), 2026-02-05 (Price: 391.65)",12.45%/1.92%/10.29%,"11.24%, 36.83%",2.2 years/1.2 month/9.6 months,2029-04-16/2026-04-17/2027-04-17,15.95%,8.45%,7.5%,1.08,0.45,396.5425/412.9809/402.14/378.775/393.108/467.0257/No EMA 200 Target,366.3/145.35/372.4081/353.1485/No F-Track Level/No F-Track Level/343.17,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),370.0
"BIPC.TO, Long, 2026-02-24 (Price: 67.19)",No Exit Yet,"0.31%, 1 day","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-02-24",Already confirmed,"2026-02-25 (Price: 67.4), 0.31% above",1 day,Upmove Bounce Back,50% (Price: 65.045),3.62% above,"2026-01-12 (Price: 60.04), 2026-02-12 (Price: 70.05)",12.52%/2.79%/9.56%,"2.3%, 18.18%",8.4 months/14 days/2.7 months,2027-02-24/2026-03-16/2026-06-21,22.95%,1.41%,21.54%,1.2,0.05,68.3255/73.6134/73.2/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,64.42/44.9667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/59.72,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),66.22
"EURUSD=X, Long, 2026-02-23 (Price: 1.179)",No Exit Yet,"-0.14%, 2 days","83.33%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-23",Already confirmed,"2026-02-25 (Price: 1.1774), 0.14% below",2 days,Upmove Bounce Back,23.66% (Price: 1.1893),1.0% below,"2025-11-05 (Price: 1.147), 2026-01-28 (Price: 1.2024)",3.96%/1.06%/2.74%,"1.76%, 8.46%",1.7 year/1.9 month/7.8 months,2028-07-28/2026-05-16/2027-01-27,3.65%,-0.58%,4.23%,0.5,-0.67,1.1851/1.2113/1.21/No Horizontal Resistance/1.6296/1.7649/No EMA 200 Target,No support/1.0069/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.17,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),1.1798
