Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"ETH-USD, Long, 2025-12-03 (Price: 3162.0698)",No Exit Yet,"0.0%, 0 days","96.08%, Past 5 years, 51","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-03 (Price: 3162.0698), 0.0% below",0 days,No Information,No Information,No Information,"61.8% (Price: 2744.2547), 15.23% above, Upmove Bounce Back","2023-03-10 (Price: 1378.5254), 2025-08-24 (Price: 4953.7329)",No Information,141.85%/0.46%/47.9%,"5.15%, 75.81%",2.7 years/2 days/11.4 months,2029-09-20/2025-12-05/2027-04-10,11.91%,55.75%,-43.84%,0.38,0.99,3186.1015/4676.7012/5307.19/4922.7188/5483.4169/7318.9774/3529.81,2800.19/1370.4997/No F-Stack Support/No F-Stack Support/2924.9209/2446.1213/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"MCY.NZ, Long, 2025-12-03 (Price: 6.37)",No Exit Yet,"0.0%, 0 days","83.33%, Past 6 years, 36","Daily, is Confirmed on 2025-12-03",No Cancellation Possible,"2025-12-03 (Price: 6.37), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,13.28%/5.12%/7.39%,"14.5%, 17.58%",2.6 months/2 days/26 days,2026-03-27/2025-12-05/2026-01-09,14.99%,4.77%,10.22%,0.22,0.17,6.6369/6.8407/7.13/7.085/7.8394/8.9737/No Moving Avg Target,No Recent Minima/5.13/5.8309/4.54/7.5404/7.7803/6.21,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"WIPRO.NS, Long, 2025-12-03 (Price: 254.69)",No Exit Yet,"0.0%, 0 days","84.62%, Past 4 years, 26","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-03 (Price: 254.69), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,1.81% above/0.0% below/0.0% below,12.97%/1.23%/3.81%,"4.22%, 15.72%",1.4 month/5 days/13 days,2026-02-03/2025-12-10/2025-12-21,25.69%,10.65%,15.03%,0.61,0.39,266.3803/264.3937/262.3/366.6625/374.6319/404.5107/255.05,236.49/187.6063/184.3156/1127.9829/280.6282/285.992/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"MAR, Long, 2025-12-03 (Price: 306.65)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 24","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-03 (Price: 306.65), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,20.78%/1.46%/5.76%,"-0.0%, 12.09%",2.1 months/4 days/17 days,2026-03-02/2025-12-08/2025-12-27,113.25%,11.5%,101.74%,0.99,0.41,320.3573/324.313/346.41/No Horizontal Resistance/297.0775/313.5051/No Moving Avg Target,282.38/129.12/283.8827/272.6329/284.8127/269.6874/263.65,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"WMT, Long, 2025-12-03 (Price: 114.41)",No Exit Yet,"0.0%, 0 days","96.88%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-03 (Price: 114.41), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,12.24%/0.97%/3.78%,"14.39%, 26.01%",1.8 month/4 days/19 days,2026-02-20/2025-12-08/2025-12-30,43.52%,16.53%,26.99%,0.61,0.68,117.133/118.7347/123.47/No Horizontal Resistance/114.6382/136.6818/No Moving Avg Target,100.61/42.3916/91.6278/82.681/106.5901/101.4894/98.09,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
SIGMASHELL,"CVS, Long, 2025-12-03 (Price: 75.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 9","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-03 (Price: 75.0), 0.0% below",0 days,"-3.45, 75.0",No Information,No Information,No Information,No Information,No Information,21.64%/3.88%/11.16%,"0%, 35.1%",7.8 months/1.6 month/2.6 months,2026-11-06/2026-02-09/2026-03-25,25.69%,7.17%,18.52%,1.78,0.26,78.915/83.37/119.2488/106.045/119.2488/124.7126/No Moving Avg Target,70.26/58.425/74.001/62.2235/74.7109/76.095/69.58,85.95%/121/2.4 months (Across ALL Assets),74.78%/230/2.6 months (Across ALL Assets)
OSCILLATOR DELTA,"NVDA, Long, 2025-12-02 (Price: 181.46)",No Exit Yet,"-1.03%, 1 day","86.84%, Past 6 years, 38","Daily, is Confirmed on 2025-12-02",No Cancellation Possible,"2025-12-03 (Price: 179.59), 1.03% below",1 day,No Information,No Information,No Information,No Information,No Information,No Information,21.7%/5.08%/10.25%,"14.32%, 16.64%",1.8 month/2 days/9 days,2026-02-19/2025-12-04/2025-12-15,166.42%,81.52%,84.9%,0.34,2.03,194.7247/200.0597/190.53/No Horizontal Resistance/239.8943/283.6698/No Moving Avg Target,No Recent Minima/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/154.31,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"AAPL, Long, 2025-12-02 (Price: 286.19)",No Exit Yet,"-0.71%, 1 day","81.25%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-02",Already confirmed,"2025-12-03 (Price: 284.15), 0.71% below",1 day,No Information,No Information,No Information,No Information,No Information,0.37% above/0.71% below/0.71% below,7.36%/0.78%/3.4%,"13.77%, 30.22%",2.6 months/4 days/23 days,2026-03-24/2025-12-07/2026-01-04,8.33%,26.41%,-18.08%,0.18,0.92,289.3667/295.9205/340.15/No Horizontal Resistance/294.7231/309.0801/No Moving Avg Target,266.25/136.57/189.8723/119.0319/No F-Track Level/No F-Track Level/227.61,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"SUM.NZ, Long, 2025-12-02 (Price: 12.48)",No Exit Yet,"0.16%, 1 day","96.55%, Past 5 years, 29","Daily, was CONFIRMED on 2025-12-02",Already confirmed,"2025-12-03 (Price: 12.5), 0.16% above",1 day,No Information,No Information,No Information,"23.66% (Price: 12.2582), 1.97% above, Upmove Bounce Back","2025-08-27 (Price: 10.51), 2025-11-18 (Price: 12.8)",No Information,7.52%/0.86%/3.34%,"1.14%, 17.77%",3.1 months/12 days/1.4 month,2026-04-14/2025-12-19/2026-02-02,16.56%,2.28%,14.28%,0.28,0.03,12.4925/12.8968/13.85/13.345/19.8479/26.5969/No Moving Avg Target,12.29/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level/11.42,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
SIGMASHELL,"IFT.NZ, Long, 2025-12-02 (Price: 11.75)",No Exit Yet,"0.94%, 1 day","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2025-12-02",Already confirmed,"2025-12-03 (Price: 11.86), 0.94% above",1 day,"-3.31, 89.28",No Information,No Information,No Information,No Information,No Information,20.56%/4.86%/12.2%,"0%, 16.37%",3.0 months/1.3 month/1.8 month,2026-04-09/2026-01-27/2026-02-18,30.94%,11.76%,19.18%,2.07,0.47,12.1965/13.1835/18.927/11.925/18.927/29.733/No Moving Avg Target,11.39/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.34,85.95%/121/2.4 months (Across ALL Assets),74.78%/230/2.6 months (Across ALL Assets)
