Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"MCD, Long, 2026-01-22 (Price: 306.03)",Daily,No Exit Yet,329.02 (Function Specific Target),No Date Target,2.79%/11.64%,"8.31%, 21 days","2026-02-12 (Price: 331.475), 8.31% above",370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/340.7338 (Backtested Max),2028-08-17 (Max)/2026-07-17 (Min)/2027-04-01 (Avg),302.84/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/No EMA 200 Support,"93.75%, Past 5 years, 16",306.15,No Information,No Information,No Information,"38.2% (Price: 307.1518), 7.92% above, Upmove Bounce Back","2025-06-26 (Price: 283.47), 2025-12-18 (Price: 321.79)",No Information,11.34%/1.63%/6.81%,"2.66%, 18.2%",1.8 year/4.1 months/10 months,9.72%,5.91%,3.81%,0.88,0.33,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"MCD, Long, 2026-01-08 (Price: 308.88)",Daily,No Exit Yet,329.9147 (Avg % Gain of Historic Winning trades),No Date Target,3.75%/11.64%,"7.32%, 1.2 month","2026-02-12 (Price: 331.475), 7.32% above",370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/343.907 (Backtested Max),2028-08-03 (Max)/2026-07-03 (Min)/2027-03-18 (Avg),299.86/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.68,"93.75%, Past 5 years, 16",303.44,No Information,No Information,No Information,"61.8% (Price: 303.4045), 9.25% above, Upmove Bounce Back","2025-10-09 (Price: 292.04), 2025-12-18 (Price: 321.79)",No Information,11.34%/1.63%/6.81%,"2.66%, 18.2%",1.8 year/4.1 months/10 months,9.72%,5.91%,3.81%,0.88,0.33,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2026-01-27 (Price: 314.13)",Daily,2026-02-11 (Price: 324.12),No Price Target,No Date Target,11.64%/78.09%,"5.52%, 16 days","2026-02-12 (Price: 331.475), 5.52% above",370.0426 (F-Stack 1)/590.3302 (F-Stack 2),2026-07-15 (Max)/2026-03-24 (Avg),302.84/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.33,"85.0%, Past 4 years, 20",312.32,No Information,No Information,No Information,No Information,No Information,5.92% above/5.52% above/5.52% above,4.95%/0.71%/2.34%,"0.45%, 11.38%",3.9 months/6 days/1.3 month,11.02%,4.75%,6.27%,0.76,0.23,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2025-12-18 (Price: 319.65)",Daily,2026-02-12 (Price: 331.475),No Price Target,2026-02-12 (Avg),1.21%/11.64%,"3.7%, 1.9 month","2026-02-12 (Price: 331.475), 3.7% above",382.93 (Function Specific Target)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/335.4727 (Backtested Max),2026-06-05 (Max),300.72/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.22,"85.0%, Past 4 years, 20",319.38,No Information,No Information,No Information,No Information,No Information,4.01% above/3.7% above/3.7% above,4.95%/0.71%/2.34%,"0.45%, 11.38%",3.9 months/6 days/1.3 month,11.02%,4.75%,6.27%,0.76,0.23,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2025-12-07 (Price: 311.23)",Weekly,No Exit Yet,331.989 (Historic Rise or Fall to Pivot),No Date Target,4.08%/11.64%,"6.5%, 2.2 months","2026-02-12 (Price: 331.475), 6.5% above",370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/344.9985 (Backtested Max),2027-02-27 (Max)/2026-06-11 (Avg),297.01/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/305.89,"100.0%, Past 10 years, 19",309.48,No Information,No Information,No Information,No Information,No Information,6.5% above/6.5% above/6.5% above,10.85%/1.47%/4.93%,"-0.0%, 16.82%",10.3 months/1.2 month/4.3 months,7.73%,6.98%,0.75%,1.39,0.42,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
BAND MATRIX,"MCD, Long, 2023-09-03 (Price: 280.94)",Weekly,No Exit Yet,329.964 (Avg % Gain of Historic Winning trades),No Date Target,6.84%/11.64%,"17.99%, 2.5 years","2026-02-12 (Price: 331.475), 17.99% above",370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/354.153 (Backtested Max),2026-10-24 (Max),262.03/171.225/254.2758/233.8976/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 6",284.58,No Information,No Information,No Information,No Information,No Information,No Information,26.06%/7.67%/17.45%,"-0.0%, 31.6%",2.2 years/10.3 months/1.6 year,8.5%,6.97%,1.53%,1.33,0.42,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-12-12 (Price: 42.83)",Daily,No Exit Yet,45.3141 (Historic Rise or Fall to Pivot),No Date Target,2.2%/4.56%,"6.36%, 2.1 months","2026-02-12 (Price: 45.555), 6.36% above",46.5562 (Avg % Gain of Historic Winning trades)/54.53 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/47.6312 (Backtested Max),2029-05-16 (Max)/2027-02-10 (Avg),42.72/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/42.64,"100.0%, Past 5 years, 16",43.17,No Information,No Information,No Information,"23.66% (Price: 42.2713), 7.77% above, Upmove Bounce Back","2023-10-06 (Price: 27.385), 2025-10-16 (Price: 46.885)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,18.46%,5.33%,13.13%,2.44,0.28,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-11-25 (Price: 44.405)",Daily,No Exit Yet,45.6572 (Backtested Min),No Date Target,3.13%/5.96%,"2.59%, 2.6 months","2026-02-12 (Price: 45.555), 2.59% above",46.9805 (Historic Rise or Fall to Pivot)/48.2682 (Avg % Gain of Historic Winning trades)/54.79 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/49.3828 (Backtested Max),2029-04-29 (Max)/2027-01-24 (Avg),44.01/29.6267/43.7042/35.4254/No F-Track Level/No F-Track Level/42.64,"100.0%, Past 5 years, 16",44.69,No Information,No Information,No Information,"23.66% (Price: 42.7883), 6.47% above, Upmove Bounce Back","2024-02-13 (Price: 29.57), 2025-10-16 (Price: 46.885)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,18.46%,5.33%,13.13%,2.44,0.28,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-11-05 (Price: 44.425)",Daily,No Exit Yet,45.6778 (Backtested Min),No Date Target,3.18%/6.0%,"2.54%, 3.3 months","2026-02-12 (Price: 45.555), 2.54% above",47.0016 (Historic Rise or Fall to Pivot)/48.29 (Avg % Gain of Historic Winning trades)/51.25 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/49.405 (Backtested Max),2029-04-09 (Max)/2027-01-04 (Avg),44.42/29.6267/43.7042/35.4254/No F-Track Level/No F-Track Level/42.64,"100.0%, Past 5 years, 16",44.405,No Information,No Information,No Information,"23.66% (Price: 44.1937), 3.08% above, Upmove Bounce Back","2025-04-09 (Price: 35.51), 2025-10-16 (Price: 46.885)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,18.46%,5.33%,13.13%,2.44,0.28,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-03-31 (Price: 39.425)",Monthly,2026-01-31 (Price: 43.25),45.1535 (Avg % Gain of Historic Winning trades),No Date Target,5.04%/8.63%,"15.55%, 10.6 months","2026-02-12 (Price: 45.555), 15.55% above",51.42 (Function Specific Target)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/47.8501 (Backtested Max),2033-09-01 (Max)/2026-07-26 (Min)/2027-09-03 (Avg),29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 27 years, 13",39.57,No Information,No Information,No Information,"23.66% (Price: 36.9765), 23.2% above, Upmove Bounce Back","2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,5.35%,2.87%,2.48%,1.11,0.06,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
