"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"GOOG, Long, 2025-10-31 (Price: 281.82)",No Exit Yet,"0.0%, 0 days","85.71%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 281.82), 0.0% below",0 days,"0, 2020-10-31 (Price: 81.0505)",2025-09-30 (Price: 243.55),2025-10-31 (Price: 281.82),23/0/0 days,15.71% above/0.0% below/0.0% below,2020-10-31 (Price: 126.9444)/2025-10-31 (Price: 221.2778),39.1%/1.54%/23.19%,"3.21%, 17.45%",412 days/76 days/164 days,2027-06-19/2026-02-18/2026-06-25,11.85%,23.51%,-11.66%,1.08,0.83,339.3958/347.1741/402.28/No Horizontal Resistance/306.4481/330.6546,156.23/84.6567/243.1061/191.2921/242.6036/212.2906,244.46/194.01,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"XIU.TO, Long, 2025-10-31 (Price: 45.14)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 45.14), 0.0% below",0 days,"0, 2020-10-31 (Price: 23.53)",2025-08-31 (Price: 42.76),2025-10-31 (Price: 45.14),44/0/0 days,5.57% above/0.0% below/0.0% below,2020-10-31 (Price: 31.0813)/2025-10-31 (Price: 41.0445),13.41%/2.94%/9.9%,"0%, 6.18%",304 days/84 days/170 days,2027-01-14/2026-03-01/2026-07-04,7.06%,4.11%,2.95%,2.85,0.05,52.8725/49.6089/58.11/No Horizontal Resistance/48.3988/56.9776,28.76/28.5233/41.5586/34.9694/41.4166/38.7412,44.24/40.37,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"QQQ, Long, 2025-10-31 (Price: 629.07)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 629.07), 0.0% below",0 days,"0, 2020-10-31 (Price: 269.38)",2025-09-30 (Price: 600.37),2025-10-31 (Price: 629.07),23/0/0 days,4.78% above/0.0% below/0.0% below,2020-10-31 (Price: 364.6767)/2025-10-31 (Price: 567.9074),26.83%/2.45%/11.5%,"0%, 13.09%",369 days/11 days/167 days,2027-04-18/2025-11-15/2026-06-29,8.54%,7.66%,0.88%,1.61,0.27,727.2049/701.413/844.88/No Horizontal Resistance/634.1966/765.0054,468.92/256.995/578.1694/464.7077/546.4514/490.7995,596.73/537.0,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"^GSPC, Long, 2025-10-31 (Price: 6840.2002)",No Exit Yet,"0.0%, 0 days","88.89%, Past 20 years, 9","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 6840.2002), 0.0% below",0 days,"0, 2020-10-31 (Price: 3269.96)",2025-09-30 (Price: 6688.46),2025-10-31 (Price: 6840.2002),23/0/0 days,2.27% above/0.0% below/0.0% below,2020-10-31 (Price: 4279.9133)/2025-10-31 (Price: 6434.7405),15.39%/5.61%/10.47%,"7.48%, 24.77%",631 days/87 days/231 days,2028-05-01/2026-03-06/2026-09-30,6.19%,6.14%,0.05%,1.33,0.2,7862.8101/7556.3692/8982.34/No Horizontal Resistance/6878.3796/7229.888,5569.06/4128.7074/6483.7743/5939.2254/6109.0953/5610.5536,6640.02/6111.52,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"^NDX, Long, 2025-10-31 (Price: 25858.127)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 10","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 25858.127), 0.0% below",0 days,"0, 2020-10-31 (Price: 11052.9502)",2025-09-30 (Price: 24679.9902),2025-10-31 (Price: 25858.127),23/0/0 days,4.77% above/0.0% below/0.0% below,2020-10-31 (Price: 14945.6094)/2025-10-31 (Price: 23342.1479),30.75%/6.45%/16.49%,"0%, 13.1%",304 days/107 days/153 days,2027-01-14/2026-04-03/2026-06-09,9.53%,7.75%,1.78%,1.92,0.28,33817.2585/30122.1321/34741.23/No Horizontal Resistance/25849.2/31284.5255,19278.45/10555.915/22960.0831/19028.9478/22457.6702/20168.8619,24519.3/22067.0,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"^DJI, Long, 2025-10-31 (Price: 47562.8711)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 47562.8711), 0.0% below",0 days,"0, 2021-07-11 (Price: 34870.1602)",2025-10-19 (Price: 46190.6094),2025-10-31 (Price: 47562.8711),9/0/0 days,2.97% above/0.0% below/0.0% below,2021-07-11 (Price: 36111.9479)/2025-10-31 (Price: 45602.9241),6.98%/0.22%/3.64%,"0%, 34.78%",249 days/19 days/106 days,2026-10-26/2025-11-27/2026-04-02,6.14%,9.9%,-3.76%,1.98,0.44,49394.0416/49294.1596/55178.5/No Horizontal Resistance/50924.8674/68852.5953,38314.86/32154.0552/39844.8882/32997.1394/45336.5725/43674.8163,46229.44/43702.44,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
"BNS.TO, Long, 2025-10-31 (Price: 91.99)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 7","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 91.99), 0.0% below",0 days,"0, 2020-10-31 (Price: 55.35)",2025-08-31 (Price: 85.77),2025-10-31 (Price: 91.99),44/0/0 days,7.25% above/0.0% below/0.0% below,2020-10-31 (Price: 101.9929)/2025-10-31 (Price: 75.7694),20.44%/4.28%/14.08%,"0%, 26.01%",719 days/152 days/296 days,2028-09-06/2026-06-08/2027-01-02,6.51%,5.64%,0.87%,2.46,0.16,104.4546/104.9422/113.97/No Horizontal Resistance/95.6649/105.6031,56.15/62.2517/90.1456/81.5516/83.4153/78.0413,88.59/76.35,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"XLU, Long, 2025-10-31 (Price: 89.1)",No Exit Yet,"0.0%, 0 days","83.33%, Past 20 years, 6","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 89.1), 0.0% below",0 days,"0, 2020-10-31 (Price: 62.38)",2025-09-30 (Price: 87.21),2025-10-31 (Price: 89.1),23/0/0 days,2.17% above/0.0% below/0.0% below,2020-10-31 (Price: 67.198)/2025-10-31 (Price: 87.0494),16.63%/9.44%/14.17%,"27.25%, 40.67%",458 days/109 days/214 days,2027-08-25/2026-04-06/2026-09-05,4.63%,3.85%,0.78%,0.4,0.04,100.2999/101.7255/105.13/No Horizontal Resistance/121.7688/179.2513,58.93/59.52/86.2425/64.2863/84.5426/78.872,87.48/82.19,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"ACWX, Long, 2025-10-31 (Price: 66.35)",No Exit Yet,"0.0%, 0 days","75.0%, Past 20 years, 4","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 66.35), 0.0% below",0 days,"2, 2023-06-30 (Price: 49.22)",2025-10-31 (Price: 66.35),2025-10-31 (Price: 66.35),0/0/0 days,0.0% below/0.0% below/0.0% below,2023-06-30 (Price: 50.8243)/2025-10-31 (Price: 64.1443),12.34%/1.81%/5.37%,"10.41%, 24.22%",371 days/261 days/319 days,2027-04-21/2026-11-13/2027-02-05,0.86%,0.96%,-0.1%,0.14,-0.1,67.7898/69.913/76.63/No Horizontal Resistance/67.4663/76.2652,52.16/45.07/60.1332/51.8814/59.1572/54.0609,64.86/59.62,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"TSM, Long, 2025-10-31 (Price: 300.43)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 11","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 300.43), 0.0% below",0 days,"2, 2023-06-30 (Price: 100.92)",2025-10-31 (Price: 300.43),2025-10-31 (Price: 300.43),0/0/0 days,0.0% below/0.0% below/0.0% below,2023-06-30 (Price: 111.482)/2025-10-31 (Price: 284.8673),62.44%/5.05%/22.29%,"0%, 37.55%",392 days/107 days/232 days,2027-05-21/2026-04-03/2026-10-02,11.02%,13.62%,-2.6%,0.97,0.47,389.4775/367.3958/420.14/No Horizontal Resistance/291.0528/360.6179,166.0/83.575/242.5186/188.2216/251.761/215.1289,274.27/218.77,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
"NIFTY_MIDCAP_100.NS, Long, 2025-10-31 (Price: 59825.8984)",No Exit Yet,"0.0%, 0 days","84.38%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 59825.8984), 0.0% below",0 days,"2, 2025-05-18 (Price: 57060.5)",2025-10-19 (Price: 58902.25),2025-10-31 (Price: 59825.8984),9/0/0 days,1.57% above/0.0% below/0.0% below,2025-05-18 (Price: 60173.8125)/2025-10-31 (Price: 58938.3281),11.35%/2.01%/6.57%,"21.92%, 38.39%",259 days/19 days/68 days,2026-11-10/2025-11-27/2026-02-06,7.24%,12.76%,-5.52%,0.49,0.56,65868.3141/63756.4599/61485.14/60182.9323/72577.1591/79594.0726,55727.4/24894.2998/51420.3721/37395.584/64252.6044/66296.9647,58144.29/55609.45,96.46%/113/86 days (Across ALL Assets),78.15%/270/77 days (Across ALL Assets)
