Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"TSM, Long, 2025-11-20 (Price: 277.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 40","Daily, is CONFIRMED on 2025-11-20",Already confirmed,"2025-11-20 (Price: 277.5), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 269.4634), 2.98% above, Upmove Bounce Back","2025-04-07 (Price: 134.25), 2025-10-16 (Price: 311.37)",No Information,80.74%/3.58%/25.44%,"-0.0%, 57.14%",791 days/30 days/212 days,2029-01-08/2026-01-02/2026-09-23,11.13%,26.78%,-15.65%,0.69,0.86,280.608/348.096/383.77/No Horizontal Resistance/334.306/349.9895/No Moving Avg Target,227.33/83.575/274.027/233.1074/269.4634/243.7102/224.22,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"JPM, Long, 2025-11-20 (Price: 298.38)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 38","Daily, is CONFIRMED on 2025-11-20",Already confirmed,"2025-11-20 (Price: 298.38), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 293.8367), 1.55% above, Upmove Bounce Back","2025-04-07 (Price: 202.16), 2025-11-12 (Price: 322.25)",No Information,47.19%/1.16%/15.15%,"-0.0%, 40.65%",764 days/19 days/211 days,2028-11-30/2025-12-17/2026-09-21,9.23%,24.83%,-15.6%,0.67,1.0,306.7943/343.5846/370.43/No Horizontal Resistance/328.9175/381.492/No Moving Avg Target,294.11/125.7575/287.5071/275.691/269.9685/237.8395/277.82,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
BAND MATRIX,"QQQ, Long, 2025-11-20 (Price: 585.67)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 6","Daily, is CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-20 (Price: 585.67), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,16.61%/1.3%/11.24%,"0%, 35.62%",485 days/40 days/160 days,2027-10-23/2026-01-16/2026-07-09,16.16%,16.62%,-0.46%,1.87,0.69,630.8252/651.4993/641.16/No Horizontal Resistance/634.1966/765.0054/No Moving Avg Target,563.28/256.995/578.1694/464.7077/546.4514/490.7995/543.2,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
BAND MATRIX,"MSFT, Long, 2025-11-20 (Price: 478.43)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 5","Daily, is CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-20 (Price: 478.43), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,27.97%/11.17%/20.93%,"0%, 37.56%",472 days/44 days/210 days,2027-10-04/2026-01-22/2026-09-20,24.07%,18.64%,5.43%,3.13,0.73,528.9522/578.5654/553.76/No Horizontal Resistance/574.7462/615.9561/No Moving Avg Target,450.18/216.39/452.6681/384.4933/474.5281/424.7984/466.29,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
BAND MATRIX,"^NDX, Long, 2025-11-20 (Price: 24054.3809)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 6","Daily, is CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-20 (Price: 24054.3809), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,16.58%/1.28%/11.19%,"0%, 35.56%",485 days/40 days/160 days,2027-10-23/2026-01-16/2026-07-09,16.1%,16.65%,-0.55%,2.17,0.69,25901.7574/26746.0661/26323.91/No Horizontal Resistance/31284.5255/34778.0694/No Moving Avg Target,23142.58/10555.915/22960.0831/19028.9478/22457.6702/20168.8619/22320.71,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
BAND MATRIX,"DIA, Long, 2025-11-20 (Price: 458.1)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 6","Daily, is CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-20 (Price: 458.1), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,13.22%/1.05%/6.03%,"0%, 21.9%",382 days/38 days/156 days,2027-05-27/2026-01-14/2026-07-03,9.38%,11.05%,-1.67%,1.41,0.55,474.4084/485.7234/480.07/No Horizontal Resistance/508.5373/687.3389/No Moving Avg Target,454.87/321.6725/398.0316/329.7358/456.4623/439.2934/439.05,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
FRACTAL TRACK,"BN.TO, Long, 2025-11-20 (Price: 61.6)",No Exit Yet,"0.0%, 0 days","93.18%, Past 1 years, 44","Daily, is CONFIRMED on 2025-11-20",Already confirmed,"2025-11-20 (Price: 61.6), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 58.5318), 5.24% above, Upmove Bounce Back","2023-10-31 (Price: 26.7133), 2025-09-23 (Price: 68.3933)",No Information,40.79%/1.8%/13.46%,"3.46%, 37.68%",712 days/15 days/183 days,2028-09-16/2025-12-11/2026-08-12,8.09%,22.75%,-14.66%,0.5,0.84,63.1893/69.8914/86.61/No Horizontal Resistance/69.5978/79.2394/No Moving Avg Target,60.2/26.2374/59.2857/53.7251/61.972/58.0258/56.89,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"FRW.NZ, Long, 2025-11-20 (Price: 13.84)",No Exit Yet,"0.0%, 0 days","91.67%, Past 5 years, 24","Daily, is CONFIRMED on 2025-11-20",Already confirmed,"2025-11-20 (Price: 13.84), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 13.6615), 1.31% above, Upmove Bounce Back","2025-04-07 (Price: 9.73), 2025-10-31 (Price: 14.88)",No Information,26.84%/1.54%/11.53%,"4.41%, 43.52%",1101 days/35 days/253 days,2030-04-02/2026-01-09/2026-11-21,8.14%,11.02%,-2.89%,0.53,0.42,14.2137/15.4358/16.93/No Horizontal Resistance/14.9925/16.4712/No Moving Avg Target,13.67/7.405/12.995/12.2806/12.4241/10.9148/11.65,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
BAND MATRIX,"^DJI, Long, 2025-11-20 (Price: 45752.2617)",No Exit Yet,"0.0%, 0 days","85.71%, Past 5 years, 7","Daily, is CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-20 (Price: 45752.2617), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,13.32%/1.83%/7.11%,"2.57%, 21.94%",200 days/38 days/109 days,2026-09-05/2026-01-14/2026-04-26,10.49%,11.05%,-0.56%,1.13,0.55,47568.6265/49005.2475/48286.94/No Horizontal Resistance/50924.8674/68852.5953/No Moving Avg Target,45479.6/32154.0552/39844.8882/32997.1394/45635.0082/43916.4109/43887.41,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
OSCILLATOR DELTA,"EFN.TO, Long, 2025-11-20 (Price: 36.25)",No Exit Yet,"0.0%, 0 days","79.17%, Past 6 years, 24","Daily, is Confirmed on 2025-11-20",No Cancellation Possible,"2025-11-20 (Price: 36.25), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,14.65%/5.03%/6.97%,"11.05%, 13.79%",55 days/2 days/22 days,2026-02-07/2025-11-22/2025-12-21,11.74%,21.39%,-9.65%,0.13,0.78,37.5622/38.7766/38.06/No Horizontal Resistance/48.884/73.5584/No Moving Avg Target,No Recent Minima/11.7733/33.6344/24.2096/35.1227/33.1947/33.38,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
