"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"FPH.NZ, Long, 2025-12-04 (Price: 38.2)",No Exit Yet,"0.0%, 0 days","95.45%, Past 5 years, 22","Daily, is CONFIRMED on 2025-12-04",Already confirmed,"2025-12-04 (Price: 38.2), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 37.605),1.58% above,"2025-10-23 (Price: 34.75), 2025-11-26 (Price: 40.46)",42.57%/0.52%/10.24%,"1.6%, 46.76%",2.4 years/20 days/8.5 months,2029-05-20/2026-01-01/2026-12-09,7.53%,0.59%,6.94%,0.41,0.02,38.7921/42.1117/41.63/39.1438/40.9296/48.5677/No Moving Avg Target,36.64/22.5167/30.9793/26.1935/38.411/37.1519/36.12,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"DOL.TO, Long, 2025-12-04 (Price: 200.08)",No Exit Yet,"0.0%, 0 days","89.74%, Past 5 years, 39","Daily, is CONFIRMED on 2025-12-04",Already confirmed,"2025-12-04 (Price: 200.08), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 197.2307),1.44% above,"2025-10-14 (Price: 174.26), 2025-11-26 (Price: 204.35)",96.3%/1.29%/25.2%,"4.51%, 13.11%",1.4 year/24 days/5.6 months,2027-11-28/2026-01-07/2026-08-04,14.53%,30.26%,-15.73%,0.54,1.4,205.6822/250.5002/218.13/No Horizontal Resistance/252.753/384.8349/No Moving Avg Target,196.89/53.2967/171.1219/120.6711/173.5944/154.6938/178.54,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"SJ.TO, Long, 2025-12-04 (Price: 85.5)",No Exit Yet,"0.0%, 0 days","95.56%, Past 5 years, 45","Daily, is CONFIRMED on 2025-12-04",Already confirmed,"2025-12-04 (Price: 85.5), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 84.5882),1.08% above,"2025-08-07 (Price: 73.58), 2025-11-20 (Price: 88.0)",55.14%/0.68%/19.67%,"0.73%, 39.08%",1.3 year/12 days/5.4 months,2027-11-02/2025-12-21/2026-07-26,16.13%,12.13%,4.0%,0.44,0.46,88.1248/102.3179/94.15/No Horizontal Resistance/108.5192/133.8092/No Moving Avg Target,83.49/38.015/50.2755/47.8005/106.4561/111.6527/76.03,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"UBER, Long, 2025-12-04 (Price: 90.99)",No Exit Yet,"0.0%, 0 days","87.5%, Past 6 years, 8","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 81.51 prior to 2025-12-05,"2025-12-04 (Price: 90.99), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 82.5663),10.2% above,"2022-07-03 (Price: 19.895), 2025-09-28 (Price: 101.99)",110.4%/15.19%/62.8%,"3.04%, 55.87%",2.7 years/2.5 months/1.5 year,2029-10-21/2026-03-21/2028-01-04,20.24%,13.56%,6.68%,0.39,0.48,91.818/148.1317/140.25/No Horizontal Resistance/103.1697/130.9341/No Moving Avg Target,83.87/34.6025/87.2921/71.0872/82.5663/70.6297/87.19,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"HDB, Long, 2025-12-04 (Price: 35.96)",No Exit Yet,"0.0%, 0 days","90.91%, Past 25 years, 22","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 33.78 prior to 2025-12-31,"2025-12-04 (Price: 35.96), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 34.562),4.04% above,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",165.72%/8.35%/65.32%,"32.26%, 39.31%",3.0 years/7.3 months/1.4 year,2030-02-25/2026-10-15/2027-12-22,12.66%,17.02%,-4.36%,0.26,0.59,37.571/59.4491/44.2/39.3812/45.6752/50.9526/No Moving Avg Target,26.75/25.6925/29.7659/26.539/36.3743/34.266/35.65,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"IHI, Long, 2025-12-04 (Price: 63.31)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 58.18 prior to 2025-12-31,"2025-12-04 (Price: 63.31), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 57.074),10.93% above,"2023-10-31 (Price: 43.96), 2025-02-28 (Price: 65.18)",5.78%/5.78%/5.78%,"-0.0%, 6.3%",6.5 months/6.5 months/6.5 months,2026-09-12/2026-09-12/2026-09-12,7.62%,10.75%,-3.13%,0.39,0.47,62.8985/66.9693/76.04/66.34/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,45.26/46.725/No F-Stack Support/No F-Stack Support/68.0854/69.871/60.93,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"JNK, Long, 2025-12-04 (Price: 97.29)",No Exit Yet,"0.0%, 0 days","100.0%, Past 18 years, 17","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 96.32 prior to 2025-12-05,"2025-12-04 (Price: 97.29), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 96.3874),0.94% above,"2025-04-13 (Price: 90.41), 2025-09-28 (Price: 98.24)",6.29%/6.29%/6.29%,"-0.0%, 7.07%",1.3 year/1.3 year/1.3 year,2027-10-07/2027-10-07/2027-10-07,3.41%,-2.09%,5.5%,0.2,-0.45,97.3386/103.4095/101.99/108.635/169.7114/218.5371/No Moving Avg Target,96.34/88.8814/No F-Stack Support/No F-Stack Support/99.6721/100.7612/96.31,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"XLV, Long, 2025-12-04 (Price: 153.9)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-12-04 (Price: 153.9), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),21.19% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",10.3 years/10.3 years/10.3 years,2040-08-30/2040-08-30/2040-08-30,8.26%,6.44%,1.82%,0.48,0.22,150.3603/626.5269/236.71/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,24.21/121.6312/153.114/117.2225/167.2798/171.9748/139.78,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"XLY, Long, 2025-12-04 (Price: 238.14)",No Exit Yet,"0.0%, 0 days","96.43%, Past 20 years, 28","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 220.93 prior to 2025-12-05,"2025-12-04 (Price: 238.14), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 216.5454),9.97% above,"2025-04-13 (Price: 173.1), 2025-09-21 (Price: 243.4)",115.02%/7.32%/52.87%,"16.26%, 57.22%",3.8 years/4.0 months/1.8 year,2031-04-18/2026-05-25/2028-06-03,7.9%,10.2%,-2.3%,0.5,0.39,248.9277/364.0446/280.32/241.84/250.963/299.0113/No Moving Avg Target,225.5/133.55/194.0389/129.1624/215.6232/198.5532/219.47,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"TCS.NS, Long, 2025-12-04 (Price: 3229.2)",No Exit Yet,"0.0%, 0 days","90.91%, Past 21 years, 11","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 2866.6001 prior to 2025-12-31,"2025-12-04 (Price: 3229.2), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 2809.1),14.95% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",375.83%/7.31%/87.63%,"10.18%, 12.85%",1.9 year/7.9 months/1.1 year,2028-08-03/2026-11-13/2027-06-21,21.36%,19.52%,1.84%,0.36,0.61,3146.5325/6058.948/5368.98/4543.575/No Next Fib Ext/No Next Fib Ext/3283.32,2888.4/2923.4601/No F-Stack Support/No F-Stack Support/3282.6562/3116.0412/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
