"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"AAPL, Long, 2025-12-31 (Price: 271.86)",No Exit Yet,"0.0%, 0 days","100.0%, Past 45 years, 5","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2025-12-31 (Price: 271.86), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 169.2862),60.59% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-06-05/2027-01-30/2027-04-05,12.11%,12.37%,-0.26%,1.91,0.56,390.1463/368.7781/414.5/No Horizontal Resistance/297.1089/321.9834/No EMA 200 Target,23.9/136.57/248.4166/236.3611/260.3676/243.0054/231.75,No Data (Across ALL Assets),No Data (Across ALL Assets)
"HDB, Long, 2025-12-31 (Price: 36.54)",No Exit Yet,"0.0%, 0 days","88.89%, Past 26 years, 9","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2025-12-31 (Price: 36.54), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 34.562),5.72% above,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",26.63%/20.05%/23.77%,"32.26%, 39.31%",3.3 years/4.1 months/1.4 year,2030-09-16/2026-06-25/2027-12-29,8.78%,11.88%,-3.1%,0.83,0.59,42.3754/45.2256/44.77/39.3812/45.6752/50.9526/No EMA 200 Target,26.75/25.6925/36.5219/29.7659/36.3743/34.266/36.17,No Data (Across ALL Assets),No Data (Across ALL Assets)
"TCS.NS, Long, 2025-12-31 (Price: 3206.2)",No Exit Yet,"0.0%, 0 days","87.5%, Past 21 years, 8","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2025-12-31 (Price: 3206.2), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 2809.1),14.14% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",26.36%/7.31%/19.71%,"10.18%, 12.85%",1.3 year/3 months/8.3 months,2027-11-08/2026-05-10/2026-12-26,7.28%,13.73%,-6.45%,0.82,0.62,3337.6542/3838.142/5345.98/4543.575/No Next Fib Ext/No Next Fib Ext/3242.96,2888.4/2923.4601/No F-Stack Support/No F-Stack Support/No support/3116.0412/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
"FPH.NZ, Long, 2025-12-31 (Price: 37.75)",No Exit Yet,"0.0%, 0 days","85.71%, Past 24 years, 7","Monthly, is CONFIRMED on 2025-12-31",Already confirmed,"2025-12-31 (Price: 37.75), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.9549),8.0% above,"2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,2035-02-19/2026-06-22/2030-09-16,4.68%,9.29%,-4.61%,0.75,0.49,47.0516/45.7945/49.28/39.1438/40.9296/48.5677/No EMA 200 Target,33.54/22.5167/30.9793/26.1935/35.1507/31.8879/36.41,No Data (Across ALL Assets),No Data (Across ALL Assets)
"SUM.NZ, Long, 2025-12-31 (Price: 12.29)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 4","Quarterly, is CONFIRMED on 2025-12-31",Already confirmed,"2025-12-31 (Price: 12.29), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),14.43% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-11-08/2027-06-05/2027-07-27,11.55%,11.73%,-0.18%,0.86,0.59,12.6169/17.8131/15.53/13.345/16.7981/18.5763/No EMA 200 Target,8.8/9.1367/11.1928/8.9354/12.1624/11.3772/11.42,No Data (Across ALL Assets),No Data (Across ALL Assets)
"AMZN, Long, 2025-12-31 (Price: 230.82)",No Exit Yet,"0.0%, 0 days","93.75%, Past 20 years, 16","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 220.99 prior to 2026-01-02,"2025-12-31 (Price: 230.82), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 221.462),4.23% above,"2025-04-13 (Price: 161.38), 2025-11-09 (Price: 258.6)",31.25%/0.75%/16.86%,"0.32%, 56.17%",2.8 years/28 days/7.4 months,2029-12-28/2026-02-09/2026-11-17,13.55%,17.13%,-3.58%,1.66,0.81,272.0445/269.7363/289.15/239.3/257.1563/274.1043/No EMA 200 Target,213.04/86.995/230.14/220.2419/216.6816/190.9211/216.86,No Data (Across ALL Assets),No Data (Across ALL Assets)
"UBER, Long, 2025-12-31 (Price: 81.71)",No Exit Yet,"0.0%, 0 days","100.0%, Past 6 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 78.31 prior to 2026-01-02,"2025-12-31 (Price: 81.71), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 78.415),4.2% above,"2024-08-11 (Price: 54.84), 2025-09-28 (Price: 101.99)",18.06%/15.5%/16.66%,"0%, 6.35%",1.6 month/14 days/29 days,2026-03-10/2026-01-20/2026-02-11,23.54%,8.01%,15.53%,14.78,0.43,73.7024/95.3229/110.0/82.12/103.1697/130.9341/87.97,79.31/34.6025/71.0872/No support/No support/70.6297/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
"FXI, Long, 2025-12-31 (Price: 38.29)",No Exit Yet,"0.0%, 0 days","93.75%, Past 20 years, 16","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 37.68 prior to 2026-01-02,"2025-12-31 (Price: 38.29), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 36.9983),3.49% above,"2024-01-28 (Price: 20.86), 2025-10-05 (Price: 42.0)",20.93%/0.55%/14.72%,"1.3%, 33.51%",4.3 years/2.3 months/1.8 year,2032-02-20/2026-04-09/2028-07-26,8.74%,2.27%,6.47%,1.68,0.1,39.6455/43.9263/50.97/42.665/77.6857/94.2202/No EMA 200 Target,32.4/20.865/No F-Stack Support/No F-Stack Support/No support/No support/37.77,No Data (Across ALL Assets),No Data (Across ALL Assets)
"FRW.NZ, Long, 2025-12-31 (Price: 14.45)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 15","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 13.3 prior to 2026-01-02,"2025-12-31 (Price: 14.45), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 13.0889),10.4% above,"2023-11-05 (Price: 7.31), 2025-11-02 (Price: 14.88)",20.66%/2.33%/14.04%,"0%, 39.81%",3.7 years/3.7 months/1.1 year,2031-04-13/2026-06-09/2027-07-27,10.07%,5.08%,4.99%,2.43,0.25,14.6032/16.4788/18.99/No Horizontal Resistance/14.9925/16.4712/No EMA 200 Target,10.0/7.405/12.995/12.2806/13.0889/11.9883/12.05,No Data (Across ALL Assets),No Data (Across ALL Assets)
"BIPC.TO, Long, 2025-12-31 (Price: 62.31)",No Exit Yet,"0.0%, 0 days","100.0%, Past 17 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 60.29 prior to 2026-01-02,"2025-12-31 (Price: 62.31), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 58.8572),5.87% above,"2025-04-13 (Price: 45.7), 2025-10-19 (Price: 66.99)",16.58%/15.85%/16.24%,"-0.0%, 8.87%",6.3 months/1.6 month/3.4 months,2026-09-30/2026-03-10/2026-05-27,16.31%,8.39%,7.92%,1.53,0.43,63.5188/72.4291/75.08/66.672/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,53.03/44.9667/No F-Stack Support/No F-Stack Support/59.4945/54.8882/57.11,No Data (Across ALL Assets),No Data (Across ALL Assets)
