Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"MSFT, Long, 2025-11-26 (Price: 485.5)",No Exit Yet,"0.0%, 0 days","81.48%, Past 6 years, 27","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-11-26 (Price: 485.5), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,13.91%/5.23%/6.93%,"11.85%, 17.4%",25 days/2 days/11 days,2026-01-01/2025-11-28/2025-12-11,5.61%,23.16%,-17.54%,0.03,0.84,502.7353/519.1451/553.47/No Horizontal Resistance/553.3726/615.9924/No Moving Avg Target,No Recent Minima/216.39/386.873/350.287/No F-Track Level/No F-Track Level/467.58,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
DELTADRIFT,"MSFT, Long, 2025-11-26 (Price: 485.5)",No Exit Yet,"0.0%, 0 days","70.0%, Past 4 years, 10","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-11-26 (Price: 485.5), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,5.23%/2.02%/3.68%,"8.2%, 14.53%",1.7 month/1 day/10 days,2026-02-07/2025-11-27/2025-12-10,5.17%,11.14%,-5.97%,0.07,0.41,512.7365/503.3664/508.05/No Horizontal Resistance/553.3726/615.9924/No Moving Avg Target,472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/467.58,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
OSCILLATOR DELTA,"IBKR, Long, 2025-11-26 (Price: 64.19)",No Exit Yet,"0.0%, 0 days","83.33%, Past 6 years, 30","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-11-26 (Price: 64.19), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,14.05%/5.19%/7.6%,"11.21%, 13.86%",1.2 month/2 days/14 days,2026-01-18/2025-11-28/2025-12-16,30.69%,34.23%,-3.54%,0.22,1.11,67.4637/69.0684/67.4/No Horizontal Resistance/102.297/159.1852/No Moving Avg Target,No Recent Minima/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/56.77,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"FSF.NZ, Long, 2025-11-26 (Price: 7.7)",No Exit Yet,"0.0%, 1 day","100.0%, Past 5 years, 26","Daily, was CONFIRMED on 2025-11-26",Already confirmed,"2025-11-27 (Price: 7.7), 0.0% below",1 day,No Information,No Information,No Information,"23.66% (Price: 7.5388), 2.14% above, Upmove Bounce Back","2025-01-15 (Price: 4.76), 2025-10-14 (Price: 8.4)",No Information,77.7%/0.21%/30.68%,"-0.0%, 31.25%",2.5 years/4 days/9 months,2029-06-27/2025-12-01/2026-12-22,12.36%,12.69%,-0.32%,0.72,0.48,7.9988/10.0624/9.88/No Horizontal Resistance/8.4284/9.7443/No Moving Avg Target,7.2/2.942/6.3611/37.689/No F-Track Level/No F-Track Level/6.68,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"FSF.NZ, Long, 2025-11-26 (Price: 7.7)",No Exit Yet,"0.0%, 1 day","100.0%, Past 4 years, 9","Daily, was CONFIRMED on 2025-11-26",Already confirmed,"2025-11-27 (Price: 7.7), 0.0% below",1 day,No Information,No Information,No Information,No Information,No Information,No Information,6.77%/1.46%/3.63%,"0%, 5.4%",19 days/2 days/11 days,2025-12-23/2025-11-28/2025-12-11,15.05%,19.63%,-4.58%,2.34,0.75,8.4384/7.9795/8.21/No Horizontal Resistance/8.4284/9.7443/No Moving Avg Target,7.2/2.942/6.3611/37.689/No F-Track Level/No F-Track Level/6.68,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
DELTADRIFT,"UBER, Long, 2025-11-26 (Price: 85.66)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 6","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-11-26 (Price: 85.66), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,10.1%/3.32%/6.46%,"0%, 11.17%",1.2 month/2 days/12 days,2026-01-17/2025-11-28/2025-12-13,17.83%,20.37%,-2.54%,2.75,0.65,93.5664/91.1936/92.38/No Horizontal Resistance/99.1711/103.8185/86.99,83.36/34.6025/84.8096/75.9736/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"GDX, Long, 2025-11-26 (Price: 81.55)",No Exit Yet,"0.0%, 0 days","86.21%, Past 4 years, 29","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-11-26 (Price: 81.55), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,4.82% above/0.0% below/0.0% below,12.3%/0.8%/6.64%,"18.96%, 38.81%",2.7 months/4 days/20 days,2026-03-21/2025-12-01/2025-12-24,21.23%,17.39%,3.84%,0.25,0.58,84.5266/86.9649/84.3/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,72.97/25.645/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/57.17,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"IBKR, Long, 2025-11-25 (Price: 63.17)",No Exit Yet,"1.61%, 1 day","100.0%, Past 5 years, 32","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-11-26 (Price: 64.19), 1.61% above",1 day,No Information,No Information,No Information,"23.66% (Price: 58.0979), 10.49% above, Upmove Bounce Back","2024-08-05 (Price: 25.9225), 2025-08-12 (Price: 68.07)",No Information,177.45%/8.73%/59.16%,"-0.0%, 38.74%",2.3 years/26 days/6.9 months,2029-02-14/2026-01-01/2026-09-19,20.73%,41.24%,-20.51%,0.6,1.38,63.827/100.5414/88.46/No Horizontal Resistance/102.297/159.1852/No Moving Avg Target,61.05/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/56.77,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"^GSPC, Long, 2025-11-25 (Price: 6765.8799)",No Exit Yet,"0.69%, 1 day","100.0%, Past 5 years, 30","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-11-26 (Price: 6812.6099), 0.69% above",1 day,No Information,No Information,No Information,"23.66% (Price: 6426.9579), 6.0% above, Upmove Bounce Back","2025-04-07 (Price: 4835.04), 2025-10-29 (Price: 6920.3398)",No Information,60.63%/1.24%/22.15%,"-0.0%, 18.9%",1.9 year/1.2 month/7.4 months,2028-08-10/2026-01-17/2026-10-12,15.73%,14.39%,1.34%,0.4,0.71,6828.8026/8264.5223/8017.06/No Horizontal Resistance/9765.5661/10911.139/No Moving Avg Target,6538.76/4128.7074/6316.2337/5433.2046/No F-Track Level/No F-Track Level/6173.36,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"^NDX, Long, 2025-11-25 (Price: 25018.3594)",No Exit Yet,"0.87%, 1 day","100.0%, Past 5 years, 31","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-11-26 (Price: 25236.9395), 0.87% above",1 day,No Information,No Information,No Information,"23.66% (Price: 23901.2992), 5.59% above, Upmove Bounce Back","2025-04-07 (Price: 16542.1992), 2025-10-29 (Price: 26182.0996)",No Information,52.07%/1.74%/16.14%,"-0.0%, 24.85%",1.2 year/11 days/5.3 months,2027-09-06/2025-12-10/2026-07-14,16.45%,16.65%,-0.21%,0.44,0.69,25488.7046/29056.3226/30802.3/No Horizontal Resistance/33965.62/36701.6323/No Moving Avg Target,24054.38/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level/22383.98,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
