"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max./Min./Avg.),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"XLF, Long, 2025-11-04 (Price: 52.42)",No Exit Yet,"0.0%, 0 days","85.71%, Past 6 years, 14","Daily, is Confirmed on 2025-11-04",No Cancellation Possible,"2025-11-04 (Price: 52.42), 0.0% below",0 days,2025-10-13 (Price: 52.34)/2025-10-16 (Price: 51.54),12/1/6 days,14.64%/5.35%/8.32%,"13.71%, 13.71%",85 days/17 days/47 days,2026-03-07/2025-11-28/2026-01-11,20.93%,9.83%,11.1%,0.22,0.36,53.4527/56.7813/55.04/No Horizontal Resistance/54.2495/60.5544,No Recent Minima/30.1167/49.3988/45.2617/49.0251/45.6605,53.29/51.28,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"MAR, Long, 2025-11-04 (Price: 272.24)",No Exit Yet,"0.0%, 0 days","90.32%, Past 6 years, 31","Daily, is Confirmed on 2025-11-04",No Cancellation Possible,"2025-11-04 (Price: 272.24), 0.0% below",0 days,2025-10-20 (Price: 259.93)/2025-10-31 (Price: 256.76),16/1/5 days,18.37%/5.48%/7.86%,"12.16%, 19.79%",69 days/1 days/15 days,2026-02-11/2025-11-05/2025-11-25,64.8%,11.5%,53.3%,0.39,0.41,287.6216/293.6381/296.74/276.35/297.0775/313.5051,No Recent Minima/129.12/244.6832/226.0546/331.6816/346.5298,265.65/263.38,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"NFLX, Long, 2025-10-31 (Price: 1118.86)",No Exit Yet,"-2.31%, 2 days","86.21%, Past 6 years, 29","Daily, is Confirmed on 2025-10-31",No Cancellation Possible,"2025-11-04 (Price: 1092.96), 2.31% below",2 days,2025-10-24 (Price: 1094.41)/2025-10-27 (Price: 1087.3),12/1/4 days,13.15%/5.22%/7.5%,"35.12%, 35.12%",26 days/2 days/8 days,2025-12-07/2025-11-02/2025-11-11,39.66%,24.78%,14.88%,0.1,0.78,1145.377/1202.7745/1174.8/No Horizontal Resistance/1393.524/1524.2919,No Recent Minima/348.6633/1008.8519/864.7664/No F-Track Level/No F-Track Level,1190.97/1124.24,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"JPM, Long, 2025-10-31 (Price: 311.12)",No Exit Yet,"-0.6%, 2 days","83.33%, Past 6 years, 30","Daily, is Confirmed on 2025-10-31",No Cancellation Possible,"2025-11-04 (Price: 309.25), 0.6% below",2 days,2025-10-10 (Price: 300.81)/2025-10-14 (Price: 294.21),17/1/5 days,17.78%/5.3%/7.87%,"14.96%, 18.99%",25 days/2 days/12 days,2025-12-06/2025-11-02/2025-11-17,27.42%,15.43%,11.99%,0.14,0.55,324.7159/335.6051/326.68/No Horizontal Resistance/328.9175/381.492,No Recent Minima/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level,305.38/275.28,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"SPOT, Long, 2025-10-31 (Price: 655.32)",No Exit Yet,"-3.92%, 2 days","89.47%, Past 6 years, 38","Daily, is Confirmed on 2025-10-31",No Cancellation Possible,"2025-11-04 (Price: 629.6), 3.92% below",2 days,2025-10-17 (Price: 656.25)/2025-10-27 (Price: 640.4),12/1/4 days,20.64%/5.14%/7.38%,"18.6%, 21.54%",34 days/3 days/11 days,2025-12-19/2025-11-04/2025-11-15,89.2%,27.14%,62.06%,0.27,0.81,696.0154/703.6826/694.64/No Horizontal Resistance/860.054/995.9806,No Recent Minima/118.6/642.6903/612.322/No F-Track Level/No F-Track Level,689.58/648.4,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"USCI, Long, 2025-10-29 (Price: 78.16)",No Exit Yet,"0.0%, 4 days","96.0%, Past 6 years, 25","Daily, is Confirmed on 2025-10-29",No Cancellation Possible,"2025-11-04 (Price: 78.1614), 0.0% below",4 days,2025-10-14 (Price: 76.12)/2025-10-21 (Price: 76.12),11/1/4 days,11.75%/5.06%/6.64%,"12.73%, 15.8%",217 days/6 days/49 days,2026-09-08/2025-11-06/2026-01-07,23.37%,13.11%,10.26%,0.57,0.6,79.2621/83.3498/82.07/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext,No Recent Minima/38.14/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,77.45/73.09,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"AMZN, Long, 2025-10-24 (Price: 224.21)",2025-10-31 (Price: 244.22),"8.92%, 5 days","75.0%, Past 6 years, 36","Daily, is Confirmed on 2025-10-24",No Cancellation Possible,"2025-11-04 (Price: 249.32), 11.2% above",7 days,2025-09-25 (Price: 216.47)/2025-10-06 (Price: 216.03),13/1/5 days,11.54%/5.39%/7.33%,"14.37%, 23.62%",22 days/2 days/9 days,2025-11-24/2025-10-26/2025-11-06,-19.1%,17.67%,-36.77%,-0.09,0.6,231.4296/240.6446/239.9/239.3/317.6152/339.3352,No Recent Minima/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level,226.42/214.74,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"MX.TO, Long, 2025-10-22 (Price: 48.71)",2025-10-31 (Price: 55.2),"13.32%, 7 days","87.18%, Past 6 years, 39","Daily, is Confirmed on 2025-10-22",No Cancellation Possible,"2025-11-04 (Price: 50.65), 3.98% above",9 days,2025-10-14 (Price: 50.3)/2025-10-20 (Price: 47.41),21/1/5 days,22.75%/5.36%/8.94%,"15.96%, 19.66%",58 days/2 days/15 days,2026-01-14/2025-10-24/2025-11-12,55.43%,0.48%,54.96%,0.32,0.19,52.0856/53.0647/51.15/73.435/104.8718/122.9238,No Recent Minima/38.425/45.8359/31.2568/No F-Track Level/No F-Track Level,51.91/51.44,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"UBER, Long, 2025-10-20 (Price: 93.7)",2025-11-03 (Price: 99.72),"6.42%, 10 days","88.57%, Past 6 years, 35","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-11-04 (Price: 94.67), 1.04% above",11 days,2025-10-13 (Price: 93.43)/2025-10-16 (Price: 91.18),10/1/3 days,17.75%/5.02%/7.5%,"15.49%, 17.05%",20 days/1 days/6 days,2025-11-17/2025-10-21/2025-10-28,144.53%,22.35%,122.18%,0.23,0.69,98.9285/100.7275/98.39/No Horizontal Resistance/102.095/116.8186,No Recent Minima/34.6025/80.4283/75.944/No F-Track Level/No F-Track Level,95.66/85.37,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"NIO, Long, 2025-10-20 (Price: 7.06)",2025-11-03 (Price: 7.42),"5.1%, 10 days","81.67%, Past 6 years, 60","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-11-04 (Price: 7.16), 1.42% above",11 days,2025-10-14 (Price: 6.77)/2025-10-16 (Price: 6.28),19/1/4 days,23.06%/5.08%/10.36%,"20.8%, 20.8%",19 days/1 days/5 days,2025-11-16/2025-10-21/2025-10-27,139.33%,20.26%,119.07%,0.22,0.77,7.8775/7.7914/7.41/24.205/No Next Fib Ext/No Next Fib Ext,No Recent Minima/3.62/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,6.93/4.86,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
