Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"IEI, Long, 2025-11-06 (Price: 119.53)",No Exit Yet,"0.0%, 0 days","92.31%, Past 5 years, 13","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-06 (Price: 119.53), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 119.0217), 0.43% above, Upmove Bounce Back","2025-01-13 (Price: 114.51), 2025-10-21 (Price: 120.42)",No Information,2.05%/1.95%/2.0%,"0.03%, 4.21%",139 days/125 days/132 days,2026-05-26/2026-05-06/2026-05-16,1.93%,-2.06%,3.99%,0.33,-1.37,119.6495/121.9206/123.08/129.9625/No Next Fib Ext/No Next Fib Ext,119.35/113.0583/No F-Stack Support/No F-Stack Support/121.707/122.5532,119.74/118.23,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"TLT, Long, 2025-11-06 (Price: 89.76)",No Exit Yet,"0.0%, 0 days","94.12%, Past 5 years, 17","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-06 (Price: 89.76), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 90.0866), 0.36% below, Upmove Bounce Back","2025-05-22 (Price: 83.3), 2025-10-21 (Price: 92.19)",No Information,2.82%/2.82%/2.82%,"0.03%, 10.65%",182 days/182 days/182 days,2026-07-27/2026-07-27/2026-07-27,2.67%,-10.72%,13.39%,0.18,-0.89,89.3202/92.2912/95.09/153.2067/183.2134/206.1357,89.74/83.3033/No F-Stack Support/No F-Stack Support/96.6429/98.2118,89.67/88.3,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-11-06 (Price: 88.46)",No Exit Yet,"0.0%, 0 days","96.43%, Past 5 years, 28","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-06 (Price: 88.46), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 88.3874), 0.08% above, Upmove Bounce Back","2025-04-09 (Price: 71.02), 2025-10-16 (Price: 93.77)",No Information,29.85%/2.59%/12.82%,"0.48%, 28.07%",922 days/31 days/344 days,2029-07-03/2025-12-20/2027-03-19,5.61%,6.79%,-1.18%,0.72,0.24,90.9015/99.8006/102.11/No Horizontal Resistance/121.7688/179.2513,82.62/59.2533/86.2425/64.2863/88.3874/85.0795,87.68/82.34,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"MA, Long, 2025-11-06 (Price: 553.28)",No Exit Yet,"0.0%, 0 days","93.1%, Past 5 years, 29","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-06 (Price: 553.28), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 533.9557), 3.62% above, Upmove Bounce Back","2022-11-09 (Price: 315.15), 2025-08-22 (Price: 601.77)",No Information,52.16%/1.79%/24.85%,"1.45%, 28.57%",907 days/69 days/397 days,2029-06-11/2026-02-13/2027-06-04,8.0%,12.16%,-4.16%,0.57,0.46,562.2985/690.7701/725.25/592.9033/716.5814/751.3605,544.07/306.91/515.4888/442.8637/560.8595/535.7184,573.74/561.0,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"RHHBY, Long, 2025-11-06 (Price: 41.22)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 25","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-06 (Price: 41.22), 0.0% below",0 days,No Information,No Information,No Information,"61.8% (Price: 40.7303), 1.2% above, Upmove Bounce Back","2025-08-11 (Price: 37.51), 2025-10-08 (Price: 45.94)",No Information,26.41%/3.63%/11.02%,"-0.0%, 32.35%",683 days/26 days/308 days,2028-07-22/2025-12-13/2027-01-26,7.53%,-1.74%,9.27%,0.34,-0.17,40.7666/45.7624/46.28/52.46/52.5578/54.7393,40.15/34.5167/33.9225/27.535/46.5719/47.9619,42.48/40.81,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"EFN.TO, Long, 2025-11-06 (Price: 36.82)",No Exit Yet,"0.0%, 0 days","90.38%, Past 5 years, 52","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-06 (Price: 36.82), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 37.1637), 0.92% below, Upmove Bounce Back","2025-09-30 (Price: 35.39), 2025-10-28 (Price: 38.26)",No Information,43.0%/0.86%/18.32%,"6.13%, 26.27%",387 days/26 days/117 days,2027-05-20/2025-12-13/2026-04-24,16.07%,24.1%,-8.03%,0.65,1.02,37.5711/43.5654/38.54/No Horizontal Resistance/48.884/73.5584,35.91/11.7733/33.6344/24.2096/35.1227/33.1947,36.9/32.97,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
OSCILLATOR DELTA,"RHHBY, Long, 2025-11-06 (Price: 41.22)",No Exit Yet,"0.0%, 0 days","71.88%, Past 6 years, 32","Daily, is Confirmed on 2025-11-06",No Cancellation Possible,"2025-11-06 (Price: 41.22), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,11.7%/5.02%/7.38%,"14.74%, 24.1%",173 days/6 days/42 days,2026-07-14/2025-11-14/2026-01-05,-3.55%,1.45%,-5.0%,-0.06,0.0,42.1227/44.262/43.28/52.46/52.5578/54.7393,No Recent Minima/34.5167/33.9225/27.535/46.5719/47.9619,42.48/40.81,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
FRACTAL TRACK,"GNE.NZ, Long, 2025-11-05 (Price: 2.53)",No Exit Yet,"0.0%, 0 days","84.62%, Past 5 years, 13","Daily, is CONFIRMED on 2025-11-05",Already confirmed,"2025-11-05 (Price: 2.53), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 2.4547), 3.07% above, Upmove Bounce Back","2025-04-07 (Price: 2.115), 2025-10-15 (Price: 2.56)",No Information,6.64%/0.44%/3.91%,"7.43%, 9.96%",145 days/36 days/77 days,2026-06-03/2025-12-27/2026-02-24,1.92%,-3.81%,5.72%,0.03,-0.29,2.548/2.6289/2.8/3.575/No Next Fib Ext/No Next Fib Ext,2.33/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,2.42/2.31,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
OSCILLATOR DELTA,"XLF, Long, 2025-11-04 (Price: 52.42)",No Exit Yet,"-0.02%, 2 days","85.71%, Past 6 years, 14","Daily, is Confirmed on 2025-11-04",No Cancellation Possible,"2025-11-06 (Price: 52.41), 0.02% below",2 days,No Information,No Information,No Information,No Information,No Information,No Information,14.64%/5.35%/8.32%,"13.71%, 13.71%",85 days/17 days/47 days,2026-03-07/2025-11-28/2026-01-11,20.93%,9.83%,11.1%,0.22,0.36,53.4527/56.7813/55.04/No Horizontal Resistance/70.6138/110.4396,No Recent Minima/30.1167/45.9996/174.8795/No F-Track Level/No F-Track Level,53.27/51.29,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
OSCILLATOR DELTA,"MAR, Long, 2025-11-04 (Price: 272.24)",No Exit Yet,"3.27%, 2 days","90.32%, Past 6 years, 31","Daily, is Confirmed on 2025-11-04",No Cancellation Possible,"2025-11-06 (Price: 281.14), 3.27% above",2 days,No Information,No Information,No Information,No Information,No Information,No Information,18.37%/5.48%/7.86%,"12.16%, 19.79%",69 days/1 days/15 days,2026-02-11/2025-11-05/2025-11-25,64.8%,11.5%,53.3%,0.39,0.41,287.6216/293.6381/296.74/276.35/372.972/399.3723,No Recent Minima/129.12/235.5515/198.7812/No F-Track Level/No F-Track Level,265.92/263.39,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2025-11-04 (Price: 6.03)",2025-11-05 (Price: 5.87) (Today),"-2.65%, 1 days","91.3%, Past 4 years, 46","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-05 (Price: 5.87), 2.65% below",1 days,No Information,No Information,No Information,No Information,No Information,1.18% below/2.65% below/2.65% below,18.47%/0.46%/5.52%,"6.51%, 17.02%",178 days/5 days/31 days,2026-07-19/2025-11-11/2025-12-18,19.9%,4.2%,15.69%,0.73,0.16,6.1524/6.3629/6.3/6.825/7.4565/8.4213,5.8/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level,5.8/5.75,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
