"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-11-20 (Price: 1008.85)",No Exit Yet,"0.0%, 0 days","90.0%, Past 20 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 985.0 prior to 2025-11-28,"2025-11-20 (Price: 1008.85), 0.0% below",0 days,"0, 2020-11-30 (Price: 720.425)",2025-11-20 (Price: 1008.85),2025-11-20 (Price: 1008.85),0/0/0 days,0.0% below/0.0% below/0.0% below,2020-11-30 (Price: 763.4559)/2025-11-20 (Price: 979.6324),54.15%/5.97%/24.32%,"11.13%, 17.76%",282 days/107 days/199 days,2027-01-02/2026-04-23/2026-09-04,15.97%,19.29%,-3.32%,0.9,0.75,1136.066/1254.2023/1181.9/No Horizontal Resistance/1299.7536/1565.406/No Moving Avg Target,701.7/640.9/976.4995/762.8018/940.3577/891.107/952.26,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"BPCL.NS, Long, 2025-11-20 (Price: 365.05)",No Exit Yet,"0.0%, 0 days","80.0%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 361.95 prior to 2025-11-28,"2025-11-20 (Price: 365.05), 0.0% below",0 days,"2, 2024-09-30 (Price: 369.95)",2025-10-31 (Price: 356.8),2025-11-20 (Price: 365.05),14/0/0 days,2.31% above/0.0% below/0.0% below,2024-09-30 (Price: 376.0)/2025-11-20 (Price: 351.71),68.45%/6.21%/39.66%,"24.6%, 57.26%",630 days/109 days/256 days,2028-05-20/2026-04-26/2026-11-25,11.71%,15.65%,-3.93%,0.73,0.53,417.8362/509.8288/367.99/No Horizontal Resistance/382.1589/420.2463/No Moving Avg Target,237.3/145.35/348.542/313.3339/346.642/325.1897/313.12,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"CSCO, Long, 2025-11-20 (Price: 75.44)",No Exit Yet,"0.0%, 0 days","81.82%, Past 20 years, 11","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 74.61 prior to 2025-11-28,"2025-11-20 (Price: 75.44), 0.0% below",0 days,"0, 2020-11-30 (Price: 43.02)",2025-10-31 (Price: 73.11),2025-11-20 (Price: 75.44),14/0/0 days,3.19% above/0.0% below/0.0% below,2020-11-30 (Price: 63.5339)/2025-11-20 (Price: 67.0234),25.25%/6.97%/16.78%,"26.7%, 42.44%",347 days/107 days/197 days,2027-04-06/2026-04-23/2026-09-01,6.7%,1.67%,5.03%,0.55,0.08,82.1542/88.0988/94.89/No Horizontal Resistance/81.4336/89.7071/No Moving Avg Target,46.5/40.92/73.1467/64.9561/68.7836/61.8539/65.69,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"BDGI.TO, Long, 2025-11-20 (Price: 71.44)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 61.31 prior to 2025-12-31,"2025-11-20 (Price: 71.44), 0.0% below",0 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-11-20 (Price: 71.44),37/0/0 days,16.39% above/0.0% below/0.0% below,2018-06-30 (Price: 49.0339)/2025-11-20 (Price: 52.2506),227.42%/21.67%/123.16%,"-0.0%, 36.34%",457 days/325 days/413 days,2027-09-12/2027-03-05/2027-07-11,41.42%,12.22%,29.2%,1.0,0.42,116.9901/159.4255/95.3/No Horizontal Resistance/87.1484/97.3919/No Moving Avg Target,26.66/24.32/66.9303/63.4408/66.2172/60.0086/50.75,86.67%/15/609 days (Across ALL Assets),100.0%/1/155 days (Across ALL Assets)
"CNQ.TO, Long, 2025-11-20 (Price: 47.9)",No Exit Yet,"0.0%, 0 days","70.0%, Past 10 years, 30","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 47.0 prior to 2025-11-21,"2025-11-20 (Price: 47.9), 0.0% below",0 days,"0, 2021-08-01 (Price: 20.1616)",2025-11-09 (Price: 44.4),2025-11-20 (Price: 47.9),8/0/0 days,7.88% above/0.0% below/0.0% below,2021-08-01 (Price: 78.2704)/2025-11-20 (Price: 43.5224),19.11%/1.41%/7.62%,"22.31%, 71.02%",129 days/19 days/45 days,2026-05-25/2025-12-17/2026-01-24,1.12%,5.6%,-4.49%,0.03,0.24,48.5035/51.55/64.54/51.51/57.5622/59.9244/No Moving Avg Target,41.23/34.9317/44.0597/41.1349/61.5996/64.7366/42.95,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"NA.TO, Long, 2025-11-20 (Price: 161.73)",No Exit Yet,"0.0%, 0 days","93.33%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 157.19 prior to 2025-11-28,"2025-11-20 (Price: 161.73), 0.0% below",0 days,"0, 2020-11-30 (Price: 71.94)",2025-10-31 (Price: 156.7),2025-11-20 (Price: 161.73),14/0/0 days,3.21% above/0.0% below/0.0% below,2020-11-30 (Price: 94.7324)/2025-11-20 (Price: 151.5703),28.7%/1.41%/17.14%,"5.23%, 30.62%",694 days/108 days/223 days,2028-08-21/2026-04-25/2026-10-08,11.63%,10.7%,0.94%,1.75,0.45,171.5632/189.4505/215.6/No Horizontal Resistance/162.0277/185.717/No Moving Avg Target,118.77/82.9367/152.3147/143.1328/150.1075/141.8342/136.82,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
"SUM.NZ, Long, 2025-11-18 (Price: 12.6)",No Exit Yet,"0.56%, 2 days","90.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-20 (Price: 12.67), 0.56% above",2 days,"4, 2025-08-07 (Price: 11.33)",2025-11-17 (Price: 12.65),2025-11-18 (Price: 12.6),3/2/2 days,0.16% above/0.56% above/0.56% above,2025-08-07 (Price: 10.8679)/2025-11-18 (Price: 12.3204),8.54%/1.38%/4.55%,"6.4%, 20.48%",133 days/4 days/16 days,2026-05-29/2025-11-23/2025-12-11,46.12%,9.64%,36.48%,0.79,0.35,13.0183/13.1733/13.36/13.345/19.8479/26.5969/No Moving Avg Target,11.6/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level/11.45,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"ATZ.TO, Long, 2025-11-18 (Price: 99.89)",No Exit Yet,"1.85%, 2 days","91.89%, Past 4 years, 37","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-20 (Price: 101.74), 1.85% above",2 days,"10, 2025-03-03 (Price: 67.47)",2025-11-18 (Price: 99.89),2025-11-18 (Price: 99.89),2/2/2 days,1.85% above/1.85% above/1.85% above,2025-03-03 (Price: 55.5542)/2025-11-18 (Price: 99.1681),18.96%/1.32%/6.21%,"50.85%, 58.96%",33 days/5 days/13 days,2026-01-04/2025-11-25/2025-12-06,16.69%,30.38%,-13.7%,0.13,0.89,105.0743/106.0932/119.34/No Horizontal Resistance/99.4929/119.4832/No Moving Avg Target,94.11/32.3325/82.0832/66.1919/No F-Track Level/No F-Track Level/71.14,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"BRK-B, Long, 2025-11-16 (Price: 508.94)",No Exit Yet,"-1.54%, 3 days","96.77%, Past 10 years, 31","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-20 (Price: 501.12), 1.54% below",3 days,"2, 2025-04-06 (Price: 493.54)",2025-11-16 (Price: 508.94),2025-11-16 (Price: 508.94),3/3/3 days,1.54% below/1.54% below/1.54% below,2025-04-06 (Price: 542.8072)/2025-11-16 (Price: 495.9973),11.6%/2.26%/5.43%,"13.62%, 25.57%",209 days/24 days/60 days,2026-09-14/2025-12-20/2026-02-10,16.54%,12.36%,4.19%,0.91,0.56,531.5878/536.5754/518.18/No Horizontal Resistance/630.85/709.9376/No Moving Avg Target,477.54/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/496.0,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"^BVSP, Long, 2025-11-16 (Price: 157739.0)",No Exit Yet,"-1.49%, 3 days","94.44%, Past 10 years, 36","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-19 (Price: 155381.0), 1.49% below",3 days,"2, 2025-03-09 (Price: 125035.0)",2025-11-09 (Price: 154064.0),2025-11-16 (Price: 157739.0),7/2/2 days,0.85% above/1.49% below/1.49% below,2025-03-09 (Price: 133240.6247)/2025-11-16 (Price: 150914.5932),11.93%/0.93%/6.26%,"15.17%, 43.39%",289 days/19 days/71 days,2027-01-08/2025-12-13/2026-02-26,10.24%,5.05%,5.2%,0.76,0.14,161840.214/167613.4614/177361.4/No Horizontal Resistance/173653.968/192289.6/No Moving Avg Target,132437.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/136771.08,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
