"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max./Min./Avg.),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"BABA, Long, 2025-12-01 (Price: 164.26)",No Exit Yet,"0.0%, 0 days","76.19%, Past 6 years, 42","Daily, is Confirmed on 2025-12-01",No Cancellation Possible,"2025-12-01 (Price: 164.26), 0.0% below",0 days,2025-11-14 (Price: 151.78)/2025-11-26 (Price: 150.0),16 days/1 day/5 days,16.48%/5.33%/8.72%,"17.74%, 17.74%",2.1 months/1 day/11 days,2026-03-02/2025-12-02/2025-12-16,26.59%,-1.07%,27.65%,0.13,0.14,173.36/178.5835/183.97/No Horizontal Resistance/433.8283/634.7074/No Moving Avg Target,No Recent Minima/67.495/No F-Stack Support/No F-Stack Support/160.8988/168.5614/135.71,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"IFT.NZ, Long, 2025-12-01 (Price: 11.6)",No Exit Yet,"0.0%, 0 days","86.96%, Past 6 years, 23","Daily, is Confirmed on 2025-12-01",No Cancellation Possible,"2025-12-01 (Price: 11.6), 0.0% below",0 days,2025-11-18 (Price: 11.6)/2025-11-21 (Price: 11.36),20 days/1 day/6 days,20.52%/5.06%/8.27%,"21.0%, 21.0%",2.6 months/13 days/1.3 month,2026-03-22/2025-12-19/2026-01-25,17.79%,15.95%,1.84%,0.14,0.6,12.1034/12.5593/12.18/11.925/13.8771/15.9169/No Moving Avg Target,No Recent Minima/7.3167/11.3804/9.6206/14.3361/14.9482/11.33,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"TFII.TO, Long, 2025-11-28 (Price: 121.87)",No Exit Yet,"2.08%, 1 day","85.19%, Past 6 years, 27","Daily, is Confirmed on 2025-11-28",No Cancellation Possible,"2025-12-01 (Price: 124.41), 2.08% above",1 day,2025-10-30 (Price: 121.71)/2025-10-31 (Price: 117.9),18 days/1 day/6 days,30.6%/5.59%/11.26%,"25.08%, 28.63%",2 months/1 day/22 days,2026-02-22/2025-11-29/2025-12-29,34.87%,19.04%,15.83%,0.15,0.63,124.9777/135.5926/127.96/219.9933/223.9051/280.6304/123.15,No Recent Minima/102.925/113.6809/104.714/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"MSFT, Long, 2025-11-26 (Price: 485.5)",No Exit Yet,"0.26%, 3 days","81.48%, Past 6 years, 27","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-12-01 (Price: 486.74), 0.26% above",3 days,2025-11-07 (Price: 493.25)/2025-11-21 (Price: 468.27),20 days/1 day/6 days,13.91%/5.23%/6.93%,"11.85%, 17.4%",25 days/2 days/11 days,2026-01-01/2025-11-28/2025-12-11,5.61%,23.16%,-17.54%,0.03,0.84,502.7353/519.1451/553.47/No Horizontal Resistance/553.3726/615.9924/No Moving Avg Target,No Recent Minima/216.39/386.873/350.287/No F-Track Level/No F-Track Level/468.38,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"USO, Long, 2025-11-26 (Price: 70.04)",No Exit Yet,"1.46%, 3 days","73.33%, Past 6 years, 30","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-12-01 (Price: 71.06), 1.46% above",3 days,2025-11-14 (Price: 71.13)/2025-11-21 (Price: 68.58),15 days/1 day/5 days,11.89%/5.03%/6.85%,"17.05%, 17.88%",1.3 month/7 days/18 days,2026-01-21/2025-12-06/2025-12-22,-34.01%,-4.37%,-29.63%,-0.21,0.0,73.1918/74.8377/73.54/83.49/No Next Fib Ext/No Next Fib Ext/72.42,No Recent Minima/44.03/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"IBKR, Long, 2025-11-26 (Price: 64.19)",No Exit Yet,"-1.01%, 3 days","83.33%, Past 6 years, 30","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-12-01 (Price: 63.54), 1.01% below",3 days,2025-11-17 (Price: 62.96)/2025-11-18 (Price: 62.09),13 days/1 day/5 days,14.05%/5.19%/7.6%,"11.21%, 13.86%",1.2 month/2 days/14 days,2026-01-18/2025-11-28/2025-12-16,30.69%,34.23%,-3.54%,0.22,1.11,67.4637/69.0684/67.4/No Horizontal Resistance/102.297/159.1852/No Moving Avg Target,No Recent Minima/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/56.83,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"BABA, Long, 2025-11-24 (Price: 160.73)",No Exit Yet,"2.2%, 5 days","76.19%, Past 6 years, 42","Daily, is Confirmed on 2025-11-24",No Cancellation Possible,"2025-12-01 (Price: 164.26), 2.2% above",5 days,2025-11-13 (Price: 158.5)/2025-11-14 (Price: 151.78),16 days/1 day/5 days,16.48%/5.33%/8.72%,"17.74%, 17.74%",2.1 months/1 day/11 days,2026-02-23/2025-11-25/2025-12-09,26.59%,-1.07%,27.65%,0.13,0.14,169.6344/174.7457/168.77/No Horizontal Resistance/395.5515/453.696/No Moving Avg Target,No Recent Minima/67.495/138.4263/108.0763/No F-Track Level/No F-Track Level/135.71,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"IBIT, Long, 2025-11-24 (Price: 50.57)",No Exit Yet,"-4.09%, 5 days","90.0%, Past 1 years, 10","Daily, is Confirmed on 2025-11-24",No Cancellation Possible,"2025-12-01 (Price: 48.5), 4.09% below",5 days,2025-11-17 (Price: 51.7)/2025-11-20 (Price: 48.74),5 days/1 day/3 days,8.18%/5.06%/7.28%,"13.32%, 14.42%",27 days/2 days/19 days,2026-01-02/2025-11-26/2025-12-21,56.12%,58.43%,-2.31%,0.25,1.54,51.4347/54.2515/53.1/70.855/74.3812/88.2877/58.74,No Recent Minima/41.99/45.1961/234.9241/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"SONY, Long, 2025-11-24 (Price: 29.01)",No Exit Yet,"-0.79%, 5 days","85.71%, Past 6 years, 35","Daily, is Confirmed on 2025-11-24",No Cancellation Possible,"2025-12-01 (Price: 28.78), 0.79% below",5 days,2025-10-31 (Price: 27.81)/2025-11-20 (Price: 27.75),15 days/1 day/6 days,17.73%/5.06%/8.44%,"11.6%, 15.4%",2 months/4 days/20 days,2026-02-18/2025-11-29/2025-12-22,38.36%,14.31%,24.05%,0.28,0.52,29.8977/31.4584/34.81/No Horizontal Resistance/33.2191/35.3948/No Moving Avg Target,No Recent Minima/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level/26.37,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
"BTC-USD, Long, 2025-11-23 (Price: 86805.0078)",2025-11-27 (Price: 91285.375),"5.16%, 3 days","84.21%, Past 6 years, 57","Daily, is Confirmed on 2025-11-23",No Cancellation Possible,"2025-12-01 (Price: 86448.4688), 0.41% below",8 days,2025-11-16 (Price: 92971.1641)/2025-11-21 (Price: 80659.8125),10 days/0 days/2 days,19.05%/5.04%/8.14%,"14.07%, 15.29%",1 month/0 days/8 days,2026-01-05/2025-11-23/2025-12-04,54.01%,49.41%,4.61%,0.19,0.92,90737.2747/93870.9354/91145.26/124582.2656/122105.3521/133759.1807/109644.24,No Recent Minima/18304.4229/76786.0499/48777.0949/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
