"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"GS, Long, 2026-02-12 (Price: 917.485)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 16","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-12 (Price: 917.485), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 855.6773),7.22% above,"2025-04-07 (Price: 439.38), 2026-01-16 (Price: 984.7)",13.91%/5.18%/10.25%,"-0.0%, 33.99%",2.6 years/27 days/7.4 months,2029-10-29/2026-03-23/2026-12-30,26.0%,18.81%,7.19%,2.7,1.04,981.9842/1011.5272/1244.68/No Horizontal Resistance/973.4919/1057.8628/No EMA 200 Target,890.41/288.555/916.0326/818.1554/820.1826/719.0801/757.28,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),956.17
"HDFCBANK.NS, Long, 2026-02-12 (Price: 920.6)",No Exit Yet,"0.0%, 0 days","85.71%, Past 20 years, 21","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 905.0 prior to 2026-02-13,"2026-02-12 (Price: 920.6), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 891.107),3.31% above,"2024-02-18 (Price: 681.775), 2025-10-26 (Price: 1020.5)",22.05%/6.26%/16.28%,"4.97%, 33.13%",1.6 year/7 days/6.7 months,2028-05-26/2026-02-22/2026-11-30,12.4%,12.41%,-0.01%,1.46,0.67,991.6703/1070.4737/1123.84/1009.6/1299.7536/1565.406/976.73,916.1/640.9/762.8018/626.4465/No support/891.107/No EMA 200 Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),945.0
"C6L.SI, Long, 2026-02-12 (Price: 6.9)",No Exit Yet,"0.0%, 0 days","87.5%, Past 40 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 6.23 prior to 2026-02-27,"2026-02-12 (Price: 6.9), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 6.2388),10.6% above,"2024-08-31 (Price: 5.86), 2025-07-31 (Price: 7.63)",36.54%/6.45%/24.21%,"1.62%, 16.22%",2.6 years/8.1 months/1.5 year,2029-10-29/2027-01-29/2028-04-04,7.09%,-1.77%,8.86%,0.77,-0.19,7.1042/8.5705/7.96/7.0067/15.4629/16.7442/No EMA 200 Target,6.35/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/6.7,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),6.35
"MA, Long, 2026-02-12 (Price: 532.495)",No Exit Yet,"0.0%, 0 days","88.89%, Past 19 years, 18","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 518.27 prior to 2026-02-13,"2026-02-12 (Price: 532.495), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 506.7089),5.09% above,"2020-03-29 (Price: 199.99), 2025-08-24 (Price: 601.77)",20.8%/7.86%/16.28%,"10.74%, 25.66%",1.6 year/1.4 month/6.4 months,2028-05-26/2026-04-13/2026-11-17,14.25%,18.73%,-4.48%,1.65,0.96,578.1831/619.1852/773.56/592.9033/716.5814/751.3605/564.01,524.74/305.0867/515.4888/442.8637/524.8987/477.6582/No EMA 200 Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),538.15
"IFT.NZ, Long, 2026-02-12 (Price: 11.3)",No Exit Yet,"0.0%, 0 days","85.71%, Past 31 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 10.6 prior to 2026-02-27,"2026-02-12 (Price: 11.3), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 10.5578),7.03% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-05-26/2026-09-21/2027-09-08,8.62%,8.22%,0.4%,0.91,0.49,13.0007/13.7137/18.36/12.825/13.8771/15.9169/11.53,10.38/7.3167/9.6206/9.1203/No support/No support/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),11.05
"NA.TO, Long, 2026-02-12 (Price: 172.125)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 26","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 160.83 prior to 2026-02-13,"2026-02-12 (Price: 172.125), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 160.7722),7.06% above,"2025-04-13 (Price: 106.67), 2025-12-28 (Price: 177.54)",20.62%/0.12%/15.67%,"0%, 55.97%",3.7 years/3 months/1.1 year,2031-05-26/2026-06-22/2027-09-08,12.24%,6.18%,6.06%,3.57,0.32,182.8312/199.097/214.65/No Horizontal Resistance/185.717/204.2705/No EMA 200 Target,162.25/82.9367/162.0277/152.3147/160.7722/150.4677/151.15,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),169.0
"EURUSD=X, Long, 2026-02-10 (Price: 1.1916)",No Exit Yet,"-0.37%, 2 days","83.33%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-12 (Price: 1.1872), 0.37% below",2 days,Upmove Bounce Back,23.66% (Price: 1.1589),2.44% above,"2025-01-13 (Price: 1.0184), 2026-01-28 (Price: 1.2024)",3.96%/1.06%/2.74%,"1.76%, 8.46%",1.7 year/1.9 month/7.8 months,2028-07-15/2026-05-03/2027-01-14,3.65%,-0.58%,4.23%,0.5,-0.67,1.1978/1.2242/1.3/No Horizontal Resistance/1.6296/1.7649/No EMA 200 Target,1.18/1.0256/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.16,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),1.1918
"GBPUSD=X, Long, 2026-02-10 (Price: 1.3683)",No Exit Yet,"-0.43%, 2 days","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-12 (Price: 1.3624), 0.43% below",2 days,Upmove Bounce Back,23.66% (Price: 1.3649),0.18% below,"2025-11-05 (Price: 1.3012), 2026-01-29 (Price: 1.3847)",8.02%/2.94%/5.14%,"0.27%, 9.35%",1.9 year/28 days/11.4 months,2028-10-27/2026-03-22/2027-06-20,5.3%,-0.1%,5.4%,0.92,-0.51,1.3795/1.4386/1.42/No Horizontal Resistance/2.4421/3.2078/No EMA 200 Target,1.36/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),1.3683
"GBPSGD=X, Long, 2026-02-10 (Price: 1.732)",No Exit Yet,"-0.72%, 2 days","100.0%, Past 5 years, 14","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-12 (Price: 1.7196), 0.72% below",2 days,Upmove Bounce Back,23.66% (Price: 1.737),1.0% below,"2025-11-05 (Price: 1.7003), 2026-01-29 (Price: 1.7484)",0.72%/0.52%/0.63%,"-0.0%, 4.59%",1.7 year/1.2 month/8.2 months,2028-07-15/2026-04-03/2027-01-30,3.03%,-0.49%,3.52%,0.32,-0.86,1.7367/1.7429/1.76/1.8577/4.0285/5.5304/No EMA 200 Target,1.73/1.6883/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.73,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),1.7318
"XLY, Long, 2026-02-10 (Price: 118.33)",No Exit Yet,"-1.61%, 2 days","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-12 (Price: 116.42), 1.61% below",2 days,Upmove Bounce Back,50% (Price: 117.7375),1.12% below,"2025-11-20 (Price: 110.465), 2026-01-12 (Price: 125.01)",12.8%/0.83%/7.78%,"5.33%, 39.96%",3 years/21 days/8.7 months,2030-05-24/2026-03-12/2027-02-23,13.85%,5.91%,7.94%,1.09,0.3,121.2409/127.5361/127.06/121.1117/125.4815/133.9156/No EMA 200 Target,116.35/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/114.68,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),117.76
