"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"BRK-B, Long, 2026-01-05 (Price: 498.52)",No Exit Yet,"0.0%, 0 days","80.0%, Past 29 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 473.15 prior to 2026-01-30,"2026-01-05 (Price: 498.52), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 475.2967),4.89% above,"2022-10-31 (Price: 259.85), 2025-05-31 (Price: 542.07)",27.51%/12.01%/21.3%,"16.03%, 41.66%",4.6 years/7.1 months/1.5 year,2032-07-29/2026-11-09/2028-02-26,8.18%,7.84%,0.34%,0.89,0.47,628.6836/604.7048/667.85/No Horizontal Resistance/537.7909/627.804/No EMA 200 Target,267.02/268.082/475.0642/401.0818/475.2967/434.262/497.78,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"DIS, Long, 2026-01-05 (Price: 114.07)",No Exit Yet,"0.0%, 0 days","80.0%, Past 64 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 101.89 prior to 2026-01-30,"2026-01-05 (Price: 114.07), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 102.395),11.4% above,"2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-04/2026-02-17/2027-05-02,7.35%,7.97%,-0.62%,0.97,0.4,130.7698/140.3289/140.82/168.455/236.8799/272.4142/No EMA 200 Target,90.95/79.415/109.0737/100.3529/113.8159/107.1333/110.26,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"IEI, Long, 2026-01-05 (Price: 119.52)",No Exit Yet,"0.0%, 0 days","88.24%, Past 18 years, 17","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 119.0 prior to 2026-01-09,"2026-01-05 (Price: 119.52), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 119.037),0.41% above,"2025-01-19 (Price: 114.51), 2025-11-30 (Price: 120.44)",15.01%/1.09%/4.1%,"2.66%, 7.33%",9.5 years/4 months/2.4 years,2039-07-29/2026-06-27/2029-06-09,-3.74%,0.69%,-4.43%,0.36,-0.89,121.265/124.4203/123.08/129.9625/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,119.32/113.4857/No F-Stack Support/No F-Stack Support/No support/No support/118.83,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"MSFT, Long, 2026-01-05 (Price: 472.85)",No Exit Yet,"0.0%, 0 days","92.31%, Past 39 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 464.89 prior to 2026-01-30,"2026-01-05 (Price: 472.85), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 474.9779),0.45% below,"2025-04-30 (Price: 344.79), 2025-07-31 (Price: 555.45)",27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,2046-04-14/2026-05-15/2028-07-31,7.9%,16.21%,-8.31%,1.65,0.79,636.5507/578.3901/599.25/554.585/574.7462/615.9561/478.46,375.39/216.39/452.6681/384.4933/No support/450.12/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"GBPUSD=X, Long, 2026-01-05 (Price: 1.3438)",No Exit Yet,"0.0%, 0 days","83.33%, Past 56 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1.3012 prior to 2026-01-30,"2026-01-05 (Price: 1.3438), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1.271),5.73% above,"2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-02-25/2030-02-25/2030-02-25,4.04%,-0.96%,5.0%,0.36,-0.64,1.3509/1.3947/1.53/1.4232/2.4421/3.2078/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No support/No support/1.34,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"XLU, Long, 2026-01-05 (Price: 42.7)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 19","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 42.03 prior to 2026-01-09,"2026-01-05 (Price: 42.7), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 42.5398),0.38% above,"2025-04-13 (Price: 35.51), 2025-10-19 (Price: 46.885)",18.94%/4.73%/14.15%,"0%, 42.71%",6.5 years/4.2 months/1.3 year,2035-04-17/2026-07-06/2027-11-13,10.1%,3.65%,6.45%,3.45,0.14,43.9169/48.742/49.53/No Horizontal Resistance/60.8844/89.6256/No EMA 200 Target,42.63/29.6267/32.1431/25.3581/42.2713/39.436/42.05,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"MA, Long, 2026-01-05 (Price: 568.57)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 4","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 524.7 prior to 2026-01-30,"2026-01-05 (Price: 568.57), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 524.8987),8.32% above,"2022-10-31 (Price: 276.87), 2025-08-31 (Price: 601.77)",26.69%/21.1%/23.74%,"0%, 21.75%",1.9 year/6.1 months/1.1 year,2028-09-21/2026-09-27/2027-08-01,10.35%,18.74%,-8.39%,10.22,1.0,778.9409/703.5485/763.51/592.9033/716.5814/751.3605/No EMA 200 Target,284.34/305.0867/554.0572/515.4888/524.8987/477.6582/561.53,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"NZDCAD=X, Long, 2026-01-05 (Price: 0.791)",No Exit Yet,"0.0%, 0 days","76.92%, Past 22 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 0.7858 prior to 2026-01-30,"2026-01-05 (Price: 0.791), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 0.8038),1.59% below,"2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-07-29/2027-06-10/2030-07-31,0.56%,-0.19%,0.75%,0.44,-0.46,0.8371/0.8688/0.83/0.8876/No Next Fib Ext/No Next Fib Ext/0.81,0.79/0.7834/No F-Stack Support/No F-Stack Support/No support/0.7899/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"NVO, Long, 2026-01-05 (Price: 55.11)",No Exit Yet,"0.0%, 0 days","100.0%, Past 44 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 43.08 prior to 2026-01-30,"2026-01-05 (Price: 55.11), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 43.8439),25.7% above,"2016-11-30 (Price: 15.445), 2024-06-30 (Price: 148.15)",42.36%/20.21%/26.41%,"-0.0%, 47.55%",3.3 years/4 months/1.3 year,2030-09-21/2026-06-27/2027-11-13,10.33%,9.37%,0.96%,1.75,0.5,67.4216/69.6646/134.73/139.01/159.2295/190.9685/59.64,47.07/45.4025/55.093/52.1958/47.9075/35.154/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"AMZN, Long, 2026-01-04 (Price: 226.5)",No Exit Yet,"2.9%, 1 day","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-01-05 (Price: 233.06), 2.9% above",1 day,Upmove Bounce Back,38.2% (Price: 221.462),5.24% above,"2025-04-13 (Price: 161.38), 2025-11-09 (Price: 258.6)",31.25%/0.75%/16.86%,"0.32%, 56.17%",2.8 years/28 days/7.4 months,2030-01-01/2026-02-13/2026-11-21,13.55%,17.13%,-3.58%,1.66,0.81,266.9529/264.6879/284.83/239.3/317.6152/339.3352/No EMA 200 Target,213.04/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/217.22,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"UBER, Long, 2026-01-04 (Price: 82.86)",No Exit Yet,"-2.56%, 1 day","100.0%, Past 6 years, 4","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-01-05 (Price: 80.74), 2.56% below",1 day,Upmove Bounce Back,50% (Price: 78.415),2.96% above,"2024-08-11 (Price: 54.84), 2025-09-28 (Price: 101.99)",18.06%/15.5%/16.66%,"0%, 6.35%",1.6 month/14 days/29 days,2026-03-14/2026-01-24/2026-02-15,23.54%,8.01%,15.53%,14.78,0.43,74.7397/96.6645/111.15/No Horizontal Resistance/109.2759/122.511/88.06,79.31/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No EMA 200 Support,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"FXI, Long, 2026-01-04 (Price: 39.82)",No Exit Yet,"0.28%, 1 day","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-01-05 (Price: 39.93), 0.28% above",1 day,Upmove Bounce Back,23.66% (Price: 36.9983),7.92% above,"2024-01-28 (Price: 20.86), 2025-10-05 (Price: 42.0)",20.93%/0.55%/14.72%,"1.3%, 33.51%",4.3 years/2.3 months/1.8 year,2032-02-24/2026-04-13/2028-07-30,8.74%,2.27%,6.47%,1.68,0.1,41.2296/45.6815/52.5/42.665/90.5742/95.3274/No EMA 200 Target,38.6/20.865/38.0047/No support/No F-Track Level/No F-Track Level/37.78,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"FRW.NZ, Long, 2026-01-04 (Price: 14.45)",No Exit Yet,"-2.77%, 1 day","100.0%, Past 20 years, 15","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-01-05 (Price: 14.05), 2.77% below",1 day,Upmove Bounce Back,23.66% (Price: 13.0889),7.34% above,"2023-11-05 (Price: 7.31), 2025-11-02 (Price: 14.88)",20.66%/2.33%/14.04%,"0%, 39.81%",3.7 years/3.7 months/1.1 year,2031-04-17/2026-06-13/2027-07-31,10.07%,5.08%,4.99%,2.43,0.25,14.6032/16.4788/18.99/No Horizontal Resistance/16.2179/21.849/No EMA 200 Target,10.0/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/12.07,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"BIPC.TO, Long, 2026-01-04 (Price: 62.15)",No Exit Yet,"-0.66%, 1 day","100.0%, Past 17 years, 4","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-01-05 (Price: 61.74), 0.66% below",1 day,Upmove Bounce Back,38.2% (Price: 58.8572),4.9% above,"2025-04-13 (Price: 45.7), 2025-10-19 (Price: 66.99)",16.58%/15.85%/16.24%,"-0.0%, 8.87%",6.3 months/1.6 month/3.4 months,2026-10-04/2026-03-14/2026-05-31,16.31%,8.39%,7.92%,1.53,0.43,63.3557/72.2432/74.92/66.672/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,53.03/44.9667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/57.23,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"ORCL, Long, 2026-01-04 (Price: 195.71)",No Exit Yet,"-1.59%, 1 day","86.21%, Past 20 years, 29","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-01-05 (Price: 192.59), 1.59% below",1 day,Upmove Bounce Back,50% (Price: 174.3317),10.47% above,"1996-04-14 (Price: 2.9433), 2025-09-14 (Price: 345.72)",24.18%/5.64%/16.61%,"12.23%, 26.99%",2.6 years/1.4 month/10.1 months,2029-09-20/2026-03-05/2027-03-18,12.55%,10.22%,2.33%,1.29,0.53,231.7402/228.2174/401.38/No Horizontal Resistance/300.069/376.1425/215.62,189.97/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"AAPL, Long, 2025-12-31 (Price: 271.86)",No Exit Yet,"-1.69%, 5 days","100.0%, Past 45 years, 5","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-05 (Price: 267.26), 1.69% below",5 days,Upmove Bounce Back,38.2% (Price: 169.2862),57.87% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-06-05/2027-01-30/2027-04-05,12.11%,12.37%,-0.26%,1.91,0.56,390.1463/368.7781/414.5/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,23.9/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/232.3,75.0%/4/1.4 year (Across ALL Assets),100.0%/1/1.5 year (Across ALL Assets)
"HDB, Long, 2025-12-31 (Price: 36.54)",No Exit Yet,"-6.49%, 5 days","88.89%, Past 26 years, 9","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-05 (Price: 34.17), 6.49% below",5 days,Upmove Bounce Back,38.2% (Price: 34.562),1.13% below,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",26.63%/20.05%/23.77%,"32.26%, 39.31%",3.3 years/4.1 months/1.4 year,2030-09-16/2026-06-25/2027-12-29,8.78%,11.88%,-3.1%,0.83,0.59,42.3754/45.2256/44.77/39.3812/40.717/47.4928/No EMA 200 Target,26.75/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/36.21,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"TCS.NS, Long, 2025-12-31 (Price: 3206.2)",No Exit Yet,"0.31%, 5 days","87.5%, Past 21 years, 8","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-05 (Price: 3216.1001), 0.31% above",5 days,Upmove Bounce Back,50% (Price: 2809.1),14.49% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",26.36%/7.31%/19.71%,"10.18%, 12.85%",1.3 year/3 months/8.3 months,2027-11-08/2026-05-10/2026-12-26,7.28%,13.73%,-6.45%,0.82,0.62,3337.6542/3838.142/5345.98/4543.575/5637.7577/6110.9256/3238.9,2888.4/2923.4601/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
