"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"DIS, Long, 2025-10-31 (Price: 112.62)",No Exit Yet,"0.0%, 0 days","90.32%, Past 20 years, 31","Weekly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 112.62), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 107.6566),4.61% above,"2025-04-13 (Price: 80.1), 2025-07-06 (Price: 124.69)",98.61%/5.36%/30.13%,"7.93%, 55.37%",579 days/44 days/299 days,2028-02-16/2026-01-02/2027-01-07,13.33%,8.28%,5.05%,0.58,0.29,117.1473/146.5524/139.37/168.455/236.8799/272.4142,109.19/79.415/109.0737/100.3529/134.0652/140.4105,114.13/110.06,94.0%/50/558 days (Across ALL Assets),72.73%/165/214 days (Across ALL Assets)
"ASML, Long, 2025-10-31 (Price: 1059.23)",No Exit Yet,"0.0%, 0 days","85.71%, Past 30 years, 21","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 1059.23), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 692.3064),53.0% above,"2008-11-30 (Price: 16.4156), 2024-07-31 (Price: 1110.09)",624.81%/9.57%/195.49%,"6.56%, 59.07%",2348 days/173 days/982 days,2035-02-21/2026-07-08/2029-09-22,12.88%,19.16%,-6.28%,0.53,0.6,1163.8819/3129.9187/1715.43/No Horizontal Resistance/1081.4334/1218.8523,662.63/561.385/998.2461/956.961/1235.8618/1313.1536,924.91/776.73,83.72%/43/1335 days (Across ALL Assets),70.54%/112/343 days (Across ALL Assets)
"CNQ.TO, Long, 2025-10-31 (Price: 44.87)",No Exit Yet,"0.0%, 0 days","91.67%, Past 52 years, 24","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 44.87), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 41.6298),7.78% above,"2017-07-31 (Price: 17.5808), 2024-04-30 (Price: 56.495)",1389.83%/6.72%/224.83%,"41.8%, 61.82%",5502 days/239 days/1465 days,2047-08-26/2026-10-12/2031-08-22,13.14%,14.1%,-0.96%,0.31,0.49,47.0372/145.7512/68.22/51.51/57.5622/59.9244,39.56/34.9317/44.0597/41.1349/61.5996/64.7366,43.83/42.88,83.72%/43/1335 days (Across ALL Assets),70.54%/112/343 days (Across ALL Assets)
"SJ.TO, Long, 2025-10-31 (Price: 79.61)",No Exit Yet,"0.0%, 0 days","91.67%, Past 31 years, 12","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 79.61), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 72.2303),10.22% above,"2022-06-30 (Price: 30.54), 2024-07-31 (Price: 98.0)",6107.74%/9.52%/971.03%,"16.7%, 70.23%",4108 days/153 days/1494 days,2042-02-14/2026-06-09/2031-10-03,17.01%,17.8%,-0.79%,0.35,0.63,84.6493/852.647/120.09/84.3925/108.5192/133.8092,67.6/38.015/50.2755/47.8005/106.4561/111.6527,79.07/74.45,83.72%/43/1335 days (Across ALL Assets),70.54%/112/343 days (Across ALL Assets)
"TFII.TO, Long, 2025-10-31 (Price: 126.04)",No Exit Yet,"0.0%, 0 days","90.0%, Past 25 years, 10","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 126.04), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 116.97),7.75% above,"2005-10-31 (Price: 13.01), 2024-04-30 (Price: 220.93)",303.95%/7.43%/90.09%,"39.0%, 80.29%",1738 days/239 days/934 days,2032-09-21/2026-10-12/2029-07-14,8.14%,12.86%,-4.72%,0.55,0.45,151.2984/239.5894/250.79/219.9933/223.9051/280.6304,111.42/102.925/113.6809/104.714/248.934/266.1435,128.39/130.55,83.72%/43/1335 days (Across ALL Assets),70.54%/112/343 days (Across ALL Assets)
"NVO, Long, 2025-10-31 (Price: 49.46)",No Exit Yet,"0.0%, 0 days","84.0%, Past 44 years, 25","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 49.46), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 45.6224),8.41% above,"2018-10-31 (Price: 20.615), 2022-04-30 (Price: 61.08)",3374.71%/15.27%/425.8%,"27.04%, 47.55%",5739 days/215 days/1377 days,2048-08-03/2026-09-07/2031-04-17,15.56%,13.68%,1.88%,0.26,0.52,60.4648/260.0607/73.74/139.01/159.2295/190.9685,47.07/37.445/46.3037/42.9268/47.9075/35.154,56.18/67.17,83.72%/43/1335 days (Across ALL Assets),70.54%/112/343 days (Across ALL Assets)
"AAPL, Long, 2025-10-31 (Price: 270.37)",No Exit Yet,"0.0%, 0 days","87.5%, Past 44 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 169.21 prior to 2025-12-31,"2025-10-31 (Price: 270.37), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 169.2862),59.71% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",3369.7%/144.18%/1288.28%,"19.87%, 60.88%",4165 days/718 days/2367 days,2042-05-07/2028-09-04/2035-03-21,15.43%,17.35%,-1.92%,0.42,0.55,277.3455/3753.4926/413.01/No Horizontal Resistance/275.1059/297.1089,23.9/136.57/248.4166/236.3611/251.7412/236.022,248.25/223.3,88.89%/9/1658 days (Across ALL Assets),71.43%/14/376 days (Across ALL Assets)
"DIS, Long, 2025-10-31 (Price: 112.62)",No Exit Yet,"0.0%, 0 days","73.68%, Past 63 years, 19","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 80.1 prior to 2025-12-31,"2025-10-31 (Price: 112.62), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 81.9228),37.47% above,"1990-12-31 (Price: 7.0699), 2021-03-31 (Price: 203.02)",446.5%/12.97%/114.22%,"23.98%, 60.08%",4371 days/716 days/1500 days,2043-03-02/2028-09-02/2031-10-12,6.23%,11.61%,-5.38%,0.46,0.39,139.829/241.2546/230.19/168.455/236.8799/272.4142,81.05/79.415/109.0737/100.3529/134.0652/140.4105,114.13/110.06,88.89%/9/1658 days (Across ALL Assets),71.43%/14/376 days (Across ALL Assets)
"SOXX, Long, 2025-10-31 (Price: 306.55)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 148.31 prior to 2025-12-31,"2025-10-31 (Price: 306.55), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 147.9982),107.13% above,"2015-09-30 (Price: 24.2867), 2022-03-31 (Price: 186.34)",115.45%/0.45%/60.81%,"-0.0%, 41.23%",1043 days/717 days/869 days,2029-12-19/2028-09-03/2029-04-11,9.78%,11.98%,-2.2%,0.68,0.43,387.1113/492.9631/403.78/No Horizontal Resistance/320.8469/358.5021,106.24/110.475/267.2317/244.4067/273.874/249.9586,272.11/229.39,88.89%/9/1658 days (Across ALL Assets),71.43%/14/376 days (Across ALL Assets)
"NKE, Long, 2025-10-31 (Price: 64.59)",No Exit Yet,"0.0%, 0 days","100.0%, Past 44 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 52.28 prior to 2025-12-31,"2025-10-31 (Price: 64.59), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 53.1996),21.41% above,"2002-12-31 (Price: 4.8162), 2015-12-31 (Price: 68.195)",134.08%/35.67%/82.89%,"-0.0%, 37.48%",2870 days/717 days/1695 days,2037-03-18/2028-09-03/2032-07-21,13.3%,14.3%,-1.0%,1.27,0.48,101.4257/118.1287/102.62/176.74/188.3051/199.1142,63.48/No Horizontal Support/60.8522/54.2069/150.0085/161.4995,71.3/69.18,88.89%/9/1658 days (Across ALL Assets),71.43%/14/376 days (Across ALL Assets)
