"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"ETH-USD, Long, 2026-02-16 (Price: 1988.8394)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 5","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 1748.6277 prior to 2026-02-20,"2026-02-16 (Price: 1988.8394), 0.0% below",0 days,Upmove Bounce Back,88.6% (Price: 1793.4297),10.9% above,"2025-04-13 (Price: 1386.7993), 2025-08-24 (Price: 4953.7329)",33.25%/17.26%/24.12%,"-0.0%, 44.11%",5.4 months/7 days/2.8 months,2026-10-08/2026-02-26/2026-06-17,44.95%,44.58%,0.37%,1.56,1.59,2058.8465/2468.5475/4129.0/4922.7188/5483.4169/7318.9774/3536.66,1966.04/1370.4997/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),1965.1317
"RELIANCE.NS, Long, 2026-02-16 (Price: 1437.1)",No Exit Yet,"0.0%, 0 days","90.48%, Past 20 years, 21","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 1335.5 prior to 2026-02-20,"2026-02-16 (Price: 1437.1), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1325.1633),8.45% above,"2020-03-29 (Price: 400.3177), 2026-01-11 (Price: 1611.8)",22.17%/4.72%/16.08%,"1.69%, 20.86%",2.6 years/14 days/6.4 months,2029-11-02/2026-03-08/2026-11-21,15.84%,11.94%,3.9%,1.68,0.6,1543.0143/1668.1857/2163.99/1610.3/1617.1679/1804.6011/1451.3,1386.1/1006.0696/1324.16/1138.1652/No support/1380.411/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),1420.1
"C6L.SI, Long, 2026-02-16 (Price: 7.0)",No Exit Yet,"0.0%, 0 days","87.5%, Past 40 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 6.23 prior to 2026-02-27,"2026-02-16 (Price: 7.0), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 6.2388),12.2% above,"2024-08-31 (Price: 5.86), 2025-07-31 (Price: 7.63)",36.54%/6.45%/24.21%,"1.62%, 16.22%",2.6 years/8.1 months/1.5 year,2029-11-02/2027-02-02/2028-04-08,7.09%,-1.77%,8.86%,0.77,-0.19,7.2072/8.6947/8.06/7.0067/15.4629/16.7442/No EMA 200 Target,6.35/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/6.7,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),6.35
"IFT.NZ, Long, 2026-02-16 (Price: 10.94)",No Exit Yet,"0.0%, 0 days","85.71%, Past 31 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 10.6 prior to 2026-02-27,"2026-02-16 (Price: 10.94), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 10.5578),3.62% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-05-30/2026-09-25/2027-09-12,8.62%,8.22%,0.4%,0.91,0.49,12.5865/13.2768/18.0/12.825/13.8771/15.9169/11.54,10.38/7.3167/9.6206/9.1203/No support/No support/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),11.05
"NA.TO, Long, 2026-02-15 (Price: 174.78)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 26","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 160.83 prior to 2026-02-20,"2026-02-15 (Price: 174.78), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 160.7722),8.71% above,"2025-04-13 (Price: 106.67), 2025-12-28 (Price: 177.54)",20.62%/0.12%/15.67%,"0%, 55.97%",3.7 years/3 months/1.1 year,2031-05-29/2026-06-25/2027-09-11,12.24%,6.18%,6.06%,3.57,0.32,185.6513/202.168/217.3/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,162.25/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/151.65,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),169.0
"AAPL, Long, 2026-02-08 (Price: 278.12)",No Exit Yet,"-8.03%, 7 days","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-02-15 (Price: 255.78), 8.03% below",7 days,Upmove Bounce Back,38.2% (Price: 243.0054),5.26% above,"2025-04-13 (Price: 169.21), 2025-12-07 (Price: 288.62)",19.47%/15.33%/16.76%,"9.56%, 53.43%",1.7 year/1.4 month/7.8 months,2028-07-13/2026-04-09/2027-01-12,12.35%,17.83%,-5.48%,2.32,0.9,305.6261/324.7329/349.77/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,248.04/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/240.06,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),260.03
"META, Long, 2026-02-08 (Price: 661.46)",No Exit Yet,"-3.28%, 7 days","100.0%, Past 13 years, 6","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-02-15 (Price: 639.77), 3.28% below",7 days,Upmove Bounce Back,23.66% (Price: 613.221),4.33% above,"2013-06-09 (Price: 22.67), 2025-08-17 (Price: 796.25)",20.56%/15.24%/17.23%,"0%, 73.01%",2.1 years/21 days/9 months,2029-02-07/2026-03-10/2027-03-06,19.03%,15.86%,3.17%,8.93,0.74,822.4594/775.4296/1125.61/No Horizontal Resistance/842.484/1305.5879/688.86,620.25/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),714.6
"EFN.TO, Long, 2026-02-08 (Price: 35.44)",No Exit Yet,"-4.4%, 7 days","85.71%, Past 20 years, 7","Weekly, was CONFIRMED on 2026-02-08",Already confirmed,"2026-02-15 (Price: 33.88), 4.4% below",7 days,Upmove Bounce Back,38.2% (Price: 33.1947),2.06% above,"2025-02-09 (Price: 25.0), 2025-11-02 (Price: 38.26)",27.12%/15.2%/18.26%,"4.16%, 79.1%",4.3 years/2.6 months/1.2 year,2032-03-30/2026-05-31/2027-10-26,6.51%,10.86%,-4.35%,1.44,0.54,40.9545/41.9113/43.4/No Horizontal Resistance/45.1741/70.5281/No EMA 200 Target,34.35/12.67/29.5041/No support/No F-Track Level/No F-Track Level/35.35,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),34.42
"DIS, Long, 2026-01-31 (Price: 112.8)",No Exit Yet,"-6.52%, 16 days","80.0%, Past 64 years, 20","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-16 (Price: 105.45), 6.52% below",16 days,Upmove Bounce Back,50% (Price: 102.395),2.98% above,"2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-30/2026-03-15/2027-05-28,7.35%,7.97%,-0.62%,0.97,0.4,129.3139/138.7666/139.55/168.455/207.5364/245.6322/112.95,90.95/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),113.44
"GBPUSD=X, Long, 2026-01-31 (Price: 1.3806)",No Exit Yet,"-1.27%, 16 days","83.33%, Past 56 years, 6","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-16 (Price: 1.363), 1.27% below",16 days,Upmove Bounce Back,23.66% (Price: 1.271),7.24% above,"2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-23 (Max),4.04%,-0.96%,5.0%,0.36,-0.64,1.3879/1.4329/1.56/No Horizontal Resistance/2.4831/2.6524/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),1.3475
"NZDCAD=X, Long, 2026-01-31 (Price: 0.8195)",No Exit Yet,"0.26%, 16 days","76.92%, Past 22 years, 13","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-16 (Price: 0.8216), 0.26% above",16 days,Upmove Bounce Back,78.6% (Price: 0.8038),2.21% above,"2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-24/2027-07-06/2030-08-26,0.56%,-0.19%,0.75%,0.44,-0.46,0.8673/0.9001/0.86/0.8586/1.0924/1.3117/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/0.81,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),0.7896
"NVO, Long, 2026-01-31 (Price: 59.43)",No Exit Yet,"-16.59%, 16 days","100.0%, Past 44 years, 14","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-16 (Price: 49.57), 16.59% below",16 days,Upmove Bounce Back,78.6% (Price: 43.8439),13.06% above,"2016-11-30 (Price: 15.445), 2024-06-30 (Price: 148.15)",42.36%/20.21%/26.41%,"-0.0%, 47.55%",3.3 years/4 months/1.3 year,2030-10-17/2026-07-23/2027-12-09,10.33%,9.37%,0.96%,1.75,0.5,72.7067/75.1255/139.05/139.01/157.4212/201.8641/No EMA 200 Target,47.07/45.4025/51.1046/45.3824/No F-Track Level/No F-Track Level/58.24,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),51.61
