Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"SBUX, Long, 2026-02-18 (Price: 95.76)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 12","Daily, is CONFIRMED on 2026-02-18",Already confirmed,"2026-02-18 (Price: 95.76), 0.0% below",0 days,95.04,No Information,No Information,No Information,"38.2% (Price: 94.5709), 1.26% above, Upmove Bounce Back","2025-11-04 (Price: 77.99), 2026-01-28 (Price: 104.82)",No Information,18.2%/1.81%/10.68%,"-0.0%, 32.38%",1.8 year/1.1 month/9.9 months,2028-09-13/2026-04-06/2027-04-24,17.25%,-2.4%,19.65%,1.15,-0.1,95.3674/105.9872/111.86/117.438/142.4098/150.3462/No EMA 200 Target,93.79/71.675/89.1063/76.529/No support/No support/88.16,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"XLF, Long, 2026-02-18 (Price: 52.59)",No Exit Yet,"0.0%, 0 days","93.75%, Past 5 years, 16","Daily, is CONFIRMED on 2026-02-18",Already confirmed,"2026-02-18 (Price: 52.59), 0.0% below",0 days,52.345,No Information,No Information,No Information,"23.66% (Price: 50.3376), 4.47% above, Upmove Bounce Back","2023-03-24 (Price: 30.39), 2026-01-06 (Price: 56.52)",No Information,11.32%/1.52%/7.02%,"2.46%, 26.19%",2.3 years/21 days/6.5 months,2029-05-30/2026-03-20/2026-11-27,16.24%,9.14%,7.1%,1.47,0.58,54.5621/56.2818/68.27/No Horizontal Resistance/60.5544/64.3957/52.78,51.65/30.1167/49.3988/45.2617/50.5671/46.9089/No EMA 200 Support,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
TRENDPULSE,"JETS, Long, 2026-02-18 (Price: 30.3)",No Exit Yet,"0.0%, 0 days","80.95%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-18",Already confirmed,"2026-02-18 (Price: 30.3), 0.0% below",0 days,29.9,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,8.17%/0.83%/3.32%,"14.2%, 35.94%",2.2 months/7 days/24 days,2026-05-24/2026-02-28/2026-03-24,-6.1%,-0.44%,-5.66%,0.14,0.08,30.2939/31.306/31.0/No Horizontal Resistance/36.0778/41.7471/No EMA 200 Target,29.33/14.732/29.8678/No support/29.6231/29.9581/25.48,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"MAR, Long, 2026-02-18 (Price: 356.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 18","Daily, is CONFIRMED on 2026-02-18",Already confirmed,"2026-02-18 (Price: 356.0), 0.0% below",0 days,355.53,No Information,No Information,No Information,No Information,No Information,0.6% above/0.0% below/0.0% below,7.63%/1.53%/4.31%,"0%, 12.09%",2.9 months/6 days/1.3 month,2026-06-24/2026-02-26/2026-04-15,21.38%,9.79%,11.59%,1.88,0.48,387.2924/371.3436/479.22/No Horizontal Resistance/355.3234/374.3581/No EMA 200 Target,312.07/129.12/313.5051/297.0775/331.0556/307.1228/282.48,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-02-18 (Price: 5.64)",No Exit Yet,"0.0%, 0 days","88.24%, Past 4 years, 34","Daily, is CONFIRMED on 2026-02-18",Already confirmed,"2026-02-18 (Price: 5.64), 0.0% below",0 days,5.6,No Information,No Information,No Information,No Information,No Information,0.71% above/0.0% below/0.0% below,6.01%/0.46%/3.13%,"6.51%, 16.22%",8.3 months/7 days/2.9 months,2027-02-13/2026-02-28/2026-06-24,14.44%,0.14%,14.3%,0.3,0.02,5.8453/5.8165/5.89/6.825/No Next Fib Ext/No Next Fib Ext/5.73,5.58/4.3875/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
OSCILLATOR DELTA,"JPY=X, Long, 2026-02-18 (Price: 153.294)",No Exit Yet,"0.0%, 0 days","100.0%, Past 6 years, 9","Daily, is Confirmed on 2026-02-18",No Cancellation Possible,"2026-02-18 (Price: 153.294), 0.0% below",0 days,153.502,No Information,No Information,No Information,No Information,No Information,No Information,15.37%/5.07%/9.54%,"-0.0%, 7.73%",1.4 year/2.1 months/10.2 months,2028-02-16/2026-05-20/2027-05-07,11.54%,4.3%,7.24%,1.19,0.21,157.6935/167.9182/173.22/159.6618/175.8568/187.2285/No EMA 200 Target,No Recent Minima/108.0995/138.2059/No support/No support/No support/150.46,100.0%/41/27 days (Across ALL Assets),83.5%/400/27 days (Across ALL Assets)
FRACTAL TRACK,"CNU.NZ, Long, 2026-02-17 (Price: 9.11)",No Exit Yet,"1.65%, 1 day","73.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-02-17",Already confirmed,"2026-02-18 (Price: 9.26), 1.65% above",1 day,9.19,No Information,No Information,No Information,"61.8% (Price: 9.2314), 0.31% above, Upmove Bounce Back","2025-10-14 (Price: 8.88), 2026-02-04 (Price: 9.8)",No Information,11.98%/1.84%/7.67%,"1.13%, 19.63%",1.6 year/1 month/11.2 months,2028-05-31/2026-04-01/2027-06-18,10.79%,2.16%,8.63%,0.95,0.05,9.1692/9.8087/9.66/9.875/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,9.08/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/9.08,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"MFT.NZ, Long, 2026-02-17 (Price: 62.5)",No Exit Yet,"2.43%, 1 day","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-17",Already confirmed,"2026-02-18 (Price: 64.02), 2.43% above",1 day,63.41,No Information,No Information,No Information,"61.8% (Price: 62.0801), 3.12% above, Upmove Bounce Back","2025-07-31 (Price: 57.37), 2026-01-14 (Price: 69.7)",No Information,13.45%/0.01%/4.6%,"-0.0%, 26.79%",1.7 year/13 days/6.6 months,2028-07-22/2026-03-07/2026-11-30,6.61%,0.8%,5.81%,0.39,0.01,61.975/65.375/69.9/85.45/105.252/119.9356/64.81,62.0/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/No EMA 200 Support,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"BDGI.TO, Long, 2026-02-17 (Price: 68.65)",No Exit Yet,"1.88%, 1 day","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2026-02-17",Already confirmed,"2026-02-18 (Price: 69.94), 1.88% above",1 day,68.76,No Information,No Information,No Information,"38.2% (Price: 63.8711), 9.5% above, Upmove Bounce Back","2025-04-07 (Price: 33.62), 2026-01-19 (Price: 82.57)",No Information,14.12%/2.16%/11.1%,"0.42%, 41.99%",2.8 years/19 days/10.2 months,2030-02-14/2026-03-16/2027-05-06,19.04%,8.7%,10.34%,2.35,0.44,74.3479/76.2702/98.02/No Horizontal Resistance/79.8787/84.3122/No EMA 200 Target,65.8/24.32/63.2847/58.5532/No F-Track Level/No F-Track Level/61.5,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
TRENDPULSE,"TLT, Long, 2026-02-15 (Price: 89.7)",No Exit Yet,"-0.19%, 3 days","75.0%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-18 (Price: 89.53), 0.19% below",3 days,87.2,No Information,No Information,No Information,No Information,No Information,2.27% above/0.19% below/0.19% below,15.02%/2.35%/5.26%,"39.18%, 46.07%",6.5 months/28 days/1.7 month,2026-11-24/2026-03-27/2026-04-29,-6.38%,-0.11%,-6.26%,-0.23,-0.26,89.9601/94.4182/125.22/153.2067/188.2386/214.0466/No EMA 200 Target,87.03/83.3033/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/87.9,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
