Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"TSLA, Long, 2025-11-18 (Price: 397.71)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 34","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-18 (Price: 397.71), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 374.8188), 6.11% above, Upmove Bounce Back","2025-04-07 (Price: 214.25), 2025-11-03 (Price: 474.07)",No Information,69.86%/7.58%/26.58%,"-0.0%, 65.02%",570 days/25 days/199 days,2028-02-21/2025-12-24/2026-09-02,21.17%,25.99%,-4.83%,0.4,0.79,408.0107/503.4213/553.6/408.5817/461.2057/510.3573,320.11/181.0784/117.6011/73.4077/553.437/593.3188,431.93/338.59,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"BABA, Long, 2025-11-18 (Price: 158.35)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 17","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-18 (Price: 158.35), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 155.6389), 1.74% above, Upmove Bounce Back","2025-04-09 (Price: 95.73), 2025-10-02 (Price: 192.67)",No Information,74.52%/8.42%/42.02%,"-0.0%, 62.51%",1022 days/45 days/383 days,2029-12-07/2026-01-22/2027-05-26,14.96%,-10.23%,25.19%,0.53,-0.05,155.8797/224.8887/216.51/No Horizontal Resistance/433.8283/634.7074,153.8/67.495/No F-Stack Support/No F-Stack Support/160.8988/168.5614,168.49/133.73,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"ORCL, Long, 2025-11-18 (Price: 218.2)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 42","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-18 (Price: 218.2), 0.0% below",0 days,No Information,No Information,No Information,"50% (Price: 213.88), 2.02% above, Upmove Bounce Back","2023-03-13 (Price: 82.04), 2025-09-10 (Price: 345.72)",No Information,248.14%/1.62%/42.03%,"-0.0%, 41.08%",670 days/10 days/173 days,2028-07-15/2025-12-02/2026-07-26,19.17%,35.11%,-15.94%,0.45,1.1,219.771/309.9095/376.41/No Horizontal Resistance/287.7444/314.8727,217.57/82.7925/197.6737/140.8739/205.5205/167.408,278.67/209.96,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
BAND MATRIX,"^GSPC, Long, 2025-11-18 (Price: 6600.1699)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 6","Daily, is CONFIRMED on 2025-11-18",No Cancellation Possible,"2025-11-18 (Price: 6600.1699), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,14.12%/0.62%/8.77%,"-0.0%, 23.55%",332 days/67 days/162 days,2027-03-13/2026-02-23/2026-07-10,12.91%,14.39%,-1.48%,1.21,0.71,6804.7752/7179.0048/6991.89/No Horizontal Resistance/6878.3796/7229.888,6552.51/4106.4632/6483.7743/5939.2254/6109.0953/5610.5536,6709.46/6154.66,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
BAND MATRIX,"C6L.SI, Long, 2025-11-18 (Price: 6.48)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 7","Daily, is CONFIRMED on 2025-11-18",No Cancellation Possible,"2025-11-18 (Price: 6.48), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,36.19%/0.63%/10.95%,"0%, 17.3%",297 days/41 days/151 days,2027-01-22/2026-01-16/2026-06-24,15.77%,13.91%,1.86%,0.63,0.58,6.5241/7.1896/6.86/6.9575/15.4629/16.7442,6.46/4.7975/No F-Stack Support/No F-Stack Support/7.4334/7.6137,6.58/6.74,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
FRACTAL TRACK,"EFN.TO, Long, 2025-11-18 (Price: 35.13)",No Exit Yet,"0.0%, 0 days","90.38%, Past 5 years, 52","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-18 (Price: 35.13), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 35.0387), 0.26% above, Upmove Bounce Back","2025-02-03 (Price: 25.0), 2025-09-19 (Price: 38.15)",No Information,43.0%/0.86%/18.32%,"6.13%, 26.27%",387 days/26 days/117 days,2027-06-01/2025-12-25/2026-05-06,16.07%,24.1%,-8.03%,0.65,1.02,35.8467/41.5658/43.02/No Horizontal Resistance/48.884/73.5584,34.92/11.7733/33.6344/24.2096/35.1227/33.1947,36.86/33.3,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2025-11-18 (Price: 12.6)",No Exit Yet,"0.0%, 0 days","90.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-18 (Price: 12.6), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.4% below/0.0% below/0.0% below,8.54%/1.38%/4.55%,"6.4%, 20.48%",133 days/4 days/16 days,2026-05-29/2025-11-23/2025-12-11,46.12%,9.64%,36.48%,0.79,0.35,13.0183/13.1733/13.36/13.345/16.7981/18.5763,11.6/9.1367/11.1928/8.9354/12.5875/12.8318,11.41/11.45,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
BAND MATRIX,"SPY, Long, 2025-11-18 (Price: 658.04)",No Exit Yet,"0.0%, 0 days","85.71%, Past 5 years, 7","Daily, is CONFIRMED on 2025-11-18",No Cancellation Possible,"2025-11-18 (Price: 658.04), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,18.45%/0.75%/11.01%,"0.34%, 23.41%",332 days/67 days/153 days,2027-03-13/2026-02-23/2026-06-27,15.81%,14.38%,1.43%,1.03,0.7,684.9538/730.4902/707.72/No Horizontal Resistance/737.061/912.7117,653.02/412.1625/594.461/499.7412/608.8798/559.2126,668.97/613.77,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
SIGMASHELL,"NVO, Long, 2025-11-18 (Price: 47.615)",No Exit Yet,"0.0%, 0 days","80.0%, Past 5 years, 10","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-18 (Price: 47.615), 0.0% below",0 days,"-3.37, 62.5",No Information,No Information,No Information,No Information,No Information,24.95%/14.95%/20.78%,"28.06%, 44.04%",137 days/51 days/88 days,2026-06-04/2026-01-30/2026-03-25,5.37%,13.17%,-7.8%,0.12,0.48,48.9387/57.5094/159.2295/139.01/159.2295/190.9685,45.68/45.4025/46.3037/42.9268/78.129/82.0185,54.3/65.04,85.95%/121/73 days (Across ALL Assets),74.78%/230/78 days (Across ALL Assets)
BAND MATRIX,"SOXX, Long, 2025-11-18 (Price: 275.39)",No Exit Yet,"0.0%, 0 days","75.0%, Past 5 years, 8","Daily, is CONFIRMED on 2025-11-18",No Cancellation Possible,"2025-11-18 (Price: 275.39), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,29.3%/10.91%/18.92%,"16.66%, 41.67%",387 days/40 days/121 days,2027-06-01/2026-01-14/2026-05-12,21.14%,22.72%,-1.58%,0.78,0.76,312.5126/327.4938/320.0/No Horizontal Resistance/320.8469/358.5021,271.99/110.475/267.2317/244.4067/261.4833/229.9533,283.4/233.68,82.61%/69/122 days (Across ALL Assets),75.98%/254/112 days (Across ALL Assets)
FRACTAL TRACK,"SFTBY, Short, 2025-11-18 (Price: 59.98)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 4","Quarterly, is CONFIRMED on 2025-11-18",No Cancellation Possible,"2025-11-18 (Price: 59.98), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 62.03), 3.3% below, Upmove Break Below","2022-06-30 (Price: 16.78), 2025-11-18 (Price: 90.0)",No Information,22.05%/16.72%/18.57%,"0%, 22.05%",195 days/65 days/98 days,2026-08-27/2026-02-20/2026-04-08,14.54%,5.4%,9.14%,7.65,0.48,64.6464/48.8417/16.05/16.82/58.4635/48.0625,63.3/16.82/58.4635/48.0625/53.39/44.75,70.75/42.28,0.0%/1/90 days (Across ALL Assets),53.33%/15/92 days (Across ALL Assets)
