Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2026-01-25 (Price: 200.26)",No Exit Yet,"-0.93%, 2 days","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 198.39), 0.93% below",2 days,191.85,No Information,No Information,No Information,No Information,No Information,5.37% above/0.93% below/0.93% below,27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,2026-08-04/2026-03-18/2026-05-17,3.49%,6.66%,-3.17%,0.68,0.35,213.0366/222.6691/250.6/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/137.99,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets)
TRENDPULSE,"WPM, Long, 2026-01-25 (Price: 146.16)",No Exit Yet,"-0.23%, 2 days","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 145.83), 0.23% below",2 days,140.0,No Information,No Information,No Information,No Information,No Information,7.74% above/0.23% below/0.23% below,30.46%/2.87%/10.34%,"13.4%, 61.17%",2.8 months/28 days/1.6 month,2026-05-26/2026-03-06/2026-04-04,5.32%,5.11%,0.21%,0.63,0.29,157.9843/161.2729/183.45/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,96.52/38.3375/98.515/93.6878/No F-Track Level/No F-Track Level/99.6,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets)
TRENDPULSE,"EFA, Long, 2026-01-25 (Price: 99.97)",No Exit Yet,"1.7%, 2 days","85.71%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 101.665), 1.7% above",2 days,98.0,No Information,No Information,No Information,No Information,No Information,1.7% above/1.7% above/1.7% above,7.21%/1.24%/3.66%,"13.66%, 23.59%",7.2 months/1.2 month/3.1 months,2026-12-03/2026-03-18/2026-06-08,2.99%,2.36%,0.63%,0.4,0.03,103.1291/103.6289/105.73/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,75.02/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/91.35,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets)
FRACTAL TRACK,"BABA, Long, 2026-01-25 (Price: 173.23)",No Exit Yet,"0.95%, 2 days","100.0%, Past 11 years, 7","Weekly, was CONFIRMED on 2026-01-25",Already confirmed,"2026-01-27 (Price: 174.88), 0.95% above",2 days,161.83,No Information,No Information,No Information,"38.2% (Price: 144.5227), 21.01% above, Upmove Bounce Back","2024-01-28 (Price: 66.63), 2025-10-05 (Price: 192.67)",No Information,38.47%/16.72%/24.63%,"-0.0%, 19.88%",9.1 months/2.6 months/4.8 months,2027-02-24/2026-05-17/2026-08-21,20.27%,3.28%,16.99%,1.72,0.23,195.646/215.8965/248.85/No Horizontal Resistance/399.1612/524.2534/No EMA 200 Target,149.79/67.495/144.416/No support/No F-Track Level/No F-Track Level/140.56,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets)
BAND MATRIX,"HDB, Long, 2026-01-25 (Price: 32.06)",No Exit Yet,"1.2%, 2 days","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-01-25",No Cancellation Possible,"2026-01-27 (Price: 32.445), 1.2% above",2 days,32.18,No Information,No Information,No Information,No Information,No Information,No Information,218.12%/6.34%/64.35%,"0%, 32.59%",6.4 years/1.1 year/2.5 years,2035-03-16/2027-08-21/2029-08-20,16.45%,7.23%,9.22%,0.72,0.37,29.1586/52.6906/40.92/39.3812/40.717/47.4928/36.21,29.16/25.6925/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Support,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets)
TRENDPULSE,"GILD, Long, 2026-01-23 (Price: 135.93)",No Exit Yet,"3.49%, 4 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 140.68), 3.49% above",4 days,131.26,No Information,No Information,No Information,No Information,No Information,8.96% above/3.49% above/3.49% above,8.4%/1.52%/3.99%,"5.96%, 27.45%",3.3 months/7 days/1.1 month,2026-06-15/2026-02-02/2026-03-11,10.05%,7.71%,2.34%,1.26,0.4,141.9789/141.3536/142.49/No Horizontal Resistance/146.167/154.7608/No EMA 200 Target,118.3/57.18/121.083/104.5806/No F-Track Level/No F-Track Level/114.82,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
FRACTAL TRACK,"PLTR, Long, 2026-01-23 (Price: 169.6)",No Exit Yet,"-0.9%, 4 days","100.0%, Past 5 years, 18","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 168.08), 0.9% below",4 days,167.27,No Information,No Information,No Information,"23.66% (Price: 160.1432), 4.96% above, Upmove Bounce Back","2023-05-04 (Price: 7.28), 2025-11-03 (Price: 207.52)",No Information,33.44%/10.15%/15.79%,"0%, 74.37%",2.3 years/10 days/3.4 months,2029-05-04/2026-02-06/2026-06-19,47.99%,28.98%,19.01%,2.63,1.12,185.4237/196.3798/289.74/No Horizontal Resistance/232.7649/248.6965/No EMA 200 Target,165.33/7.205/156.1054/148.2704/No F-Track Level/No F-Track Level/158.0,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-01-23 (Price: 5.7)",No Exit Yet,"0.18%, 4 days","93.94%, Past 4 years, 33","Daily, is CONFIRMED on 2026-01-23",Already confirmed,"2026-01-27 (Price: 5.71), 0.18% above",4 days,5.65,No Information,No Information,No Information,No Information,No Information,0.35% above/0.18% above/0.18% above,6.97%/1.45%/3.64%,"6.51%, 16.22%",8.3 months/20 days/2.9 months,2027-01-18/2026-02-20/2026-05-29,15.17%,1.53%,13.64%,0.66,0.09,5.9006/5.9075/5.9/6.825/7.4565/8.4564/5.73,5.52/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
TRENDPULSE,"^BVSP, Long, 2026-01-22 (Price: 175589.0)",No Exit Yet,"4.24%, 5 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 183033.5938), 4.24% above",5 days,171817.0,No Information,No Information,No Information,No Information,No Information,10.08% above/4.24% above/4.24% above,5.29%/0.69%/2.87%,"1.68%, 18.35%",5.9 months/7 days/1 month,2026-10-05/2026-02-01/2026-03-06,10.46%,4.14%,6.32%,1.7,0.2,186229.6934/180628.4043/185967.2/No Horizontal Resistance/173653.968/192289.6/No EMA 200 Target,157327.0/96132.0/121313.6/110617.73/No F-Track Level/No F-Track Level/144087.66,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
FRACTAL TRACK,"TSLA, Long, 2026-01-22 (Price: 449.36)",No Exit Yet,"-3.06%, 5 days","100.0%, Past 5 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-27 (Price: 435.59), 3.06% below",5 days,435.16,No Information,No Information,No Information,"61.8% (Price: 427.1111), 1.99% above, Upmove Bounce Back","2025-11-14 (Price: 382.78), 2025-12-22 (Price: 498.83)",No Information,15.67%/1.5%/11.2%,"-0.0%, 68.46%",2.7 years/7 days/8 months,2029-11-29/2026-02-01/2027-01-04,25.24%,11.0%,14.24%,2.38,0.58,527.8183/499.6883/518.99/481.305/541.282/564.9603/No EMA 200 Target,419.25/196.47/353.8797/223.4247/No F-Track Level/No F-Track Level/374.64,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets)
