Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"NZDUSD=X, Long, 2025-11-26 (Price: 0.5688)",No Exit Yet,"0.0%, 0 days","72.41%, Past 6 years, 29","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-11-26 (Price: 0.5688), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,6.42%/5.06%/5.47%,"10.82%, 15.4%",4.2 months/4 days/2.1 months,2026-05-26/2025-12-01/2026-02-26,-7.27%,-1.8%,-5.46%,-0.28,-0.54,0.5764/0.5999/0.63/0.7292/No Next Fib Ext/No Next Fib Ext/0.59,No Recent Minima/0.5509/No F-Stack Support/No F-Stack Support/0.6587/0.6715/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"SOXX, Long, 2025-11-25 (Price: 283.58)",No Exit Yet,"0.0%, 0 days","95.12%, Past 5 years, 41","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 283.58), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 265.2949), 6.89% above, Upmove Bounce Back","2022-12-28 (Price: 112.05), 2025-10-29 (Price: 312.79)",No Information,150.93%/1.52%/33.7%,"4.47%, 44.19%",2.0 years/12 days/7.9 months,2028-10-23/2025-12-12/2026-11-04,12.53%,22.72%,-10.19%,0.46,0.76,291.6053/379.1465/404.02/No Horizontal Resistance/348.2242/411.0319/No Moving Avg Target,268.1/110.475/254.997/226.8328/No F-Track Level/No F-Track Level/235.15,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"KWEB, Long, 2025-11-25 (Price: 37.74)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 23","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 37.74), 0.0% below",0 days,No Information,No Information,No Information,"50% (Price: 35.595), 6.03% above, Upmove Bounce Back","2025-04-08 (Price: 27.825), 2025-10-02 (Price: 43.365)",No Information,40.19%/7.17%/20.95%,"-0.0%, 42.67%",1.2 year/4 months/7.9 months,2027-08-18/2026-05-17/2026-11-04,15.59%,-12.03%,27.62%,0.48,-0.12,37.4343/45.6465/47.06/54.865/112.1402/127.8094/No Moving Avg Target,36.23/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/36.27,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"QQQ, Long, 2025-11-25 (Price: 608.89)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 31","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 608.89), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 581.4989), 4.71% above, Upmove Bounce Back","2025-04-07 (Price: 402.39), 2025-10-29 (Price: 637.01)",No Information,49.98%/1.83%/18.58%,"-0.0%, 24.88%",1.3 year/11 days/5.7 months,2027-09-09/2025-12-10/2026-08-01,17.52%,16.62%,0.89%,0.43,0.69,618.206/722.0218/749.66/No Horizontal Resistance/836.2536/910.0135/No Moving Avg Target,585.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/544.31,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"GDX, Long, 2025-11-25 (Price: 77.8)",No Exit Yet,"0.0%, 0 days","96.0%, Past 5 years, 25","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 77.8), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 72.8649), 6.77% above, Upmove Bounce Back","2024-12-30 (Price: 33.42), 2025-10-16 (Price: 85.09)",No Information,19.78%/1.26%/11.83%,"3.89%, 20.99%",9.9 months/25 days/3.6 months,2027-01-29/2025-12-31/2026-04-30,20.71%,13.08%,7.63%,0.52,0.46,79.4649/87.0037/108.8/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"BTC-USD, Long, 2025-11-23 (Price: 86805.0078)",No Exit Yet,"1.02%, 2 days","84.21%, Past 6 years, 57","Daily, is Confirmed on 2025-11-23",No Cancellation Possible,"2025-11-26 (Price: 87690.4219), 1.02% above",2 days,No Information,No Information,No Information,No Information,No Information,No Information,19.05%/5.04%/8.14%,"14.07%, 15.29%",1 month/0 days/8 days,2026-01-05/2025-11-23/2025-12-04,54.01%,49.41%,4.61%,0.19,0.92,90737.2747/93870.9354/91145.26/124582.2656/122105.3521/133759.1807/109972.47,No Recent Minima/18304.4229/76786.0499/48777.0949/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
BAND MATRIX,"QQQ, Long, 2025-11-20 (Price: 585.67)",No Exit Yet,"3.96%, 3 days","100.0%, Past 5 years, 6","Daily, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-25 (Price: 608.89), 3.96% above",3 days,No Information,No Information,No Information,No Information,No Information,No Information,16.61%/1.3%/11.24%,"0%, 35.62%",1.3 year/1.3 month/5.3 months,2027-10-23/2026-01-16/2026-07-09,16.16%,16.62%,-0.46%,1.87,0.69,630.8252/651.4993/641.16/No Horizontal Resistance/836.2536/910.0135/No Moving Avg Target,563.28/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/544.31,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
BAND MATRIX,"MSFT, Long, 2025-11-20 (Price: 478.43)",No Exit Yet,"-0.3%, 3 days","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-25 (Price: 476.99), 0.3% below",3 days,No Information,No Information,No Information,No Information,No Information,No Information,27.97%/11.17%/20.93%,"0%, 37.56%",1.3 year/1.5 month/7 months,2027-10-04/2026-01-22/2026-09-20,24.07%,18.64%,5.43%,3.13,0.73,528.9522/578.5654/553.76/No Horizontal Resistance/553.3726/615.9924/No Moving Avg Target,450.18/216.39/386.873/350.287/No F-Track Level/No F-Track Level/467.21,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
FRACTAL TRACK,"META, Short, 2025-11-26 (Price: 636.22)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 5","Monthly, was CONFIRMED on 2025-11-07",No Cancellation Possible,"2025-11-26 (Price: 636.22), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 628.6993), 1.2% above, Upmove Break Below","2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",No Information,32.63%/3.19%/11.97%,"-0.0%, 32.63%",2.2 months/20 days/1.2 month,2026-02-28/2025-12-24/2026-01-18,94.49%,5.3%,89.19%,0.68,0.8,568.6534/560.0645/211.32/280.19/627.6205/591.2141/No Moving Avg Target,773.44/280.19/627.6205/591.2141/628.6993/525.7329/673.87,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
FRACTAL TRACK,"NFLX, Short, 2025-11-26 (Price: 104.4)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 23 years, 7","Quarterly, was CONFIRMED on None",No Cancellation Possible,"2025-11-26 (Price: 104.4), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 106.2331), 1.73% below, Upmove Break Below","2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",No Information,57.17%/10.52%/34.09%,"-0.0%, 57.17%",2.2 months/2.2 months/2.2 months,2026-03-01/2026-02-28/2026-02-28,106.75%,5.4%,101.35%,1.28,0.89,200.7403/68.81/33.69/34.8663/101.6781/77.3488/No Moving Avg Target,133.91/34.8663/101.6781/77.3488/106.2331/89.0986/113.34,0.0%/1/3 months (Across ALL Assets),53.33%/15/3.1 months (Across ALL Assets)
