"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"ETH-USD, Long, 2025-12-03 (Price: 3162.0698)",No Exit Yet,"0.0%, 0 days","96.08%, Past 5 years, 51","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-03 (Price: 3162.0698), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 2744.2547),15.23% above,"2023-03-10 (Price: 1378.5254), 2025-08-24 (Price: 4953.7329)",141.85%/0.46%/47.9%,"5.15%, 75.81%",2.7 years/2 days/11.4 months,2029-09-20/2025-12-05/2027-04-10,11.91%,55.75%,-43.84%,0.38,0.99,3186.1015/4676.7012/5307.19/4922.7188/5483.4169/7318.9774/3529.81,2800.19/1370.4997/No F-Stack Support/No F-Stack Support/2924.9209/2446.1213/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"UBER, Long, 2025-12-03 (Price: 90.68)",No Exit Yet,"0.0%, 0 days","87.5%, Past 6 years, 8","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 81.51 prior to 2025-12-05,"2025-12-03 (Price: 90.68), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 82.5663),9.83% above,"2022-07-03 (Price: 19.895), 2025-09-28 (Price: 101.99)",110.4%/15.19%/62.8%,"3.04%, 55.87%",2.7 years/2.5 months/1.5 year,2029-10-20/2026-03-20/2028-01-03,20.24%,13.56%,6.68%,0.39,0.48,91.5052/147.627/139.94/No Horizontal Resistance/103.1697/130.9341/No Moving Avg Target,83.87/34.6025/87.2921/71.0872/82.5663/70.6297/87.14,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"HDB, Long, 2025-12-03 (Price: 35.87)",No Exit Yet,"0.0%, 0 days","90.91%, Past 25 years, 22","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 33.78 prior to 2025-12-31,"2025-12-03 (Price: 35.87), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 34.562),3.78% above,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",165.72%/8.35%/65.32%,"32.26%, 39.31%",3.0 years/7.3 months/1.4 year,2030-02-24/2026-10-14/2027-12-21,12.66%,17.02%,-4.36%,0.26,0.59,37.477/59.3003/44.1/39.3812/45.6752/50.9526/No Moving Avg Target,26.75/25.6925/29.7659/26.539/36.3743/34.266/35.62,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"IHI, Long, 2025-12-03 (Price: 63.22)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 58.18 prior to 2025-12-31,"2025-12-03 (Price: 63.22), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 57.074),10.77% above,"2023-10-31 (Price: 43.96), 2025-02-28 (Price: 65.18)",5.78%/5.78%/5.78%,"-0.0%, 6.3%",6.5 months/6.5 months/6.5 months,2026-09-11/2026-09-11/2026-09-11,7.62%,10.75%,-3.13%,0.39,0.47,62.8091/66.8741/75.95/66.34/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,45.26/46.725/No F-Stack Support/No F-Stack Support/68.0854/69.871/60.94,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"JNK, Long, 2025-12-03 (Price: 97.26)",No Exit Yet,"0.0%, 0 days","100.0%, Past 18 years, 17","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 96.32 prior to 2025-12-05,"2025-12-03 (Price: 97.26), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 96.3874),0.91% above,"2025-04-13 (Price: 90.41), 2025-09-28 (Price: 98.24)",6.29%/6.29%/6.29%,"-0.0%, 7.07%",1.3 year/1.3 year/1.3 year,2027-10-06/2027-10-06/2027-10-06,3.41%,-2.09%,5.5%,0.2,-0.45,97.3086/103.3777/101.96/108.635/169.7114/218.5371/No Moving Avg Target,96.34/88.8814/No F-Stack Support/No F-Stack Support/99.6721/100.7612/96.3,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"XLV, Long, 2025-12-03 (Price: 155.08)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-12-03 (Price: 155.08), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),22.12% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",10.3 years/10.3 years/10.3 years,2040-08-29/2040-08-29/2040-08-29,8.26%,6.44%,1.82%,0.48,0.22,151.5132/631.3307/237.89/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,24.21/120.178/153.114/117.2225/167.2798/171.9748/139.74,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"XLY, Long, 2025-12-03 (Price: 238.99)",No Exit Yet,"0.0%, 0 days","96.43%, Past 20 years, 28","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 220.93 prior to 2025-12-05,"2025-12-03 (Price: 238.99), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 216.5454),10.36% above,"2025-04-13 (Price: 173.1), 2025-09-21 (Price: 243.4)",115.02%/7.32%/52.87%,"16.26%, 57.22%",3.8 years/4.0 months/1.8 year,2031-04-17/2026-05-24/2028-06-02,7.9%,10.2%,-2.3%,0.5,0.39,249.8162/365.344/281.17/241.84/250.963/299.0113/No Moving Avg Target,225.5/133.55/194.0389/129.1624/215.6232/198.5532/219.41,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"TCS.NS, Long, 2025-12-03 (Price: 3180.0)",No Exit Yet,"0.0%, 0 days","90.91%, Past 21 years, 11","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 2866.6001 prior to 2025-12-31,"2025-12-03 (Price: 3180.0), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 2809.1),13.2% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",375.83%/7.31%/87.63%,"10.18%, 12.85%",1.9 year/7.9 months/1.1 year,2028-08-02/2026-11-12/2027-06-20,21.36%,19.52%,1.84%,0.36,0.61,3098.592/5966.634/5319.78/4543.575/No Next Fib Ext/No Next Fib Ext/3286.92,2888.4/2923.4601/No F-Stack Support/No F-Stack Support/3116.0412/3282.6562/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"IWM, Long, 2025-12-03 (Price: 249.63)",No Exit Yet,"0.0%, 0 days","97.56%, Past 20 years, 41","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 228.9 prior to 2025-12-05,"2025-12-03 (Price: 249.63), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 233.5959),6.86% above,"2025-04-13 (Price: 171.73), 2025-10-19 (Price: 252.77)",108.09%/0.02%/40.47%,"1.56%, 58.54%",5.2 years/1.8 month/2.2 years,2033-05-02/2026-02-19/2029-01-11,5.07%,6.62%,-1.55%,0.38,0.22,252.0514/350.6553/298.25/No Horizontal Resistance/270.9222/282.5179/No Moving Avg Target,235.6/162.3167/245.3626/196.8345/233.5959/221.8127/220.77,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"MA, Long, 2025-12-03 (Price: 553.73)",No Exit Yet,"0.0%, 0 days","93.33%, Past 19 years, 30","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 524.7 prior to 2025-12-05,"2025-12-03 (Price: 553.73), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 535.7184),3.36% above,"2024-07-28 (Price: 428.86), 2025-08-24 (Price: 601.77)",183.03%/7.86%/74.84%,"10.74%, 37.99%",3.8 years/1.6 month/1.7 year,2031-05-08/2026-02-11/2028-05-07,8.62%,27.38%,-18.77%,0.51,0.97,578.1495/968.1415/657.48/592.9033/716.5814/751.3605/559.96,540.4/306.91/515.4888/442.8637/524.8987/477.6582/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
