"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"TSM, Long, 2025-11-20 (Price: 277.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 40","Daily, is CONFIRMED on 2025-11-20",Already confirmed,"2025-11-20 (Price: 277.5), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 269.4634),2.98% above,"2025-04-07 (Price: 134.25), 2025-10-16 (Price: 311.37)",80.74%/3.58%/25.44%,"-0.0%, 57.14%",791 days/30 days/212 days,2029-01-08/2026-01-02/2026-09-23,11.13%,26.78%,-15.65%,0.69,0.86,280.608/348.096/383.77/No Horizontal Resistance/334.306/349.9895/No Moving Avg Target,227.33/83.575/274.027/233.1074/269.4634/243.7102/224.22,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"JPM, Long, 2025-11-20 (Price: 298.38)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 38","Daily, is CONFIRMED on 2025-11-20",Already confirmed,"2025-11-20 (Price: 298.38), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 293.8367),1.55% above,"2025-04-07 (Price: 202.16), 2025-11-12 (Price: 322.25)",47.19%/1.16%/15.15%,"-0.0%, 40.65%",764 days/19 days/211 days,2028-11-30/2025-12-17/2026-09-21,9.23%,24.83%,-15.6%,0.67,1.0,306.7943/343.5846/370.43/No Horizontal Resistance/328.9175/381.492/No Moving Avg Target,294.11/125.7575/287.5071/275.691/269.9685/237.8395/277.82,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"FRW.NZ, Long, 2025-11-20 (Price: 13.84)",No Exit Yet,"0.0%, 0 days","91.67%, Past 5 years, 24","Daily, is CONFIRMED on 2025-11-20",Already confirmed,"2025-11-20 (Price: 13.84), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 13.6615),1.31% above,"2025-04-07 (Price: 9.73), 2025-10-31 (Price: 14.88)",26.84%/1.54%/11.53%,"4.41%, 43.52%",1101 days/35 days/253 days,2030-04-02/2026-01-09/2026-11-21,8.14%,11.02%,-2.89%,0.53,0.42,14.2137/15.4358/16.93/No Horizontal Resistance/14.9925/16.4712/No Moving Avg Target,13.67/7.405/12.995/12.2806/12.4241/10.9148/11.65,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"BN.TO, Long, 2025-11-20 (Price: 61.6)",No Exit Yet,"0.0%, 0 days","93.18%, Past 1 years, 44","Daily, is CONFIRMED on 2025-11-20",Already confirmed,"2025-11-20 (Price: 61.6), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 58.5318),5.24% above,"2023-10-31 (Price: 26.7133), 2025-09-23 (Price: 68.3933)",40.79%/1.8%/13.46%,"3.46%, 37.68%",712 days/15 days/183 days,2028-09-16/2025-12-11/2026-08-12,8.09%,22.75%,-14.66%,0.5,0.84,63.1893/69.8914/86.61/No Horizontal Resistance/69.5978/79.2394/No Moving Avg Target,60.2/26.2374/59.2857/53.7251/61.972/58.0258/56.89,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"GBPUSD=X, Long, 2025-11-20 (Price: 1.3062)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 26","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 1.3012 prior to 2025-11-21,"2025-11-20 (Price: 1.3062), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 1.3144),0.62% below,"2025-01-19 (Price: 1.2101), 2025-07-06 (Price: 1.3789)",11.31%/1.1%/4.86%,"-0.0%, 8.98%",739 days/169 days/455 days,2028-10-25/2026-07-22/2027-09-10,2.57%,-1.36%,3.93%,0.24,-0.57,1.2978/1.3697/1.41/1.4232/2.4421/3.2078/1.33,1.22/1.1912/No F-Stack Support/No F-Stack Support/1.3748/1.3942/No Moving Avg Support,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"SOXX, Long, 2025-11-20 (Price: 268.1)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 148.31 prior to 2025-12-31,"2025-11-20 (Price: 268.1), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 147.9982),81.15% above,"2015-09-30 (Price: 24.2867), 2022-03-31 (Price: 186.34)",66.53%/66.53%/66.53%,"-0.0%, 41.23%",717 days/717 days/717 days,2028-09-23/2028-09-23/2028-09-23,19.89%,12.73%,7.15%,0.33,0.46,280.4058/446.4669/365.33/No Horizontal Resistance/320.8469/358.5021/No Moving Avg Target,106.24/110.475/267.2317/244.4067/273.874/249.9586/234.25,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"XLV, Long, 2025-11-20 (Price: 151.42)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-11-20 (Price: 151.42), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),19.24% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",3717 days/3717 days/3717 days,2040-08-16/2040-08-16/2040-08-16,8.26%,6.44%,1.82%,0.48,0.22,147.9373/616.4308/234.23/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,24.21/120.7483/117.2225/81.225/167.2798/171.9748/139.33,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-20 (Price: 246.26)",No Exit Yet,"0.0%, 0 days","88.0%, Past 80 years, 25","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 235.01 prior to 2025-11-28,"2025-11-20 (Price: 246.26), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 232.7652),5.8% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",196.24%/14.77%/97.8%,"25.41%, 71.77%",1368 days/240 days/662 days,2031-04-24/2026-11-02/2028-07-05,9.34%,22.33%,-12.98%,0.43,0.63,240.2759/487.1023/335.42/366.6625/374.6319/404.5107/258.0,239.37/187.6063/184.3156/1127.9829/347.4556/361.5012/No Moving Avg Support,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-20 (Price: 246.26)",No Exit Yet,"0.0%, 0 days","100.0%, Past 80 years, 10","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 228.0 prior to 2025-12-31,"2025-11-20 (Price: 246.26), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 224.8125),9.54% above,"2020-03-31 (Price: 79.7), 2021-12-31 (Price: 369.925)",550.34%/1.52%/189.68%,"-0.0%, 61.48%",5479 days/717 days/2500 days,2047-08-12/2028-09-23/2035-10-20,6.68%,22.24%,-15.57%,0.33,0.55,280.5148/713.366/420.39/366.6625/374.6319/404.5107/258.0,182.62/187.6063/184.3156/1127.9829/347.4556/361.5012/No Moving Avg Support,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-20 (Price: 1549.1)",No Exit Yet,"0.0%, 0 days","88.46%, Past 48 years, 26","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1340.6 prior to 2025-11-28,"2025-11-20 (Price: 1549.1), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1322.8731),17.1% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",415.66%/5.67%/156.39%,"26.03%, 38.57%",2218 days/195 days/833 days,2034-09-06/2026-08-29/2029-03-10,8.96%,19.65%,-10.68%,0.38,0.63,1753.7361/3971.7375/2274.19/No Horizontal Resistance/1879.7264/2250.6285/No Moving Avg Target,1200.1/855.3207/1503.6962/1375.0525/1725.6686/1797.4889/1378.03,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
