Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"GILD, Long, 2025-11-04 (Price: 123.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 28","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-04 (Price: 123.0), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 112.6763), 9.16% above, Upmove Bounce Back","2025-04-25 (Price: 93.37), 2025-10-21 (Price: 124.61)",No Information,29.99%/0.5%/11.55%,"-0.0%, 27.82%",471 days/7 days/193 days,2027-09-17/2025-11-14/2026-08-10,10.34%,14.55%,-4.21%,0.57,0.58,125.9397/137.2065/141.74/No Horizontal Resistance/124.0112/135.1689,117.88/56.9733/101.881/83.0067/110.7288/108.1488,116.01/110.13,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"NIO, Long, 2025-11-04 (Price: 7.16)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 12","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-04 (Price: 7.16), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 6.837), 4.72% above, Upmove Bounce Back","2025-04-08 (Price: 3.02), 2025-10-02 (Price: 8.02)",No Information,49.89%/49.89%/49.89%,"-0.0%, 25.1%",69 days/69 days/69 days,2026-02-11/2026-02-11/2026-02-11,346.26%,-27.6%,373.86%,0.26,-0.14,7.0512/10.7321/10.16/24.205/No Next Fib Ext/No Next Fib Ext,6.71/3.62/No F-Stack Support/No F-Stack Support/8.8197/9.5016,6.93/4.86,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"WMT, Long, 2025-11-04 (Price: 102.27)",No Exit Yet,"0.0%, 0 days","90.62%, Past 5 years, 32","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-04 (Price: 102.27), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 102.5364), 0.26% below, Upmove Bounce Back","2025-04-07 (Price: 79.81), 2025-10-16 (Price: 109.58)",No Information,14.63%/0.49%/9.29%,"4.76%, 26.01%",453 days/33 days/142 days,2027-08-22/2025-12-21/2026-05-28,10.62%,16.05%,-5.43%,0.64,0.7,104.0086/111.7709/120.13/105.01/114.6382/136.6818,101.18/42.3916/91.6278/82.681/102.5364/98.2079,102.69/97.52,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
OSCILLATOR DELTA,"XLF, Long, 2025-11-04 (Price: 52.42)",No Exit Yet,"0.0%, 0 days","85.71%, Past 6 years, 14","Daily, is Confirmed on 2025-11-04",No Cancellation Possible,"2025-11-04 (Price: 52.42), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,14.64%/5.35%/8.32%,"13.71%, 13.71%",85 days/17 days/47 days,2026-03-07/2025-11-28/2026-01-11,20.93%,9.83%,11.1%,0.22,0.36,53.4527/56.7813/55.04/No Horizontal Resistance/54.2495/60.5544,No Recent Minima/30.1167/49.3988/45.2617/49.0251/45.6605,53.29/51.28,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
OSCILLATOR DELTA,"MAR, Long, 2025-11-04 (Price: 272.24)",No Exit Yet,"0.0%, 0 days","90.32%, Past 6 years, 31","Daily, is Confirmed on 2025-11-04",No Cancellation Possible,"2025-11-04 (Price: 272.24), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,18.37%/5.48%/7.86%,"12.16%, 19.79%",69 days/1 days/15 days,2026-02-11/2025-11-05/2025-11-25,64.8%,11.5%,53.3%,0.39,0.41,287.6216/293.6381/296.74/276.35/297.0775/313.5051,No Recent Minima/129.12/244.6832/226.0546/331.6816/346.5298,265.65/263.38,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2025-11-04 (Price: 6.03)",No Exit Yet,"0.0%, 0 days","91.3%, Past 4 years, 46","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-04 (Price: 6.03), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,1.52% above/0.0% below/0.0% below,18.47%/0.46%/5.52%,"6.51%, 17.02%",178 days/5 days/31 days,2026-07-19/2025-11-11/2025-12-18,19.9%,4.2%,15.69%,0.73,0.16,6.1524/6.3629/6.3/6.825/No Next Fib Ext/No Next Fib Ext,5.8/4.3875/No F-Stack Support/No F-Stack Support/6.142/6.2292,5.8/5.75,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2025-11-04 (Price: 11.85)",No Exit Yet,"0.0%, 0 days","90.0%, Past 4 years, 20","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-04 (Price: 11.85), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,8.54%/1.38%/4.55%,"6.4%, 20.48%",133 days/4 days/16 days,2026-05-15/2025-11-09/2025-11-27,46.12%,9.64%,36.48%,0.79,0.35,12.2434/12.3892/12.59/13.345/16.7981/18.5763,11.6/9.1367/11.1928/8.9354/12.5875/12.8318,11.16/11.49,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
SIGMASHELL,"TRI.TO, Long, 2025-11-04 (Price: 206.63)",No Exit Yet,"0.0%, 0 days","87.5%, Past 5 years, 8","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-04 (Price: 206.63), 0.0% below",0 days,"-3.94, 65.62",No Information,No Information,No Information,No Information,No Information,13.28%/0.96%/7.07%,"6.87%, 12.05%",50 days/38 days/44 days,2026-01-15/2025-12-29/2026-01-06,8.31%,9.6%,-1.29%,0.39,0.37,209.2542/221.2387/308.8111/240.8933/308.8111/326.8654,No Recent Minima/116.89/202.701/175.5204/258.8276/265.1743,226.38/249.19,85.95%/121/73 days (Across ALL Assets),74.78%/230/78 days (Across ALL Assets)
FRACTAL TRACK,"LYFT, Long, 2025-11-03 (Price: 20.95)",No Exit Yet,"-7.3%, 1 days","96.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-03",Already confirmed,"2025-11-04 (Price: 19.42), 7.3% below",1 days,No Information,No Information,No Information,"38.2% (Price: 19.552), 0.68% below, Upmove Bounce Back","2025-08-11 (Price: 13.165), 2025-09-17 (Price: 23.5)",No Information,52.96%/0.97%/21.59%,"5.88%, 53.48%",394 days/27 days/190 days,2027-05-27/2025-12-12/2026-08-05,19.21%,-6.72%,25.93%,0.41,0.2,20.8306/25.4731/27.15/57.19/81.0416/101.3843,19.75/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,20.0/15.42,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"SONY, Long, 2025-11-03 (Price: 27.95)",No Exit Yet,"-0.14%, 1 days","89.47%, Past 5 years, 19","Daily, was CONFIRMED on 2025-11-03",Already confirmed,"2025-11-04 (Price: 27.91), 0.14% below",1 days,No Information,No Information,No Information,"38.2% (Price: 27.8032), 0.38% above, Upmove Bounce Back","2025-07-16 (Price: 23.78), 2025-10-09 (Price: 30.29)",No Information,24.5%/7.06%/17.24%,"5.03%, 23.78%",183 days/63 days/95 days,2026-07-26/2026-02-02/2026-03-20,23.93%,9.83%,14.1%,0.54,0.36,28.6487/32.7686/31.86/No Horizontal Resistance/33.2191/35.3948,27.75/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level,28.75/25.76,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
