Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Max Drawdown [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
BAND MATRIX,"IHI, Long, 2025-10-10 (Price: 58.83)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 4","Weekly, is CONFIRMED on 2025-10-10",No Cancellation Possible,"2025-10-10 (Price: 58.83), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,90.17%/12.99%/38.83%,"0%, 33.41%",1609 days/194 days/597 days,2032-02-26/2026-07-17/2028-02-21,11.22%,13.6%,-2.38%,1.06,0.62,65.7543/81.6737/73.71/66.34/No Next Fib Ext/No Next Fib Ext,55.0/46.725/No Next Fib Ext Support/No Next Fib Ext Support/68.0854/69.871,60.99/61.0,100.0%/10/531 days (Across ALL Assets),81.32%/91/288 days (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2025-10-10 (Price: 5.98)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 10","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,"2025-10-10 (Price: 5.98), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,24.31%/1.96%/10.06%,"0%, 13.89%",84 days/24 days/40 days,2026-02-08/2025-11-13/2025-12-06,13.71%,11.08%,2.63%,1.13,0.41,6.8644/6.5816/6.46/6.825/No Next Fib Ext/No Next Fib Ext,5.56/4.3875/No Next Fib Ext Support/No Next Fib Ext Support/7.2662/7.4974,5.71/5.75,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
FRACTAL TRACK,"ATM.NZ, Long, 2025-10-10 (Price: 10.21)",No Exit Yet,"0.0%, 0 days","89.47%, Past 20 years, 19","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,"2025-10-10 (Price: 10.21), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 9.5179), 7.27% above, Upmove Bounce Back","2024-11-17 (Price: 5.22), 2025-08-31 (Price: 10.85)",No Information,150.0%/2.13%/64.66%,"13.56%, 83.33%",1499 days/19 days/467 days,2031-09-20/2025-11-06/2027-08-17,18.01%,26.34%,-8.33%,0.67,0.79,11.4117/16.8118/13.59/No Horizontal Resistance/21.7391/26.494,7.98/5.185/9.4247/8.6495/10.1969/10.8404,9.72/8.56,84.51%/71/553 days (Across ALL Assets),64.74%/190/227 days (Across ALL Assets)
FRACTAL TRACK,"C6L.SI, Long, 2025-10-10 (Price: 6.64)",No Exit Yet,"0.0%, 0 days","88.89%, Past 20 years, 27","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,"2025-10-10 (Price: 6.64), 0.0% below",0 days,No Information,No Information,No Information,"61.8% (Price: 6.5361), 1.59% above, Upmove Bounce Back","2024-08-18 (Price: 5.86), 2025-08-03 (Price: 7.63)",No Information,12.48%/5.49%/8.98%,"8.55%, 13.74%",169 days/114 days/141 days,2026-06-11/2026-03-24/2026-05-02,4.42%,-1.13%,5.55%,-0.01,-0.15,6.8226/7.2363/7.7/6.9575/15.4629/16.7442,6.46/4.792/4.2257/3.3611/8.5682/8.8866,6.58/6.71,84.51%/71/553 days (Across ALL Assets),64.74%/190/227 days (Across ALL Assets)
BASELINEDIVERGENCE,"QQQ, Long, 2025-10-10 (Price: 589.5)",No Exit Yet,"0.0%, 0 days","86.49%, Past 10 years, 74","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,"2025-10-10 (Price: 589.5), 0.0% below",0 days,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,44.95%/1.39%/10.44%,"13.49%, 27.25%",149 days/44 days/79 days,2026-05-13/2025-12-12/2026-02-01,23.97%,18.58%,5.39%,0.9,0.83,660.9474/651.0438/634.1966/No Horizontal Resistance/634.1966/765.0054,422.67/256.995/578.1694/464.7077/No Fib Ret Level/No Fib Ret Level,583.55/529.68,75.86%/29/94 days (Across ALL Assets),85.71%/56/77 days (Across ALL Assets)
BASELINEDIVERGENCE,"ARM, Long, 2025-10-10 (Price: 154.81)",No Exit Yet,"0.0%, 0 days","85.71%, Past 2 years, 14","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,"2025-10-10 (Price: 154.81), 0.0% below",0 days,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,30.87%/3.18%/21.53%,"16.41%, 46.03%",154 days/44 days/84 days,2026-05-21/2025-12-12/2026-02-08,85.29%,59.75%,25.54%,0.86,1.39,212.8173/188.1406/218.0854/165.49/218.0854/235.5107,87.71/No Horizontal Support/148.9705/138.4687/207.2214/222.1802,143.76/137.07,75.86%/29/94 days (Across ALL Assets),85.71%/56/77 days (Across ALL Assets)
BASELINEDIVERGENCE,"HDFCBANK.NS, Long, 2025-10-10 (Price: 980.9)",No Exit Yet,"0.0%, 0 days","85.44%, Past 10 years, 103","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,"2025-10-10 (Price: 980.9), 0.0% below",0 days,No Information,"^NSEI, Normal Case",No Information,No Information,No Information,No Information,29.27%/0.05%/7.15%,"17.33%, 37.24%",134 days/44 days/69 days,2026-04-22/2025-12-12/2026-01-17,19.81%,13.64%,6.17%,0.76,0.56,1094.1939/1051.0343/1299.7536/1004.15/1299.7536/1565.406,945.05/640.9/976.4995/762.8018/939.0981/890.0874,973.04/933.07,75.86%/29/94 days (Across ALL Assets),85.71%/56/77 days (Across ALL Assets)
FRACTAL TRACK,"ETH-USD, Long, 2025-10-10 (Price: 4369.1436)",No Exit Yet,"0.0%, 0 days","83.33%, Past 10 years, 6","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,"2025-10-10 (Price: 4369.1436), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 3756.8479), 16.3% above, Upmove Bounce Back","2020-03-15 (Price: 95.1843), 2021-11-21 (Price: 4891.7046)",No Information,4.78%/4.78%/4.78%,"22.37%, 27.67%",39 days/39 days/39 days,2025-12-05/2025-12-05/2025-12-05,-6.09%,39.5%,-45.59%,-0.31,1.16,3868.8767/4577.9887/7247.06/4922.7188/5483.4169/7318.9774,4141.48/1370.4997/4348.9543/15094.584/4750.5446/5146.0553,4407.52/3088.96,84.51%/71/553 days (Across ALL Assets),64.74%/190/227 days (Across ALL Assets)
TRENDPULSE,"RHHBY, Long, 2025-10-10 (Price: 45.66)",No Exit Yet,"0.0%, 0 days","83.33%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-10-10",Already confirmed,"2025-10-10 (Price: 45.66), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.79% above/0.0% below/0.0% below,15.89%/0.85%/5.15%,"21.59%, 44.18%",314 days/9 days/77 days,2027-01-07/2025-10-23/2026-01-29,4.06%,6.06%,-2.0%,0.37,0.19,47.8197/48.0115/50.49/52.46/52.9341/62.3889,38.23/34.5167/43.7781/36.1842/41.9793/39.5453,41.29/40.19,79.27%/193/90 days (Across ALL Assets),82.46%/268/77 days (Across ALL Assets)
BAND MATRIX,"JPM, Long, 2025-10-10 (Price: 300.89)",No Exit Yet,"0.0%, 0 days","81.82%, Past 5 years, 11","Daily, is CONFIRMED on 2025-10-10",No Cancellation Possible,"2025-10-10 (Price: 300.89), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,29.39%/3.29%/13.39%,"15.14%, 25.07%",144 days/26 days/69 days,2026-05-06/2025-11-16/2026-01-17,23.01%,23.79%,-0.78%,0.66,0.95,330.3772/341.1792/335.78/No Horizontal Resistance/322.8175/357.3035,292.91/125.7575/297.9709/269.1336/266.7317/235.2191,301.42/270.26,72.6%/73/119 days (Across ALL Assets),76.11%/247/112 days (Across ALL Assets)
