"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"WIPRO.NS, Long, 2025-12-03 (Price: 254.69)",No Exit Yet,"0.0%, 0 days","84.62%, Past 4 years, 26","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-03 (Price: 254.69), 0.0% below",0 days,"8, 2025-05-09 (Price: 242.01)",2025-12-02 (Price: 250.17),2025-12-03 (Price: 254.69),1/0/0 days,1.81% above/0.0% below/0.0% below,2025-05-09 (Price: 280.1774)/2025-12-03 (Price: 249.3043),12.97%/1.23%/3.81%,"4.22%, 15.72%",1.4 month/5 days/13 days,2026-02-03/2025-12-10/2025-12-21,25.69%,10.65%,15.03%,0.61,0.39,266.3803/264.3937/262.3/366.6625/374.6319/404.5107/255.05,236.49/187.6063/184.3156/1127.9829/280.6282/285.992/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"MAR, Long, 2025-12-03 (Price: 306.65)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 24","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-03 (Price: 306.65), 0.0% below",0 days,"10, 2025-03-18 (Price: 240.39)",2025-12-03 (Price: 306.65),2025-12-03 (Price: 306.65),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-03-18 (Price: 268.29)/2025-12-03 (Price: 303.9669),20.78%/1.46%/5.76%,"-0.0%, 12.09%",2.1 months/4 days/17 days,2026-03-02/2025-12-08/2025-12-27,113.25%,11.5%,101.74%,0.99,0.41,320.3573/324.313/346.41/No Horizontal Resistance/297.0775/313.5051/No Moving Avg Target,282.38/129.12/283.8827/272.6329/284.8127/269.6874/263.65,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"WMT, Long, 2025-12-03 (Price: 114.41)",No Exit Yet,"0.0%, 0 days","96.88%, Past 4 years, 32","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-03 (Price: 114.41), 0.0% below",0 days,"4, 2025-08-05 (Price: 99.31)",2025-12-03 (Price: 114.41),2025-12-03 (Price: 114.41),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-08-05 (Price: 104.0333)/2025-12-03 (Price: 112.3434),12.24%/0.97%/3.78%,"14.39%, 26.01%",1.8 month/4 days/19 days,2026-02-20/2025-12-08/2025-12-30,43.52%,16.53%,26.99%,0.61,0.68,117.133/118.7347/123.47/No Horizontal Resistance/114.6382/136.6818/No Moving Avg Target,100.61/42.3916/91.6278/82.681/106.5901/101.4894/98.09,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"GOOG, Long, 2025-12-03 (Price: 320.62)",No Exit Yet,"0.0%, 0 days","94.12%, Past 20 years, 17","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 317.475 prior to 2025-12-31,"2025-12-03 (Price: 320.62), 0.0% below",0 days,"2, 2023-12-31 (Price: 140.93)",2025-10-31 (Price: 281.82),2025-12-03 (Price: 320.62),33/0/0 days,13.77% above/0.0% below/0.0% below,2023-12-31 (Price: 155.9446)/2025-12-03 (Price: 253.446),63.04%/1.54%/29.75%,"3.21%, 18.92%",1.1 year/2.9 months/6.6 months,2027-07-22/2026-04-06/2026-09-17,22.75%,24.26%,-1.52%,1.49,0.85,350.085/416.0044/428.43/No Horizontal Resistance/306.4481/330.6546/No Moving Avg Target,156.23/84.51/243.1061/191.2921/270.6509/234.996/205.16,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"SOXX, Long, 2025-12-03 (Price: 309.36)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-12-03 (Price: 309.36), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-12-03 (Price: 309.36),2025-11-21 (Price: 270.83),0/12/0 days,0.0% below/14.23% above/0.0% below,2015-06-30 (Price: 22.1158)/2025-12-03 (Price: 264.9375),74.51%/31.99%/42.95%,"-0.0%, 41.23%",2.4 years/10.8 months/1.1 year,2029-04-12/2027-03-17/2027-07-05,17.9%,12.73%,5.17%,1.39,0.46,375.1918/442.2301/476.56/No Horizontal Resistance/320.8469/358.5021/No Moving Avg Target,106.24/110.475/267.2317/244.4067/273.874/249.9586/237.07,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
"BNS.TO, Long, 2025-12-03 (Price: 98.08)",No Exit Yet,"0.0%, 0 days","90.32%, Past 10 years, 31","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 96.69 prior to 2025-12-05,"2025-12-03 (Price: 98.08), 0.0% below",0 days,"2, 2024-10-13 (Price: 72.18)",2025-11-30 (Price: 96.94),2025-12-02 (Price: 98.72),2/1/0 days,1.18% above/0.65% below/0.0% below,2024-10-13 (Price: 75.69)/2025-12-03 (Price: 94.2113),12.4%/0.79%/4.86%,"1.93%, 33.13%",9.8 months/19 days/3.1 months,2027-02-01/2025-12-30/2026-04-15,9.78%,3.65%,6.13%,1.33,0.04,100.581/102.8467/113.62/No Horizontal Resistance/95.6649/105.6031/No Moving Avg Target,63.97/61.07/90.1456/81.5516/88.9194/82.4971/78.8,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"DIA, Long, 2025-12-03 (Price: 479.41)",No Exit Yet,"0.0%, 0 days","100.0%, Past 27 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 462.57 prior to 2025-12-31,"2025-12-03 (Price: 479.41), 0.0% below",0 days,"4, 2010-12-31 (Price: 115.63)",2025-09-30 (Price: 463.74),2025-11-24 (Price: 464.44),64/9/0 days,3.38% above/3.22% above/0.0% below,2010-12-31 (Price: 102.8559)/2025-12-03 (Price: 447.0827),39.44%/24.26%/29.32%,"-0.0%, 23.1%",2.5 years/10.8 months/1.4 year,2029-07-15/2027-03-18/2027-12-26,13.89%,6.15%,7.74%,1.37,0.2,509.2772/619.973/697.68/No Horizontal Resistance/508.5373/687.3389/No Moving Avg Target,287.3/321.6725/398.0316/329.7358/456.4623/439.2934/440.12,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
"ENZL, Long, 2025-12-03 (Price: 46.1656)",No Exit Yet,"0.0%, 0 days","81.82%, Past 10 years, 22","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 45.67 prior to 2025-12-05,"2025-12-03 (Price: 46.1656), 0.0% below",0 days,"0, 2021-08-15 (Price: 61.62)",2025-11-30 (Price: 45.63),2025-12-03 (Price: 46.1656),2/0/0 days,1.17% above/0.0% below/0.0% below,2021-08-15 (Price: 64.4745)/2025-12-03 (Price: 44.9405),12.26%/2.26%/5.43%,"0.65%, 24.58%",10.1 months/19 days/2.6 months,2027-02-16/2025-12-30/2026-03-24,11.14%,2.84%,8.3%,1.13,0.01,47.1997/48.6724/55.44/65.1933/78.3229/93.1188/No Moving Avg Target,44.33/39.215/No F-Stack Support/No F-Stack Support/53.1262/54.7954/44.78,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"FBU.NZ, Long, 2025-12-03 (Price: 3.46)",No Exit Yet,"0.0%, 0 days","92.86%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 3.28 prior to 2025-12-31,"2025-12-03 (Price: 3.46), 0.0% below",0 days,"8, 2021-04-30 (Price: 7.27)",2025-10-31 (Price: 3.26),2025-11-28 (Price: 3.35),33/3/0 days,6.13% above/3.28% above/0.0% below,2021-04-30 (Price: 8.1708)/2025-12-03 (Price: 3.1092),27.18%/3.25%/17.61%,"37.82%, 49.28%",10.9 months/3.6 months/5.7 months,2027-03-20/2026-05-06/2026-08-07,13.88%,0.95%,12.92%,0.67,0.0,3.7828/4.0693/5.75/7.985/12.6329/13.7816/No Moving Avg Target,2.83/2.82/No F-Stack Support/No F-Stack Support/6.3507/6.7875/3.2,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"IFT.NZ, Long, 2025-12-03 (Price: 11.86)",No Exit Yet,"0.0%, 0 days","97.3%, Past 10 years, 37","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 11.69 prior to 2025-12-05,"2025-12-03 (Price: 11.86), 0.0% below",0 days,"0, 2021-08-15 (Price: 7.51)",2025-12-03 (Price: 11.86),2025-12-03 (Price: 11.86),0/0/0 days,0.0% below/0.0% below/0.0% below,2021-08-15 (Price: 15.2992)/2025-12-03 (Price: 11.6078),32.14%/0.49%/5.58%,"5.74%, 24.36%",9.3 months/19 days/3.0 months,2027-01-11/2025-12-30/2026-04-13,12.37%,13.18%,-0.81%,0.92,0.59,12.3712/12.5218/14.47/11.925/13.8771/15.9169/No Moving Avg Target,11.55/7.3167/11.3804/9.6206/14.3361/14.9482/11.34,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
