"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"NFLX, Long, 2025-12-29 (Price: 94.15)",No Exit Yet,"0.0%, 0 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2025-12-29",Already confirmed,"2025-12-29 (Price: 94.15), 0.0% below",0 days,"2, 2025-11-05 (Price: 109.846)",2025-12-26 (Price: 94.47),2025-12-29 (Price: 94.15),3/0/0 days,0.34% below/0.0% below/0.0% below,2025-11-05 (Price: 122.7653)/2025-12-29 (Price: 92.5369),7.15%/0.45%/3.32%,"0.57%, 20.2%",2.8 months/7 days/1.5 month,2026-04-29/2026-01-08/2026-03-04,16.89%,16.03%,0.86%,1.0,0.73,96.2684/97.2758/103.57/No Horizontal Resistance/138.686/152.7047/113.4,93.23/34.8663/77.3488/70.5306/89.0986/75.193/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"SBUX, Long, 2025-12-29 (Price: 85.57)",No Exit Yet,"0.0%, 0 days","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2025-12-29",Already confirmed,"2025-12-29 (Price: 85.57), 0.0% below",0 days,"8, 2025-06-03 (Price: 86.6)",2025-12-24 (Price: 84.57),2025-12-29 (Price: 85.57),5/0/0 days,1.18% above/0.0% below/0.0% below,2025-06-03 (Price: 103.5058)/2025-12-29 (Price: 83.3292),8.06%/2.15%/4.6%,"1.89%, 25.49%",3.2 months/6 days/1.2 month,2026-05-17/2026-01-06/2026-02-19,10.39%,-0.2%,10.59%,0.88,0.03,88.1457/89.5062/86.19/117.438/140.7332/167.7583/87.53,83.86/71.675/84.7283/79.7489/No support/No support/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"JPY=X, Long, 2025-12-29 (Price: 156.09)",No Exit Yet,"0.0%, 0 days","73.33%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 155.887 prior to 2025-12-31,"2025-12-26 (Price: 156.09), 0.0% below",0 days,"2, 2024-06-30 (Price: 160.687)",2025-11-30 (Price: 156.284),2025-12-22 (Price: 157.676),26/4/3 days,0.12% below/1.01% below/0.0% below,2024-06-30 (Price: 162.4562)/2025-12-29 (Price: 153.2012),18.95%/3.25%/10.93%,"19.82%, 27.01%",1.1 year/5 months/9.2 months,2027-07-25/2026-08-03/2027-02-01,-1.08%,0.88%,-1.96%,0.37,-0.3,171.9019/173.1506/158.85/159.6618/175.8568/187.2285/No EMA 200 Target,142.3/109.702/138.2059/No support/No support/No support/148.66,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"SOXX, Long, 2025-12-29 (Price: 305.32)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-12-29 (Price: 305.32), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-12-29 (Price: 305.32),2025-11-21 (Price: 270.83),0/38/0 days,0.0% below/12.73% above/0.0% below,2015-06-30 (Price: 22.1158)/2025-12-29 (Price: 264.9375),74.51%/31.99%/47.75%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,2030-09-14/2027-11-06/2028-09-14,16.0%,8.74%,7.26%,0.66,0.45,407.419/451.1103/470.09/No Horizontal Resistance/320.8469/358.5021/No EMA 200 Target,106.24/110.475/267.2317/244.4067/277.3551/252.7767/245.22,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
"BAC, Long, 2025-12-29 (Price: 55.35)",No Exit Yet,"0.0%, 0 days","76.92%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 53.5 prior to 2025-12-31,"2025-12-29 (Price: 55.35), 0.0% below",0 days,"4, 2022-08-31 (Price: 33.61)",2025-11-30 (Price: 53.65),2025-12-29 (Price: 55.35),29/0/0 days,3.17% above/0.0% below/0.0% below,2022-08-31 (Price: 37.3153)/2025-12-29 (Price: 51.7863),30.69%/9.64%/18.15%,"25.08%, 44.87%",1.3 year/5 months/9 months,2027-11-06/2026-08-03/2027-01-24,4.68%,2.37%,2.31%,0.29,0.18,64.4717/65.396/68.39/No Horizontal Resistance/60.5768/64.246/No EMA 200 Target,26.34/29.49/50.5717/44.5293/49.3976/45.0021/47.55,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"FBU.NZ, Long, 2025-12-29 (Price: 3.65)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 3.28 prior to 2025-12-31,"2025-12-29 (Price: 3.65), 0.0% below",0 days,"8, 2021-04-30 (Price: 7.27)",2025-10-31 (Price: 3.26),2025-12-29 (Price: 3.65),59/0/0 days,11.96% above/0.0% below/0.0% below,2021-04-30 (Price: 8.1708)/2025-12-29 (Price: 3.1092),27.18%/11.21%/20.88%,"-0.0%, 49.28%",6.1 months/5 months/5.3 months,2026-09-20/2026-08-03/2026-08-16,5.5%,0.69%,4.81%,1.23,0.0,4.2647/4.4121/5.82/7.985/12.6329/13.7816/No EMA 200 Target,2.83/2.82/No F-Stack Support/No F-Stack Support/No support/No support/3.22,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"MFT.NZ, Long, 2025-12-29 (Price: 68.55)",No Exit Yet,"0.0%, 0 days","92.86%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 67.06 prior to 2025-12-31,"2025-12-29 (Price: 68.55), 0.0% below",0 days,"0, 2020-12-31 (Price: 69.5)",2025-12-29 (Price: 68.55),2025-12-29 (Price: 68.55),0/0/0 days,0.0% below/0.0% below/0.0% below,2020-12-31 (Price: 105.6512)/2025-12-29 (Price: 66.51),38.76%/5.7%/13.28%,"24.41%, 40.93%",1.8 year/5 months/8.5 months,2028-07-24/2026-08-03/2027-01-02,9.96%,11.66%,-1.7%,0.82,0.67,106.2799/77.6534/69.12/85.45/101.7951/111.6887/No EMA 200 Target,55.51/55.185/65.1894/42.5658/No support/No support/63.83,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"BDGI.TO, Long, 2025-12-29 (Price: 74.78)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 61.31 prior to 2025-12-31,"2025-12-29 (Price: 74.78), 0.0% below",0 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-12-29 (Price: 74.78),90/0/0 days,21.83% above/0.0% below/0.0% below,2018-06-30 (Price: 49.0339)/2025-12-29 (Price: 52.2506),227.42%/21.67%/158.83%,"-0.0%, 36.34%",1.8 year/1.3 year/1.6 year,2028-07-24/2027-11-06/2028-04-11,16.49%,8.5%,7.99%,0.7,0.42,154.2487/193.5531/100.65/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,26.66/24.32/73.041/66.9303/68.5456/61.8935/55.14,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
"EFA, Long, 2025-12-29 (Price: 96.28)",No Exit Yet,"0.0%, 0 days","80.0%, Past 20 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 95.5568 prior to 2025-12-31,"2025-12-29 (Price: 96.28), 0.0% below",0 days,"2, 2023-06-30 (Price: 72.5)",2025-12-29 (Price: 96.28),2025-12-24 (Price: 96.41),0/5/0 days,0.0% below/0.13% below/0.0% below,2023-06-30 (Price: 74.0386)/2025-12-29 (Price: 95.0814),18.42%/4.43%/10.16%,"13.47%, 23.01%",1.5 year/5 months/8.9 months,2028-02-19/2026-08-03/2027-01-19,4.72%,2.4%,2.32%,0.44,0.03,108.4787/106.062/110.55/No Horizontal Resistance/98.2071/106.1972/No EMA 200 Target,75.61/66.265/86.3568/75.1989/85.1901/77.6744/89.96,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"GLD, Long, 2025-12-28 (Price: 416.74)",No Exit Yet,"-4.35%, 1 day","85.19%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2025-12-29 (Price: 398.6), 4.35% below",1 day,"6, 2024-08-11 (Price: 224.56)",2025-12-21 (Price: 399.02),2025-12-28 (Price: 416.74),8/1/1 days,0.11% below/4.35% below/4.35% below,2024-08-11 (Price: 229.74)/2025-12-28 (Price: 400.7524),8.71%/1.73%/6.03%,"3.13%, 23.93%",10.5 months/28 days/3.3 months,2027-03-29/2026-02-06/2026-05-20,4.9%,5.02%,-0.12%,1.33,0.26,443.9948/441.8694/532.05/No Horizontal Resistance/424.4974/624.146/No EMA 200 Target,236.59/150.8/301.1087/224.8487/No F-Track Level/No F-Track Level/330.26,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
