"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"ETH-USD, Long, 2026-01-06 (Price: 3275.3845)",No Exit Yet,"0.0%, 0 days","92.86%, Past 4 years, 42","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-06 (Price: 3275.3845), 0.0% below",0 days,"6, 2025-08-15 (Price: 4439.9888)",2026-01-05 (Price: 3226.1304),2026-01-06 (Price: 3275.3845),1/0/0 days,1.53% above/0.0% below/0.0% below,2025-08-15 (Price: 5218.1762)/2026-01-06 (Price: 3173.2602),39.76%/1.01%/13.37%,"17.31%, 42.86%",3 months/5 days/23 days,2026-05-16/2026-01-13/2026-02-08,60.18%,45.2%,14.98%,0.97,1.15,3992.3662/3713.3034/3974.15/4922.7188/5483.4169/7318.9774/3610.67,2827.07/1370.4997/No F-Stack Support/No F-Stack Support/2924.9209/2446.1213/No EMA 200 Support,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"ABNB, Long, 2026-01-06 (Price: 138.02)",No Exit Yet,"0.0%, 0 days","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-06 (Price: 138.02), 0.0% below",0 days,"4, 2025-09-05 (Price: 123.81)",2026-01-05 (Price: 135.87),2026-01-06 (Price: 138.02),1/0/0 days,1.58% above/0.0% below/0.0% below,2025-09-05 (Price: 127.0392)/2026-01-06 (Price: 133.7192),13.07%/1.63%/7.15%,"39.55%, 57.01%",3.2 months/6 days/26 days,2026-05-25/2026-01-14/2026-02-12,10.28%,-2.98%,13.26%,0.22,0.05,137.2885/147.8884/146.55/178.025/223.0579/259.5851/No EMA 200 Target,133.01/99.795/No F-Stack Support/No F-Stack Support/No support/No support/126.96,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"XIU.TO, Long, 2026-01-06 (Price: 47.905)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-06 (Price: 47.905), 0.0% below",0 days,"2, 2025-11-12 (Price: 45.99)",2026-01-02 (Price: 47.25),2026-01-06 (Price: 47.905),4/0/0 days,1.39% above/0.0% below/0.0% below,2025-11-12 (Price: 46.0266)/2026-01-06 (Price: 47.4553),2.7%/0.5%/1.73%,"0%, 8.66%",2.2 months/6 days/26 days,2026-04-11/2026-01-14/2026-02-12,10.25%,7.22%,3.03%,2.78,0.44,49.1362/48.7338/49.05/No Horizontal Resistance/48.3988/56.9776/No EMA 200 Target,44.51/27.9467/41.5586/34.9694/43.3534/40.5225/42.09,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"SBUX, Long, 2026-01-06 (Price: 89.46)",No Exit Yet,"0.0%, 0 days","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-06 (Price: 89.46), 0.0% below",0 days,"0, 2024-03-20 (Price: 92.6)",2026-01-05 (Price: 86.56),2026-01-06 (Price: 89.46),1/0/0 days,3.35% above/0.0% below/0.0% below,2024-03-20 (Price: 136.8534)/2026-01-06 (Price: 84.9041),8.06%/2.15%/4.6%,"1.89%, 25.49%",3.2 months/6 days/1.2 month,2026-05-25/2026-01-14/2026-02-27,10.39%,-0.2%,10.59%,0.88,0.03,92.1527/93.5752/91.34/117.438/140.7332/170.0696/No EMA 200 Target,83.86/71.675/84.7283/79.7489/No support/No support/87.21,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"XLY, Long, 2026-01-06 (Price: 121.07)",No Exit Yet,"0.0%, 0 days","94.12%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-06 (Price: 121.07), 0.0% below",0 days,"4, 2025-09-23 (Price: 118.96)",2026-01-05 (Price: 120.3),2026-01-06 (Price: 121.07),1/0/0 days,0.64% above/0.0% below/0.0% below,2025-09-23 (Price: 122.9273)/2026-01-06 (Price: 119.0272),7.63%/0.64%/2.98%,"3.09%, 13.62%",2.8 months/6 days/13 days,2026-05-07/2026-01-14/2026-01-24,17.38%,7.88%,9.5%,1.07,0.42,125.9854/124.6779/122.34/121.1117/125.4815/149.5056/No EMA 200 Target,118.35/66.775/97.0194/64.5812/114.8569/109.4654/111.58,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"ASML, Long, 2026-01-06 (Price: 1242.1899)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-06 (Price: 1242.1899), 0.0% below",0 days,"4, 2025-09-23 (Price: 963.51)",2026-01-02 (Price: 1163.78),2026-01-06 (Price: 1242.1899),4/0/0 days,6.74% above/0.0% below/0.0% below,2025-09-23 (Price: 1003.3978)/2026-01-06 (Price: 1213.3019),21.88%/0.41%/10.18%,"34.28%, 51.77%",3.8 months/7 days/1.3 month,2026-06-20/2026-01-16/2026-03-03,11.06%,16.29%,-5.23%,0.48,0.74,1277.0954/1368.6448/1409.4/No Horizontal Resistance/1081.4334/1218.8523/No EMA 200 Target,1015.43/576.784/998.2461/956.961/967.6107/946.9797/850.52,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"IFT.NZ, Long, 2026-01-06 (Price: 11.73)",No Exit Yet,"0.0%, 0 days","96.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-06 (Price: 11.73), 0.0% below",0 days,"2, 2025-11-11 (Price: 12.6)",2025-12-31 (Price: 11.08),2026-01-06 (Price: 11.73),6/0/0 days,5.87% above/0.0% below/0.0% below,2025-11-11 (Price: 12.95)/2026-01-06 (Price: 11.15),9.48%/0.89%/3.63%,"10.91%, 28.9%",3.2 months/6 days/25 days,2026-05-25/2026-01-14/2026-02-11,16.02%,10.32%,5.7%,0.78,0.55,12.3177/12.1558/12.25/12.825/13.8771/15.9169/No EMA 200 Target,10.7/7.3167/11.3804/9.6206/No support/No support/11.42,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"SUM.NZ, Long, 2026-01-06 (Price: 12.41)",No Exit Yet,"0.0%, 0 days","94.44%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-06 (Price: 12.41), 0.0% below",0 days,"2, 2025-11-11 (Price: 11.94)",2026-01-06 (Price: 12.41),2026-01-06 (Price: 12.41),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-11-11 (Price: 12.8764)/2026-01-06 (Price: 12.3236),8.54%/1.38%/4.98%,"6.4%, 20.48%",6.2 months/4 days/22 days,2026-10-02/2026-01-11/2026-02-06,16.06%,5.58%,10.48%,1.15,0.29,13.0044/13.028/12.69/13.345/16.7981/18.5763/No EMA 200 Target,11.82/9.1367/11.1928/8.9354/No support/No support/11.43,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"NU, Long, 2026-01-06 (Price: 17.86)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 12","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-06 (Price: 17.86), 0.0% below",0 days,"0, 2024-03-20 (Price: 12.13)",2026-01-02 (Price: 17.02),2026-01-06 (Price: 17.86),4/0/0 days,4.94% above/0.0% below/0.0% below,2024-03-20 (Price: 15.075)/2026-01-06 (Price: 16.6821),5.88%/0.47%/3.09%,"0%, 31.9%",1.9 month/6 days/1.1 month,2026-03-29/2026-01-14/2026-02-22,22.47%,9.45%,13.02%,1.38,0.53,19.7585/18.4119/21.3/No Horizontal Resistance/19.3185/24.577/No EMA 200 Target,15.86/5.54/16.0685/No support/16.1554/14.7945/13.97,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"JNK, Long, 2026-01-06 (Price: 97.54)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 17","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 97.3727 prior to 2026-01-09,"2026-01-06 (Price: 97.54), 0.0% below",0 days,"8, 2024-03-10 (Price: 94.7)",2025-12-28 (Price: 97.16),2026-01-05 (Price: 97.5),9/1/0 days,0.39% above/0.04% above/0.0% below,2024-03-10 (Price: 98.3166)/2026-01-06 (Price: 96.8883),3.5%/0.19%/1.47%,"-0.0%, 19.15%",9.1 months/1.2 month/4.1 months,2027-02-05/2026-02-27/2026-07-01,2.85%,-0.98%,3.83%,0.97,-0.59,97.9789/98.9738/99.24/108.5222/169.7114/218.5371/No EMA 200 Target,96.34/88.8814/No F-Stack Support/No F-Stack Support/No support/No support/96.41,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
