"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"TSLA, Long, 2025-11-18 (Price: 397.71)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 34","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-18 (Price: 397.71), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 374.8188),6.11% above,"2025-04-07 (Price: 214.25), 2025-11-03 (Price: 474.07)",69.86%/7.58%/26.58%,"-0.0%, 65.02%",570 days/25 days/199 days,2028-02-21/2025-12-24/2026-09-02,21.17%,25.99%,-4.83%,0.4,0.79,408.0107/503.4213/553.6/408.5817/461.2057/510.3573,320.11/181.0784/117.6011/73.4077/553.437/593.3188,431.93/338.59,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"BABA, Long, 2025-11-18 (Price: 158.35)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 17","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-18 (Price: 158.35), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 155.6389),1.74% above,"2025-04-09 (Price: 95.73), 2025-10-02 (Price: 192.67)",74.52%/8.42%/42.02%,"-0.0%, 62.51%",1022 days/45 days/383 days,2029-12-07/2026-01-22/2027-05-26,14.96%,-10.23%,25.19%,0.53,-0.05,155.8797/224.8887/216.51/No Horizontal Resistance/433.8283/634.7074,153.8/67.495/No F-Stack Support/No F-Stack Support/160.8988/168.5614,168.49/133.73,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"EFN.TO, Long, 2025-11-18 (Price: 35.13)",No Exit Yet,"0.0%, 0 days","90.38%, Past 5 years, 52","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-18 (Price: 35.13), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 35.0387),0.26% above,"2025-02-03 (Price: 25.0), 2025-09-19 (Price: 38.15)",43.0%/0.86%/18.32%,"6.13%, 26.27%",387 days/26 days/117 days,2027-06-01/2025-12-25/2026-05-06,16.07%,24.1%,-8.03%,0.65,1.02,35.8467/41.5658/43.02/No Horizontal Resistance/48.884/73.5584,34.92/11.7733/33.6344/24.2096/35.1227/33.1947,36.86/33.3,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"ORCL, Long, 2025-11-18 (Price: 218.2)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 42","Daily, is CONFIRMED on 2025-11-18",Already confirmed,"2025-11-18 (Price: 218.2), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 213.88),2.02% above,"2023-03-13 (Price: 82.04), 2025-09-10 (Price: 345.72)",248.14%/1.62%/42.03%,"-0.0%, 41.08%",670 days/10 days/173 days,2028-07-15/2025-12-02/2026-07-26,19.17%,35.11%,-15.94%,0.45,1.1,219.771/309.9095/376.41/No Horizontal Resistance/287.7444/314.8727,217.57/82.7925/197.6737/140.8739/205.5205/167.408,278.67/209.96,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"GBPUSD=X, Long, 2025-11-18 (Price: 1.3155)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 26","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 1.3012 prior to 2025-11-21,"2025-11-18 (Price: 1.3155), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 1.3144),0.08% above,"2025-01-19 (Price: 1.2101), 2025-07-06 (Price: 1.3789)",11.31%/1.1%/4.86%,"-0.0%, 8.98%",739 days/169 days/455 days,2028-10-23/2026-07-20/2027-09-08,2.57%,-1.36%,3.93%,0.24,-0.57,1.3071/1.3794/1.42/1.4232/2.4421/3.2078,1.31/1.1912/No F-Stack Support/No F-Stack Support/1.3748/1.3942,1.34/1.33,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"SOXX, Long, 2025-11-18 (Price: 275.39)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 148.31 prior to 2025-12-31,"2025-11-18 (Price: 275.39), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 147.9982),86.08% above,"2015-09-30 (Price: 24.2867), 2022-03-31 (Price: 186.34)",66.53%/66.53%/66.53%,"-0.0%, 41.23%",717 days/717 days/717 days,2028-09-21/2028-09-21/2028-09-21,19.89%,12.73%,7.15%,0.33,0.46,288.0304/458.607/372.62/No Horizontal Resistance/320.8469/358.5021,106.24/110.475/267.2317/244.4067/273.874/249.9586,283.4/233.68,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"NFLX, Long, 2025-11-18 (Price: 112.33)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 30","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 107.337 prior to 2025-11-21,"2025-11-18 (Price: 112.33), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 106.2331),5.74% above,"2022-05-15 (Price: 16.271), 2025-07-06 (Price: 134.115)",7972.38%/24.12%/833.58%,"-0.0%, 81.73%",2829 days/94 days/865 days,2037-02-05/2026-04-03/2029-04-23,9.44%,31.3%,-21.86%,0.28,0.88,125.7534/1048.6904/183.04/No Horizontal Resistance/138.686/152.7047,109.47/34.8663/101.6781/77.3488/106.2331/89.0986,116.83/113.21,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"XLV, Long, 2025-11-18 (Price: 152.01)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-11-18 (Price: 152.01), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),19.71% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",3717 days/3717 days/3717 days,2040-08-14/2040-08-14/2040-08-14,8.26%,6.44%,1.82%,0.48,0.22,148.5138/618.8327/234.82/No Horizontal Resistance/174.1807/202.706,24.21/120.7483/117.2225/81.225/167.2798/171.9748,143.15/139.29,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-18 (Price: 240.9)",No Exit Yet,"0.0%, 0 days","88.0%, Past 80 years, 25","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 235.01 prior to 2025-11-28,"2025-11-18 (Price: 240.9), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 232.7652),3.49% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",196.24%/14.77%/97.8%,"25.41%, 71.77%",1368 days/240 days/662 days,2031-04-22/2026-10-31/2028-07-03,9.34%,22.33%,-12.98%,0.43,0.63,235.0461/476.5002/330.06/366.6625/374.6319/404.5107,239.37/187.6062/184.3156/1127.9829/347.4556/361.5012,244.95/258.65,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-18 (Price: 240.9)",No Exit Yet,"0.0%, 0 days","100.0%, Past 80 years, 10","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 228.0 prior to 2025-12-31,"2025-11-18 (Price: 240.9), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 224.8125),7.16% above,"2020-03-31 (Price: 79.7), 2021-12-31 (Price: 369.925)",550.34%/1.52%/189.68%,"-0.0%, 61.48%",5479 days/717 days/2500 days,2047-08-10/2028-09-21/2035-10-18,6.68%,22.24%,-15.57%,0.33,0.55,274.4092/697.8391/415.04/366.6625/374.6319/404.5107,182.62/187.6062/184.3156/1127.9829/347.4556/361.5012,244.95/258.65,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
