Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"JPY=X, Long, 2026-01-30 (Price: 154.73)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 13","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 154.73), 0.0% below",0 days,152.98,No Information,No Information,No Information,"38.2% (Price: 154.3876), 0.22% above, Upmove Bounce Back","2025-09-17 (Price: 146.217), 2026-01-14 (Price: 159.438)",No Information,10.95%/0.93%/6.13%,"-0.0%, 9.9%",1.4 year/21 days/5.2 months,2028-01-28/2026-03-01/2026-09-12,12.61%,5.88%,6.73%,0.82,0.44,155.9833/164.2149/162.66/159.6618/175.8568/187.2285/No EMA 200 Target,152.45/108.0995/138.2059/No support/No support/No support/149.83,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"XLF, Long, 2026-01-30 (Price: 53.44)",No Exit Yet,"0.0%, 0 days","93.75%, Past 5 years, 16","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 53.44), 0.0% below",0 days,53.38,No Information,No Information,No Information,"50% (Price: 53.8), 0.67% below, Upmove Bounce Back","2025-11-20 (Price: 51.08), 2026-01-06 (Price: 56.52)",No Information,11.32%/1.52%/7.02%,"2.46%, 26.19%",2.3 years/21 days/6.5 months,2029-05-11/2026-03-01/2026-11-08,16.24%,9.14%,7.1%,1.47,0.58,55.444/57.1915/56.7/No Horizontal Resistance/60.5544/64.3957/No EMA 200 Target,52.99/30.1167/49.3988/45.2617/50.5671/46.9089/52.45,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"CSCO, Long, 2026-01-30 (Price: 78.32)",No Exit Yet,"0.0%, 0 days","95.0%, Past 20 years, 20","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 78.32), 0.0% below",0 days,76.47,No Information,No Information,No Information,"23.66% (Price: 72.2267), 8.44% above, Upmove Bounce Back","2024-08-18 (Price: 44.5), 2025-12-14 (Price: 80.82)",No Information,19.85%/6.3%/15.66%,"9.76%, 43.08%",3.3 years/2.8 months/1.2 year,2030-10-16/2026-05-31/2027-10-17,9.57%,5.27%,4.3%,2.26,0.26,81.2648/90.5849/100.11/No Horizontal Resistance/81.4336/89.7071/No EMA 200 Target,73.88/40.92/73.1467/64.9561/69.3638/62.3236/69.3,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
FRACTAL TRACK,"JETS, Long, 2026-01-30 (Price: 27.95)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 11","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 27.95), 0.0% below",0 days,28.23,No Information,No Information,No Information,"23.66% (Price: 28.1822), 0.82% below, Upmove Bounce Back","2025-11-20 (Price: 23.64), 2026-01-09 (Price: 29.59)",No Information,14.21%/6.23%/11.39%,"-0.0%, 40.54%",3.2 years/3.2 months/1.3 year,2030-08-25/2026-06-18/2027-12-08,15.27%,1.91%,13.36%,2.44,0.11,29.9233/31.1335/31.52/No Horizontal Resistance/36.0778/41.7471/No EMA 200 Target,27.69/14.732/No F-Stack Support/No F-Stack Support/27.7826/No support/24.84,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"NA.TO, Long, 2026-01-30 (Price: 162.25)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 9","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 162.25), 0.0% below",0 days,163.43,No Information,No Information,No Information,"23.66% (Price: 160.7722), 0.92% above, Upmove Bounce Back","2025-04-09 (Price: 106.67), 2025-12-22 (Price: 177.54)",No Information,15.25%/10.02%/11.05%,"0%, 19.4%",2.1 years/2 months/7.9 months,2029-01-29/2026-04-26/2027-01-08,24.66%,12.6%,12.06%,7.0,0.93,169.1294/180.1786/204.77/No Horizontal Resistance/185.717/204.2705/No EMA 200 Target,161.96/82.9367/162.0277/152.3147/160.7722/150.4677/149.02,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"RY.TO, Long, 2026-01-30 (Price: 226.72)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 9","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 226.72), 0.0% below",0 days,227.25,No Information,No Information,No Information,"23.66% (Price: 219.2613), 3.4% above, Upmove Bounce Back","2025-04-07 (Price: 151.25), 2026-01-06 (Price: 240.34)",No Information,10.81%/4.09%/9.09%,"0%, 26.48%",2.5 years/1.2 month/8.2 months,2029-08-25/2026-03-23/2027-01-19,16.77%,10.42%,6.35%,3.94,0.82,235.6074/247.3288/280.17/No Horizontal Resistance/240.0573/255.5041/No EMA 200 Target,225.93/118.8425/225.3281/200.2171/219.2613/206.3076/197.12,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"HDFCBANK.NS, Long, 2026-01-30 (Price: 929.25)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 4","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 929.25), 0.0% below",0 days,906.0,No Information,No Information,No Information,No Information,No Information,No Information,11.71%/4.83%/8.56%,"0%, 16.27%",2.3 months/28 days/1.7 month,2026-05-09/2026-03-11/2026-04-13,12.02%,10.83%,1.19%,2.91,0.65,1065.7568/1008.7938/1037.28/1009.6/1098.0619/1305.7899/977.56,916.1/640.9/765.1075/697.8792/No support/891.107/No EMA 200 Support,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets)
DELTADRIFT,"CVS, Long, 2026-01-30 (Price: 74.52)",No Exit Yet,"0.0%, 0 days","71.43%, Past 4 years, 14","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 74.52), 0.0% below",0 days,74.11,No Information,No Information,No Information,No Information,No Information,No Information,9.78%/2.14%/4.7%,"18.34%, 19.27%",25 days/1 day/13 days,2026-03-07/2026-01-31/2026-02-17,4.95%,1.78%,3.17%,0.09,0.08,80.0792/78.0224/79.05/106.045/119.2488/124.7126/No EMA 200 Target,72.0/58.425/74.001/62.2235/No support/No support/72.04,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"ASML, Long, 2026-01-30 (Price: 1423.0)",No Exit Yet,"0.0%, 0 days","92.86%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 1423.0), 0.0% below",0 days,1385.87,No Information,No Information,No Information,No Information,No Information,4.74% above/0.0% below/0.0% below,26.23%/2.69%/12.25%,"25.72%, 56.36%",8.9 months/1.2 month/3.5 months,2027-02-20/2026-03-23/2026-07-01,11.7%,15.27%,-3.57%,1.0,0.74,1574.6918/1597.3175/1836.05/No Horizontal Resistance/1081.4334/1218.8523/No EMA 200 Target,689.82/576.784/998.2461/956.961/1276.9981/1143.9615/907.93,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"^BVSP, Long, 2026-01-30 (Price: 183206.4375)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 27","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 183206.4375), 0.0% below",0 days,178859.0,No Information,No Information,No Information,No Information,No Information,2.43% above/0.0% below/0.0% below,10.65%/0.93%/5.61%,"-0.0%, 43.39%",1.1 year/28 days/3.4 months,2027-08-26/2026-03-11/2026-06-26,7.52%,4.03%,3.49%,2.1,0.18,191707.2162/193484.3186/210435.9/No Horizontal Resistance/166057.916/178771.431/No EMA 200 Target,132437.0/96132.0/151418.724/142375.45/170307.301/160387.1315/145736.28,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-01-30 (Price: 60.68)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 60.68), 0.0% below",0 days,60.11,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,9.02%/0.81%/3.05%,"0%, 8.72%",3.2 months/4 days/27 days,2026-06-18/2026-02-04/2026-03-10,13.01%,4.6%,8.41%,1.21,0.22,66.2929/62.5307/79.98/No Horizontal Resistance/77.6843/86.2499/No EMA 200 Target,53.29/28.5067/53.9498/50.4772/No support/No support/52.26,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-01-30 (Price: 60.68)",No Exit Yet,"0.0%, 0 days","95.45%, Past 10 years, 22","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 60.68), 0.0% below",0 days,59.3,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,17.36%/1.81%/8.82%,"38.64%, 57.11%",10.7 months/1.2 month/3.4 months,2027-05-09/2026-03-23/2026-06-26,-1.73%,1.97%,-3.7%,0.5,0.04,64.7274/66.032/62.8/No Horizontal Resistance/77.6843/86.2499/No EMA 200 Target,55.19/28.5067/53.9498/50.4772/No support/No support/52.26,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"GILD, Long, 2026-01-30 (Price: 141.95)",No Exit Yet,"0.0%, 0 days","96.43%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 141.95), 0.0% below",0 days,135.88,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,26.57%/2.74%/15.13%,"8.71%, 37.09%",1.2 year/1.2 month/4.5 months,2027-10-17/2026-03-23/2026-08-13,13.74%,9.41%,4.33%,1.53,0.5,155.1088/163.427/162.7/No Horizontal Resistance/135.1689/147.6277/No EMA 200 Target,112.1/57.18/124.0112/101.881/108.6886/88.0945/115.72,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"NZDCAD=X, Long, 2026-01-30 (Price: 0.8192)",No Exit Yet,"0.0%, 0 days","79.17%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 0.8192), 0.0% below",0 days,0.8165,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,4.6%/1.11%/2.76%,"5.56%, 13.76%",9.8 months/28 days/5.1 months,2027-03-31/2026-03-11/2026-09-08,-3.01%,0.35%,-3.36%,0.17,-0.49,0.8253/0.8418/0.85/0.8586/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No support/0.817/0.81,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"PG, Long, 2026-01-30 (Price: 151.77)",No Exit Yet,"0.0%, 0 days","86.96%, Past 4 years, 23","Daily, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 151.77), 0.0% below",0 days,150.43,No Information,No Information,No Information,No Information,No Information,1.25% above/0.0% below/0.0% below,3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,2026-06-22/2026-02-07/2026-03-23,9.71%,2.06%,7.65%,0.36,0.03,153.3939/154.8054/153.98/179.4533/198.7009/220.9395/154.01,138.04/130.72/147.1065/128.0678/No support/No support/No EMA 200 Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2026-01-30 (Price: 91.3)",No Exit Yet,"0.0%, 0 days","83.33%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-01-30 (Price: 91.3), 0.0% below",0 days,88.65,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,23.9%/1.55%/7.87%,"6.63%, 46.57%",1 year/1.2 month/2.6 months,2027-07-05/2026-03-23/2026-05-22,13.27%,11.85%,1.42%,0.6,0.66,101.4343/98.4853/101.98/No Horizontal Resistance/108.5192/133.8092/No EMA 200 Target,76.55/38.015/50.2755/47.8005/No support/No support/79.76,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
BAND MATRIX,"XLV, Long, 2026-01-30 (Price: 154.74)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 5","Daily, is CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-01-30 (Price: 154.74), 0.0% below",0 days,154.115,No Information,No Information,No Information,No Information,No Information,No Information,8.23%/1.41%/5.28%,"0%, 18.11%",1.9 year/1 month/10 months,2028-10-16/2026-03-14/2027-04-09,6.21%,5.05%,1.16%,2.09,0.27,162.2139/162.9103/162.56/159.295/174.1807/202.706/No EMA 200 Target,153.82/121.1/153.114/117.2225/139.994/127.3369/141.85,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
BAND MATRIX,"PLTR, Long, 2026-01-30 (Price: 146.59)",No Exit Yet,"0.0%, 0 days","83.33%, Past 5 years, 6","Daily, is CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-01-30 (Price: 146.59), 0.0% below",0 days,150.16,No Information,No Information,No Information,No Information,No Information,No Information,72.52%/7.59%/47.15%,"59.64%, 74.92%",5.4 months/1.3 month/2.9 months,2026-09-21/2026-03-27/2026-06-05,30.7%,28.98%,1.72%,0.56,1.12,191.8423/215.7072/203.77/No Horizontal Resistance/268.2554/419.5225/158.92,130.68/7.205/116.9882/81.2789/130.5088/106.72/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
BAND MATRIX,"ATD.TO, Long, 2026-01-30 (Price: 70.84)",No Exit Yet,"0.0%, 0 days","90.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-01-30 (Price: 70.84), 0.0% below",0 days,71.47,No Information,No Information,No Information,No Information,No Information,No Information,29.23%/0.22%/10.51%,"9.62%, 20.63%",8.6 months/1.8 month/4.1 months,2027-02-07/2026-04-18/2026-07-25,16.38%,7.89%,8.49%,0.66,0.43,73.3336/78.2853/75.81/85.51/100.8822/111.119/72.11,69.19/45.49/69.1528/55.4059/No support/No support/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
OSCILLATOR DELTA,"BRK-B, Long, 2026-01-29 (Price: 476.79)",No Exit Yet,"0.78%, 1 day","89.47%, Past 6 years, 19","Daily, is Confirmed on 2026-01-29",No Cancellation Possible,"2026-01-30 (Price: 480.53), 0.78% above",1 day,473.73,No Information,No Information,No Information,No Information,No Information,No Information,31.41%/5.03%/9.81%,"13.58%, 26.58%",2.2 years/8 days/3.7 months,2029-03-21/2026-02-09/2026-07-08,16.46%,9.82%,6.64%,0.56,0.59,505.2544/523.5631/500.63/512.255/630.85/709.9376/494.72,No Recent Minima/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
