"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"SUM.NZ, Long, 2025-12-02 (Price: 12.48)",No Exit Yet,"0.0%, 0 days","96.55%, Past 5 years, 29","Daily, is CONFIRMED on 2025-12-02",Already confirmed,"2025-12-02 (Price: 12.48), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 12.2582),1.81% above,"2025-08-27 (Price: 10.51), 2025-11-18 (Price: 12.8)",7.52%/0.86%/3.34%,"1.14%, 17.77%",3.1 months/12 days/1.4 month,2026-04-14/2025-12-19/2026-02-02,16.56%,2.28%,14.28%,0.28,0.03,12.4925/12.8968/13.85/13.345/16.7981/18.5763/No Moving Avg Target,12.29/9.1367/11.1928/8.9354/12.5875/12.8318/11.43,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"UBER, Long, 2025-12-02 (Price: 87.57)",No Exit Yet,"0.0%, 0 days","87.5%, Past 6 years, 8","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 81.51 prior to 2025-12-05,"2025-12-02 (Price: 87.57), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 82.5663),6.06% above,"2022-07-03 (Price: 19.895), 2025-09-28 (Price: 101.99)",110.4%/15.19%/62.8%,"3.04%, 55.87%",2.7 years/2.5 months/1.5 year,2029-10-19/2026-03-19/2028-01-02,20.24%,13.56%,6.68%,0.39,0.48,88.3669/142.564/136.83/No Horizontal Resistance/103.1697/130.9341/No Moving Avg Target,83.87/34.6025/87.2921/71.0872/82.5663/70.6297/87.1,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"HDB, Long, 2025-12-02 (Price: 35.84)",No Exit Yet,"0.0%, 0 days","90.91%, Past 25 years, 22","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 33.78 prior to 2025-12-31,"2025-12-02 (Price: 35.84), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 34.562),3.7% above,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",165.72%/8.35%/65.32%,"32.26%, 39.31%",3.0 years/7.3 months/1.4 year,2030-02-23/2026-10-13/2027-12-20,12.66%,17.02%,-4.36%,0.26,0.59,37.4456/59.2507/44.08/39.3812/45.6752/50.9526/No Moving Avg Target,26.75/25.6925/29.7659/26.539/36.3743/34.266/35.59,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"IHI, Long, 2025-12-02 (Price: 63.17)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 58.18 prior to 2025-12-31,"2025-12-02 (Price: 63.17), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 57.074),10.68% above,"2023-10-31 (Price: 43.96), 2025-02-28 (Price: 65.18)",5.78%/5.78%/5.78%,"-0.0%, 6.3%",6.5 months/6.5 months/6.5 months,2026-09-10/2026-09-10/2026-09-10,7.62%,10.75%,-3.13%,0.39,0.47,62.7594/66.8212/75.9/66.34/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,45.26/46.725/No F-Stack Support/No F-Stack Support/68.0854/69.871/60.95,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"JNK, Long, 2025-12-02 (Price: 97.11)",No Exit Yet,"0.0%, 0 days","100.0%, Past 18 years, 17","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 96.32 prior to 2025-12-05,"2025-12-02 (Price: 97.11), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 96.3874),0.75% above,"2025-04-13 (Price: 90.41), 2025-09-28 (Price: 98.24)",6.29%/6.29%/6.29%,"-0.0%, 7.07%",1.3 year/1.3 year/1.3 year,2027-10-05/2027-10-05/2027-10-05,3.41%,-2.09%,5.5%,0.2,-0.45,97.1586/103.2182/101.81/108.635/169.7114/218.5371/No Moving Avg Target,96.34/88.8814/No F-Stack Support/No F-Stack Support/99.6721/100.7612/96.3,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"XLU, Long, 2025-12-02 (Price: 87.88)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 39","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 87.52 prior to 2025-12-05,"2025-12-02 (Price: 87.88), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 88.3874),0.57% below,"2025-04-13 (Price: 71.02), 2025-10-19 (Price: 93.77)",54.11%/0.44%/14.69%,"-0.0%, 42.71%",4.8 years/3.0 months/1.2 year,2032-10-10/2026-04-09/2027-08-15,5.0%,5.36%,-0.36%,0.49,0.15,88.3018/100.7896/101.53/No Horizontal Resistance/121.7688/179.2513/No Moving Avg Target,83.47/59.2533/86.2425/64.2863/84.5426/78.872/83.3,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"XLV, Long, 2025-12-02 (Price: 154.36)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-12-02 (Price: 154.36), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),21.56% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",10.3 years/10.3 years/10.3 years,2040-08-28/2040-08-28/2040-08-28,8.26%,6.44%,1.82%,0.48,0.22,150.8097/628.3996/237.17/No Horizontal Resistance/174.1807/202.706/No Moving Avg Target,24.21/120.178/153.114/117.2225/167.2798/171.9748/139.69,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"XLY, Long, 2025-12-02 (Price: 236.44)",No Exit Yet,"0.0%, 0 days","96.43%, Past 20 years, 28","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 220.93 prior to 2025-12-05,"2025-12-02 (Price: 236.44), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 216.5454),9.19% above,"2025-04-13 (Price: 173.1), 2025-09-21 (Price: 243.4)",115.02%/7.32%/52.87%,"16.26%, 57.22%",3.8 years/4.0 months/1.8 year,2031-04-16/2026-05-23/2028-06-01,7.9%,10.2%,-2.3%,0.5,0.39,247.1507/361.4458/278.62/241.84/250.963/299.0113/No Moving Avg Target,225.5/133.55/194.0389/129.1624/215.6232/198.5532/219.35,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"TCS.NS, Long, 2025-12-02 (Price: 3135.7)",No Exit Yet,"0.0%, 0 days","90.91%, Past 21 years, 11","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 2866.6001 prior to 2025-12-31,"2025-12-02 (Price: 3135.7), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 2809.1),11.63% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",375.83%/7.31%/87.63%,"10.18%, 12.85%",1.9 year/7.9 months/1.1 year,2028-08-01/2026-11-11/2027-06-19,21.36%,19.52%,1.84%,0.36,0.61,3055.4261/5883.5139/5275.48/4543.575/No Next Fib Ext/No Next Fib Ext/3290.84,2888.4/2923.4601/No F-Stack Support/No F-Stack Support/3116.0412/3282.6562/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"IWM, Long, 2025-12-02 (Price: 245.17)",No Exit Yet,"0.0%, 0 days","97.56%, Past 20 years, 41","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 228.9 prior to 2025-12-05,"2025-12-02 (Price: 245.17), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 233.5959),4.95% above,"2025-04-13 (Price: 171.73), 2025-10-19 (Price: 252.77)",108.09%/0.02%/40.47%,"1.56%, 58.54%",5.2 years/1.8 month/2.2 years,2033-05-01/2026-02-18/2029-01-10,5.07%,6.62%,-1.55%,0.38,0.22,247.5481/344.3903/293.79/No Horizontal Resistance/270.9222/282.5179/No Moving Avg Target,235.6/162.3167/196.8345/160.6663/233.5959/221.8127/220.66,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
