"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"XIU.TO, Long, 2026-01-16 (Price: 48.64)",No Exit Yet,"0.0%, 0 days","93.75%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 48.64), 0.0% below",0 days,"2, 2024-11-24 (Price: 38.41)",2026-01-11 (Price: 48.22),2026-01-12 (Price: 48.48),5/4/0 days,0.87% above/0.33% above/0.0% below,2024-11-24 (Price: 38.3918)/2026-01-16 (Price: 47.9139),5.21%/1.57%/3.78%,"2.16%, 32.4%",1.1 year/1.2 month/6.5 months,2027-08-12/2026-03-09/2026-10-25,5.54%,4.24%,1.3%,1.64,0.19,49.569/50.4786/54.78/No Horizontal Resistance/48.3988/56.9776/No EMA 200 Target,35.35/27.9467/41.5586/34.9694/43.7297/40.6137/42.5,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
"ASML, Long, 2026-01-16 (Price: 1358.5699)",No Exit Yet,"0.0%, 0 days","92.86%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 1358.5699), 0.0% below",0 days,"2, 2025-07-06 (Price: 794.5)",2026-01-16 (Price: 1358.5699),2026-01-15 (Price: 1331.6),0/1/0 days,0.0% below/2.03% above/0.0% below,2025-07-06 (Price: 806.2086)/2026-01-16 (Price: 1258.5642),26.23%/2.69%/12.25%,"25.72%, 56.36%",8.9 months/1.2 month/3.5 months,2027-02-06/2026-03-09/2026-06-17,11.7%,15.27%,-3.57%,1.0,0.74,1503.3935/1524.9947/1697.01/No Horizontal Resistance/1081.4334/1218.8523/No EMA 200 Target,689.82/576.784/998.2461/956.961/1186.8329/1070.9695/873.67,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
"GS, Long, 2026-01-16 (Price: 962.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 14","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 962.0), 0.0% below",0 days,"2, 2025-07-06 (Price: 723.68)",2026-01-16 (Price: 962.0),2026-01-15 (Price: 975.86),0/1/0 days,0.0% below/1.42% below/0.0% below,2025-07-06 (Price: 725.236)/2026-01-16 (Price: 938.1843),16.64%/3.18%/8.74%,"0%, 44.52%",1.5 year/1.4 month/6.1 months,2028-03-08/2026-03-17/2026-10-08,9.45%,7.78%,1.67%,2.03,0.4,986.3386/1046.0788/1104.99/No Horizontal Resistance/916.0326/973.4919/No EMA 200 Target,470.81/288.555/818.1554/728.9736/782.6791/658.5293/727.07,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
"CNR.TO, Long, 2026-01-16 (Price: 139.28)",No Exit Yet,"0.0%, 0 days","88.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 139.28), 0.0% below",0 days,"2, 2025-11-24 (Price: 128.08)",2026-01-15 (Price: 137.98),2026-01-16 (Price: 139.28),1/0/0 days,0.94% above/0.0% below/0.0% below,2025-11-24 (Price: 139.046)/2026-01-16 (Price: 136.814),6.98%/0.37%/2.17%,"18.84%, 26.48%",2.8 months/4 days/16 days,2026-05-17/2026-01-21/2026-02-08,5.85%,1.19%,4.66%,0.01,-0.01,144.3498/142.3024/146.0/171.0825/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,134.0/127.536/No F-Stack Support/No F-Stack Support/No support/No support/135.98,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"MTY.TO, Long, 2026-01-16 (Price: 40.33)",No Exit Yet,"0.0%, 0 days","73.91%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 40.33), 0.0% below",0 days,"8, 2023-04-16 (Price: 59.7)",2026-01-16 (Price: 40.33),2026-01-16 (Price: 40.33),0/0/0 days,0.0% below/0.0% below/0.0% below,2023-04-16 (Price: 70.7306)/2026-01-16 (Price: 39.5891),16.17%/2.07%/7.98%,"37.54%, 76.03%",1.1 year/28 days/4.3 months,2027-08-12/2026-02-25/2026-07-21,2.07%,4.23%,-2.16%,-0.11,0.25,41.1527/43.5483/51.95/72.5033/74.4994/87.3544/No EMA 200 Target,33.34/37.115/10.9521/4.4021/No support/No support/39.21,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
"MSE.PA, Long, 2026-01-16 (Price: 67.23)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 67.23), 0.0% below",0 days,"2, 2025-07-06 (Price: 58.64)",2026-01-16 (Price: 67.23),2026-01-12 (Price: 67.13),0/4/0 days,0.0% below/0.15% above/0.0% below,2025-07-06 (Price: 60.0117)/2026-01-16 (Price: 66.601),10.47%/2.5%/6.07%,"-0.0%, 33.38%",1.4 year/1.2 month/6.9 months,2028-01-14/2026-03-09/2026-11-11,7.99%,3.79%,4.2%,2.07,0.15,70.8873/71.3109/72.38/No Horizontal Resistance/79.2125/108.6508/No EMA 200 Target,61.34/33.6667/58.6808/47.8642/59.4039/54.3977/60.53,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
"BNS.TO, Long, 2026-01-16 (Price: 102.18)",No Exit Yet,"0.0%, 0 days","92.31%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 101.58 prior to 2026-01-30,"2026-01-16 (Price: 102.18), 0.0% below",0 days,"2, 2024-03-31 (Price: 70.07)",2025-11-30 (Price: 96.94),2026-01-15 (Price: 102.18),47/1/0 days,5.41% above/0.0% below/0.0% below,2024-03-31 (Price: 70.4)/2026-01-16 (Price: 94.2089),24.83%/4.28%/13.54%,"30.99%, 38.87%",2.8 years/6 months/1.2 year,2030-01-13/2026-10-03/2027-10-03,1.95%,4.3%,-2.35%,0.65,0.19,107.5342/116.0152/121.45/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,56.15/62.2517/95.6649/90.1456/91.7669/84.8022/83.24,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
"BNS.TO, Long, 2026-01-16 (Price: 102.18)",No Exit Yet,"0.0%, 0 days","100.0%, Past 193 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 101.58 prior to 2026-03-31,"2026-01-16 (Price: 102.18), 0.0% below",0 days,"2, 2022-03-31 (Price: 89.6)",2025-09-30 (Price: 89.99),2026-01-15 (Price: 102.18),108/1/0 days,13.55% above/0.0% below/0.0% below,2022-03-31 (Price: 95.0)/2026-01-16 (Price: 73.3855),22.63%/5.06%/9.45%,"0%, 41.59%",5.1 years/1.5 year/4.2 years,2033-04-26/2028-03-08/2032-01-15,6.77%,6.25%,0.52%,1.08,0.33,115.3919/111.836/109.73/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,60.88/62.2517/95.6649/90.1456/91.7669/84.8022/83.24,100.0%/9/2.2 years (Across ALL Assets),75.0%/4/6.2 months (Across ALL Assets)
"ACWX, Long, 2026-01-16 (Price: 69.89)",No Exit Yet,"0.0%, 0 days","90.0%, Past 20 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 68.01 prior to 2026-01-30,"2026-01-16 (Price: 69.89), 0.0% below",0 days,"2, 2023-07-31 (Price: 51.15)",2025-11-30 (Price: 66.49),2026-01-02 (Price: 68.13),47/14/0 days,5.11% above/2.58% above/0.0% below,2023-07-31 (Price: 51.3)/2026-01-16 (Price: 65.5714),15.1%/1.97%/6.76%,"10.07%, 26.55%",3.3 years/4.1 months/1.4 year,2030-10-02/2026-07-11/2028-01-14,1.22%,0.78%,0.44%,0.41,-0.09,74.7613/74.6146/81.13/No Horizontal Resistance/67.4663/76.2652/No EMA 200 Target,52.16/45.07/60.1332/51.8814/62.7273/58.1719/62.64,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
"^BVSP, Long, 2026-01-16 (Price: 164799.9844)",No Exit Yet,"0.0%, 0 days","88.89%, Past 20 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 161124.0 prior to 2026-01-30,"2026-01-16 (Price: 164799.9844), 0.0% below",0 days,"4, 2022-09-30 (Price: 110037.0)",2025-11-30 (Price: 159072.0),2026-01-05 (Price: 161870.0),47/11/0 days,3.6% above/1.81% above/0.0% below,2022-09-30 (Price: 118704.842)/2026-01-16 (Price: 152013.9293),14.35%/2.63%/9.45%,"18.7%, 34.07%",3.3 years/8.1 months/1.9 year,2030-10-02/2027-01-02/2028-10-02,6.15%,6.78%,-0.63%,0.48,0.36,182334.7027/180373.5829/197657.78/No Horizontal Resistance/166057.916/178771.431/No EMA 200 Target,120283.0/96132.0/151418.724/142375.45/154749.3998/147792.446/143298.67,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
