"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"BRK-B, Long, 2026-01-09 (Price: 499.1)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 499.1), 0.0% below",0 days,"2, 2025-11-17 (Price: 503.26)",2026-01-09 (Price: 499.1),2026-01-09 (Price: 499.1),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-11-17 (Price: 522.6833)/2026-01-09 (Price: 496.4333),5.02%/0.7%/2.96%,"0%, 7.4%",1.5 month/6 days/12 days,2026-03-15/2026-01-17/2026-01-26,14.99%,9.63%,5.36%,2.13,0.58,528.3473/513.8734/501.6/512.255/537.7909/627.804/No EMA 200 Target,496.12/268.082/475.0642/401.0818/No support/No support/497.22,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"DIS, Long, 2026-01-09 (Price: 115.88)",No Exit Yet,"0.0%, 0 days","80.0%, Past 4 years, 15","Daily, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 115.88), 0.0% below",0 days,"6, 2025-06-13 (Price: 117.94)",2026-01-08 (Price: 114.17),2026-01-09 (Price: 115.88),1/0/0 days,1.5% above/0.0% below/0.0% below,2025-06-13 (Price: 125.1018)/2026-01-09 (Price: 113.594),9.92%/0.82%/3.59%,"37.38%, 50.6%",5 months/8 days/1.4 month,2026-08-14/2026-01-20/2026-03-10,-16.64%,-4.09%,-12.55%,-0.07,-0.15,118.4641/120.0401/117.12/168.455/236.8799/272.4142/No EMA 200 Target,111.85/79.415/109.0737/100.3529/No support/No support/110.55,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"XIU.TO, Long, 2026-01-09 (Price: 48.22)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 48.22), 0.0% below",0 days,"2, 2025-11-17 (Price: 44.93)",2026-01-08 (Price: 47.92),2026-01-09 (Price: 48.22),1/0/0 days,0.63% above/0.0% below/0.0% below,2025-11-17 (Price: 45.94)/2026-01-09 (Price: 47.92),2.7%/0.5%/1.73%,"0%, 8.66%",2.2 months/6 days/26 days,2026-04-14/2026-01-17/2026-02-15,10.25%,7.22%,3.03%,2.78,0.44,49.4593/49.0542/50.19/No Horizontal Resistance/48.3988/56.9776/No EMA 200 Target,44.51/27.9467/41.5586/34.9694/43.6588/40.7697/42.24,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"JNK, Long, 2026-01-09 (Price: 97.69)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 97.69), 0.0% below",0 days,"8, 2024-03-10 (Price: 94.7)",2025-12-28 (Price: 97.16),2026-01-05 (Price: 97.5),12/4/0 days,0.55% above/0.19% above/0.0% below,2024-03-10 (Price: 98.3166)/2026-01-09 (Price: 96.8883),3.5%/0.19%/1.47%,"-0.0%, 19.15%",9.1 months/1.2 month/4.1 months,2027-02-08/2026-03-02/2026-07-04,2.85%,-0.98%,3.83%,0.97,-0.59,98.1296/99.126/99.48/108.5222/169.7114/218.5371/No EMA 200 Target,96.34/88.8814/No F-Stack Support/No F-Stack Support/No support/No support/96.44,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
"AIA.NZ, Long, 2026-01-09 (Price: 8.54)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 8.54), 0.0% below",0 days,"4, 2025-02-09 (Price: 8.71)",2025-12-28 (Price: 8.28),2026-01-08 (Price: 8.5),12/1/0 days,3.14% above/0.47% above/0.0% below,2025-02-09 (Price: 8.85)/2026-01-09 (Price: 8.1731),12.76%/0.47%/5.95%,"-0.0%, 7.89%",7.5 months/28 days/2.8 months,2026-11-30/2026-02-18/2026-05-10,11.42%,5.83%,5.59%,1.52,0.3,9.3368/9.0481/8.64/8.8962/10.792/12.737/No EMA 200 Target,7.47/7.0017/8.0885/7.295/7.764/7.0966/7.87,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
"MTY.TO, Long, 2026-01-09 (Price: 40.19)",No Exit Yet,"0.0%, 0 days","73.91%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 40.19), 0.0% below",0 days,"2, 2025-05-04 (Price: 43.45)",2025-12-28 (Price: 38.22),2026-01-08 (Price: 39.97),12/1/0 days,5.15% above/0.55% above/0.0% below,2025-05-04 (Price: 47.7949)/2026-01-09 (Price: 36.2009),16.17%/2.07%/7.98%,"37.54%, 76.03%",1.1 year/28 days/4.3 months,2027-08-05/2026-02-18/2026-07-14,2.07%,4.23%,-2.16%,-0.11,0.25,41.0099/43.3972/42.15/72.5033/74.4994/87.3544/No EMA 200 Target,33.34/37.115/10.9521/4.4021/No support/No support/39.25,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
"SJ.TO, Long, 2026-01-09 (Price: 88.81)",No Exit Yet,"0.0%, 0 days","83.33%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 88.81), 0.0% below",0 days,"4, 2024-12-15 (Price: 71.63)",2026-01-09 (Price: 88.81),2026-01-08 (Price: 87.62),0/1/0 days,0.0% below/1.36% above/0.0% below,2024-12-15 (Price: 75.637)/2026-01-09 (Price: 86.1345),23.9%/1.55%/7.87%,"6.63%, 46.57%",1 year/1.2 month/2.6 months,2027-06-14/2026-03-02/2026-05-01,13.27%,11.85%,1.42%,0.6,0.66,98.6679/95.7993/99.12/No Horizontal Resistance/108.5192/133.8092/No EMA 200 Target,76.55/38.015/50.2755/47.8005/No support/No support/78.08,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
"ACWX, Long, 2026-01-09 (Price: 69.25)",No Exit Yet,"0.0%, 0 days","90.0%, Past 20 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 68.01 prior to 2026-01-30,"2026-01-09 (Price: 69.25), 0.0% below",0 days,"2, 2023-07-31 (Price: 51.15)",2025-11-30 (Price: 66.49),2026-01-02 (Price: 68.13),40/7/0 days,4.15% above/1.64% above/0.0% below,2023-07-31 (Price: 51.3)/2026-01-09 (Price: 65.5714),15.1%/1.97%/6.76%,"10.07%, 26.55%",3.3 years/4.1 months/1.4 year,2030-09-25/2026-07-04/2028-01-07,1.22%,0.78%,0.44%,0.41,-0.09,74.0767/73.9313/80.11/No Horizontal Resistance/67.4663/76.2652/No EMA 200 Target,52.16/45.07/60.1332/51.8814/62.0861/57.6528/62.29,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
"^BVSP, Long, 2026-01-09 (Price: 163370.3125)",No Exit Yet,"0.0%, 0 days","88.89%, Past 20 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 161124.0 prior to 2026-01-30,"2026-01-09 (Price: 163370.3125), 0.0% below",0 days,"4, 2022-09-30 (Price: 110037.0)",2025-11-30 (Price: 159072.0),2026-01-05 (Price: 161870.0),40/4/0 days,2.7% above/0.93% above/0.0% below,2022-09-30 (Price: 118704.842)/2026-01-09 (Price: 152013.9293),14.35%/2.63%/9.45%,"18.7%, 34.07%",3.3 years/8.1 months/1.9 year,2030-09-25/2026-12-26/2028-09-25,6.15%,6.78%,-0.63%,0.48,0.36,180752.9138/178808.807/195370.3/No Horizontal Resistance/166057.916/178771.431/No EMA 200 Target,120283.0/96132.0/151418.724/142375.45/153960.0442/147153.434/142494.98,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
"GS, Long, 2026-01-09 (Price: 938.98)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 884.0 prior to 2026-01-30,"2026-01-09 (Price: 938.98), 0.0% below",0 days,"2, 2023-07-31 (Price: 355.87)",2025-12-31 (Price: 879.0),2026-01-02 (Price: 914.34),9/7/0 days,6.82% above/2.69% above/0.0% below,2023-07-31 (Price: 351.8948)/2026-01-09 (Price: 831.3002),53.25%/7.0%/28.8%,"-0.0%, 34.98%",2.5 years/4 months/1.1 year,2029-08-04/2026-07-01/2027-08-05,10.95%,5.86%,5.09%,1.01,0.3,1131.4709/1209.4062/1288.85/No Horizontal Resistance/916.0326/973.4919/No EMA 200 Target,303.61/288.555/818.1554/728.9736/765.1133/644.3091/717.14,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
