"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max./Min./Avg.),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"CVS, Long, 2025-11-12 (Price: 80.26)",No Exit Yet,"0.0%, 0 days","75.68%, Past 6 years, 37","Daily, is Confirmed on 2025-11-12",No Cancellation Possible,"2025-11-12 (Price: 80.26), 0.0% below",0 days,2025-11-03 (Price: 77.43)/2025-11-10 (Price: 76.5),20/1/8 days,17.09%/5.17%/8.81%,"24.36%, 24.36%",126 days/12 days/44 days,2026-05-13/2025-11-29/2026-01-14,3.83%,2.46%,1.37%,0.04,0.1,82.1381/87.3309/84.27/106.045/119.2488/124.7126,No Recent Minima/58.425/74.001/62.2235/79.59/81.2609,77.47/68.2,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"EBO.NZ, Long, 2025-11-12 (Price: 28.6)",No Exit Yet,"0.0%, 0 days","73.53%, Past 6 years, 34","Daily, is Confirmed on 2025-11-12",No Cancellation Possible,"2025-11-12 (Price: 28.6), 0.0% below",0 days,2025-10-23 (Price: 28.17)/2025-10-29 (Price: 27.9),15/1/5 days,11.87%/5.31%/7.12%,"15.91%, 19.8%",83 days/3 days/26 days,2026-03-12/2025-11-16/2025-12-19,-7.76%,2.55%,-10.31%,-0.12,0.06,29.4551/30.6363/30.03/46.625/No Next Fib Ext/No Next Fib Ext,No Recent Minima/27.81/No F-Stack Support/No F-Stack Support/45.3113/47.3586,29.25/36.26,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"NKE, Long, 2025-11-11 (Price: 63.15)",No Exit Yet,"1.66%, 1 days","80.56%, Past 6 years, 36","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-12 (Price: 64.2), 1.66% above",1 days,2025-11-04 (Price: 61.12)/2025-11-07 (Price: 60.29),22/1/6 days,15.63%/5.08%/8.11%,"19.92%, 22.44%",64 days/1 days/13 days,2026-02-11/2025-11-12/2025-11-29,20.81%,-5.25%,26.06%,0.08,-0.1,64.3183/68.2715/66.31/176.74/171.1647/206.9588,No Recent Minima/No Horizontal Support/60.8668/56.1303/No F-Track Level/No F-Track Level,68.87/68.73,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"ATD.TO, Long, 2025-11-11 (Price: 70.4)",No Exit Yet,"1.16%, 1 days","91.18%, Past 6 years, 34","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-12 (Price: 71.22), 1.16% above",1 days,2025-11-05 (Price: 68.54)/2025-11-07 (Price: 68.3),12/1/5 days,12.15%/5.08%/7.16%,"16.41%, 19.68%",86 days/3 days/26 days,2026-03-15/2025-11-15/2025-12-18,35.12%,10.15%,24.97%,0.34,0.37,72.6598/75.4406/73.92/85.51/85.3936/96.14,No Recent Minima/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level,72.85/71.59,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"NOVA.F, Long, 2025-11-11 (Price: 42.4)",No Exit Yet,"1.77%, 1 days","100.0%, Past 6 years, 4","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-12 (Price: 43.15), 1.77% above",1 days,2025-10-30 (Price: 43.0)/2025-11-07 (Price: 39.0),5/4/4 days,8.26%/6.12%/7.22%,"-0.0%, 5.26%",28 days/1 days/11 days,2025-12-21/2025-11-12/2025-11-26,317.02%,8.99%,308.03%,1.32,0.33,45.6224/45.4613/44.94/126.5/138.0871/146.706,No Recent Minima/40.95/40.2093/33.7767/No F-Track Level/No F-Track Level,46.86/57.96,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"META, Long, 2025-11-10 (Price: 631.76)",No Exit Yet,"-3.6%, 2 days","72.41%, Past 6 years, 29","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-12 (Price: 609.01), 3.6% below",2 days,2025-11-04 (Price: 626.01)/2025-11-06 (Price: 618.0),15/1/5 days,9.21%/5.09%/7.57%,"24.1%, 28.78%",23 days/3 days/10 days,2025-12-13/2025-11-14/2025-11-24,-75.0%,21.72%,-96.72%,-0.28,0.69,619.1248/679.5842/663.35/No Horizontal Resistance/842.484/1305.5879,No Recent Minima/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level,719.36/678.18,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"MTY.TO, Long, 2025-11-10 (Price: 34.02)",No Exit Yet,"0.32%, 2 days","72.97%, Past 6 years, 37","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-12 (Price: 34.13), 0.32% above",2 days,2025-10-31 (Price: 33.39)/2025-11-06 (Price: 32.92),20/1/7 days,19.58%/5.02%/7.99%,"11.8%, 23.15%",85 days/1 days/34 days,2026-03-13/2025-11-11/2025-12-29,-4.6%,-6.94%,2.34%,-0.06,-0.03,34.5745/36.7382/35.72/72.5033/No Next Fib Ext/No Next Fib Ext,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,36.5/40.8,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"HOOD, Long, 2025-11-10 (Price: 135.88)",No Exit Yet,"-2.13%, 2 days","78.26%, Past 4 years, 23","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-12 (Price: 132.98), 2.13% below",2 days,2025-10-21 (Price: 131.35)/2025-10-22 (Price: 120.88),17/1/4 days,17.01%/5.11%/8.52%,"12.73%, 15.13%",20 days/2 days/7 days,2025-12-08/2025-11-12/2025-11-20,108.4%,39.13%,69.27%,0.21,1.06,146.5058/147.457/142.67/No Horizontal Resistance/164.8517/245.4076,No Recent Minima/8.2917/115.0659/84.2959/No F-Track Level/No F-Track Level,132.01/85.24,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"NVO, Long, 2025-11-06 (Price: 46.51)",2025-11-11 (Price: 49.15),"5.68%, 3 days","85.29%, Past 6 years, 34","Daily, is Confirmed on 2025-11-06",No Cancellation Possible,"2025-11-12 (Price: 50.26), 8.06% above",4 days,2025-10-29 (Price: 51.19)/2025-11-04 (Price: 47.76),14/1/5 days,20.58%/5.09%/7.82%,"12.67%, 17.77%",185 days/1 days/24 days,2026-07-31/2025-11-07/2025-12-10,29.88%,9.58%,20.3%,0.26,0.35,48.1844/50.1471/48.84/139.01/157.4212/215.5132,No Recent Minima/45.4025/45.3824/37.3162/No F-Track Level/No F-Track Level,54.83/65.76,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"RHHBY, Long, 2025-11-05 (Price: 40.7)",2025-11-10 (Price: 43.85),"7.74%, 3 days","71.88%, Past 6 years, 32","Daily, is Confirmed on 2025-11-05",No Cancellation Possible,"2025-11-12 (Price: 45.43), 11.62% above",5 days,2025-10-30 (Price: 40.54)/2025-11-03 (Price: 40.07),19/2/6 days,11.7%/5.02%/7.38%,"14.74%, 24.1%",173 days/6 days/42 days,2026-07-13/2025-11-13/2026-01-04,-3.55%,1.45%,-5.0%,-0.06,0.0,41.5913/43.7037/42.74/52.46/58.6089/65.2057,No Recent Minima/34.5167/31.0544/202.8856/No F-Track Level/No F-Track Level,42.71/40.93,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
