"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"AAPL, Long, 2026-01-12 (Price: 260.25)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 13","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 260.25), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 260.3676),0.05% below,"2025-04-08 (Price: 169.21), 2025-12-03 (Price: 288.62)",11.89%/10.08%/10.61%,"0%, 30.22%",1.2 year/7 days/4.5 months,2027-09-29/2026-01-22/2026-07-26,27.85%,12.15%,15.7%,18.72,0.65,273.4707/287.8625/331.9/No Horizontal Resistance/297.1089/321.9834/No EMA 200 Target,259.04/136.57/248.4166/236.3611/No support/243.0054/233.32,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
"DOL.TO, Long, 2026-01-12 (Price: 202.08)",No Exit Yet,"0.0%, 0 days","85.19%, Past 5 years, 27","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-12 (Price: 202.08), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 201.5134),0.28% above,"2025-10-14 (Price: 174.26), 2025-12-11 (Price: 209.96)",11.74%/1.29%/9.03%,"4.51%, 11.58%",8.3 months/20 days/3 months,2027-01-07/2026-02-09/2026-05-22,30.23%,20.61%,9.62%,1.18,1.4,210.7492/220.3278/223.5/No Horizontal Resistance/252.753/384.8349/No EMA 200 Target,198.0/53.2967/171.1219/120.6711/177.877/158.1608/184.79,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
"BRK-B, Long, 2026-01-12 (Price: 498.67)",No Exit Yet,"0.0%, 0 days","80.0%, Past 29 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 473.15 prior to 2026-01-30,"2026-01-12 (Price: 498.67), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 475.2967),4.92% above,"2022-10-31 (Price: 259.85), 2025-05-31 (Price: 542.07)",27.51%/12.01%/21.3%,"16.03%, 41.66%",4.6 years/7.1 months/1.5 year,2032-08-05/2026-11-16/2028-03-04,8.18%,7.84%,0.34%,0.89,0.47,628.8727/604.8867/668.0/512.255/537.7909/627.804/No EMA 200 Target,267.02/268.082/475.0642/401.0818/475.2967/434.262/497.05,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"DIS, Long, 2026-01-12 (Price: 112.82)",No Exit Yet,"0.0%, 0 days","80.0%, Past 64 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 101.89 prior to 2026-01-30,"2026-01-12 (Price: 112.82), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 102.395),10.18% above,"2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-11/2026-02-24/2027-05-09,7.35%,7.97%,-0.62%,0.97,0.4,129.3368/138.7912/139.57/168.455/236.8799/272.4142/No EMA 200 Target,90.95/79.415/109.0737/100.3529/No support/107.1333/110.61,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"MSFT, Long, 2026-01-12 (Price: 477.18)",No Exit Yet,"0.0%, 0 days","92.31%, Past 39 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 464.89 prior to 2026-01-30,"2026-01-12 (Price: 477.18), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 474.9779),0.46% above,"2025-04-30 (Price: 344.79), 2025-07-31 (Price: 555.45)",27.88%/6.63%/22.32%,"7.72%, 56.13%",14.2 years/3 months/1.8 year,2046-04-21/2026-05-22/2028-08-07,7.9%,16.21%,-8.31%,1.65,0.79,642.3797/583.6866/603.58/554.585/574.7462/615.9561/480.66,375.39/216.39/452.6681/384.4933/474.9779/450.12/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"GBPUSD=X, Long, 2026-01-12 (Price: 1.3438)",No Exit Yet,"0.0%, 0 days","83.33%, Past 56 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1.3012 prior to 2026-01-30,"2026-01-12 (Price: 1.3438), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1.271),5.73% above,"2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-04/2030-03-04/2030-03-04,4.04%,-0.96%,5.0%,0.36,-0.64,1.3509/1.3947/1.53/1.3691/2.4421/3.2078/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No support/No support/1.34,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"KWEB, Long, 2026-01-12 (Price: 37.66)",No Exit Yet,"0.0%, 0 days","100.0%, Past 12 years, 10","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 34.015 prior to 2026-01-16,"2026-01-12 (Price: 37.66), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 33.3776),12.83% above,"2022-10-30 (Price: 17.22), 2025-10-05 (Price: 43.365)",30.12%/15.07%/18.33%,"-0.0%, 42.44%",2.3 years/1.6 month/8.6 months,2029-04-23/2026-03-22/2027-01-20,15.72%,2.03%,13.69%,1.19,0.14,35.551/44.5631/53.35/54.865/113.756/122.1069/No EMA 200 Target,34.83/24.5062/No F-Stack Support/No F-Stack Support/No support/No support/36.38,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"MA, Long, 2026-01-12 (Price: 566.28)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 4","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 524.7 prior to 2026-01-30,"2026-01-12 (Price: 566.28), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 524.8987),7.88% above,"2022-10-31 (Price: 276.87), 2025-08-31 (Price: 601.77)",26.69%/21.1%/23.74%,"0%, 21.75%",1.9 year/6.1 months/1.1 year,2028-09-28/2026-10-04/2027-08-08,10.35%,18.74%,-8.39%,10.22,1.0,775.8036/700.7149/761.22/592.9033/716.5814/751.3605/No EMA 200 Target,284.34/305.0867/554.0572/515.4888/524.8987/477.6582/562.4,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"NZDCAD=X, Long, 2026-01-12 (Price: 0.7971)",No Exit Yet,"0.0%, 0 days","76.92%, Past 22 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 0.7858 prior to 2026-01-30,"2026-01-12 (Price: 0.7971), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 0.8038),0.83% below,"2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-05/2027-06-17/2030-08-07,0.56%,-0.19%,0.75%,0.44,-0.46,0.8436/0.8755/0.84/0.8876/No Next Fib Ext/No Next Fib Ext/0.81,0.79/0.7834/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"NVO, Long, 2026-01-12 (Price: 59.86)",No Exit Yet,"0.0%, 0 days","100.0%, Past 44 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 43.08 prior to 2026-01-30,"2026-01-12 (Price: 59.86), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 43.8439),36.53% above,"2016-11-30 (Price: 15.445), 2024-06-30 (Price: 148.15)",42.36%/20.21%/26.41%,"-0.0%, 47.55%",3.3 years/4 months/1.3 year,2030-09-28/2026-07-04/2027-11-20,10.33%,9.37%,0.96%,1.75,0.5,73.2327/75.669/139.48/139.01/159.2295/190.9685/No EMA 200 Target,47.07/45.4025/55.093/52.1958/47.9075/35.154/59.21,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
