"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"DBC, Long, 2025-12-24 (Price: 22.63)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 10","Daily, is CONFIRMED on 2025-12-24",Already confirmed,"2025-12-24 (Price: 22.63), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 22.7333),0.45% below,"2025-08-19 (Price: 21.59), 2025-12-05 (Price: 23.44)",10.01%/0.04%/4.6%,"-0.0%, 10.48%",3.8 months/29 days/1.9 month,2026-06-07/2026-02-04/2026-03-16,7.63%,6.83%,0.8%,0.42,0.39,22.9672/23.671/23.74/28.58/48.2362/53.5099/No EMA 200 Target,22.39/19.55/No F-Stack Support/No F-Stack Support/No support/No support/22.14,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"SJ.TO, Long, 2025-12-24 (Price: 86.47)",No Exit Yet,"0.0%, 0 days","93.75%, Past 5 years, 16","Daily, is CONFIRMED on 2025-12-24",Already confirmed,"2025-12-24 (Price: 86.47), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 84.9394),1.8% above,"2025-08-07 (Price: 73.58), 2025-12-15 (Price: 88.46)",14.92%/10.1%/11.67%,"0.73%, 33.9%",1.8 year/1 month/5.3 months,2028-07-19/2026-02-05/2026-08-11,26.35%,9.97%,16.38%,1.63,0.54,93.3098/96.561/95.4/No Horizontal Resistance/108.5192/133.8092/No EMA 200 Target,85.41/38.015/50.2755/47.8005/No support/No support/77.2,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
"AAPL, Long, 2025-12-24 (Price: 273.81)",No Exit Yet,"0.0%, 0 days","100.0%, Past 45 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 169.21 prior to 2025-12-31,"2025-12-24 (Price: 273.81), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 169.2862),61.74% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-05-29/2027-01-23/2027-03-29,12.11%,12.37%,-0.26%,1.91,0.56,392.9447/371.4233/416.45/No Horizontal Resistance/297.1089/321.9834/No EMA 200 Target,23.9/136.57/248.4166/236.3611/260.3676/243.0054/230.56,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets)
"HDB, Long, 2025-12-24 (Price: 36.4)",No Exit Yet,"0.0%, 0 days","88.89%, Past 25 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 33.78 prior to 2025-12-31,"2025-12-24 (Price: 36.4), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 34.562),5.32% above,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",26.63%/20.05%/23.77%,"32.26%, 39.31%",3.3 years/4.1 months/1.4 year,2030-09-09/2026-06-18/2027-12-22,8.78%,11.88%,-3.1%,0.83,0.59,42.2131/45.0523/44.63/39.3812/45.6752/50.9526/No EMA 200 Target,26.75/25.6925/29.7659/26.539/36.3743/34.266/36.05,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"TCS.NS, Long, 2025-12-24 (Price: 3319.0)",No Exit Yet,"0.0%, 0 days","87.5%, Past 21 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 2866.6001 prior to 2025-12-31,"2025-12-24 (Price: 3319.0), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 2809.1),18.15% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",26.36%/7.31%/19.71%,"10.18%, 12.85%",1.3 year/3 months/8.3 months,2027-11-01/2026-05-03/2026-12-19,7.28%,13.73%,-6.45%,0.82,0.62,3455.079/3973.1749/5458.78/4543.575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,2888.4/2923.4601/No F-Stack Support/No F-Stack Support/3282.6562/3116.0412/3250.86,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"TCEHY, Long, 2025-12-24 (Price: 77.65)",No Exit Yet,"0.0%, 0 days","92.31%, Past 18 years, 13","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 74.58 prior to 2025-12-26,"2025-12-24 (Price: 77.65), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 74.7427),3.89% above,"2024-02-25 (Price: 33.0), 2025-10-12 (Price: 87.68)",19.21%/15.1%/17.52%,"9.2%, 60.01%",4 years/21 days/10.7 months,2031-09-09/2026-01-23/2027-04-02,12.94%,13.58%,-0.64%,1.45,0.67,86.1371/91.2543/110.46/No Horizontal Resistance/99.3611/116.6601/No EMA 200 Target,57.4/36.36/74.5211/58.6593/70.4937/68.5057/72.21,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"FPH.NZ, Long, 2025-12-24 (Price: 37.86)",No Exit Yet,"0.0%, 0 days","85.71%, Past 24 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 34.75 prior to 2025-12-31,"2025-12-24 (Price: 37.86), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.9549),8.31% above,"2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,2035-02-12/2026-06-15/2030-09-09,4.68%,9.29%,-4.61%,0.75,0.49,47.1887/45.928/49.39/39.1438/40.9296/48.5677/No EMA 200 Target,33.54/22.5167/30.9793/26.1935/35.1507/31.8879/36.34,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"GNE.NZ, Long, 2025-12-24 (Price: 2.4)",No Exit Yet,"0.0%, 0 days","77.78%, Past 11 years, 9","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 2.35 prior to 2025-12-26,"2025-12-24 (Price: 2.4), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 2.3652),1.47% above,"2024-06-09 (Price: 2.05), 2025-10-19 (Price: 2.56)",18.96%/17.54%/18.08%,"3.54%, 29.05%",1.2 year/3.3 months/9.6 months,2027-09-10/2026-05-16/2027-02-14,8.62%,2.18%,6.44%,0.59,0.05,2.4466/2.8339/2.71/3.575/4.6908/5.9676/No EMA 200 Target,2.36/2.0733/No F-Stack Support/No F-Stack Support/No support/No support/2.34,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"SUM.NZ, Long, 2025-12-24 (Price: 12.28)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-12-24 (Price: 12.28), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),14.34% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-11-01/2027-05-29/2027-07-20,11.55%,11.73%,-0.18%,0.86,0.59,12.6066/17.7986/15.52/13.345/16.7981/18.5763/No EMA 200 Target,8.8/9.1367/11.1928/8.9354/12.1624/11.3772/11.41,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets)
"ATM.NZ, Long, 2025-12-24 (Price: 10.52)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 11","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 9.92 prior to 2025-12-26,"2025-12-24 (Price: 10.52), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 9.6935),8.53% above,"2024-11-17 (Price: 5.22), 2025-11-09 (Price: 11.08)",28.57%/15.19%/20.26%,"-0.0%, 35.59%",1.4 year/7 days/4.4 months,2027-12-22/2026-01-03/2026-07-03,12.78%,17.84%,-5.06%,2.5,0.78,11.713/12.6514/14.04/10.965/21.0083/25.9428/No EMA 200 Target,10.16/5.2267/8.0863/5.0358/No support/No support/9.47,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
